object,day,profile_valid,profile_mean,profile_spatial_std,profile_amplitude,axis_lat,centroid_lat,spread_lat,NS_contrast,raw_profile_daily_speed
P,51,True,5.817197170676677,2.644128034970894,7.883320789834273,23.0,24.313045234836526,6.0216835341706725,-3.556198734106502,0.1804084608247899
P,52,True,5.915848925660458,2.6885452260922573,8.078053229270486,23.0,24.35129637677773,6.0207083780882735,-3.5715214814729377,0.12656999475303884
P,53,True,5.914531355475951,2.707278033391694,8.07742287540305,23.0,24.3257008477556,6.009029611232389,-3.6089935346479303,0.03906820719879169
P,54,True,5.85456985069018,2.6783310071862227,7.824882913039165,25.0,24.323228578487306,6.016759352209393,-3.5119078795153236,0.1538334381830566
P,55,True,5.769990201776555,2.6193714160362345,7.7311295903395845,25.0,24.299160596636003,6.035263951757636,-3.462778264065367,0.13527478714350588
P,56,True,5.738427031595815,2.541162050016341,7.580922601063465,25.0,24.393333814485068,6.064361295545506,-3.2582973970043367,0.13948405254351684
P,57,True,5.794988171077425,2.5509946943125,7.530191101611451,25.0,24.51401877148658,6.068789632514123,-3.037875424682418,0.16473237820580094
P,58,True,5.800211588104618,2.6097498720105263,7.729405817602524,25.0,24.533131702020736,6.008582000479067,-2.984225702290958,0.11811615555767783
P,59,True,5.740463644849645,2.62036870202299,7.709992011090165,25.0,24.529867567316643,5.982274509295272,-2.991679450690917,0.09294090957654064
P,60,True,5.6846079713538415,2.598759281432488,7.726618445346568,25.0,24.54979406560721,5.9785165679273025,-2.970812724323448,0.08676530599339739
P,61,True,5.720615430519698,2.5713800014451578,7.558061792937345,25.0,24.61927692279315,6.019973378204689,-2.897837484505941,0.08078476471642557
P,62,True,5.8523479342455484,2.584900209068626,7.601869006419287,25.0,24.724269972453158,6.056764035547965,-2.807697533051889,0.15370783046257178
P,63,True,5.990320207400123,2.60078082932941,7.631313610789145,25.0,24.796148146151356,6.092716639631712,-2.798840736587505,0.16073325635098426
P,64,True,6.132760306051027,2.6478493996805073,7.786687834207253,25.0,24.83896494837764,6.110577429237349,-2.812051695280049,0.16063023094469078
