bootstrap_id,object_A,object_B,A_selected_peak_day,B_selected_peak_day,selected_peak_delta_B_minus_A
20,H,Je,34.0,46.0,12.0
20,H,Jw,34.0,41.0,7.0
20,H,P,34.0,44.0,10.0
20,H,V,34.0,45.0,11.0
20,Je,Jw,46.0,41.0,-5.0
20,Je,P,46.0,44.0,-2.0
20,Je,V,46.0,45.0,-1.0
20,Jw,P,41.0,44.0,3.0
20,Jw,V,41.0,45.0,4.0
20,P,V,44.0,45.0,1.0
21,H,Je,33.0,49.0,16.0
21,H,Jw,33.0,40.0,7.0
21,H,P,33.0,45.0,12.0
21,H,V,33.0,44.0,11.0
21,Je,Jw,49.0,40.0,-9.0
21,Je,P,49.0,45.0,-4.0
21,Je,V,49.0,44.0,-5.0
21,Jw,P,40.0,45.0,5.0
21,Jw,V,40.0,44.0,4.0
21,P,V,45.0,44.0,-1.0
22,H,Je,37.0,46.0,9.0
22,H,Jw,37.0,48.0,11.0
22,H,P,37.0,45.0,8.0
22,H,V,37.0,45.0,8.0
22,Je,Jw,46.0,48.0,2.0
22,Je,P,46.0,45.0,-1.0
22,Je,V,46.0,45.0,-1.0
22,Jw,P,48.0,45.0,-3.0
22,Jw,V,48.0,45.0,-3.0
22,P,V,45.0,45.0,0.0
23,H,Je,33.0,46.0,13.0
23,H,Jw,33.0,41.0,8.0
23,H,P,33.0,45.0,12.0
23,H,V,33.0,45.0,12.0
23,Je,Jw,46.0,41.0,-5.0
23,Je,P,46.0,45.0,-1.0
23,Je,V,46.0,45.0,-1.0
23,Jw,P,41.0,45.0,4.0
23,Jw,V,41.0,45.0,4.0
23,P,V,45.0,45.0,0.0
24,H,Je,31.0,33.0,2.0
24,H,Jw,31.0,51.0,20.0
24,H,P,31.0,41.0,10.0
24,H,V,31.0,42.0,11.0
24,Je,Jw,33.0,51.0,18.0
24,Je,P,33.0,41.0,8.0
24,Je,V,33.0,42.0,9.0
24,Jw,P,51.0,41.0,-10.0
24,Jw,V,51.0,42.0,-9.0
24,P,V,41.0,42.0,1.0
25,H,Je,55.0,44.0,-11.0
25,H,Jw,55.0,53.0,-2.0
25,H,P,55.0,40.0,-15.0
25,H,V,55.0,40.0,-15.0
25,Je,Jw,44.0,53.0,9.0
25,Je,P,44.0,40.0,-4.0
25,Je,V,44.0,40.0,-4.0
25,Jw,P,53.0,40.0,-13.0
25,Jw,V,53.0,40.0,-13.0
25,P,V,40.0,40.0,0.0
26,H,Je,28.0,47.0,19.0
26,H,Jw,28.0,50.0,22.0
26,H,P,28.0,41.0,13.0
26,H,V,28.0,42.0,14.0
26,Je,Jw,47.0,50.0,3.0
26,Je,P,47.0,41.0,-6.0
26,Je,V,47.0,42.0,-5.0
26,Jw,P,50.0,41.0,-9.0
26,Jw,V,50.0,42.0,-8.0
26,P,V,41.0,42.0,1.0
27,H,Je,57.0,46.0,-11.0
27,H,Jw,57.0,48.0,-9.0
27,H,P,57.0,41.0,-16.0
27,H,V,57.0,46.0,-11.0
27,Je,Jw,46.0,48.0,2.0
27,Je,P,46.0,41.0,-5.0
27,Je,V,46.0,46.0,0.0
27,Jw,P,48.0,41.0,-7.0
27,Jw,V,48.0,46.0,-2.0
27,P,V,41.0,46.0,5.0
28,H,Je,58.0,20.0,-38.0
28,H,Jw,58.0,44.0,-14.0
28,H,P,58.0,42.0,-16.0
28,H,V,58.0,44.0,-14.0
28,Je,Jw,20.0,44.0,24.0
28,Je,P,20.0,42.0,22.0
28,Je,V,20.0,44.0,24.0
28,Jw,P,44.0,42.0,-2.0
28,Jw,V,44.0,44.0,0.0
28,P,V,42.0,44.0,2.0
29,H,Je,32.0,47.0,15.0
29,H,Jw,32.0,50.0,18.0
29,H,P,32.0,45.0,13.0
29,H,V,32.0,45.0,13.0
29,Je,Jw,47.0,50.0,3.0
29,Je,P,47.0,45.0,-2.0
29,Je,V,47.0,45.0,-2.0
29,Jw,P,50.0,45.0,-5.0
29,Jw,V,50.0,45.0,-5.0
29,P,V,45.0,45.0,0.0
30,H,Je,38.0,49.0,11.0
30,H,Jw,38.0,46.0,8.0
30,H,P,38.0,47.0,9.0
30,H,V,38.0,47.0,9.0
30,Je,Jw,49.0,46.0,-3.0
30,Je,P,49.0,47.0,-2.0
30,Je,V,49.0,47.0,-2.0
30,Jw,P,46.0,47.0,1.0
30,Jw,V,46.0,47.0,1.0
30,P,V,47.0,47.0,0.0
31,H,Je,32.0,46.0,14.0
31,H,Jw,32.0,40.0,8.0
31,H,P,32.0,45.0,13.0
31,H,V,32.0,45.0,13.0
31,Je,Jw,46.0,40.0,-6.0
31,Je,P,46.0,45.0,-1.0
31,Je,V,46.0,45.0,-1.0
31,Jw,P,40.0,45.0,5.0
31,Jw,V,40.0,45.0,5.0
31,P,V,45.0,45.0,0.0
32,H,Je,51.0,45.0,-6.0
32,H,Jw,51.0,48.0,-3.0
32,H,P,51.0,42.0,-9.0
32,H,V,51.0,50.0,-1.0
32,Je,Jw,45.0,48.0,3.0
32,Je,P,45.0,42.0,-3.0
32,Je,V,45.0,50.0,5.0
32,Jw,P,48.0,42.0,-6.0
32,Jw,V,48.0,50.0,2.0
32,P,V,42.0,50.0,8.0
33,H,Je,33.0,52.0,19.0
33,H,Jw,33.0,48.0,15.0
33,H,P,33.0,44.0,11.0
33,H,V,33.0,45.0,12.0
33,Je,Jw,52.0,48.0,-4.0
33,Je,P,52.0,44.0,-8.0
33,Je,V,52.0,45.0,-7.0
33,Jw,P,48.0,44.0,-4.0
33,Jw,V,48.0,45.0,-3.0
33,P,V,44.0,45.0,1.0
34,H,Je,53.0,44.0,-9.0
34,H,Jw,53.0,41.0,-12.0
34,H,P,53.0,44.0,-9.0
34,H,V,53.0,43.0,-10.0
34,Je,Jw,44.0,41.0,-3.0
34,Je,P,44.0,44.0,0.0
34,Je,V,44.0,43.0,-1.0
34,Jw,P,41.0,44.0,3.0
34,Jw,V,41.0,43.0,2.0
34,P,V,44.0,43.0,-1.0
35,H,Je,54.0,55.0,1.0
35,H,Jw,54.0,51.0,-3.0
35,H,P,54.0,42.0,-12.0
35,H,V,54.0,45.0,-9.0
35,Je,Jw,55.0,51.0,-4.0
35,Je,P,55.0,42.0,-13.0
35,Je,V,55.0,45.0,-10.0
35,Jw,P,51.0,42.0,-9.0
35,Jw,V,51.0,45.0,-6.0
35,P,V,42.0,45.0,3.0
36,H,Je,45.0,46.0,1.0
36,H,Jw,45.0,51.0,6.0
36,H,P,45.0,42.0,-3.0
36,H,V,45.0,40.0,-5.0
36,Je,Jw,46.0,51.0,5.0
36,Je,P,46.0,42.0,-4.0
36,Je,V,46.0,40.0,-6.0
36,Jw,P,51.0,42.0,-9.0
36,Jw,V,51.0,40.0,-11.0
36,P,V,42.0,40.0,-2.0
37,H,Je,32.0,47.0,15.0
37,H,Jw,32.0,46.0,14.0
37,H,P,32.0,43.0,11.0
37,H,V,32.0,44.0,12.0
37,Je,Jw,47.0,46.0,-1.0
37,Je,P,47.0,43.0,-4.0
37,Je,V,47.0,44.0,-3.0
37,Jw,P,46.0,43.0,-3.0
37,Jw,V,46.0,44.0,-2.0
37,P,V,43.0,44.0,1.0
38,H,Je,61.0,47.0,-14.0
38,H,Jw,61.0,50.0,-11.0
38,H,P,61.0,42.0,-19.0
38,H,V,61.0,41.0,-20.0
38,Je,Jw,47.0,50.0,3.0
38,Je,P,47.0,42.0,-5.0
38,Je,V,47.0,41.0,-6.0
38,Jw,P,50.0,42.0,-8.0
38,Jw,V,50.0,41.0,-9.0
38,P,V,42.0,41.0,-1.0
39,H,Je,33.0,48.0,15.0
39,H,Jw,33.0,50.0,17.0
39,H,P,33.0,44.0,11.0
39,H,V,33.0,45.0,12.0
39,Je,Jw,48.0,50.0,2.0
39,Je,P,48.0,44.0,-4.0
39,Je,V,48.0,45.0,-3.0
39,Jw,P,50.0,44.0,-6.0
39,Jw,V,50.0,45.0,-5.0
39,P,V,44.0,45.0,1.0
40,H,Je,31.0,56.0,25.0
40,H,Jw,31.0,53.0,22.0
40,H,P,31.0,43.0,12.0
40,H,V,31.0,44.0,13.0
40,Je,Jw,56.0,53.0,-3.0
40,Je,P,56.0,43.0,-13.0
40,Je,V,56.0,44.0,-12.0
40,Jw,P,53.0,43.0,-10.0
40,Jw,V,53.0,44.0,-9.0
40,P,V,43.0,44.0,1.0
41,H,Je,55.0,47.0,-8.0
41,H,Jw,55.0,44.0,-11.0
41,H,P,55.0,44.0,-11.0
41,H,V,55.0,45.0,-10.0
41,Je,Jw,47.0,44.0,-3.0
41,Je,P,47.0,44.0,-3.0
41,Je,V,47.0,45.0,-2.0
41,Jw,P,44.0,44.0,0.0
41,Jw,V,44.0,45.0,1.0
41,P,V,44.0,45.0,1.0
42,H,Je,33.0,44.0,11.0
42,H,Jw,33.0,46.0,13.0
42,H,P,33.0,44.0,11.0
42,H,V,33.0,43.0,10.0
42,Je,Jw,44.0,46.0,2.0
42,Je,P,44.0,44.0,0.0
42,Je,V,44.0,43.0,-1.0
42,Jw,P,46.0,44.0,-2.0
42,Jw,V,46.0,43.0,-3.0
42,P,V,44.0,43.0,-1.0
43,H,Je,35.0,34.0,-1.0
43,H,Jw,35.0,49.0,14.0
43,H,P,35.0,46.0,11.0
43,H,V,35.0,47.0,12.0
43,Je,Jw,34.0,49.0,15.0
43,Je,P,34.0,46.0,12.0
43,Je,V,34.0,47.0,13.0
43,Jw,P,49.0,46.0,-3.0
43,Jw,V,49.0,47.0,-2.0
43,P,V,46.0,47.0,1.0
44,H,Je,33.0,45.0,12.0
44,H,Jw,33.0,52.0,19.0
44,H,P,33.0,42.0,9.0
44,H,V,33.0,49.0,16.0
44,Je,Jw,45.0,52.0,7.0
44,Je,P,45.0,42.0,-3.0
44,Je,V,45.0,49.0,4.0
44,Jw,P,52.0,42.0,-10.0
44,Jw,V,52.0,49.0,-3.0
44,P,V,42.0,49.0,7.0
45,H,Je,45.0,49.0,4.0
45,H,Jw,45.0,55.0,10.0
45,H,P,45.0,42.0,-3.0
45,H,V,45.0,44.0,-1.0
45,Je,Jw,49.0,55.0,6.0
45,Je,P,49.0,42.0,-7.0
45,Je,V,49.0,44.0,-5.0
45,Jw,P,55.0,42.0,-13.0
45,Jw,V,55.0,44.0,-11.0
45,P,V,42.0,44.0,2.0
46,H,Je,35.0,51.0,16.0
46,H,Jw,35.0,45.0,10.0
46,H,P,35.0,43.0,8.0
46,H,V,35.0,45.0,10.0
46,Je,Jw,51.0,45.0,-6.0
46,Je,P,51.0,43.0,-8.0
46,Je,V,51.0,45.0,-6.0
46,Jw,P,45.0,43.0,-2.0
46,Jw,V,45.0,45.0,0.0
46,P,V,43.0,45.0,2.0
47,H,Je,30.0,47.0,17.0
47,H,Jw,30.0,45.0,15.0
47,H,P,30.0,48.0,18.0
47,H,V,30.0,45.0,15.0
47,Je,Jw,47.0,45.0,-2.0
47,Je,P,47.0,48.0,1.0
47,Je,V,47.0,45.0,-2.0
47,Jw,P,45.0,48.0,3.0
47,Jw,V,45.0,45.0,0.0
47,P,V,48.0,45.0,-3.0
48,H,Je,38.0,51.0,13.0
48,H,Jw,38.0,48.0,10.0
48,H,P,38.0,40.0,2.0
48,H,V,38.0,45.0,7.0
48,Je,Jw,51.0,48.0,-3.0
48,Je,P,51.0,40.0,-11.0
48,Je,V,51.0,45.0,-6.0
48,Jw,P,48.0,40.0,-8.0
48,Jw,V,48.0,45.0,-3.0
48,P,V,40.0,45.0,5.0
49,H,Je,51.0,55.0,4.0
49,H,Jw,51.0,42.0,-9.0
49,H,P,51.0,39.0,-12.0
49,H,V,51.0,41.0,-10.0
49,Je,Jw,55.0,42.0,-13.0
49,Je,P,55.0,39.0,-16.0
49,Je,V,55.0,41.0,-14.0
49,Jw,P,42.0,39.0,-3.0
49,Jw,V,42.0,41.0,-1.0
49,P,V,39.0,41.0,2.0
50,H,Je,32.0,43.0,11.0
50,H,Jw,32.0,45.0,13.0
50,H,P,32.0,44.0,12.0
50,H,V,32.0,44.0,12.0
50,Je,Jw,43.0,45.0,2.0
50,Je,P,43.0,44.0,1.0
50,Je,V,43.0,44.0,1.0
50,Jw,P,45.0,44.0,-1.0
50,Jw,V,45.0,44.0,-1.0
50,P,V,44.0,44.0,0.0
51,H,Je,55.0,48.0,-7.0
51,H,Jw,55.0,39.0,-16.0
51,H,P,55.0,41.0,-14.0
51,H,V,55.0,42.0,-13.0
51,Je,Jw,48.0,39.0,-9.0
51,Je,P,48.0,41.0,-7.0
51,Je,V,48.0,42.0,-6.0
51,Jw,P,39.0,41.0,2.0
51,Jw,V,39.0,42.0,3.0
51,P,V,41.0,42.0,1.0
52,H,Je,20.0,45.0,25.0
52,H,Jw,20.0,43.0,23.0
52,H,P,20.0,44.0,24.0
52,H,V,20.0,44.0,24.0
52,Je,Jw,45.0,43.0,-2.0
52,Je,P,45.0,44.0,-1.0
52,Je,V,45.0,44.0,-1.0
52,Jw,P,43.0,44.0,1.0
52,Jw,V,43.0,44.0,1.0
52,P,V,44.0,44.0,0.0
53,H,Je,32.0,47.0,15.0
53,H,Jw,32.0,49.0,17.0
53,H,P,32.0,45.0,13.0
53,H,V,32.0,46.0,14.0
53,Je,Jw,47.0,49.0,2.0
53,Je,P,47.0,45.0,-2.0
53,Je,V,47.0,46.0,-1.0
53,Jw,P,49.0,45.0,-4.0
53,Jw,V,49.0,46.0,-3.0
53,P,V,45.0,46.0,1.0
54,H,Je,56.0,45.0,-11.0
54,H,Jw,56.0,48.0,-8.0
54,H,P,56.0,41.0,-15.0
54,H,V,56.0,42.0,-14.0
54,Je,Jw,45.0,48.0,3.0
54,Je,P,45.0,41.0,-4.0
54,Je,V,45.0,42.0,-3.0
54,Jw,P,48.0,41.0,-7.0
54,Jw,V,48.0,42.0,-6.0
54,P,V,41.0,42.0,1.0
55,H,Je,32.0,48.0,16.0
55,H,Jw,32.0,40.0,8.0
55,H,P,32.0,45.0,13.0
55,H,V,32.0,45.0,13.0
55,Je,Jw,48.0,40.0,-8.0
55,Je,P,48.0,45.0,-3.0
55,Je,V,48.0,45.0,-3.0
55,Jw,P,40.0,45.0,5.0
55,Jw,V,40.0,45.0,5.0
55,P,V,45.0,45.0,0.0
56,H,Je,55.0,55.0,0.0
56,H,Jw,55.0,50.0,-5.0
56,H,P,55.0,44.0,-11.0
56,H,V,55.0,43.0,-12.0
56,Je,Jw,55.0,50.0,-5.0
56,Je,P,55.0,44.0,-11.0
56,Je,V,55.0,43.0,-12.0
56,Jw,P,50.0,44.0,-6.0
56,Jw,V,50.0,43.0,-7.0
56,P,V,44.0,43.0,-1.0
57,H,Je,49.0,45.0,-4.0
57,H,Jw,49.0,48.0,-1.0
57,H,P,49.0,45.0,-4.0
57,H,V,49.0,49.0,0.0
57,Je,Jw,45.0,48.0,3.0
57,Je,P,45.0,45.0,0.0
57,Je,V,45.0,49.0,4.0
57,Jw,P,48.0,45.0,-3.0
57,Jw,V,48.0,49.0,1.0
57,P,V,45.0,49.0,4.0
58,H,Je,53.0,53.0,0.0
58,H,Jw,53.0,51.0,-2.0
58,H,P,53.0,43.0,-10.0
58,H,V,53.0,44.0,-9.0
58,Je,Jw,53.0,51.0,-2.0
58,Je,P,53.0,43.0,-10.0
58,Je,V,53.0,44.0,-9.0
58,Jw,P,51.0,43.0,-8.0
58,Jw,V,51.0,44.0,-7.0
58,P,V,43.0,44.0,1.0
59,H,Je,45.0,43.0,-2.0
59,H,Jw,45.0,49.0,4.0
59,H,P,45.0,44.0,-1.0
59,H,V,45.0,39.0,-6.0
59,Je,Jw,43.0,49.0,6.0
59,Je,P,43.0,44.0,1.0
59,Je,V,43.0,39.0,-4.0
59,Jw,P,49.0,44.0,-5.0
59,Jw,V,49.0,39.0,-10.0
59,P,V,44.0,39.0,-5.0
60,H,Je,34.0,47.0,13.0
60,H,Jw,34.0,49.0,15.0
60,H,P,34.0,46.0,12.0
60,H,V,34.0,45.0,11.0
60,Je,Jw,47.0,49.0,2.0
60,Je,P,47.0,46.0,-1.0
60,Je,V,47.0,45.0,-2.0
60,Jw,P,49.0,46.0,-3.0
60,Jw,V,49.0,45.0,-4.0
60,P,V,46.0,45.0,-1.0
61,H,Je,60.0,46.0,-14.0
61,H,Jw,60.0,51.0,-9.0
61,H,P,60.0,42.0,-18.0
61,H,V,60.0,44.0,-16.0
61,Je,Jw,46.0,51.0,5.0
61,Je,P,46.0,42.0,-4.0
61,Je,V,46.0,44.0,-2.0
61,Jw,P,51.0,42.0,-9.0
61,Jw,V,51.0,44.0,-7.0
61,P,V,42.0,44.0,2.0
62,H,Je,35.0,60.0,25.0
62,H,Jw,35.0,50.0,15.0
62,H,P,35.0,44.0,9.0
62,H,V,35.0,43.0,8.0
62,Je,Jw,60.0,50.0,-10.0
62,Je,P,60.0,44.0,-16.0
62,Je,V,60.0,43.0,-17.0
62,Jw,P,50.0,44.0,-6.0
62,Jw,V,50.0,43.0,-7.0
62,P,V,44.0,43.0,-1.0
63,H,Je,49.0,44.0,-5.0
63,H,Jw,49.0,51.0,2.0
63,H,P,49.0,46.0,-3.0
63,H,V,49.0,46.0,-3.0
63,Je,Jw,44.0,51.0,7.0
63,Je,P,44.0,46.0,2.0
63,Je,V,44.0,46.0,2.0
63,Jw,P,51.0,46.0,-5.0
63,Jw,V,51.0,46.0,-5.0
63,P,V,46.0,46.0,0.0
64,H,Je,35.0,47.0,12.0
64,H,Jw,35.0,48.0,13.0
64,H,P,35.0,44.0,9.0
64,H,V,35.0,44.0,9.0
64,Je,Jw,47.0,48.0,1.0
64,Je,P,47.0,44.0,-3.0
64,Je,V,47.0,44.0,-3.0
64,Jw,P,48.0,44.0,-4.0
64,Jw,V,48.0,44.0,-4.0
64,P,V,44.0,44.0,0.0
65,H,Je,34.0,48.0,14.0
65,H,Jw,34.0,45.0,11.0
65,H,P,34.0,43.0,9.0
65,H,V,34.0,44.0,10.0
65,Je,Jw,48.0,45.0,-3.0
65,Je,P,48.0,43.0,-5.0
65,Je,V,48.0,44.0,-4.0
65,Jw,P,45.0,43.0,-2.0
65,Jw,V,45.0,44.0,-1.0
65,P,V,43.0,44.0,1.0
66,H,Je,37.0,50.0,13.0
66,H,Jw,37.0,47.0,10.0
66,H,P,37.0,46.0,9.0
66,H,V,37.0,46.0,9.0
66,Je,Jw,50.0,47.0,-3.0
66,Je,P,50.0,46.0,-4.0
66,Je,V,50.0,46.0,-4.0
66,Jw,P,47.0,46.0,-1.0
66,Jw,V,47.0,46.0,-1.0
66,P,V,46.0,46.0,0.0
67,H,Je,32.0,51.0,19.0
67,H,Jw,32.0,50.0,18.0
67,H,P,32.0,43.0,11.0
67,H,V,32.0,44.0,12.0
67,Je,Jw,51.0,50.0,-1.0
67,Je,P,51.0,43.0,-8.0
67,Je,V,51.0,44.0,-7.0
67,Jw,P,50.0,43.0,-7.0
67,Jw,V,50.0,44.0,-6.0
67,P,V,43.0,44.0,1.0
68,H,Je,34.0,46.0,12.0
68,H,Jw,34.0,51.0,17.0
68,H,P,34.0,47.0,13.0
68,H,V,34.0,47.0,13.0
68,Je,Jw,46.0,51.0,5.0
68,Je,P,46.0,47.0,1.0
68,Je,V,46.0,47.0,1.0
68,Jw,P,51.0,47.0,-4.0
68,Jw,V,51.0,47.0,-4.0
68,P,V,47.0,47.0,0.0
69,H,Je,36.0,20.0,-16.0
69,H,Jw,36.0,43.0,7.0
69,H,P,36.0,38.0,2.0
69,H,V,36.0,46.0,10.0
69,Je,Jw,20.0,43.0,23.0
69,Je,P,20.0,38.0,18.0
69,Je,V,20.0,46.0,26.0
69,Jw,P,43.0,38.0,-5.0
69,Jw,V,43.0,46.0,3.0
69,P,V,38.0,46.0,8.0
70,H,Je,34.0,32.0,-2.0
70,H,Jw,34.0,40.0,6.0
70,H,P,34.0,41.0,7.0
70,H,V,34.0,44.0,10.0
70,Je,Jw,32.0,40.0,8.0
70,Je,P,32.0,41.0,9.0
