window,source_family,target_family,v1_to_pcmci_fate,n_pairs
S3,Je,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
S3,Je,P,not_v1_lead_lag_yes,20
S3,Je,V,not_v1_lead_lag_yes,9
S3,Jw,H,not_v1_lead_lag_yes,12
S3,Jw,Je,V1_yes_and_PCMCI_lagged_supported,1
S3,Jw,Je,not_v1_lead_lag_yes,8
S3,Jw,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,3
S3,Jw,P,not_v1_lead_lag_yes,18
S3,Jw,V,not_v1_lead_lag_yes,9
S3,P,H,not_v1_lead_lag_yes,28
S3,P,Je,not_v1_lead_lag_yes,21
S3,P,Jw,not_v1_lead_lag_yes,21
S3,P,V,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
S3,P,V,not_v1_lead_lag_yes,20
S3,V,H,V1_yes_no_PCMCI_lagged_or_tau0_signal,5
S3,V,H,not_v1_lead_lag_yes,7
S3,V,Je,not_v1_lead_lag_yes,9
S3,V,Jw,not_v1_lead_lag_yes,9
S3,V,P,V1_yes_graph_raw_p05_lost_by_fdr,1
S3,V,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,10
S3,V,P,V1_yes_only_tau0_graph_selected_in_PCMCI,1
S3,V,P,not_v1_lead_lag_yes,9
S4,H,Je,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
S4,H,Je,not_v1_lead_lag_yes,11
S4,H,Jw,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
S4,H,Jw,not_v1_lead_lag_yes,11
S4,H,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,4
S4,H,P,not_v1_lead_lag_yes,24
S4,H,V,V1_yes_no_PCMCI_lagged_or_tau0_signal,2
S4,H,V,V1_yes_only_tau0_graph_selected_in_PCMCI,2
S4,H,V,not_v1_lead_lag_yes,8
S4,Je,H,not_v1_lead_lag_yes,12
S4,Je,Jw,not_v1_lead_lag_yes,9
S4,Je,P,not_v1_lead_lag_yes,21
S4,Je,V,not_v1_lead_lag_yes,9
S4,Jw,H,not_v1_lead_lag_yes,12
S4,Jw,Je,V1_yes_and_PCMCI_lagged_supported,1
S4,Jw,Je,not_v1_lead_lag_yes,8
S4,Jw,P,not_v1_lead_lag_yes,21
S4,Jw,V,not_v1_lead_lag_yes,9
S4,P,H,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
S4,P,H,not_v1_lead_lag_yes,27
S4,P,Je,not_v1_lead_lag_yes,21
S4,P,Jw,not_v1_lead_lag_yes,21
S4,P,V,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
S4,P,V,not_v1_lead_lag_yes,20
S4,V,H,not_v1_lead_lag_yes,12
S4,V,Je,V1_yes_no_PCMCI_lagged_or_tau0_signal,2
S4,V,Je,not_v1_lead_lag_yes,7
S4,V,Jw,not_v1_lead_lag_yes,9
S4,V,P,V1_yes_and_PCMCI_lagged_supported,1
S4,V,P,V1_yes_graph_raw_p05_lost_by_fdr,1
S4,V,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,4
S4,V,P,V1_yes_only_tau0_graph_selected_in_PCMCI,2
S4,V,P,V1_yes_only_tau0_supported_in_PCMCI,1
S4,V,P,not_v1_lead_lag_yes,12
S5,H,Je,V1_yes_only_tau0_supported_in_PCMCI,3
S5,H,Je,not_v1_lead_lag_yes,9
S5,H,Jw,not_v1_lead_lag_yes,12
S5,H,P,not_v1_lead_lag_yes,28
S5,H,V,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
S5,H,V,not_v1_lead_lag_yes,11
S5,Je,H,V1_yes_only_tau0_supported_in_PCMCI,1
S5,Je,H,not_v1_lead_lag_yes,11
S5,Je,Jw,not_v1_lead_lag_yes,9
S5,Je,P,not_v1_lead_lag_yes,21
S5,Je,V,not_v1_lead_lag_yes,9
S5,Jw,H,V1_yes_only_tau0_graph_selected_in_PCMCI,1
S5,Jw,H,not_v1_lead_lag_yes,11
S5,Jw,Je,not_v1_lead_lag_yes,9
S5,Jw,P,not_v1_lead_lag_yes,21
S5,Jw,V,not_v1_lead_lag_yes,9
S5,P,H,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
S5,P,H,not_v1_lead_lag_yes,27
S5,P,Je,V1_yes_no_PCMCI_lagged_or_tau0_signal,2
S5,P,Je,not_v1_lead_lag_yes,19
S5,P,Jw,not_v1_lead_lag_yes,21
S5,P,V,not_v1_lead_lag_yes,21
S5,V,H,not_v1_lead_lag_yes,12
S5,V,Je,not_v1_lead_lag_yes,9
S5,V,Jw,not_v1_lead_lag_yes,9
S5,V,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,10
S5,V,P,V1_yes_only_tau0_supported_in_PCMCI,3
S5,V,P,not_v1_lead_lag_yes,8
T1,H,Je,not_v1_lead_lag_yes,12
T1,H,Jw,not_v1_lead_lag_yes,12
T1,H,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,3
T1,H,P,not_v1_lead_lag_yes,25
T1,H,V,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
T1,H,V,not_v1_lead_lag_yes,11
T1,Je,H,V1_yes_graph_raw_p05_lost_by_fdr,1
T1,Je,H,not_v1_lead_lag_yes,11
T1,Je,Jw,not_v1_lead_lag_yes,9
T1,Je,P,not_v1_lead_lag_yes,21
T1,Je,V,not_v1_lead_lag_yes,9
T1,Jw,H,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
T1,Jw,H,not_v1_lead_lag_yes,11
T1,Jw,Je,V1_yes_no_PCMCI_lagged_or_tau0_signal,2
T1,Jw,Je,not_v1_lead_lag_yes,7
T1,Jw,P,not_v1_lead_lag_yes,21
T1,Jw,V,not_v1_lead_lag_yes,9
T1,P,H,not_v1_lead_lag_yes,28
T1,P,Je,V1_yes_graph_raw_p05_lost_by_fdr,1
T1,P,Je,V1_yes_no_PCMCI_lagged_or_tau0_signal,2
T1,P,Je,not_v1_lead_lag_yes,18
T1,P,Jw,not_v1_lead_lag_yes,21
T1,P,V,not_v1_lead_lag_yes,21
T1,V,H,V1_yes_no_PCMCI_lagged_or_tau0_signal,2
T1,V,H,not_v1_lead_lag_yes,10
T1,V,Je,V1_yes_no_PCMCI_lagged_or_tau0_signal,2
T1,V,Je,not_v1_lead_lag_yes,7
T1,V,Jw,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
T1,V,Jw,not_v1_lead_lag_yes,8
T1,V,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,12
T1,V,P,V1_yes_only_tau0_graph_selected_in_PCMCI,1
T1,V,P,V1_yes_only_tau0_supported_in_PCMCI,1
T1,V,P,not_v1_lead_lag_yes,7
T2,H,Je,not_v1_lead_lag_yes,12
T2,H,Jw,not_v1_lead_lag_yes,12
T2,H,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,6
T2,H,P,not_v1_lead_lag_yes,22
T2,H,V,V1_yes_no_PCMCI_lagged_or_tau0_signal,3
T2,H,V,V1_yes_only_tau0_supported_in_PCMCI,2
T2,H,V,not_v1_lead_lag_yes,7
T2,Je,H,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
T2,Je,H,not_v1_lead_lag_yes,11
T2,Je,Jw,not_v1_lead_lag_yes,9
T2,Je,P,not_v1_lead_lag_yes,21
T2,Je,V,not_v1_lead_lag_yes,9
T2,Jw,H,not_v1_lead_lag_yes,12
T2,Jw,Je,not_v1_lead_lag_yes,9
T2,Jw,P,not_v1_lead_lag_yes,21
T2,Jw,V,not_v1_lead_lag_yes,9
T2,P,H,not_v1_lead_lag_yes,28
T2,P,Je,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
T2,P,Je,not_v1_lead_lag_yes,20
T2,P,Jw,not_v1_lead_lag_yes,21
T2,P,V,not_v1_lead_lag_yes,21
T2,V,H,not_v1_lead_lag_yes,12
T2,V,Je,not_v1_lead_lag_yes,9
T2,V,Jw,not_v1_lead_lag_yes,9
T2,V,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,13
T2,V,P,V1_yes_only_tau0_supported_in_PCMCI,2
T2,V,P,not_v1_lead_lag_yes,6
T3,H,Je,not_v1_lead_lag_yes,12
T3,H,Jw,not_v1_lead_lag_yes,12
T3,H,P,not_v1_lead_lag_yes,28
T3,H,V,not_v1_lead_lag_yes,12
T3,Je,H,not_v1_lead_lag_yes,12
T3,Je,Jw,not_v1_lead_lag_yes,9
T3,Je,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,2
T3,Je,P,not_v1_lead_lag_yes,19
T3,Je,V,not_v1_lead_lag_yes,9
T3,Jw,H,not_v1_lead_lag_yes,12
T3,Jw,Je,not_v1_lead_lag_yes,9
T3,Jw,P,not_v1_lead_lag_yes,21
T3,Jw,V,not_v1_lead_lag_yes,9
T3,P,H,not_v1_lead_lag_yes,28
T3,P,Je,not_v1_lead_lag_yes,21
T3,P,Jw,V1_yes_no_PCMCI_lagged_or_tau0_signal,2
T3,P,Jw,not_v1_lead_lag_yes,19
T3,P,V,V1_yes_no_PCMCI_lagged_or_tau0_signal,2
T3,P,V,not_v1_lead_lag_yes,19
T3,V,H,not_v1_lead_lag_yes,12
T3,V,Je,not_v1_lead_lag_yes,9
T3,V,Jw,not_v1_lead_lag_yes,9
T3,V,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,4
T3,V,P,not_v1_lead_lag_yes,17
T4,H,Je,not_v1_lead_lag_yes,12
T4,H,Jw,not_v1_lead_lag_yes,12
T4,H,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,1
T4,H,P,not_v1_lead_lag_yes,27
T4,H,V,V1_yes_only_tau0_graph_selected_in_PCMCI,1
T4,H,V,not_v1_lead_lag_yes,11
T4,Je,H,not_v1_lead_lag_yes,12
T4,Je,Jw,not_v1_lead_lag_yes,9
T4,Je,P,not_v1_lead_lag_yes,21
T4,Je,V,not_v1_lead_lag_yes,9
T4,Jw,H,not_v1_lead_lag_yes,12
T4,Jw,Je,not_v1_lead_lag_yes,9
T4,Jw,P,not_v1_lead_lag_yes,21
T4,Jw,V,not_v1_lead_lag_yes,9
T4,P,H,not_v1_lead_lag_yes,28
T4,P,Je,not_v1_lead_lag_yes,21
T4,P,Jw,not_v1_lead_lag_yes,21
T4,P,V,not_v1_lead_lag_yes,21
T4,V,H,not_v1_lead_lag_yes,12
T4,V,Je,not_v1_lead_lag_yes,9
T4,V,Jw,not_v1_lead_lag_yes,9
T4,V,P,V1_yes_no_PCMCI_lagged_or_tau0_signal,9
T4,V,P,not_v1_lead_lag_yes,12
