window,source_family,target_family,tau0_lagged_joint_class,n_pairs
T3,Je,Jw,tau0_pre_fdr_signal_only,1
T3,Je,P,no_pcmci_signal,21
T3,Je,V,no_pcmci_signal,9
T3,Jw,H,no_pcmci_signal,12
T3,Jw,Je,no_pcmci_signal,8
T3,Jw,Je,tau0_pre_fdr_signal_only,1
T3,Jw,P,no_pcmci_signal,21
T3,Jw,V,no_pcmci_signal,9
T3,P,H,no_pcmci_signal,27
T3,P,H,tau0_pre_fdr_signal_only,1
T3,P,Je,no_pcmci_signal,21
T3,P,Jw,no_pcmci_signal,21
T3,P,V,no_pcmci_signal,21
T3,V,H,no_pcmci_signal,11
T3,V,H,tau0_pre_fdr_signal_only,1
T3,V,Je,no_pcmci_signal,9
T3,V,Jw,no_pcmci_signal,9
T3,V,P,no_pcmci_signal,21
T4,H,Je,no_pcmci_signal,11
T4,H,Je,tau0_pre_fdr_signal_only,1
T4,H,Jw,no_pcmci_signal,12
T4,H,P,no_pcmci_signal,28
T4,H,V,no_pcmci_signal,11
T4,H,V,tau0_pre_fdr_signal_only,1
T4,Je,H,no_pcmci_signal,11
T4,Je,H,tau0_pre_fdr_signal_only,1
T4,Je,Jw,no_pcmci_signal,7
T4,Je,Jw,tau0_pre_fdr_signal_only,2
T4,Je,P,no_pcmci_signal,20
T4,Je,P,tau0_pre_fdr_signal_only,1
T4,Je,V,no_pcmci_signal,7
T4,Je,V,tau0_pre_fdr_signal_only,2
T4,Jw,H,no_pcmci_signal,12
T4,Jw,Je,lagged_supported_only,1
T4,Jw,Je,no_pcmci_signal,6
T4,Jw,Je,tau0_pre_fdr_signal_only,2
T4,Jw,P,lagged_pre_fdr_signal_only,1
T4,Jw,P,no_pcmci_signal,20
T4,Jw,V,no_pcmci_signal,9
T4,P,H,no_pcmci_signal,28
T4,P,Je,no_pcmci_signal,20
T4,P,Je,tau0_pre_fdr_signal_only,1
T4,P,Jw,no_pcmci_signal,21
T4,P,V,no_pcmci_signal,20
T4,P,V,tau0_pre_fdr_signal_only,1
T4,V,H,no_pcmci_signal,11
T4,V,H,tau0_pre_fdr_signal_only,1
T4,V,Je,no_pcmci_signal,7
T4,V,Je,tau0_pre_fdr_signal_only,2
T4,V,Jw,no_pcmci_signal,9
T4,V,P,no_pcmci_signal,20
T4,V,P,tau0_pre_fdr_signal_only,1
