event_id,target_day,pre_day_min,pre_day_max,post_day_min,post_day_max,feature_name,feature_index,feature_coord_if_available,pre_mean,post_mean,diff,abs_diff,sign,contribution_fraction,rank_by_abs_diff
H45,45,40,43,45,48,feature_005,5,25.0,5852.410690412549,5852.05934528763,-0.35134512491913483,0.35134512491913483,negative,0.04600389476717325,10
H45,45,40,43,45,48,feature_006,6,27.0,5834.413351854242,5833.904222305122,-0.509129549120189,0.509129549120189,negative,0.06666363225040993,8
H45,45,40,43,45,48,feature_007,7,29.0,5811.701950300233,5810.718519245885,-0.9834310543483298,0.9834310543483298,negative,0.12876700294453655,3
H45,45,40,43,45,48,feature_008,8,31.0,5785.07236850732,5783.708098748093,-1.3642697592267723,1.3642697592267723,negative,0.17863268332512194,1
H45,45,40,43,45,48,feature_009,9,33.0,5755.1263228007865,5754.126006822886,-1.0003159779007547,1.0003159779007547,negative,0.130977855440174,2
H45,45,40,43,45,48,feature_010,10,35.0,5722.93040154345,5723.653526660026,0.7231251165758295,0.7231251165758295,positive,0.09468345910338428,6
H57,57,52,55,57,60,feature_000,0,15.0,5878.74546848496,5878.315770697226,-0.4296977877338577,0.4296977877338577,negative,0.012372649185816827,10
H57,57,52,55,57,60,feature_001,1,17.0,5878.82337702905,5878.7870256159085,-0.03635141314134671,0.03635141314134671,negative,0.0010466967600148427,11
H57,57,52,55,57,60,feature_002,2,19.0,5877.485831130314,5878.006859121019,0.521027990705079,0.521027990705079,positive,0.01500239640278936,9
H57,57,52,55,57,60,feature_003,3,21.0,5873.601253160551,5874.845984067315,1.2447309067638344,1.2447309067638344,positive,0.03584058210155667,8
H57,57,52,55,57,60,feature_004,4,23.0,5866.204793954381,5868.287475010522,2.082681056141155,2.082681056141155,positive,0.059968384313724026,7
H57,57,52,55,57,60,feature_005,5,25.0,5854.254002675708,5857.305114829542,3.0511121538338557,3.0511121538338557,positive,0.08785323402537447,6
H57,57,52,55,57,60,feature_006,6,27.0,5837.252483745381,5841.080735884831,3.8282521394494324,3.8282521394494324,positive,0.11023007813481561,5
H57,57,52,55,57,60,feature_007,7,29.0,5815.789100387754,5820.196440212474,4.407339824720111,4.407339824720111,positive,0.12690423607141293,4
H57,57,52,55,57,60,feature_008,8,31.0,5791.381871067744,5796.591116275404,5.209245207659478,5.209245207659478,positive,0.14999417105956347,3
H57,57,52,55,57,60,feature_009,9,33.0,5765.431370752586,5771.787111958141,6.355741205555205,6.355741205555205,positive,0.18300619294991752,2
H57,57,52,55,57,60,feature_010,10,35.0,5739.15992341841,5746.723394697548,7.5634712791388665,7.5634712791388665,positive,0.21778137899501426,1
