event_id,target_day,local_max_day_within_radius,sigma,feature_name,feature_index,feature_coord_if_available,derivative_value,abs_derivative,energy_contribution_fraction,rank
H18,18,20,9.0,feature_003,3,21.0,0.03954631611491355,0.03954631611491355,0.1369516246005218,3
H18,18,20,9.0,feature_004,4,23.0,0.05399196716012373,0.05399196716012373,0.18697791208846534,1
H18,18,20,9.0,feature_005,5,25.0,0.0399299360759141,0.0399299360759141,0.1382801270262737,2
H18,18,20,9.0,feature_006,6,27.0,0.0320509361413258,0.0320509361413258,0.11099460596449398,4
H18,18,20,9.0,feature_007,7,29.0,0.026213603216570208,0.026213603216570208,0.09077951879793195,5
H18,18,20,9.0,feature_008,8,31.0,0.02297854639173434,0.02297854639173434,0.0795762935329319,6
H18,18,20,9.0,feature_009,9,33.0,0.021386226929119977,0.021386226929119977,0.07406198123505825,7
H18,18,20,9.0,feature_010,10,35.0,0.02104823953539448,0.02104823953539448,0.07289150754211807,8
H18,18,20,14.0,feature_000,0,15.0,0.0005201550270950475,0.0005201550270950475,0.002520797211260043,11
H18,18,20,14.0,feature_001,1,17.0,0.002962688907061028,0.002962688907061028,0.014357907826940642,10
H18,18,20,14.0,feature_002,2,19.0,0.010995364598199645,0.010995364598199645,0.053286199252409315,9
H18,18,20,14.0,feature_003,3,21.0,0.02736421881854311,0.02736421881854311,0.13261363034657064,3
H18,18,20,14.0,feature_004,4,23.0,0.04027335160593369,0.04027335160593369,0.19517441364222746,1
H18,18,20,14.0,feature_005,5,25.0,0.0306119510653867,0.0306119510653867,0.1483529272182832,2
H18,18,20,14.0,feature_006,6,27.0,0.024613944770051337,0.024613944770051337,0.11928513635823494,4
H18,18,20,14.0,feature_007,7,29.0,0.0199271282119294,0.0199271282119294,0.09657168845524598,5
H18,18,20,14.0,feature_008,8,31.0,0.01728919600963149,0.01728919600963149,0.08378763025593813,6
H18,18,20,14.0,feature_009,9,33.0,0.016012380893016098,0.016012380893016098,0.0775998750337424,7
H18,18,20,14.0,feature_010,10,35.0,0.01577506699050257,0.01577506699050257,0.07644979439914723,8
H35,35,36,2.0,feature_000,0,15.0,-0.02259483839648637,0.02259483839648637,0.061186587797873886,7
H35,35,36,2.0,feature_001,1,17.0,-0.016093864386759887,0.016093864386759887,0.04358201767270399,10
H35,35,36,2.0,feature_002,2,19.0,0.0011885966249140635,0.0011885966249140635,0.0032187073202466572,11
H35,35,36,2.0,feature_003,3,21.0,0.041035000242709056,0.041035000242709056,0.11112235463152224,4
H35,35,36,2.0,feature_004,4,23.0,0.07706248410297922,0.07706248410297922,0.20868440688747916,1
H35,35,36,2.0,feature_005,5,25.0,0.06108060185573008,0.06108060185573008,0.16540563568597072,2
H35,35,36,2.0,feature_006,6,27.0,0.04750457847924037,0.04750457847924037,0.12864190532883082,3
H35,35,36,2.0,feature_007,7,29.0,0.03537404658011917,0.03537404658011917,0.0957925508852996,5
H35,35,36,2.0,feature_008,8,31.0,0.027418902861466362,0.027418902861466362,0.07425010428555995,6
H35,35,36,2.0,feature_009,9,33.0,0.021970757851953817,0.021970757851953817,0.059496584162489444,8
H35,35,36,2.0,feature_010,10,35.0,0.01795396297644952,0.01795396297644952,0.04861914534202357,9
H35,35,36,3.0,feature_000,0,15.0,-0.021047740264825834,0.021047740264825834,0.06401537668054387,7
H35,35,36,3.0,feature_001,1,17.0,-0.01624064596081903,0.01624064596081903,0.04939490204820743,10
H35,35,36,3.0,feature_002,2,19.0,-0.002062775210786484,0.002062775210786484,0.006273800914697753,11
H35,35,36,3.0,feature_003,3,21.0,0.0332243658747816,0.0332243658747816,0.10104981673499147,4
H35,35,36,3.0,feature_004,4,23.0,0.06679772619691915,0.06679772619691915,0.2031610781061202,1
H35,35,36,3.0,feature_005,5,25.0,0.054228427362339314,0.054228427362339314,0.1649323471648413,2
H35,35,36,3.0,feature_006,6,27.0,0.04256637081116055,0.04256637081116055,0.1294629365012595,3
H35,35,36,3.0,feature_007,7,29.0,0.031763455678386385,0.031763455678386385,0.09660655036330525,5
H35,35,36,3.0,feature_008,8,31.0,0.024587942100738842,0.024587942100738842,0.07478267764490701,6
H35,35,36,3.0,feature_009,9,33.0,0.01980737049067041,0.01980737049067041,0.060242870116102104,8
H35,35,36,3.0,feature_010,10,35.0,0.01646512592527073,0.01646512592527073,0.05007764372502418,9
H35,35,35,4.0,feature_000,0,15.0,-0.019938421480924375,0.019938421480924375,0.06624260380797982,8
H35,35,35,4.0,feature_001,1,17.0,-0.016096283099373027,0.016096283099373027,0.053477638896989324,10
H35,35,35,4.0,feature_002,2,19.0,-0.0044721677962492766,0.0044721677962492766,0.014858149115423982,11
H35,35,35,4.0,feature_003,3,21.0,0.025997091606664944,0.025997091606664944,0.08637168399251953,5
H35,35,35,4.0,feature_004,4,23.0,0.05688039622174057,0.05688039622174057,0.18897712414006942,1
H35,35,35,4.0,feature_005,5,25.0,0.047754830795628575,0.047754830795628575,0.15865871525177916,2
H35,35,35,4.0,feature_006,6,27.0,0.03828476467523826,0.03828476467523826,0.12719575121279725,3
H35,35,35,4.0,feature_007,7,29.0,0.029338763426188186,0.029338763426188186,0.09747391907209949,4
H35,35,35,4.0,feature_008,8,31.0,0.023696437760178275,0.023696437760178275,0.07872808485414604,6
H35,35,35,4.0,feature_009,9,33.0,0.020286041507551547,0.020286041507551547,0.0673975225021008,7
H35,35,35,4.0,feature_010,10,35.0,0.018245709818605144,0.018245709818605144,0.0606188071540954,9
H45,45,46,3.0,feature_000,0,15.0,0.0006635892840237544,0.0006635892840237544,0.011702322104440995,10
H45,45,46,3.0,feature_001,1,17.0,-0.00500944391197905,0.00500944391197905,0.08834097782087048,5
H45,45,46,3.0,feature_002,2,19.0,-0.01115783360530749,0.01115783360530749,0.19676713590870815,2
H45,45,46,3.0,feature_003,3,21.0,-0.01376607022484547,0.01376607022484547,0.24276309422400116,1
H45,45,46,3.0,feature_004,4,23.0,-0.007473056211825618,0.007473056211825618,0.13178650258651028,4
H45,45,46,3.0,feature_005,5,25.0,-0.0014844156473806263,0.0014844156473806263,0.026177502350834467,8
H45,45,46,3.0,feature_006,6,27.0,6.069419462372276e-05,6.069419462372276e-05,0.0010703352698067522,11
H45,45,46,3.0,feature_007,7,29.0,0.00102882477900821,0.00102882477900821,0.01814320882335619,9
H45,45,46,3.0,feature_008,8,31.0,0.0024682828108749154,0.0024682828108749154,0.0435278887003234,7
H45,45,46,3.0,feature_009,9,33.0,0.0049010581437124836,0.0049010581437124836,0.08642960703425714,6
H45,45,46,3.0,feature_010,10,35.0,0.008692509586752066,0.008692509586752066,0.15329142517689093,3
H45,45,43,5.0,feature_000,0,15.0,-0.005193119452318785,0.005193119452318785,0.04488238232200832,11
H45,45,43,5.0,feature_001,1,17.0,-0.007643738704327374,0.007643738704327374,0.06606225911941416,7
H45,45,43,5.0,feature_002,2,19.0,-0.006343844958548974,0.006343844958548974,0.05482771529432206,9
H45,45,43,5.0,feature_003,3,21.0,0.005506761483510846,0.005506761483510846,0.047593084759235675,10
H45,45,43,5.0,feature_004,4,23.0,0.021365217691253744,0.021365217691253744,0.18465238044613383,1
H45,45,43,5.0,feature_005,5,25.0,0.01942153473729611,0.01942153473729611,0.1678537833306092,2
H45,45,43,5.0,feature_006,6,27.0,0.015380630399799887,0.015380630399799887,0.13292960816626065,3
H45,45,43,5.0,feature_007,7,29.0,0.011136962572085188,0.011136962572085188,0.09625301644910834,4
H45,45,43,5.0,feature_008,8,31.0,0.008429347076858043,0.008429347076858043,0.07285200768095518,5
H45,45,43,5.0,feature_009,9,33.0,0.007367432087134722,0.007367432087134722,0.0636742340903723,8
H45,45,43,5.0,feature_010,10,35.0,0.007916486718551661,0.007916486718551661,0.06841952834158023,6
H45,45,43,9.0,feature_000,0,15.0,-0.007957683747044218,0.007957683747044218,0.04937852869522433,9
H45,45,43,9.0,feature_001,1,17.0,-0.007904959765336932,0.007904959765336932,0.049051369093710044,10
H45,45,43,9.0,feature_002,2,19.0,-0.003302906563692191,0.003302906563692191,0.020494992226035416,11
H45,45,43,9.0,feature_003,3,21.0,0.012165889556548033,0.012165889556548033,0.07549102800096473,8
H45,45,43,9.0,feature_004,4,23.0,0.02945092760651287,0.02945092760651287,0.18274708070163387,1
H45,45,43,9.0,feature_005,5,25.0,0.025288962452569237,0.025288962452569237,0.15692151106161595,2
H45,45,43,9.0,feature_006,6,27.0,0.020402725807360748,0.020402725807360748,0.12660173660630378,3
H45,45,43,9.0,feature_007,7,29.0,0.015847294923047726,0.015847294923047726,0.09833465766845167,4
H45,45,43,9.0,feature_008,8,31.0,0.013309479812599577,0.013309479812599577,0.08258716376974226,5
H45,45,43,9.0,feature_009,9,33.0,0.012490513006264081,0.012490513006264081,0.07750536142215661,7
H45,45,43,9.0,feature_010,10,35.0,0.013035417750443921,0.013035417750443921,0.08088657075416132,6
H57,57,55,3.0,feature_000,0,15.0,-0.006599071136124203,0.006599071136124203,0.037265305401369256,9
H57,57,55,3.0,feature_001,1,17.0,-0.002752402422205189,0.002752402422205189,0.01554296274963119,11
H57,57,55,3.0,feature_002,2,19.0,0.006095984500350464,0.006095984500350464,0.03442434843352745,10
H57,57,55,3.0,feature_003,3,21.0,0.022603493493875918,0.022603493493875918,0.12764312898161423,3
H57,57,55,3.0,feature_004,4,23.0,0.03444403156300188,0.03444403156300188,0.19450727670190535,1
H57,57,55,3.0,feature_005,5,25.0,0.025869899883281505,0.025869899883281505,0.14608869944983535,2
H57,57,55,3.0,feature_006,6,27.0,0.0197633552598853,0.0197633552598853,0.11160471744027001,4
H57,57,55,3.0,feature_007,7,29.0,0.015411338493651956,0.015411338493651956,0.08702864748130652,5
H57,57,55,3.0,feature_008,8,31.0,0.013929648593360534,0.013929648593360534,0.07866146587263641,8
H57,57,55,3.0,feature_009,9,33.0,0.014285981311013952,0.014285981311013952,0.08067369566588176,7
H57,57,55,3.0,feature_010,10,35.0,0.015328304803797321,0.015328304803797321,0.08655975182202244,6
H57,57,59,5.0,feature_000,0,15.0,-0.010570693305911498,0.010570693305911498,0.06786134575242865,9
H57,57,59,5.0,feature_001,1,17.0,-0.005862097705464805,0.005862097705464805,0.03763327794238404,10
H57,57,59,5.0,feature_002,2,19.0,0.001216183656840533,0.001216183656840533,0.007807610839409537,11
H57,57,59,5.0,feature_003,3,21.0,0.01433031669060975,0.01433031669060975,0.09199723684532837,6
H57,57,59,5.0,feature_004,4,23.0,0.02551611475229297,0.02551611475229297,0.16380740934898294,1
H57,57,59,5.0,feature_005,5,25.0,0.02139017038406032,0.02139017038406032,0.13731982436046186,2
H57,57,59,5.0,feature_006,6,27.0,0.018204417347701847,0.018204417347701847,0.11686804489569666,3
H57,57,59,5.0,feature_007,7,29.0,0.015455135039910379,0.015455135039910379,0.09921830406405836,4
H57,57,59,5.0,feature_008,8,31.0,0.014115967161827805,0.014115967161827805,0.09062116367173559,7
H57,57,59,5.0,feature_009,9,33.0,0.014075050641296785,0.014075050641296785,0.09035848930720843,8
H57,57,59,5.0,feature_010,10,35.0,0.015032843579549595,0.015032843579549595,0.09650729297230576,5
H57,57,59,9.0,feature_000,0,15.0,-0.010069335798902531,0.010069335798902531,0.06085054791890666,9
H57,57,59,9.0,feature_001,1,17.0,-0.0063364293782933664,0.0063364293782933664,0.03829201917773292,10
H57,57,59,9.0,feature_002,2,19.0,0.0010059206036442834,0.0010059206036442834,0.006078933220336481,11
H57,57,59,9.0,feature_003,3,21.0,0.016332108575835204,0.016332108575835204,0.09869744890412373,4
H57,57,59,9.0,feature_004,4,23.0,0.029744249194249426,0.029744249194249426,0.17974908147405755,1
H57,57,59,9.0,feature_005,5,25.0,0.024086492716883193,0.024086492716883193,0.14555838722022188,2
H57,57,59,9.0,feature_006,6,27.0,0.01971937512129877,0.01971937512129877,0.11916722261663663,3
H57,57,59,9.0,feature_007,7,29.0,0.016114161254879605,0.016114161254879605,0.09738035965787459,5
H57,57,59,9.0,feature_008,8,31.0,0.0141435887296681,0.0141435887296681,0.08547188622250333,7
H57,57,59,9.0,feature_009,9,33.0,0.013632170657091606,0.013632170657091606,0.08238130800032281,8
H57,57,59,9.0,feature_010,10,35.0,0.014292669714506451,0.014292669714506451,0.08637280558728334,6
