year,year_index,event_id,field_change_norm,field_abs_mean,pattern_corr_to_climatological_event,same_sign_fraction_to_climatological_event
1982,3,H45,49.167548354089305,34.743394643772035,0.2790991576957587,0.6972240524823101
1983,4,H45,41.76059976056327,26.648103264086505,0.48687422049141205,0.5728841397618434
1984,5,H45,34.138169307554655,21.224838376009686,0.4498977062821144,0.657432606640502
1985,6,H45,34.39940983216241,22.22733656964328,-0.10125012629032568,0.6584734675948473
1986,7,H45,47.04546327110877,34.07265577974211,0.4428422420506978,0.6575280984711758
1987,8,H45,39.01058487907632,26.529480774874052,0.3919662254667306,0.5525061830960362
1988,9,H45,27.213443057306527,18.405678764496233,0.4070463447947148,0.7169240171503328
1989,10,H45,29.78383364048128,21.76506690744534,0.6265659867508631,0.7872346520755149
1990,11,H45,30.067363822589282,22.353267971169835,-0.0024829888861955607,0.5773149607051117
1991,12,H45,39.4022842631705,25.53080768818158,0.04271165156044,0.5684724171847099
1992,13,H45,38.89409594183556,27.633143943352515,0.32088465823360746,0.5365208506412277
1993,14,H45,27.12558078266481,19.963456815087834,0.4995084396491198,0.7213548380936011
1994,15,H45,35.178959797680065,24.205540398429264,0.41040965026554316,0.7335109481383868
1995,16,H45,48.49883692585155,33.122875984152316,-0.07513138566966303,0.4519055394810974
1996,17,H45,33.41324949935561,23.764466517713707,0.2933683908030624,0.7101918430878238
1997,18,H45,44.31070433915544,31.209724345376767,0.1085524370804374,0.6192931694693519
1998,19,H45,30.92629596113567,22.95158901284155,-0.30262524969776966,0.5922785305717095
1999,20,H45,35.80761101888443,23.52082787928468,0.059698009497022676,0.5256347819444046
2000,21,H45,24.03047624447585,18.20380313343263,0.08701322859955948,0.5041682184089151
2001,22,H45,33.79810068844446,22.536167592777858,0.30432242815110044,0.5191604358247152
2002,23,H45,29.29547914540713,21.759877992519797,-0.0203830896912692,0.4213386044823865
2003,24,H45,25.012562686332604,17.214146064625407,0.1443695164261272,0.6550644092397896
2004,25,H45,34.206850410848595,24.516545702343535,0.2289887784082722,0.6088081664613593
2005,26,H45,37.417638964153994,25.600011182574146,0.29105807126652594,0.6877035169641237
2006,27,H45,25.387160334440214,18.41727352458138,0.5483110294613023,0.6198470220872604
2007,28,H45,42.999679130249966,23.647619197128474,0.18768504397192268,0.46341230507730063
2008,29,H45,35.65968306425525,24.331352453947737,0.1599882292889171,0.5175179763371244
2009,30,H45,31.98586430035412,23.03194092253559,0.43355729905034257,0.6741150294592297
2010,31,H45,30.52171127861321,21.87874860312631,0.14672915020801394,0.6270184585708692
2011,32,H45,25.12918757706217,18.82965619313905,0.3519651119318905,0.7113090975067083
2012,33,H45,22.373882253762584,15.181802536807625,0.03543818473668016,0.5920875469103618
2013,34,H45,22.553213975139574,15.949045308532986,-0.04694104437993412,0.6008727953323593
2014,35,H45,33.32955986179546,23.0847050303252,0.3608005239306758,0.7016644226086458
2015,36,H45,26.406444187018913,20.033297078662027,0.5320420899792504,0.6692831428271312
2016,37,H45,45.860858375562955,29.02510100620931,0.286308992269511,0.5854508646785268
2017,38,H45,42.01813682161731,26.25647417916959,0.17270484441696105,0.4693709953113511
2018,39,H45,31.777653895345747,22.061092028598114,0.3189135881587717,0.5648341784360348
2019,40,H45,50.16691121286278,31.095362177148505,0.4702995978045632,0.6096962404866264
2020,41,H45,35.08031455679232,24.69809331334247,0.7156516722918046,0.6336551408027044
2021,42,H45,28.144873629711803,19.556555687031928,0.11661493094196404,0.5242501503996333
2022,43,H45,30.633355777486763,20.229838017314353,0.5525544466754404,0.5922976289378443
2023,44,H45,28.032904971787797,18.486319576222346,-0.10971723355600134,0.5365972441057667
1979,0,H57,19.272619642328078,14.00420741282669,0.4883064793454031,0.6971572082008384
1980,1,H57,37.65095651640167,24.466030663150068,0.3733235115109082,0.650996457253082
1981,2,H57,32.14506517656056,20.937439386363607,0.3710845192411593,0.5968430400779213
1982,3,H57,31.465158071227876,21.14062782066662,0.3478634352041909,0.5232474861775576
1983,4,H57,25.96116243255368,16.93246214939971,-0.155575686232721,0.5324433494714527
1984,5,H57,19.895264754869416,15.51135424677163,-0.05796055226305586,0.5840184872184184
1985,6,H57,36.4272897410925,23.446958253935026,0.5007402015246307,0.5363967112613516
1986,7,H57,30.286266063324852,21.630181144298543,0.47137577167704575,0.6998405286427746
1987,8,H57,22.723403814769494,17.434317837969502,0.3026628762550891,0.7410739011277585
1988,9,H57,35.0074808246461,23.63891715500439,0.5358335201388815,0.7070788094078552
1989,10,H57,37.58090508942654,25.02040458358777,0.3579677430098061,0.5822900850832211
1990,11,H57,36.73310919754884,26.77709228494125,0.16677431927786873,0.5558292988034874
1991,12,H57,32.93083686611804,23.16169693157767,0.5572203455645013,0.706362620677801
1992,13,H57,43.96702754689925,29.83736870777326,-0.14195685614136155,0.7163988120816264
1993,14,H57,32.940261574986835,20.35140746099308,0.18949038463049314,0.45562017169431157
1994,15,H57,28.787558330449638,20.079356225384956,0.41176293171365486,0.5226649860104468
1995,16,H57,37.052382469722154,26.821629638890762,0.3797701980650122,0.7083870474880873
1996,17,H57,45.26552200737768,30.542822429829293,0.03104849719434391,0.5623609400215811
1997,18,H57,25.47871115910946,18.209329499971492,0.29018471416266256,0.6346196082925106
1998,19,H57,35.099841983756455,24.265730958915487,0.349944956633223,0.5854604138615941
1999,20,H57,34.66492672087369,23.67664748114973,-0.18922904312272537,0.5656649573628976
2000,21,H57,27.28517403463385,18.755377554550492,0.5282318350839988,0.700069709036392
2001,22,H57,25.655940239506428,18.732987775612678,-0.09424173349242533,0.5170882630990918
2002,23,H57,27.061304583890003,18.193900009677254,0.24244805534856584,0.7238758224233917
2003,24,H57,41.06175460378316,27.46034244528899,0.0285886452936208,0.6103933308505457
2004,25,H57,34.9784766117963,24.330691119528943,0.26710475261732325,0.7902808414740119
2005,26,H57,36.829300103954125,24.61219983221663,-0.017234436437434573,0.5997650900965422
2006,27,H57,31.638099411958798,21.16033133584131,0.619548818646441,0.6640597396892696
2007,28,H57,26.874433971904576,19.14617942866181,0.518848933808049,0.7395078351047067
2008,29,H57,43.396209071351414,27.620458755100316,0.3520998005674876,0.5746889353615798
2009,30,H57,35.93334643417569,24.505081617559828,0.3958290581685882,0.48774362353300676
2010,31,H57,37.93086177015846,26.388054550389025,0.48007852269991164,0.6826519991214751
2011,32,H57,26.685620533473674,19.377924587815563,0.5377076262795207,0.7119297944060886
2012,33,H57,39.37375145247065,23.965746330033223,0.39575262137162176,0.7668853429589099
2013,34,H57,20.017306017972825,14.893921988729154,0.39626981143927603,0.6308858777131616
2014,35,H57,26.704257793777852,18.762615380055994,0.11259838042534681,0.6220528833758272
2015,36,H57,37.00088399536566,23.74534592895344,0.33655903026124906,0.6924017150332789
2016,37,H57,40.03135222384369,25.508123100364305,0.06254834561727021,0.6140793155145577
2017,38,H57,25.64710879950452,17.573770151584245,0.05571392612427667,0.44066615101078105
2018,39,H57,48.43385818305028,31.888855645743526,0.04804535988739299,0.6034319763944195
2019,40,H57,36.65743766059305,22.6942041453555,0.34198766557227855,0.697491429608197
2020,41,H57,32.63501234156163,20.741718842186508,-0.07113606174641109,0.56331585832832
2021,42,H57,28.952117370324785,20.4143481921606,0.32496754155783175,0.5704204505304571
2022,43,H57,48.12406062823043,29.907363272484147,0.26022539635278136,0.6399480524441135
2023,44,H57,28.56318918691272,21.640927026589463,0.24131520247580943,0.7545191508866417
