window_id,target_pair,target_set,score_phase,year,score,score_z,Y_delta,order_label,peak_A,peak_B
W113,P-Je,exploratory_full_pair,low,1995,-0.6609243348274226,-0.6609243348274226,0.0,same_day,115.0,115.0
W113,P-Je,exploratory_full_pair,low,2009,-0.5460413538616737,-0.5460413538616737,0.0,same_day,112.0,112.0
W113,P-Je,exploratory_full_pair,low,2003,-0.4370343132712793,-0.43703431327127934,7.0,A_earlier,109.0,116.0
W113,P-Je,exploratory_full_pair,low,1984,-0.3056154912217263,-0.3056154912217264,-10.0,B_earlier,121.0,111.0
W113,P-Je,exploratory_full_pair,mid,1989,-0.2239035698600771,-0.22390356986007712,-5.0,B_earlier,113.0,108.0
W113,P-Je,exploratory_full_pair,mid,1997,-0.1730937214822303,-0.17309372148223032,-4.0,B_earlier,111.0,107.0
W113,P-Je,exploratory_full_pair,mid,1992,-0.14939214326418587,-0.1493921432641859,1.0,A_earlier,109.0,110.0
W113,P-Je,exploratory_full_pair,mid,2017,-0.04993980657997545,-0.04993980657997548,8.0,A_earlier,102.0,110.0
W113,P-Je,exploratory_full_pair,mid,2004,-0.038994505389996936,-0.038994505389996964,1.0,A_earlier,110.0,111.0
W113,P-Je,exploratory_full_pair,mid,1980,0.047444850661057254,0.04744485066105723,-2.0,B_earlier,108.0,106.0
W113,P-Je,exploratory_full_pair,mid,2021,0.04859229050749152,0.04859229050749149,-6.0,B_earlier,108.0,102.0
W113,P-Je,exploratory_full_pair,mid,1993,0.056060469942975755,0.05606046994297573,2.0,A_earlier,108.0,110.0
W113,P-Je,exploratory_full_pair,mid,1981,0.10052730546071666,0.10052730546071663,1.0,A_earlier,107.0,108.0
W113,P-Je,exploratory_full_pair,mid,2019,0.1495445748079438,0.14954457480794378,-3.0,B_earlier,115.0,112.0
W113,P-Je,exploratory_full_pair,mid,1985,0.15930042824170054,0.15930042824170051,-3.0,B_earlier,110.0,107.0
W113,P-Je,exploratory_full_pair,mid,2006,0.1718966331867282,0.17189663318672818,4.0,A_earlier,116.0,120.0
W113,P-Je,exploratory_full_pair,mid,2005,0.31908401645489054,0.3190840164548905,4.0,A_earlier,113.0,117.0
W113,P-Je,exploratory_full_pair,mid,2011,0.34186960353906787,0.3418696035390678,-2.0,B_earlier,111.0,109.0
W113,P-Je,exploratory_full_pair,mid,1998,0.34614719074909467,0.3461471907490946,12.0,A_earlier,105.0,117.0
W113,P-Je,exploratory_full_pair,high,2001,0.3476938791108076,0.34769387911080757,5.0,A_earlier,110.0,115.0
W113,P-Je,exploratory_full_pair,high,2002,0.3497321733670928,0.3497321733670927,-5.0,B_earlier,118.0,113.0
W113,P-Je,exploratory_full_pair,high,1986,0.4150831049959136,0.41508310499591355,5.0,A_earlier,110.0,115.0
W113,P-Je,exploratory_full_pair,high,2014,0.4743375500306572,0.47433755003065714,-1.0,B_earlier,109.0,108.0
W113,P-Je,exploratory_full_pair,high,1979,0.6314178293764691,0.6314178293764691,-3.0,B_earlier,116.0,113.0
W113,P-Je,exploratory_full_pair,high,2012,0.644191487730036,0.644191487730036,6.0,A_earlier,109.0,115.0
W113,P-Je,exploratory_full_pair,high,1982,0.7595549374222851,0.7595549374222851,6.0,A_earlier,115.0,121.0
W113,P-Je,exploratory_full_pair,high,1988,0.8102338786434273,0.8102338786434273,5.0,A_earlier,113.0,118.0
W113,P-Je,exploratory_full_pair,high,2008,0.942057628814184,0.942057628814184,-3.0,B_earlier,118.0,115.0
W113,P-Je,exploratory_full_pair,high,2007,1.1401851592675911,1.1401851592675911,19.0,A_earlier,99.0,118.0
W113,P-Je,exploratory_full_pair,high,1996,1.1939496839758608,1.1939496839758608,8.0,A_earlier,109.0,117.0
W113,P-Je,exploratory_full_pair,high,2000,1.4961022847360388,1.4961022847360388,2.0,A_earlier,110.0,112.0
W113,P-Je,exploratory_full_pair,high,2015,1.6799607028205956,1.6799607028205956,5.0,A_earlier,116.0,121.0
W113,P-Je,exploratory_full_pair,high,1994,1.9060128579730764,1.9060128579730764,13.0,A_earlier,107.0,120.0
W113,P-Je,exploratory_full_pair,high,1999,2.591507379626304,2.591507379626304,8.0,A_earlier,107.0,115.0
W113,P-Jw,exploratory_full_pair,low,2022,-2.4123677789178153,-2.4123677789178153,-15.0,B_earlier,122.0,107.0
W113,P-Jw,exploratory_full_pair,low,1983,-1.6754941676148658,-1.6754941676148658,-9.0,B_earlier,116.0,107.0
W113,P-Jw,exploratory_full_pair,low,2020,-1.457289730422698,-1.457289730422698,-1.0,B_earlier,117.0,116.0
W113,P-Jw,exploratory_full_pair,low,2002,-1.3607286266103618,-1.3607286266103618,-10.0,B_earlier,118.0,108.0
W113,P-Jw,exploratory_full_pair,low,2013,-1.1909231858080656,-1.1909231858080656,-6.0,B_earlier,114.0,108.0
W113,P-Jw,exploratory_full_pair,low,2010,-1.1716766082144492,-1.1716766082144492,0.0,same_day,111.0,111.0
W113,P-Jw,exploratory_full_pair,low,2016,-1.099742231354859,-1.099742231354859,3.0,A_earlier,114.0,117.0
W113,P-Jw,exploratory_full_pair,low,2006,-1.0241145521935173,-1.0241145521935173,2.0,A_earlier,116.0,118.0
W113,P-Jw,exploratory_full_pair,low,1995,-0.8904563569194077,-0.8904563569194077,-9.0,B_earlier,115.0,106.0
W113,P-Jw,exploratory_full_pair,low,2023,-0.8294181587095201,-0.8294181587095201,-13.0,B_earlier,114.0,101.0
W113,P-Jw,exploratory_full_pair,low,2018,-0.4845758157599202,-0.4845758157599202,1.0,A_earlier,114.0,115.0
W113,P-Jw,exploratory_full_pair,low,1990,-0.4756113529426347,-0.4756113529426347,-3.0,B_earlier,114.0,111.0
W113,P-Jw,exploratory_full_pair,low,2019,-0.3959094000366145,-0.3959094000366145,-5.0,B_earlier,115.0,110.0
W113,P-Jw,exploratory_full_pair,low,2001,-0.3917497818615102,-0.3917497818615102,9.0,A_earlier,110.0,119.0
W113,P-Jw,exploratory_full_pair,low,1982,-0.37976298841771144,-0.37976298841771144,-1.0,B_earlier,115.0,114.0
W113,P-Jw,exploratory_full_pair,mid,1992,-0.35850819800711464,-0.35850819800711464,1.0,A_earlier,109.0,110.0
