mode,year,cluster_id,vector,n_valid_objects,missing_objects
anomaly,1984,M,"[-0.2506350439597854, -0.7719850261648561, 0.1936520595433985, -0.6122023180630236, 0.4031808626181023]",5,
anomaly,1985,E1,"[-0.2978599168689258, 0.03327701932579817, 1.1645044330859702, -0.5467205470517724, 0.02860078328470323]",5,
anomaly,1985,E2,"[-0.03299174589290082, 1.872938790804515, 0.29536055479934487, 0.1548935254736305, -0.1608332027153622]",5,
anomaly,1985,M,"[0.5446243747837622, 0.38201779857664236, 0.7981792919975945, -0.6530111129062957, -0.8707655763103924]",5,
anomaly,1986,E1,"[-0.519374536349127, -0.753002896922912, -1.1804141717781282, -0.21844566379086047, -0.8277086953282192]",5,
anomaly,1986,E2,"[-1.1639090231316973, -0.8356491982791235, -0.7065580770849241, -0.746552943459522, -0.645770028327292]",5,
anomaly,1986,M,"[1.1589209274061227, 0.2972639625440485, 0.22671926955578228, -0.10749119361622399, -1.2446608326935744]",5,
anomaly,1987,E1,"[-0.9949779330908433, -0.7679144823015801, -0.2207335690927945, -0.3411979498372576, -0.6580511427486809]",5,
anomaly,1987,E2,"[-1.0688927878360313, -0.520046031366513, -0.8294200460162047, -1.3936986924260992, -0.0058547820983606644]",5,
anomaly,1987,M,"[0.29008563440253726, -0.09154986752886135, -0.9466994471114122, -0.5740416957145857, 0.7698193839337434]",5,
anomaly,1988,E1,"[-0.6075881984280281, -0.28930059844375966, 0.0008573708511198747, -0.6104461874383328, -0.19155008462263118]",5,
anomaly,1988,E2,"[-0.40348609320624557, -0.5069589114068282, -1.0094024666783863, 0.47406360094866923, -0.6382670733012844]",5,
anomaly,1988,M,"[-0.1402889333472586, -0.2897688637751869, -0.7718260230116428, 0.08204535544178189, 0.08302842492319351]",5,
anomaly,1989,E1,"[-0.7535761819519226, -0.5417806445631368, 0.4260969984999084, -0.8278822363057854, 1.3904356717565995]",5,
anomaly,1989,E2,"[-0.6373738582336382, -1.2516695747070938, 0.0683860150421583, 0.4157624135660893, -0.35581270453947456]",5,
anomaly,1989,M,"[0.7259898591843139, -0.2149823156301488, -0.6692324496325313, 1.600258672873232, -0.16486630590742324]",5,
anomaly,1990,E1,"[0.590573498496713, -0.44865871755819065, 1.5186226667806033, 0.11797500844541191, 0.8400182734338233]",5,
anomaly,1990,E2,"[-0.8065921705325673, -0.35762627112965106, -1.0933018260899376, -1.4062884481587599, -0.19660407801380198]",5,
anomaly,1990,M,"[0.038192128378273085, -0.7162983673922637, -0.7194595014102739, -0.2257109796357169, -1.4153420000357317]",5,
anomaly,1991,E1,"[-0.6148212838414149, -1.4114531773983077, 0.2067123871110291, -0.008116088510167676, 1.5575202854672652]",5,
anomaly,1991,E2,"[-1.1393582228395214, 0.03366077304495861, 0.41177975027646624, 0.8010376670842008, 1.3012788314378567]",5,
anomaly,1991,M,"[1.3438639320553456, -0.48697120324545146, -0.12323157408946896, 0.11284553019629512, -0.41461732756856123]",5,
anomaly,1992,E1,"[-1.2061101110799615, -1.4860819382324455, 0.6833045162792688, 0.4777349358011567, -0.9471305401619571]",5,
anomaly,1992,E2,"[-0.6884912109259074, 0.35553050724636504, -0.8269986497401756, -1.7857283410386313, -0.07607838379741819]",5,
anomaly,1992,M,"[-0.8518330536437003, -0.8563871371946367, -0.8609984142866959, -0.8656991957240766, -0.2904665978794694]",5,
anomaly,1993,E1,"[-0.9904022912005831, -1.187799596527061, -0.561036752141354, 1.326383662253217, -0.9777160213611419]",5,
anomaly,1993,E2,"[0.22856772338985704, 0.07204847805487617, -1.0271055991835956, 2.0028064364081875, 1.0952736033131654]",5,
anomaly,1993,M,"[0.5285013778916019, 1.2217412783008954, -0.13107115746548872, 0.09352794481014445, -0.637899453704044]",5,
anomaly,1994,E1,"[-0.27450671317354103, -0.3703607272637911, -0.27748001688619234, -0.1746859537607776, 0.3280012194540257]",5,
anomaly,1994,E2,"[-0.1458105241932237, 0.03809234069882771, -0.06547581654056381, 0.21513833142569777, 0.9959210771832943]",5,
anomaly,1994,M,"[0.45817950291108617, 0.8733984515587198, -0.6827177998978624, -0.6990626610471278, -1.2739760827453637]",5,
anomaly,1995,E1,"[0.33466964802742905, 0.9838545049175328, 0.5607353962149405, 1.8522534706292957, 0.7731691875879493]",5,
anomaly,1995,E2,"[-0.7355697341959349, -0.7046478521366057, -0.8790658839409589, -1.3497200960489222, 0.0917761850692605]",5,
anomaly,1995,M,"[1.5923914817762832, -0.7638095980786113, 0.5099096532269206, 0.4014586096832207, 3.0215019837434007]",5,
anomaly,1996,E1,"[-0.4037529287547532, 0.3206078839328021, 1.853682593402764, -0.1821932414350766, 0.2093230064561747]",5,
anomaly,1996,E2,"[-1.2310588812682506, -0.6560367705833188, -0.6064224384885218, -0.09076284512834876, 1.9352056154191242]",5,
anomaly,1996,M,"[3.210776472735334, 3.0180258505347934, 0.30013890863109666, 1.5629465703826428, 0.33456874650866014]",5,
anomaly,1997,E1,"[0.4960732756477647, 1.9343957819493705, -0.8846630590043538, 0.8922667097572464, -2.8794270079615676]",5,
anomaly,1997,E2,"[-0.623363622842668, 1.0711996598517153, 0.18470132671538508, 1.9680038751927713, -0.8853182390580318]",5,
anomaly,1997,M,"[-0.3456489439707882, -0.3833779951478441, -0.9804351248131106, -2.335516432696988, 0.45688345543833814]",5,
anomaly,1998,E1,"[-0.26013773689803193, 0.8376939350200504, 1.851952782723281, -1.123883659671158, 0.4782367901009442]",5,
anomaly,1998,E2,"[-0.23208822795187417, 1.1544437505964564, 3.6229080204584467, 1.4703423717723063, 0.5519094201390757]",5,
anomaly,1998,M,"[0.19136654079679347, 0.39330770957534383, 1.2021074809894672, -1.574051382977299, 0.6811987334816739]",5,
anomaly,1999,E1,"[0.30418387135026775, -0.44723524446977386, -1.0282855081080473, -0.48571363120800215, 3.0385675611473433]",5,
anomaly,1999,E2,"[1.575328428349929, 1.200923277151018, -0.07117033135878165, 0.15193366418963775, 0.5755980598977433]",5,
anomaly,1999,M,"[-0.059932214068083266, -1.2141354961573085, -0.3401391971773692, -1.1392283545196256, -1.945359451246741]",5,
anomaly,2000,E1,"[-1.049577922218741, -0.8570795218862636, 1.080245975975625, 0.9450251703431827, -0.022816415220187552]",5,
anomaly,2000,E2,"[0.17742323781251876, 1.8173973619778447, 0.23571878961545778, 1.7698378770378518, -1.0029710106743912]",5,
anomaly,2000,M,"[2.1312613153542896, 0.9739170761048043, 1.4592341854202424, 0.9144352809208979, -0.07298622364679828]",5,
anomaly,2001,E1,"[-0.8306392783278909, -0.7357394208921715, -1.1023220648029894, -1.0963462014130465, 0.4327994599207506]",5,
anomaly,2001,E2,"[-0.8307582913880105, -1.1119901015667182, -1.50099193523481, -0.04170738678796716, -0.0829561954136482]",5,
anomaly,2001,M,"[1.5349189016429532, -0.05871567346834675, -1.3520836471915203, 1.2712319104064493, -1.1900156053462616]",5,
anomaly,2002,E1,"[-0.286057404076244, 0.11248395832819837, 1.6717652526011846, -0.3807738587368734, 0.3821661968696311]",5,
anomaly,2002,E2,"[0.05722899658389934, 0.5810994164433677, 1.3264577528722161, -0.38162015874314853, -0.6053158209375565]",5,
anomaly,2002,M,"[-0.27626020712609606, -0.5459877017782807, -0.9542138308415841, -0.9646340611034252, -1.607176170260625]",5,
anomaly,2003,E1,"[0.48358338599018247, 1.0236966107841252, 3.241957862798444, 2.497692888826192, 0.9717300841516264]",5,
anomaly,2003,E2,"[-0.5288810298966228, -0.6843990681276348, -0.2147676844619603, 1.0034599839537495, -0.17621127861958527]",5,
anomaly,2003,M,"[0.6367837428549982, -0.7753287537670607, -1.1641336147881671, -0.752390830038669, 2.1499703020930494]",5,
anomaly,2004,E1,"[-0.581289225760746, -0.30096898630965835, -1.0574989447905865, -0.15303287752143013, -1.0667245607195348]",5,
anomaly,2004,E2,"[-0.6356584172026039, -0.48874229163884936, -0.7836878826599375, 0.7764748004697998, 0.04560436621806334]",5,
anomaly,2004,M,"[0.6411743598616894, 1.4799869888150363, 0.14417513180995814, 1.888860574005574, 0.7035113516522611]",5,
anomaly,2005,E1,"[-0.8165924816200087, -0.6311248576728159, -0.6041115564259663, 1.1310550119144935, 0.28133399412915466]",5,
anomaly,2005,E2,"[-0.7313031835398527, -0.1640203978282183, -0.5563013128693114, -0.6002739811089614, -1.249405575843933]",5,
anomaly,2005,M,"[0.05034917276668921, 1.4348784204153824, -0.8500414957012357, 0.25958098385767125, 0.8916511445077038]",5,
anomaly,2006,E1,"[-1.3453648962429992, -0.4434315560890245, -0.3305179830108325, -0.37742146373246027, 0.37266891075384023]",5,
anomaly,2006,E2,"[-1.1313631304327672, -0.9904442519511573, -0.2073336225173937, -0.5314044197608551, 0.4316133666733504]",5,
anomaly,2006,M,"[2.4923961096391425, 2.49975382453066, 1.0716179748725643, 2.3086006964747936, -1.1399780516123548]",5,
anomaly,2007,E1,"[-1.2819473681811624, -1.0615221241734503, 0.40500115305703, 0.9049084687843975, -1.1200848234870302]",5,
anomaly,2007,E2,"[-0.20424321411292348, -0.20048778273179593, -0.12800880755393118, 0.5570361634843105, -1.350112912296081]",5,
anomaly,2007,M,"[0.14209968877647625, 0.025595969889179993, -0.006653803713073846, -0.4404608970461379, -1.079948197324524]",5,
anomaly,2008,E1,"[-0.027566333977517263, -0.24261436728317, -0.7311999277353143, -2.923339951029707, 0.5160942439769813]",5,
anomaly,2008,E2,"[0.30884224968358676, 0.8065000149063201, 0.3923526961100334, -1.6372539279641942, 0.6195984528927123]",5,
anomaly,2008,M,"[4.644589260989805, 3.8909890426618663, 2.010865427438292, 0.012773760158662226, -1.5920196027242433]",5,
anomaly,2009,E1,"[1.4810592006638907, -0.1438501945021922, -0.13696696157575303, -0.6174098816910041, 1.6405606518497695]",5,
anomaly,2009,E2,"[2.6974018582469728, 3.0718287589417748, 1.0361271786408146, -0.3416444268051523, -0.45510168029379133]",5,
anomaly,2009,M,"[0.3461381586309233, -0.5747158051368824, -0.05447858464439416, 0.7440961101749978, -1.1145864332087425]",5,
anomaly,2010,E1,"[-0.4137109750384329, -0.4779868720038251, 0.17322116579729066, 1.8012659557467006, 0.4369476890272655]",5,
anomaly,2010,E2,"[0.6178794600819514, -0.7389322691634418, -0.6686826264829772, 0.17358778021799456, 0.02847547619794826]",5,
anomaly,2010,M,"[0.5177471036284517, -0.13472037095531256, -0.8939432672118389, -0.4699959877048598, 0.6521987493374031]",5,
anomaly,2011,E1,"[-0.3699857041768543, 0.9335495397098967, 2.400432229228907, 0.38793272728229294, -1.1090322613093382]",5,
anomaly,2011,E2,"[-0.20618582827287665, 0.7057235303196843, -0.967088493432121, 1.0124801716432037, 0.4885616319233422]",5,
anomaly,2011,M,"[0.31405588356480946, -0.6281070779538837, -1.4544746281901446, 0.2480131804406479, 0.38918421707985834]",5,
anomaly,2012,E1,"[-0.28268074151114164, 0.13107303982134907, -0.3524042057149593, -1.2203125065269276, -0.1707596384164699]",5,
anomaly,2012,E2,"[-1.0252611073276814, -0.1941068207748303, 0.33770613297933055, -0.41934919557644257, -0.3213276398057105]",5,
anomaly,2012,M,"[0.11482974483856652, -0.6514632061448586, -0.47953896289526715, -0.39858204480125764, 0.4510943806993726]",5,
anomaly,2013,E1,"[-1.248477399127491, -1.2474444825936546, -0.49350854202739974, 0.18606598219006482, -0.9638659158210668]",5,
anomaly,2013,E2,"[-0.6521827552808309, 0.040121867631712785, 0.49055630186415883, 0.6996686016395498, -1.1707998353256726]",5,
anomaly,2013,M,"[1.0536149670823172, -0.11137644210740401, -1.072951828572943, -0.6761794014985152, 0.36492688937881423]",5,
anomaly,2014,E1,"[-0.6308317042891081, -0.06930449591452648, 0.940059586202281, -0.6027643205307404, -0.1261131363514814]",5,
anomaly,2014,E2,"[-0.18011244000544896, -0.8916454613032679, -0.6606679494325375, 0.4587401730536763, -0.14134996439750658]",5,
anomaly,2014,M,"[0.6066088982103124, 0.3560875024655672, -1.132790819760036, -0.0412696064932155, 1.7594933366701215]",5,
anomaly,2015,E1,"[-0.8407606579094954, -0.3364596132014426, -0.904813505668679, -1.464697401870989, -0.38004320875792746]",5,
anomaly,2015,E2,"[-1.058072789617614, -1.3820748744677678, -1.6595124334988642, -0.735028323740642, 0.02951398656259278]",5,
anomaly,2015,M,"[1.0239697312356866, 0.9808207523632141, 0.5032150583470778, 1.4575105317970498, -0.6473599133389734]",5,
anomaly,2016,E1,"[-0.19428206564514808, 0.9003317897152142, 1.1425065724290724, 1.7335032691914014, 0.25786832007931343]",5,
anomaly,2016,E2,"[-0.4154914068867132, -0.30677438970343907, -0.2764295502131358, -1.0825664767744305, 0.6872435210439142]",5,
anomaly,2016,M,"[-0.6299720138121708, -0.3432858439466862, 0.9921470680915008, -1.318098074536463, 0.2937700081220811]",5,
anomaly,2017,E1,"[-1.2093325358295046, -0.6993882372541358, -0.8191457288605701, 0.792212441497979, -0.2282065148951928]",5,
anomaly,2017,E2,"[-0.9064629797589729, -0.8095624779304532, -0.744507322492623, -1.0207182653222928, -0.2095037792987538]",5,
anomaly,2017,M,"[0.37256815170705554, -0.35656794919834434, -1.0513937256274224, 0.13833432358997258, -0.4057031243740028]",5,
anomaly,2018,E1,"[-0.9058446213879722, -0.7514722785022417, 1.41719812210314, -0.07337256751904732, -0.5496340545870746]",5,
anomaly,2018,E2,"[-0.7974061916275648, -0.8238764601269648, 0.8888573117523904, -0.9943746367428108, -0.6669755728347613]",5,
anomaly,2018,M,"[0.6835441405445487, 1.5151397859508802, 1.8644752000660376, -0.6459344742465323, 0.47281522893594885]",5,
anomaly,2019,E1,"[-0.5323110722282575, -0.816450931421782, 0.11605820524911273, -1.2503365126445083, 0.6814009974725599]",5,
anomaly,2019,E2,"[0.7081918497060719, 0.4023173942041514, -0.5871864469184471, 0.3202958828862437, 2.73309150809112]",5,
anomaly,2019,M,"[-0.3568661849083739, 0.24564679671100845, -0.5463842186548299, 0.5882792640932544, 0.4125415465067906]",5,
anomaly,2020,E1,"[-0.9045704546138578, 0.3567477717922545, 0.642541877814349, 0.5401165396585612, -1.4329565368963026]",5,
anomaly,2020,E2,"[-0.15120492285477968, -0.9858686033343679, 0.7284887567124654, -0.7097523287941122, -0.16913360433354271]",5,
anomaly,2020,M,"[-0.1551439569905313, -0.13693216966950145, -0.524011839325284, 0.7140317287612573, 0.2419674487902665]",5,
anomaly,2021,E1,"[2.0833457749748328, 2.3718434290409567, -0.1568376435639677, -0.29410521487365904, 0.24533325383495927]",5,
anomaly,2021,E2,"[-0.923474101533685, -1.3583304333267194, -0.4086799417788682, -0.5329016122095004, -1.116816528337539]",5,
anomaly,2021,M,"[1.7231358838354098, 2.1124066116752203, 1.526032679127152, 0.09752188734670697, -0.29595982565129625]",5,
anomaly,2022,E1,"[-0.36420399375571677, -0.5187123381050042, 0.13412748830416685, 0.9452736787262213, -0.43380854115276096]",5,
anomaly,2022,E2,"[0.36326874009772187, -0.33273879259740186, -0.8349445705919729, -0.8555219500149824, -1.5483940606774276]",5,
anomaly,2022,M,"[1.8400508298122347, 0.9869037144000095, -0.5860616750218464, -0.4593317940455115, 0.6965384286124097]",5,
anomaly,2023,E1,"[-0.664895170486677, -0.5374517013017275, -0.06456854744189709, 0.7402495891184527, 1.5207758954300274]",5,
anomaly,2023,E2,"[-0.772174225352536, -1.1518484224617964, -0.5624979701622941, -0.36154415714366933, 1.2456176357183066]",5,
anomaly,2023,M,"[-0.40798756642315753, -0.34294997812595707, -0.0027965364637547547, 2.0428011643267694, 1.0568165265880927]",5,
local_background_removed,1979,E1,"[-0.21725579736092454, -0.24775839473868042, -0.5874480560178302, 0.2217643738539582, -1.7464007206114902]",5,
local_background_removed,1979,E2,"[0.4855873429075836, -0.017229657748075108, -0.9463747538265329, -0.7867883888670119, -0.35895521468512503]",5,
local_background_removed,1979,M,"[0.4682648991702451, 0.6555173452270581, 1.0710522618914855, 0.2079299348050238, 1.8582708234048002]",5,
local_background_removed,1980,E1,"[-0.9462431507536228, -0.916260115800248, 1.575552103352196, 0.8236220752482054, -0.8407839244514548]",5,
local_background_removed,1980,E2,"[0.8154946476260778, -0.7040576073938875, -0.8929898010903616, -0.05000289301000053, -1.0679961802764781]",5,
local_background_removed,1980,M,"[3.0845474502646746, 0.8659014864915966, -0.4615536792610221, -0.4842990471928541, -0.4770105398889192]",5,
local_background_removed,1981,E1,"[-0.45641138067793185, 0.5779949548301193, 1.5865239194322127, -0.3121735018735119, -0.21530890116549287]",5,
local_background_removed,1981,E2,"[0.0841022806070543, 0.7856761529860969, 1.6658558191759083, 0.03384446009598274, -1.2098309418175046]",5,
local_background_removed,1981,M,"[0.8904507018131994, 0.30270226019471375, 1.243409381635014, -1.2894624948509068, -0.4690071949836239]",5,
local_background_removed,1982,E1,"[-0.9801610958213262, -0.23572329133268255, 0.47831054540895884, 0.9411360502140126, -1.1541103938628234]",5,
local_background_removed,1982,E2,"[0.18883121404036124, 1.395164126066616, 1.000795236302397, -0.452977354893374, 0.3940103985752299]",5,
local_background_removed,1982,M,"[0.2684626515849227, 0.4312544264866614, 0.5137987868558194, 0.6211667195984594, 1.8477379928402091]",5,
local_background_removed,1983,E1,"[-0.8684548251246349, -0.7922518569417368, -0.08262706606318544, -0.5038714704525354, -0.038745582125401794]",5,
local_background_removed,1983,E2,"[-0.17783479437329075, -1.0604617957072673, -0.7166085899655054, -0.9086787545845784, -1.3235712452511994]",5,
local_background_removed,1983,M,"[0.7640498554851013, 0.19685593394272022, -0.14188102136184316, 0.12897006657798396, -0.2592700880682273]",5,
local_background_removed,1984,E1,"[-1.1818404766619213, -1.5983145367237293, -0.6120222036723489, 0.3689600763440475, -0.4021275944382126]",5,
local_background_removed,1984,E2,"[-0.012270503056592861, -0.7598807025526341, -1.5232549642213151, 0.2003305876994091, -1.1413228454346704]",5,
local_background_removed,1984,M,"[0.198127058124177, -0.37375616462288513, -1.6755066658411968, 1.547717487378277, 0.6902506592458297]",5,
local_background_removed,1985,E1,"[-0.3961485266881533, 0.7206961273271362, -0.1465849527984251, 1.9418570961709412, 0.34148291165703043]",5,
local_background_removed,1985,E2,"[-0.32071953639915296, 1.8695133587946935, -0.2534667390173501, 0.562392888903346, -0.42275886666547924]",5,
local_background_removed,1985,M,"[-0.10514025888538582, -0.542446590257704, 1.2657651079687584, -1.6605332943646434, -1.0712371155662332]",5,
local_background_removed,1986,E1,"[-0.05262429159752423, -0.8494423666060164, -0.3878857146538525, -0.5370822470847771, -1.0735052670131904]",5,
local_background_removed,1986,E2,"[-0.22101967720004023, -0.03913511206758896, -1.3104404051256064, -1.245955782788337, 0.010554089125674479]",5,
local_background_removed,1986,M,"[0.0856826212235388, -0.19106218594669733, -1.3889715430737062, -0.14532175603704664, -1.0709905341432704]",5,
local_background_removed,1987,E1,"[-0.8107553867423068, -0.16513211613221038, -0.22280198100740745, 1.0533177296322918, -0.9500004977801411]",5,
local_background_removed,1987,E2,"[-1.1026743634574334, -0.5429881812542975, 0.2280069705849823, -0.7259458799799774, 0.6077151047770347]",5,
local_background_removed,1987,M,"[-0.492059697316655, -0.5303252413213456, -0.9540466870194478, -0.796002953049722, 0.6681496933214333]",5,
local_background_removed,1988,E1,"[-0.7861498007004294, -0.8021501818845101, -0.7967640900096309, -1.2226647679568288, 0.14860047641885185]",5,
local_background_removed,1988,E2,"[-0.2274401644459914, 0.34751821772339414, 0.4153907685026606, 0.6779998757321154, 0.012219572369900155]",5,
local_background_removed,1988,M,"[0.3147822231929034, -0.3263445774426833, -0.7245415624555387, -0.6114928403607558, 0.28100566659777015]",5,
local_background_removed,1989,E1,"[-0.7479251541452464, -0.8336430935890032, -0.7377403670505097, -0.6913414705515027, 0.017293165867102795]",5,
local_background_removed,1989,E2,"[-0.4942887893679697, -1.2749442100055906, -0.8585969375191775, -0.8543520744957709, -1.3619568372466895]",5,
local_background_removed,1989,M,"[0.3479192670669702, -0.505652407409195, -0.2050852988184892, 1.1993771697661095, 0.3033031144257011]",5,
local_background_removed,1990,E1,"[0.4613658865432999, 0.04556535119586006, 1.7557228789415666, 0.7787655702018895, 0.34572619178311154]",5,
local_background_removed,1990,E2,"[-0.1916435173492367, 0.19746027784888973, -0.13259335800549743, -0.22937949727092644, 0.674620514542552]",5,
local_background_removed,1990,M,"[0.2365760616651395, -0.94603734554957, -0.5841277063111329, 0.36948194699942966, -0.8213834210480706]",5,
local_background_removed,1991,E1,"[-0.9035217875765746, -1.3762984024221596, -0.10254016476063477, 0.07700738335494602, 0.2174656838741409]",5,
local_background_removed,1991,E2,"[-0.10249636777298994, 0.5384859518451155, 1.6567303844263523, -0.10781675555691402, 1.8402674330642645]",5,
local_background_removed,1991,M,"[1.2273793686264292, 1.9444835787325163, -0.16719604215005443, 1.8417952899596168, -0.1290994651254625]",5,
local_background_removed,1992,E1,"[-0.9676098724811426, -1.2667463350810744, -0.2338965044891771, 0.16192806518187952, -0.7790901925922646]",5,
local_background_removed,1992,E2,"[-0.8972498637860599, 0.9488356651489049, -0.06604415228884178, -1.8715120708461763, 0.6770785793661497]",5,
local_background_removed,1992,M,"[-0.23560202036764183, 0.5212747944629432, 1.5865529176576072, 2.4292238784426914, 0.9629275508703664]",5,
local_background_removed,1993,E1,"[-1.199747150192315, -1.135257812790311, -0.9332452213818128, -0.17981236812451243, -0.9121752386836984]",5,
local_background_removed,1993,E2,"[-0.020004175860617254, -0.3416712652469907, -1.1474949218213426, 0.6805158164998649, 0.8767009044047673]",5,
local_background_removed,1993,M,"[0.8861282497074939, 1.7317872436509032, 1.5787313205291507, -0.03776366669846244, -0.7375885966400804]",5,
local_background_removed,1994,E1,"[-0.4111807901048484, -0.914812326526426, -0.10464256718879732, 0.19674809350118805, -0.6402922041981259]",5,
local_background_removed,1994,E2,"[0.6549461469912757, 0.6875163651405394, 0.9607910565310507, 0.2780731651925838, 1.0592559917816393]",5,
local_background_removed,1994,M,"[1.9954318270779061, 1.8664893559331215, 0.14779432216534194, -0.05006616950060379, -1.1768000464707147]",5,
local_background_removed,1995,E1,"[-1.1131096700509109, -0.3915451383661342, -0.5573162030852679, -0.7521005106188232, 0.5691794298993432]",5,
local_background_removed,1995,E2,"[-0.22951509545536322, -0.48625608158280187, -1.0456200512542921, -1.3852051525405147, 1.4950878660809717]",5,
local_background_removed,1995,M,"[2.0280002680652998, -0.7362000605477769, 1.1637937614480491, 0.889220460202446, 1.732685561938002]",5,
local_background_removed,1996,E1,"[-0.17925248086761442, 0.2928842520968819, 0.08559444540210134, -0.7149181333370583, -1.547305811338527]",5,
local_background_removed,1996,E2,"[1.7886698626961242, 1.5568723949959604, -0.12213485918545079, -0.4054431629037684, 2.0560796748317305]",5,
local_background_removed,1996,M,"[3.7695786907435385, 2.796839950416997, -0.508963996435952, -0.019830822138451547, 0.7816463057904118]",5,
local_background_removed,1997,E1,"[0.5650007820359982, 1.940740442574723, -0.41862181392664455, 0.45018338061774116, -1.157170792330747]",5,
local_background_removed,1997,E2,"[-0.276462011902058, 2.942786182579682, 1.7492737924132375, 3.3810359160691643, 0.5013184191112519]",5,
local_background_removed,1997,M,"[0.378687279483057, -0.10655812722475927, -0.7311372597090403, -2.443624338795882, 2.4829894443105083]",5,
local_background_removed,1998,E1,"[-0.367444875755835, -0.1233378069740003, 0.7283104006247484, -0.18720253033689735, 0.9531738180074693]",5,
local_background_removed,1998,E2,"[-0.6855664950372934, -1.3580307536584173, 0.3399027341391941, 1.074667688661271, -0.9050059568258714]",5,
local_background_removed,1998,M,"[0.5504005989857061, -0.6281517866867199, -1.3794988652583322, -1.0100930760054334, 1.6184731490209237]",5,
local_background_removed,1999,E1,"[1.2809511187676188, 1.0437172043564824, -0.00240127745377809, -0.6739182423145774, 0.4303026716885529]",5,
local_background_removed,1999,E2,"[1.3752265981293303, 0.5851034471230828, -0.9006142522116344, 0.05689582577089431, -0.14100890547689449]",5,
local_background_removed,1999,M,"[0.3417027645878203, -0.5119547023320528, -1.109162909314282, -0.922134262773755, -0.8988773970766567]",5,
local_background_removed,2000,E1,"[-0.974085749821305, -1.5661930865794587, -0.7308902132758825, -0.3881668426821872, -0.7172856199229823]",5,
local_background_removed,2000,E2,"[0.40959543181549646, 0.8729012842443368, 0.08708936169245102, -0.9350728690458278, -0.6594810411608646]",5,
local_background_removed,2000,M,"[1.6813020716087375, 0.669718057490351, 1.8799891987901618, 0.7085090769297901, -0.20243278345880528]",5,
local_background_removed,2001,E1,"[-0.90946175498614, -1.0151523958778002, -1.0397801217571505, -0.7200291402915554, -1.085464290098091]",5,
local_background_removed,2001,E2,"[-0.41641155744614605, -0.8547725861176858, -1.6029027519709282, -0.6689917112256069, -0.26474120119463534]",5,
local_background_removed,2001,M,"[0.09449946056722285, -0.9508659786706501, -1.777159250926294, 0.5694738163931076, -1.3687999120739547]",5,
local_background_removed,2002,E1,"[-1.11089667575071, -0.3855089630230112, 1.3043299849211436, 0.26577728712420395, -0.26167556077262066]",5,
local_background_removed,2002,E2,"[-0.38681267840615374, -0.2028284942554165, 0.8221245270547779, 0.44723174656092796, 0.8329790238950449]",5,
local_background_removed,2002,M,"[0.4880796228659128, 0.0163773184367, -0.14803634104671698, -0.42988352650160044, -0.6429392541017693]",5,
local_background_removed,2003,E1,"[0.17864998289604966, 0.9838676458842839, 2.9053706074027876, 1.0841591939485484, 1.1649900271211953]",5,
local_background_removed,2003,E2,"[-0.19112236807375693, -0.2797086561158163, -0.9394112392071797, -0.8750162534152247, -0.31607716233232014]",5,
local_background_removed,2003,M,"[1.8111083316053769, -0.3068328618019021, -0.20637912988861581, 0.8185007237954671, 1.702949864013176]",5,
