mode,year,cluster_k2,cluster_k3,cluster_k4,trajectory_vector_norm,dominant_E1_object,dominant_E2_object,dominant_M_object,trajectory_type_hint,clustering_backend
local_background_removed,1989,2,2,3,3.0688748824280774,Jw,P,Je,jet_entry_or_jet_dominant_candidate,scipy_ward
local_background_removed,1990,2,3,4,2.593814607129278,H,Jw,Je,H_pre_strong_candidate,scipy_ward
local_background_removed,1991,1,1,1,4.235803266287392,Jw,Jw,V,P_V_dominated_candidate,scipy_ward
local_background_removed,1992,2,2,3,4.309555667268974,Je,V,Je,jet_entry_or_jet_dominant_candidate,scipy_ward
local_background_removed,1993,1,1,1,3.735144245997377,Je,Jw,V,P_V_dominated_candidate,scipy_ward
local_background_removed,1994,1,1,1,3.655738591442332,Je,Jw,P,P_V_dominated_candidate,scipy_ward
local_background_removed,1995,2,2,3,4.234521318057624,Jw,Jw,P,P_V_dominated_candidate,scipy_ward
local_background_removed,1996,1,1,1,5.996907892674179,V,Jw,P,P_V_dominated_candidate,scipy_ward
local_background_removed,1997,2,3,4,6.489038014046281,V,Je,Jw,jet_entry_or_jet_dominant_candidate,scipy_ward
local_background_removed,1998,2,3,4,3.5026067872872,Jw,Je,Jw,jet_entry_or_jet_dominant_candidate,scipy_ward
local_background_removed,1999,2,3,4,3.1152443196837942,P,P,P,P_V_dominated_candidate,scipy_ward
local_background_removed,2000,1,1,1,3.768339833324687,Je,V,H,mixed_or_weakly_organized_candidate,scipy_ward
local_background_removed,2001,2,2,3,3.859498303194293,Je,Jw,Je,jet_entry_or_jet_dominant_candidate,scipy_ward
local_background_removed,2002,2,3,4,2.4170632712692894,H,Jw,P,H_pre_strong_candidate,scipy_ward
local_background_removed,2003,2,3,4,4.563260111624726,H,P,P,H_pre_strong_candidate,scipy_ward
local_background_removed,2004,2,2,3,4.275314412730927,Je,Jw,Jw,jet_entry_or_jet_dominant_candidate,scipy_ward
local_background_removed,2005,2,3,4,2.97698062801243,Je,H,Jw,H_pre_strong_candidate,scipy_ward
local_background_removed,2006,1,1,1,5.8349313941033705,V,V,V,P_V_dominated_candidate,scipy_ward
local_background_removed,2007,2,3,4,2.806447157607832,Je,Je,Jw,jet_entry_or_jet_dominant_candidate,scipy_ward
local_background_removed,2008,1,1,1,5.69647237320831,P,Jw,P,P_V_dominated_candidate,scipy_ward
local_background_removed,2009,1,1,2,6.7572539915080805,Jw,V,H,mixed_or_weakly_organized_candidate,scipy_ward
local_background_removed,2010,2,3,4,2.384077791240318,H,P,P,H_pre_strong_candidate,scipy_ward
local_background_removed,2011,2,3,4,4.0458866218695855,H,H,P,H_pre_strong_candidate,scipy_ward
local_background_removed,2012,2,3,4,2.7447367397653886,Jw,V,V,P_V_dominated_candidate,scipy_ward
local_background_removed,2013,2,3,4,2.933195958944484,H,H,Jw,H_pre_strong_candidate,scipy_ward
local_background_removed,2014,2,3,4,3.0875959591376425,H,H,Jw,H_pre_strong_candidate,scipy_ward
local_background_removed,2015,2,2,3,3.461358738129257,Je,Jw,Je,jet_entry_or_jet_dominant_candidate,scipy_ward
local_background_removed,2016,2,3,4,3.5105667404317704,H,Jw,V,H_pre_strong_candidate,scipy_ward
local_background_removed,2017,2,3,4,3.321735923221714,Je,H,P,H_pre_strong_candidate,scipy_ward
local_background_removed,2018,2,3,4,3.019776772332856,Jw,Jw,V,P_V_dominated_candidate,scipy_ward
local_background_removed,2019,2,3,4,3.3598717730579843,Jw,Jw,Je,jet_entry_or_jet_dominant_candidate,scipy_ward
local_background_removed,2020,2,3,4,2.998825679246656,Jw,H,Je,H_pre_strong_candidate,scipy_ward
local_background_removed,2021,2,3,4,3.6965720447950248,P,H,Jw,H_pre_strong_candidate,scipy_ward
local_background_removed,2022,2,2,3,4.074321200762753,Jw,P,Jw,jet_entry_or_jet_dominant_candidate,scipy_ward
local_background_removed,2023,2,2,3,4.440228618004208,Jw,Jw,Je,jet_entry_or_jet_dominant_candidate,scipy_ward
raw,1979,2,3,4,3.8013373890340647,Je,Je,Jw,jet_entry_or_jet_dominant_candidate,scipy_ward
raw,1980,2,3,4,3.9332063277563214,Jw,Je,P,P_V_dominated_candidate,scipy_ward
raw,1981,2,3,4,4.3579584513491225,Je,H,P,H_pre_strong_candidate,scipy_ward
raw,1982,2,3,3,4.140974181241085,Je,V,H,mixed_or_weakly_organized_candidate,scipy_ward
raw,1983,1,1,1,4.760935543656904,V,H,P,H_pre_strong_candidate,scipy_ward
raw,1984,2,2,2,3.6574380942359745,Jw,P,P,P_V_dominated_candidate,scipy_ward
raw,1985,2,3,3,4.682376882410284,Je,V,H,mixed_or_weakly_organized_candidate,scipy_ward
raw,1986,2,3,4,3.183169073117571,Je,H,P,H_pre_strong_candidate,scipy_ward
raw,1987,2,3,4,3.1435321078401572,Je,H,H,H_pre_strong_candidate,scipy_ward
raw,1988,2,3,3,2.998749062680409,Jw,V,H,mixed_or_weakly_organized_candidate,scipy_ward
raw,1989,2,2,2,3.9333024974915696,Jw,Je,Je,jet_entry_or_jet_dominant_candidate,scipy_ward
raw,1990,2,2,2,3.6472328716355764,Jw,H,H,H_pre_strong_candidate,scipy_ward
raw,1991,2,2,2,3.6813929073909417,Jw,Jw,H,mixed_or_weakly_organized_candidate,scipy_ward
raw,1992,2,3,3,3.2893728412081678,Je,V,P,P_V_dominated_candidate,scipy_ward
raw,1993,2,3,3,3.9093755395718457,Je,V,H,mixed_or_weakly_organized_candidate,scipy_ward
raw,1994,2,2,2,2.419880196959279,Jw,Jw,H,mixed_or_weakly_organized_candidate,scipy_ward
raw,1995,1,1,1,4.326525000047861,Je,Jw,Jw,jet_entry_or_jet_dominant_candidate,scipy_ward
raw,1996,2,2,2,4.104013796739737,Je,Jw,P,P_V_dominated_candidate,scipy_ward
raw,1997,2,3,3,4.242825133923936,Je,V,Jw,jet_entry_or_jet_dominant_candidate,scipy_ward
raw,1998,1,1,1,5.274674597942611,V,H,H,H_pre_strong_candidate,scipy_ward
raw,1999,2,2,2,3.5585407211603584,Jw,P,P,P_V_dominated_candidate,scipy_ward
raw,2000,2,2,2,4.169658542607449,Je,Je,P,P_V_dominated_candidate,scipy_ward
raw,2001,2,2,2,3.1385728397222947,Jw,Je,P,P_V_dominated_candidate,scipy_ward
raw,2002,2,3,4,2.6910521368182607,H,H,P,H_pre_strong_candidate,scipy_ward
raw,2003,1,1,1,3.310339261565392,H,H,Jw,H_pre_strong_candidate,scipy_ward
raw,2004,2,3,4,4.1248861516415545,Je,V,V,P_V_dominated_candidate,scipy_ward
raw,2005,2,3,3,4.147225897933224,Je,V,V,P_V_dominated_candidate,scipy_ward
raw,2006,2,3,4,4.319379420190214,Jw,H,P,H_pre_strong_candidate,scipy_ward
raw,2007,2,3,4,4.329041754018804,Je,Je,H,mixed_or_weakly_organized_candidate,scipy_ward
raw,2008,2,2,2,5.110207413999245,Jw,Jw,P,P_V_dominated_candidate,scipy_ward
raw,2009,2,2,2,3.722026437978957,Jw,P,H,mixed_or_weakly_organized_candidate,scipy_ward
raw,2010,2,3,4,2.2293300966183898,Je,Je,H,mixed_or_weakly_organized_candidate,scipy_ward
raw,2011,2,3,3,4.341349612549993,Je,V,H,mixed_or_weakly_organized_candidate,scipy_ward
raw,2012,2,2,2,2.496097719400183,Jw,Jw,P,P_V_dominated_candidate,scipy_ward
raw,2013,2,3,4,3.6943661217876786,Je,Je,P,P_V_dominated_candidate,scipy_ward
raw,2014,2,3,4,3.664500885195093,Je,Je,Jw,jet_entry_or_jet_dominant_candidate,scipy_ward
raw,2015,2,3,4,3.655786603033711,Jw,H,H,H_pre_strong_candidate,scipy_ward
raw,2016,1,1,1,4.65712292269298,V,V,H,mixed_or_weakly_organized_candidate,scipy_ward
raw,2017,2,3,4,3.182109472391393,Je,H,P,H_pre_strong_candidate,scipy_ward
raw,2018,1,1,1,4.836423136114347,Jw,H,H,H_pre_strong_candidate,scipy_ward
raw,2019,1,1,1,2.614365628283984,H,Jw,H,H_pre_strong_candidate,scipy_ward
raw,2020,2,3,4,4.308124178103993,Je,H,V,H_pre_strong_candidate,scipy_ward
raw,2021,2,3,4,4.762795110673043,Jw,H,V,H_pre_strong_candidate,scipy_ward
raw,2022,2,3,4,3.7029461823348275,Jw,H,P,H_pre_strong_candidate,scipy_ward
raw,2023,1,1,1,3.021527272183997,Jw,Jw,Jw,jet_entry_or_jet_dominant_candidate,scipy_ward
