window,variable,surrogate_mode,n_years,n_days,n_finite,n_pair_for_phi,nan_fraction,mu,raw_phi_before_clip,phi,phi_after_clip,phi_clip_limit,phi_clipped_flag,phi_clip_amount,phi_clip_direction,phi_clip_severity,sigma,stationary_std,ar1_estimation_scope
S2,P_total_centroid_lat_10_50,pooled_window_variable_ar1,45,46,2070,2025,0.0,-1.441680913136435e-16,0.9593329139048284,0.95,0.95,0.95,True,0.009332913904828488,upper,minor,0.5747155235777659,1.8405627150726331,window_variable_pooled_across_years
S2,V_strength,pooled_window_variable_ar1,45,46,2070,2025,0.0,1.2357264969740873e-16,0.9656633142669052,0.95,0.95,0.95,True,0.01566331426690526,upper,moderate,0.25207619232427075,0.8072899059020309,window_variable_pooled_across_years
S2,V_pos_centroid_lat,pooled_window_variable_ar1,45,46,2070,2025,0.0,2.7460588821646383e-16,0.936095241145218,0.936095241145218,0.936095241145218,0.95,False,0.0,none,none,0.6135254398547698,1.7442254401786257,window_variable_pooled_across_years
S2,V_NS_diff,pooled_window_variable_ar1,45,46,2070,2025,0.0,-4.3936942114634213e-16,0.9699636563428998,0.95,0.95,0.95,True,0.01996365634289987,upper,moderate,18.42816955339464,59.017375371844004,window_variable_pooled_across_years
S2,H_strength,pooled_window_variable_ar1,45,46,2070,2025,0.0,-2.126547998348296e-13,0.988429572638517,0.95,0.95,0.95,True,0.038429572638517095,upper,severe,2.055352956011514,6.582397485279043,window_variable_pooled_across_years
S2,H_centroid_lat,pooled_window_variable_ar1,45,46,2070,2025,0.0,-7.208404565682176e-16,0.9680825348902248,0.95,0.95,0.95,True,0.018082534890224822,upper,moderate,0.6226276381239975,1.9940042840163517,window_variable_pooled_across_years
S2,H_west_extent_lon,pooled_window_variable_ar1,45,46,2070,2025,0.0,1.7300170957637223e-15,0.8937571749137324,0.8937571749137324,0.8937571749137324,0.95,False,0.0,none,none,2.5063809944214412,5.58772646258909,window_variable_pooled_across_years
S2,H_zonal_width,pooled_window_variable_ar1,45,46,2070,2025,0.0,-5.4921177643292767e-17,0.701338209698132,0.701338209698132,0.701338209698132,0.95,False,0.0,none,none,2.798176660253201,3.925454699267281,window_variable_pooled_across_years
S2,Je_strength,pooled_window_variable_ar1,45,46,2070,2025,0.0,5.492117764329277e-16,0.9669918608454018,0.95,0.95,0.95,True,0.01699186084540183,upper,moderate,1.638528208645591,5.247489940159501,window_variable_pooled_across_years
S2,Je_axis_lat,pooled_window_variable_ar1,45,46,2070,2025,0.0,3.432573602705798e-16,0.9096425302301246,0.9096425302301246,0.9096425302301246,0.95,False,0.0,none,none,1.1075125116651368,2.666186784508307,window_variable_pooled_across_years
