window,source,target,source_family,target_family,sample_status,main_surrogate_mode,audit_surrogate_mode,T_pos_obs,T_pos_main_null95,p_pos_main_surrogate,T_pos_audit_null90,T_pos_audit_null95,T_pos_audit_null99,p_pos_audit_surrogate,audit_strength_excess,audit_strength_ratio,delta_p_audit_minus_main,delta_null95_audit_minus_main,q_pos_audit_global,q_pos_audit_within_window,main_p_supported,audit_p_supported,audit_support_shift
T3,P_north_minus_main_35_45,Je_strength,P,Je,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.04856698407937474,0.2674740819451565,0.8251748251748252,0.21857699276665274,0.25572714566982246,0.32895438093962365,0.7822177822177823,-0.20716016159044773,0.18991720238445525,-0.042957042957042946,-0.011746936275334019,0.8614651141468782,0.8279143536875496,False,False,same_p_support_flag
T3,P_north_minus_main_35_45,Je_axis_lat,P,Je,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.13812245845593768,0.2587656338358136,0.3386613386613387,0.24700215287407623,0.29035398517388783,0.35196137391561005,0.41858141858141856,-0.15223152671795015,0.4757036772655922,0.07992007992007988,0.03158835133807425,0.6087658406651061,0.5968660968660968,False,False,same_p_support_flag
T3,P_north_minus_main_35_45,Je_meridional_width,P,Je,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.06586528009200004,0.10037891336430826,0.24575424575424576,0.10343175142292649,0.1216295544077824,0.16107544099166726,0.3436563436563437,-0.05576427431578236,0.5415236486945947,0.09790209790209792,0.02125064104347414,0.5532028946663093,0.5345765345765346,False,False,same_p_support_flag
T3,P_north_minus_main_35_45,Jw_strength,P,Jw,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.2988151953490937,0.25954840541008584,0.01998001998001998,0.21742978796088946,0.24565565839560954,0.3147390041346906,0.017982017982017984,0.05315953695348413,1.2163985853233423,-0.0019980019980019963,-0.013892747014476292,0.12069286645557833,0.18858560794044663,True,True,same_p_support_flag
T3,P_north_minus_main_35_45,Jw_axis_lat,P,Jw,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.0926433172941968,0.2543926280717626,0.5484515484515484,0.2143971205797764,0.2475958902879363,0.3111190298810847,0.5294705294705294,-0.1549525729937395,0.37417146620026387,-0.018981018981019004,-0.0067967377838263066,0.6832831972496777,0.6683480453972257,False,False,same_p_support_flag
T3,P_north_minus_main_35_45,Jw_meridional_width,P,Jw,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.05861398592378647,0.10407494245989213,0.3086913086913087,0.08053432294951977,0.09246611514912143,0.11345063738225894,0.24275724275724275,-0.033852129225334954,0.6338969235298667,-0.06593406593406592,-0.011608827310770703,0.47222672064777327,0.4951604686704025,False,False,same_p_support_flag
T3,P_total_centroid_lat_10_50,V_strength,P,V,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.09519527595947933,0.26850558083821374,0.5754245754245755,0.27894556798531683,0.3099356507460278,0.3558613547478432,0.7062937062937062,-0.21474037478654848,0.3071452920318795,0.13086913086913077,0.04143006990781406,0.8050354251012145,0.7714129841789416,False,False,same_p_support_flag
T3,P_total_centroid_lat_10_50,V_pos_centroid_lat,P,V,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.3622418533782216,0.271499865795784,0.005994005994005994,0.27951922649479305,0.32411970780102195,0.3941160096003103,0.027972027972027972,0.03812214557719967,1.1176174871803937,0.021978021978021976,0.05261984200523795,0.158890290037831,0.20512820512820515,True,True,same_p_support_flag
T3,P_total_centroid_lat_10_50,V_NS_diff,P,V,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.2768113520270222,0.2643513903415644,0.04195804195804196,0.301756143923,0.3390798508542545,0.4296784658739327,0.14785214785214784,-0.062268498827232344,0.8163603685964903,0.10589410589410589,0.07472846051269011,0.3665886885922664,0.3826761473820297,True,False,audit_more_conservative
T3,P_total_centroid_lat_10_50,H_strength,P,H,ok,pooled_window_variable_ar1,pooled_phi_yearwise_scale_ar1,0.28093618523158564,0.26905882816045107,0.04595404595404595,0.233286556729823,0.2685647403795824,0.35186183349098543,0.03696303696303696,0.012371444852003255,1.0460650375567462,-0.008991008991008992,-0.0004940877808686794,0.1797570850202429,0.21893491124260353,True,True,same_p_support_flag
