window,year,variable,audit_surrogate_mode,year_n_finite,year_nan_fraction,year_mean,year_std,pooled_raw_phi_before_clip,pooled_phi_used,pooled_phi_clip_amount,pooled_phi_clip_severity,fallback_to_pooled_scale
S5,2007,V_NS_diff,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-62.416530289133505,61.76438232370334,0.970408705181786,0.95,0.020408705181786058,moderate,False
S5,2008,V_NS_diff,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,5.16133977820298,56.63808668930698,0.970408705181786,0.95,0.020408705181786058,moderate,False
S5,2009,V_NS_diff,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-34.05243238070491,68.90969959456719,0.970408705181786,0.95,0.020408705181786058,moderate,False
S5,2010,V_NS_diff,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,92.10115371513379,41.388158227513834,0.970408705181786,0.95,0.020408705181786058,moderate,False
S5,2011,V_NS_diff,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-20.597214904066348,40.729515863882625,0.970408705181786,0.95,0.020408705181786058,moderate,False
S5,2012,V_NS_diff,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-7.666863561634792,60.00574978920144,0.970408705181786,0.95,0.020408705181786058,moderate,False
S5,2013,V_NS_diff,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-30.339068959112907,36.87463268253069,0.970408705181786,0.95,0.020408705181786058,moderate,False
S5,2014,V_NS_diff,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,67.9564086098603,23.14758910587306,0.970408705181786,0.95,0.020408705181786058,moderate,False
S5,2015,V_NS_diff,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,18.01968238129945,52.23391146596498,0.970408705181786,0.95,0.020408705181786058,moderate,False
S5,2016,V_NS_diff,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-12.545189026774956,29.17178940613635,0.970408705181786,0.95,0.020408705181786058,moderate,False
S5,2017,V_NS_diff,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,58.8875250002558,67.36298321326977,0.970408705181786,0.95,0.020408705181786058,moderate,False
S5,2018,V_NS_diff,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,11.550190807234285,67.97653281472866,0.970408705181786,0.95,0.020408705181786058,moderate,False
S5,2019,V_NS_diff,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-108.33314243828401,103.72397718660575,0.970408705181786,0.95,0.020408705181786058,moderate,False
S5,2020,V_NS_diff,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,55.370552944955314,71.69397082797961,0.970408705181786,0.95,0.020408705181786058,moderate,False
S5,2021,V_NS_diff,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,67.48686742449613,56.797368314590074,0.970408705181786,0.95,0.020408705181786058,moderate,False
S5,2022,V_NS_diff,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-114.24098428478402,62.18881811469473,0.970408705181786,0.95,0.020408705181786058,moderate,False
S5,2023,V_NS_diff,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,47.227867969688965,92.15463371512031,0.970408705181786,0.95,0.020408705181786058,moderate,False
S5,1979,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-1.8500673804415055,7.86824765943766,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,1980,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-1.4629429655646897,14.470871572821514,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,1981,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-3.1861958541454443,5.777071292864001,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,1982,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-10.978498512232145,5.1927064496153355,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,1983,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,2.6585332962984465,9.34908076863107,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,1984,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-10.547801214758838,9.523710009414096,0.9704847852501125,0.95,0.020484785250112547,moderate,False
S5,1985,H_strength,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,12.38760983176693,6.489595703528653,0.9704847852501125,0.95,0.020484785250112547,moderate,False
