window,source_family,target_family,n_total_pairs,n_main_yes,n_audit_stable_yes,n_tier1,n_tier2,n_tier3,n_ambiguous,n_reverse,n_same_day_only,tier1_fraction,audit_stable_fraction_among_main_yes,same_day_coupling_fraction,high_persistence_risk_fraction
S2,V,H,12,5,5,5,0,0,3,2,1,0.4166666666666667,1.0,0.75,0.8333333333333334
S2,V,Je,9,1,1,1,0,0,1,0,0,0.1111111111111111,1.0,0.2222222222222222,0.7777777777777778
S2,V,Jw,9,2,2,2,0,0,4,0,0,0.2222222222222222,1.0,0.3333333333333333,0.7777777777777778
S2,V,P,21,13,13,13,0,0,7,0,0,0.6190476190476191,1.0,0.9523809523809523,0.7142857142857143
S3,H,Je,12,0,0,0,0,0,2,1,1,0.0,,0.3333333333333333,0.6666666666666666
S3,H,Jw,12,0,0,0,0,0,2,0,0,0.0,,0.08333333333333333,0.6666666666666666
S3,H,P,28,6,1,1,2,3,11,0,0,0.03571428571428571,0.16666666666666666,0.5,1.0
S3,H,V,12,3,0,0,0,3,3,1,2,0.0,0.0,0.75,1.0
S3,Je,H,12,2,1,1,0,1,1,0,1,0.08333333333333333,0.5,0.3333333333333333,0.6666666666666666
S3,Je,Jw,9,0,0,0,0,0,2,1,1,0.0,,0.4444444444444444,0.5555555555555556
S3,Je,P,21,1,0,0,1,0,3,0,0,0.0,0.0,0.19047619047619047,1.0
S3,Je,V,9,0,0,0,0,0,0,0,0,0.0,,0.0,1.0
S3,Jw,H,12,0,0,0,0,0,1,0,0,0.0,,0.08333333333333333,0.6666666666666666
S3,Jw,Je,9,2,2,2,0,0,3,0,1,0.2222222222222222,1.0,0.4444444444444444,0.5555555555555556
S3,Jw,P,21,3,2,2,0,1,6,0,0,0.09523809523809523,0.6666666666666666,0.2857142857142857,1.0
S3,Jw,V,9,0,0,0,0,0,0,0,0,0.0,,0.0,1.0
S3,P,H,28,0,0,0,0,0,8,2,4,0.0,,0.5,1.0
S3,P,Je,21,0,0,0,0,0,3,2,0,0.0,,0.19047619047619047,1.0
S3,P,Jw,21,1,0,0,0,1,2,0,3,0.0,0.0,0.2857142857142857,1.0
S3,P,V,21,2,2,2,0,0,5,9,1,0.09523809523809523,1.0,0.8095238095238095,1.0
S3,V,H,12,5,4,4,1,0,4,1,0,0.3333333333333333,0.8,0.75,1.0
S3,V,Je,9,0,0,0,0,0,0,0,0,0.0,,0.0,1.0
S3,V,Jw,9,0,0,0,0,0,0,0,0,0.0,,0.0,1.0
S3,V,P,21,12,10,10,2,0,4,1,0,0.47619047619047616,0.8333333333333334,0.8095238095238095,1.0
S4,H,Je,12,0,0,0,0,0,6,0,0,0.0,,0.5,0.5
S4,H,Jw,12,1,0,0,1,0,0,0,1,0.0,0.0,0.16666666666666666,0.5
S4,H,P,28,4,2,2,2,0,4,0,1,0.07142857142857142,0.5,0.2857142857142857,0.7857142857142857
S4,H,V,12,4,1,1,2,1,3,0,0,0.08333333333333333,0.25,0.5,1.0
S4,Je,H,12,0,0,0,0,0,4,1,1,0.0,,0.5,0.5
S4,Je,Jw,9,0,0,0,0,0,0,1,0,0.0,,0.1111111111111111,0.5555555555555556
S4,Je,P,21,1,0,0,1,0,5,0,1,0.0,0.0,0.23809523809523808,0.8095238095238095
S4,Je,V,9,0,0,0,0,0,4,0,0,0.0,,0.3333333333333333,1.0
S4,Jw,H,12,0,0,0,0,0,1,0,1,0.0,,0.16666666666666666,0.5
S4,Jw,Je,9,2,1,1,1,0,0,0,0,0.1111111111111111,0.5,0.1111111111111111,0.5555555555555556
S4,Jw,P,21,0,0,0,0,0,5,0,1,0.0,,0.2857142857142857,0.8095238095238095
S4,Jw,V,9,0,0,0,0,0,2,0,1,0.0,,0.3333333333333333,1.0
S4,P,H,28,0,0,0,0,0,6,3,0,0.0,,0.2857142857142857,0.7857142857142857
S4,P,Je,21,0,0,0,0,0,7,0,1,0.0,,0.23809523809523808,0.8095238095238095
S4,P,Jw,21,0,0,0,0,0,6,0,0,0.0,,0.2857142857142857,0.8095238095238095
S4,P,V,21,1,1,1,0,0,3,5,1,0.047619047619047616,1.0,0.47619047619047616,1.0
S4,V,H,12,1,1,1,0,0,3,1,2,0.08333333333333333,1.0,0.5,1.0
S4,V,Je,9,0,0,0,0,0,3,0,0,0.0,,0.3333333333333333,1.0
S4,V,Jw,9,0,0,0,0,0,3,0,0,0.0,,0.3333333333333333,1.0
S4,V,P,21,8,4,4,0,4,5,1,0,0.19047619047619047,0.5,0.47619047619047616,1.0
S5,H,Je,12,1,0,0,1,0,4,0,2,0.0,0.0,0.5,0.5
S5,H,Jw,12,0,0,0,0,0,4,0,1,0.0,,0.3333333333333333,0.5
S5,H,P,28,0,0,0,0,0,5,0,1,0.0,,0.10714285714285714,0.5714285714285714
S5,H,V,12,3,0,0,2,1,2,0,0,0.0,0.0,0.25,0.75
S5,Je,H,12,0,0,0,0,0,4,2,0,0.0,,0.5,0.5
S5,Je,Jw,9,0,0,0,0,0,2,0,0,0.0,,0.2222222222222222,0.5555555555555556
S5,Je,P,21,0,0,0,0,0,1,1,1,0.0,,0.14285714285714285,0.6190476190476191
S5,Je,V,9,0,0,0,0,0,0,0,0,0.0,,0.0,0.7777777777777778
S5,Jw,H,12,1,0,0,1,0,3,0,1,0.0,0.0,0.3333333333333333,0.5
S5,Jw,Je,9,0,0,0,0,0,2,0,0,0.0,,0.2222222222222222,0.5555555555555556
S5,Jw,P,21,0,0,0,0,0,3,0,0,0.0,,0.14285714285714285,0.6190476190476191
S5,Jw,V,9,0,0,0,0,0,3,0,3,0.0,,0.6666666666666666,0.7777777777777778
S5,P,H,28,0,0,0,0,0,2,0,1,0.0,,0.10714285714285714,0.5714285714285714
S5,P,Je,21,0,0,0,0,0,4,0,0,0.0,,0.14285714285714285,0.6190476190476191
S5,P,Jw,21,0,0,0,0,0,3,0,0,0.0,,0.14285714285714285,0.6190476190476191
S5,P,V,21,0,0,0,0,0,6,6,4,0.0,,0.7619047619047619,0.8095238095238095
S5,V,H,12,0,0,0,0,0,5,1,0,0.0,,0.25,0.75
S5,V,Je,9,0,0,0,0,0,1,0,0,0.0,,0.0,0.7777777777777778
S5,V,Jw,9,2,0,0,2,0,5,0,2,0.0,0.0,0.6666666666666666,0.7777777777777778
S5,V,P,21,13,0,0,9,4,3,0,0,0.0,0.0,0.7619047619047619,0.8095238095238095
T1,H,Je,12,0,0,0,0,0,3,0,0,0.0,,0.25,0.5
T1,H,Jw,12,0,0,0,0,0,0,0,2,0.0,,0.16666666666666666,0.6666666666666666
T1,H,P,28,3,0,0,0,3,4,6,2,0.0,0.0,0.5,0.6428571428571429
T1,H,V,12,2,0,0,0,2,4,0,1,0.0,0.0,0.5833333333333334,0.8333333333333334
T1,Je,H,12,0,0,0,0,0,3,0,0,0.0,,0.25,0.5
T1,Je,Jw,9,0,0,0,0,0,1,0,3,0.0,,0.4444444444444444,0.3333333333333333
T1,Je,P,21,1,0,0,1,0,9,0,4,0.0,0.0,0.47619047619047616,0.2857142857142857
T1,Je,V,9,0,0,0,0,0,2,1,2,0.0,,0.5555555555555556,0.6666666666666666
T1,Jw,H,12,1,0,0,0,1,0,0,1,0.0,0.0,0.16666666666666666,0.6666666666666666
T1,Jw,Je,9,2,1,1,1,0,2,0,1,0.1111111111111111,0.5,0.4444444444444444,0.3333333333333333
T1,Jw,P,21,0,0,0,0,0,0,0,1,0.0,,0.047619047619047616,0.5238095238095238
T1,Jw,V,9,0,0,0,0,0,0,0,0,0.0,,0.0,0.7777777777777778
T1,P,H,28,0,0,0,0,0,13,0,1,0.0,,0.5,0.6428571428571429
T1,P,Je,21,3,0,0,2,1,5,0,2,0.0,0.0,0.47619047619047616,0.2857142857142857
T1,P,Jw,21,0,0,0,0,0,1,0,1,0.0,,0.047619047619047616,0.5238095238095238
T1,P,V,21,0,0,0,0,0,8,8,2,0.0,,0.8571428571428571,0.7619047619047619
T1,V,H,12,1,0,0,1,0,2,1,4,0.0,0.0,0.5833333333333334,0.8333333333333334
T1,V,Je,9,2,0,0,1,1,3,0,1,0.0,0.0,0.5555555555555556,0.6666666666666666
T1,V,Jw,9,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.7777777777777778
T1,V,P,21,9,9,9,0,0,8,1,0,0.42857142857142855,1.0,0.8571428571428571,0.7619047619047619
T2,H,Je,12,0,0,0,0,0,2,0,2,0.0,,0.3333333333333333,0.6666666666666666
T2,H,Jw,12,0,0,0,0,0,2,0,1,0.0,,0.25,0.6666666666666666
T2,H,P,28,6,2,2,0,4,10,0,0,0.07142857142857142,0.3333333333333333,0.39285714285714285,0.9285714285714286
T2,H,V,12,6,1,1,0,5,1,0,1,0.08333333333333333,0.16666666666666666,0.5,1.0
T2,Je,H,12,1,0,0,0,1,0,1,2,0.0,0.0,0.3333333333333333,0.6666666666666666
T2,Je,Jw,9,1,0,0,0,1,1,0,0,0.0,0.0,0.1111111111111111,0.5555555555555556
T2,Je,P,21,0,0,0,0,0,5,1,0,0.0,,0.23809523809523808,0.9047619047619048
T2,Je,V,9,0,0,0,0,0,0,0,0,0.0,,0.0,1.0
T2,Jw,H,12,0,0,0,0,0,1,0,2,0.0,,0.25,0.6666666666666666
T2,Jw,Je,9,0,0,0,0,0,1,0,0,0.0,,0.1111111111111111,0.5555555555555556
T2,Jw,P,21,0,0,0,0,0,4,0,1,0.0,,0.14285714285714285,0.9047619047619048
T2,Jw,V,9,0,0,0,0,0,0,0,0,0.0,,0.0,1.0
T2,P,H,28,0,0,0,0,0,9,1,3,0.0,,0.39285714285714285,0.9285714285714286
T2,P,Je,21,0,0,0,0,0,5,0,1,0.0,,0.23809523809523808,0.9047619047619048
T2,P,Jw,21,0,0,0,0,0,2,0,2,0.0,,0.14285714285714285,0.9047619047619048
T2,P,V,21,0,0,0,0,0,7,11,1,0.0,,0.9047619047619048,1.0
T2,V,H,12,0,0,0,0,0,4,2,2,0.0,,0.5,1.0
T2,V,Je,9,0,0,0,0,0,0,0,0,0.0,,0.0,1.0
T2,V,Jw,9,0,0,0,0,0,0,0,0,0.0,,0.0,1.0
T2,V,P,21,15,4,4,0,11,4,0,0,0.19047619047619047,0.26666666666666666,0.9047619047619048,1.0
T3,H,Je,12,0,0,0,0,0,1,1,0,0.0,,0.16666666666666666,0.6666666666666666
T3,H,Jw,12,1,0,0,1,0,4,0,1,0.0,0.0,0.25,0.6666666666666666
T3,H,P,28,8,5,5,3,0,8,0,1,0.17857142857142858,0.625,0.5714285714285714,0.8571428571428571
T3,H,V,12,0,0,0,0,0,3,0,0,0.0,,0.16666666666666666,1.0
T3,Je,H,12,0,0,0,0,0,2,0,0,0.0,,0.16666666666666666,0.6666666666666666
T3,Je,Jw,9,0,0,0,0,0,1,0,1,0.0,,0.2222222222222222,0.5555555555555556
T3,Je,P,21,2,1,1,1,0,3,0,0,0.047619047619047616,0.5,0.23809523809523808,0.8095238095238095
T3,Je,V,9,0,0,0,0,0,5,0,2,0.0,,0.5555555555555556,1.0
T3,Jw,H,12,0,0,0,0,0,1,0,2,0.0,,0.25,0.6666666666666666
T3,Jw,Je,9,0,0,0,0,0,5,0,0,0.0,,0.2222222222222222,0.5555555555555556
T3,Jw,P,21,0,0,0,0,0,5,3,0,0.0,,0.3333333333333333,0.8095238095238095
T3,Jw,V,9,0,0,0,0,0,0,0,0,0.0,,0.0,1.0
T3,P,H,28,0,0,0,0,0,10,5,3,0.0,,0.5714285714285714,0.8571428571428571
T3,P,Je,21,0,0,0,0,0,4,0,1,0.0,,0.23809523809523808,0.8095238095238095
T3,P,Jw,21,3,0,0,3,0,5,0,1,0.0,0.0,0.3333333333333333,0.8095238095238095
T3,P,V,21,2,0,0,2,0,3,3,1,0.0,0.0,0.38095238095238093,1.0
T3,V,H,12,0,0,0,0,0,2,0,0,0.0,,0.16666666666666666,1.0
T3,V,Je,9,0,0,0,0,0,5,0,0,0.0,,0.5555555555555556,1.0
T3,V,Jw,9,0,0,0,0,0,2,0,0,0.0,,0.0,1.0
T3,V,P,21,6,1,1,3,2,4,0,1,0.047619047619047616,0.16666666666666666,0.38095238095238093,1.0
T4,H,Je,12,0,0,0,0,0,3,0,0,0.0,,0.25,0.5
T4,H,Jw,12,0,0,0,0,0,3,0,1,0.0,,0.3333333333333333,0.5
T4,H,P,28,0,0,0,0,0,2,0,0,0.0,,0.0,0.6785714285714286
T4,H,V,12,0,0,0,0,0,3,0,1,0.0,,0.3333333333333333,0.75
T4,Je,H,12,0,0,0,0,0,4,0,0,0.0,,0.25,0.5
T4,Je,Jw,9,0,0,0,0,0,1,0,0,0.0,,0.1111111111111111,0.5555555555555556
T4,Je,P,21,0,0,0,0,0,0,0,0,0.0,,0.0,0.7142857142857143
T4,Je,V,9,0,0,0,0,0,3,0,1,0.0,,0.4444444444444444,0.7777777777777778
T4,Jw,H,12,0,0,0,0,0,3,0,1,0.0,,0.3333333333333333,0.5
T4,Jw,Je,9,0,0,0,0,0,2,0,0,0.0,,0.1111111111111111,0.5555555555555556
T4,Jw,P,21,0,0,0,0,0,0,0,0,0.0,,0.0,0.7142857142857143
T4,Jw,V,9,0,0,0,0,0,0,0,0,0.0,,0.0,0.7777777777777778
T4,P,H,28,0,0,0,0,0,0,0,0,0.0,,0.0,0.6785714285714286
T4,P,Je,21,0,0,0,0,0,0,0,0,0.0,,0.0,0.7142857142857143
T4,P,Jw,21,0,0,0,0,0,0,0,0,0.0,,0.0,0.7142857142857143
T4,P,V,21,0,0,0,0,0,5,6,1,0.0,,0.5714285714285714,0.8571428571428571
T4,V,H,12,0,0,0,0,0,3,1,1,0.0,,0.3333333333333333,0.75
T4,V,Je,9,0,0,0,0,0,4,0,0,0.0,,0.4444444444444444,0.7777777777777778
T4,V,Jw,9,0,0,0,0,0,0,0,0,0.0,,0.0,0.7777777777777778
T4,V,P,21,6,4,4,2,0,11,0,0,0.19047619047619047,0.6666666666666666,0.5714285714285714,0.8571428571428571
