comparison,target_window,reference_window,sector,lat,V850_target,V850_reference,V850_delta
T3_full_minus_S3,T3_full,S3,full_easm_lon,50.5,0.40603927770989673,0.10460709784767214,0.3014321798622246
T3_full_minus_S3,T3_full,S3,full_easm_lon,50.75,0.3543008633362662,0.04895532824795537,0.30534553508831086
T3_full_minus_S3,T3_full,S3,full_easm_lon,51.0,0.3389416153722596,0.03635495115772799,0.3025866642145316
T3_full_minus_S3,T3_full,S3,full_easm_lon,51.25,0.34084462116303127,0.04837504980633804,0.2924695713566932
T3_full_minus_S3,T3_full,S3,full_easm_lon,51.5,0.3186591804363775,0.02837590374974712,0.29028327668663034
T3_full_minus_S3,T3_full,S3,full_easm_lon,51.75,0.30499140318884216,0.013615250263071386,0.2913761529257708
T3_full_minus_S3,T3_full,S3,full_easm_lon,52.0,0.290153122462217,0.0007383883236557043,0.2894147341385613
T3_full_minus_S3,T3_full,S3,full_easm_lon,52.25,0.25812881845149205,-0.028125146502852274,0.2862539649543443
T3_full_minus_S3,T3_full,S3,full_easm_lon,52.5,0.22365000836643498,-0.060436289586983785,0.2840862979534188
T3_full_minus_S3,T3_full,S3,full_easm_lon,52.75,0.2026991028025885,-0.07986303351536647,0.28256213631795496
T3_full_minus_S3,T3_full,S3,full_easm_lon,53.0,0.20254624526891593,-0.07374117743516671,0.27628742270408263
T3_full_minus_S3,T3_full,S3,full_easm_lon,53.25,0.1908699551432566,-0.08324434343164455,0.27411429857490116
T3_full_minus_S3,T3_full,S3,full_easm_lon,53.5,0.18111878516425983,-0.09022732502807465,0.27134611019233446
T3_full_minus_S3,T3_full,S3,full_easm_lon,53.75,0.17684090245946268,-0.08908964885962649,0.26593055131908916
T3_full_minus_S3,T3_full,S3,full_easm_lon,54.0,0.15319700606894876,-0.09856835543197001,0.25176536150091877
T3_full_minus_S3,T3_full,S3,full_easm_lon,54.25,0.12059880056130343,-0.1042269197458993,0.22482572030720271
T3_full_minus_S3,T3_full,S3,full_easm_lon,54.5,0.08038008513731017,-0.1225199592393907,0.20290004437670087
T3_full_minus_S3,T3_full,S3,full_easm_lon,54.75,0.04807649698263176,-0.13525889948051953,0.18333539646315128
T3_full_minus_S3,T3_full,S3,full_easm_lon,55.0,0.0178226136425808,-0.1424082812021546,0.1602308948447354
T3_full_minus_S3,T3_full,S3,full_easm_lon,55.25,-0.029008277121741408,-0.16327380125104843,0.13426552412930703
T3_full_minus_S3,T3_full,S3,full_easm_lon,55.5,-0.08056213155434795,-0.18570842056846276,0.10514628901411481
T3_full_minus_S3,T3_full,S3,full_easm_lon,55.75,-0.12991961164704946,-0.2236414041136852,0.09372179246663573
T3_full_minus_S3,T3_full,S3,full_easm_lon,56.0,-0.15841209134678508,-0.2555088994409952,0.09709680809421012
T3_full_minus_S3,T3_full,S3,full_easm_lon,56.25,-0.17598392214804917,-0.2610708338254855,0.08508691167743634
T3_full_minus_S3,T3_full,S3,full_easm_lon,56.5,-0.20636698522883046,-0.27979661200267086,0.0734296267738404
T3_full_minus_S3,T3_full,S3,full_easm_lon,56.75,-0.2321637487831026,-0.30562314254953576,0.07345939376643315
T3_full_minus_S3,T3_full,S3,full_easm_lon,57.0,-0.2527201033193377,-0.321882688132273,0.0691625848129353
T3_full_minus_S3,T3_full,S3,full_easm_lon,57.25,-0.2737704541594906,-0.3377654083669969,0.06399495420750634
T3_full_minus_S3,T3_full,S3,full_easm_lon,57.5,-0.282709667247054,-0.34134173446139227,0.05863206721433828
T3_full_minus_S3,T3_full,S3,full_easm_lon,57.75,-0.2919070289532102,-0.3423248778159198,0.05041784886270961
T3_full_minus_S3,T3_full,S3,full_easm_lon,58.0,-0.3130281273226081,-0.3536249330802901,0.040596805757681986
T3_full_minus_S3,T3_full,S3,full_easm_lon,58.25,-0.33582681708157947,-0.36711840801418805,0.03129159093260858
T3_full_minus_S3,T3_full,S3,full_easm_lon,58.5,-0.35621189698771777,-0.37190212923351745,0.015690232245799685
T3_full_minus_S3,T3_full,S3,full_easm_lon,58.75,-0.36764850200562726,-0.35650347004174315,-0.011145031963884111
T3_full_minus_S3,T3_full,S3,full_easm_lon,59.0,-0.3768980738165259,-0.34034931566636484,-0.036548758150161065
T3_full_minus_S3,T3_full,S3,full_easm_lon,59.25,-0.39526233970265506,-0.34267860920586907,-0.052583730496785996
T3_full_minus_S3,T3_full,S3,full_easm_lon,59.5,-0.40569774797995417,-0.3381219225794701,-0.06757582540048407
T3_full_minus_S3,T3_full,S3,full_easm_lon,59.75,-0.4017145062578718,-0.3109193674286569,-0.09079513882921492
T3_full_minus_S3,T3_full,S3,full_easm_lon,60.0,-0.39868260865204774,-0.28256160018080595,-0.1161210084712418
T3_full_minus_S3,T3_full,S3,west_sector,10.0,0.8479195786093751,0.748056533664611,0.09986304494476406
T3_full_minus_S3,T3_full,S3,west_sector,10.25,0.8505158243582719,0.7600450608759699,0.09047076348230199
T3_full_minus_S3,T3_full,S3,west_sector,10.5,0.8535601850201787,0.7721407786895543,0.08141940633062439
T3_full_minus_S3,T3_full,S3,west_sector,10.75,0.8569456727486421,0.7854212845401461,0.07152438820849594
T3_full_minus_S3,T3_full,S3,west_sector,11.0,0.8596363332131199,0.7994579512239893,0.060178381989130614
T3_full_minus_S3,T3_full,S3,west_sector,11.25,0.8626319738142583,0.8140971001671456,0.04853487364711262
T3_full_minus_S3,T3_full,S3,west_sector,11.5,0.861734209765961,0.8235014701620481,0.038232739603912935
T3_full_minus_S3,T3_full,S3,west_sector,11.75,0.9048544488908896,0.8747102282221251,0.030144220668764543
T3_full_minus_S3,T3_full,S3,west_sector,12.0,0.9841569798724914,0.9583101712356181,0.025846808636873275
T3_full_minus_S3,T3_full,S3,west_sector,12.25,0.9876768873933767,0.9628482216506157,0.02482866574276099
T3_full_minus_S3,T3_full,S3,west_sector,12.5,0.9236823702370194,0.8996616656250414,0.024020704611978028
T3_full_minus_S3,T3_full,S3,west_sector,12.75,0.8813125177378317,0.8615712860369592,0.019741231700872497
T3_full_minus_S3,T3_full,S3,west_sector,13.0,0.8722461925378159,0.8623270518327795,0.009919140705036411
T3_full_minus_S3,T3_full,S3,west_sector,13.25,0.885738152023572,0.8910543376326099,-0.0053161856090379045
T3_full_minus_S3,T3_full,S3,west_sector,13.5,0.9416525221953799,0.9662643022690214,-0.02461178007364151
T3_full_minus_S3,T3_full,S3,west_sector,13.75,1.0408601393311327,1.083823065522865,-0.04296292619173214
T3_full_minus_S3,T3_full,S3,west_sector,14.0,1.1537035779209284,1.2073688203826334,-0.05366524246170501
T3_full_minus_S3,T3_full,S3,west_sector,14.25,1.2786273878659258,1.3382764125579352,-0.05964902469200939
T3_full_minus_S3,T3_full,S3,west_sector,14.5,1.3505744042607553,1.4216467932933003,-0.07107238903254509
T3_full_minus_S3,T3_full,S3,west_sector,14.75,1.3633149305096721,1.456533620817951,-0.09321869030827878
T3_full_minus_S3,T3_full,S3,west_sector,15.0,1.4647289318744046,1.5856189762088497,-0.12089004433444517
T3_full_minus_S3,T3_full,S3,west_sector,15.25,1.581953225360738,1.7266013661108648,-0.14464814075012677
T3_full_minus_S3,T3_full,S3,west_sector,15.5,1.5936432198780845,1.7568121226502276,-0.16316890277214302
T3_full_minus_S3,T3_full,S3,west_sector,15.75,1.6265091086111896,1.8041069807458412,-0.1775978721346516
