comparison,sector,p_change_type,n_p_change_bands_of_type,p_change_band_id,p_change_peak_lat,p_change_peak_value,p_change_band_south_edge,p_change_band_north_edge,p_change_band_width,p_change_band_integrated_amount,p_change_band_centroid_lat
T3_full_minus_S3,mid_sector,positive,6,4,37.0,1.1468037108219038,34.0,59.0,25.0,13.73538933374457,45.367201802056634
T3_full_minus_S3,mid_sector,positive,6,5,41.0,0.7040746371559283,34.0,59.0,25.0,13.73538933374457,45.367201802056634
T3_full_minus_S3,mid_sector,positive,6,6,54.5,0.8838307722414922,34.0,59.0,25.0,13.73538933374457,45.367201802056634
T3_full_minus_S3,mid_sector,negative,1,1,30.5,-4.190483014224271,24.5,33.75,9.25,18.205178124089787,30.0185272917618
T3_full_minus_S3,south_scs_ref,positive,6,1,17.0,1.555645139183559,11.5,24.5,13.0,13.405490197848874,17.979211926917348
T3_full_minus_S3,south_scs_ref,positive,6,2,20.75,1.4003535413886095,11.5,24.5,13.0,13.405490197848874,17.979211926917348
T3_full_minus_S3,south_scs_ref,positive,6,3,39.75,1.0646205219257698,36.5,60.0,23.5,11.948412992777422,47.25564370796976
T3_full_minus_S3,south_scs_ref,positive,6,4,44.25,0.39620505519561267,36.5,60.0,23.5,11.948412992777422,47.25564370796976
T3_full_minus_S3,south_scs_ref,positive,6,5,49.75,0.5064197823110228,36.5,60.0,23.5,11.948412992777422,47.25564370796976
T3_full_minus_S3,south_scs_ref,positive,6,6,54.5,0.8439645236626023,36.5,60.0,23.5,11.948412992777422,47.25564370796976
T3_full_minus_S3,south_scs_ref,negative,1,1,31.0,-3.0072091490368535,24.75,36.25,11.5,17.34427533353907,30.9443700221715
T3_full_minus_S3,west_sector,positive,2,1,20.5,2.3412675820458544,12.5,24.75,12.25,13.846201821590846,19.312178990570064
T3_full_minus_S3,west_sector,positive,2,2,40.5,0.51459056411048,35.5,46.0,10.5,2.490234989066392,40.208216534844986
T3_full_minus_S3,west_sector,negative,3,1,10.0,-0.44425791048290897,10.0,12.25,2.25,0.5175733832972897,10.716715224824389
T3_full_minus_S3,west_sector,negative,3,2,27.25,-0.9998978397256959,25.0,35.25,10.25,7.46875642982175,30.027949314578127
T3_full_minus_S3,west_sector,negative,3,3,31.5,-1.202448673626538,25.0,35.25,10.25,7.46875642982175,30.027949314578127
T3_late_minus_T3_early,east_sector,positive,8,1,12.75,0.9306419868555711,11.0,27.0,16.0,11.30767118675998,18.30892936992503
T3_late_minus_T3_early,east_sector,positive,8,2,15.75,0.9964630446257399,11.0,27.0,16.0,11.30767118675998,18.30892936992503
T3_late_minus_T3_early,east_sector,positive,8,3,19.25,1.9000683443007498,11.0,27.0,16.0,11.30767118675998,18.30892936992503
T3_late_minus_T3_early,east_sector,positive,8,4,24.0,0.45866629654587854,11.0,27.0,16.0,11.30767118675998,18.30892936992503
T3_late_minus_T3_early,east_sector,positive,8,5,39.0,0.47425493899783167,38.0,40.0,2.0,0.5931036066897244,39.05713677275885
T3_late_minus_T3_early,east_sector,positive,8,6,48.0,0.588576997049091,45.25,54.5,9.25,2.4415584047516465,49.761723737155286
T3_late_minus_T3_early,east_sector,positive,8,7,52.75,0.5292175475197656,45.25,54.5,9.25,2.4415584047516465,49.761723737155286
T3_late_minus_T3_early,east_sector,positive,8,8,59.0,0.44975174002096097,56.0,60.0,4.0,0.793417289625042,58.73680216174108
T3_late_minus_T3_early,east_sector,negative,2,1,35.25,-2.04328457350958,30.75,37.75,7.0,6.462482751444805,34.61078440545895
T3_late_minus_T3_early,east_sector,negative,2,2,42.5,-0.8115199989439983,40.25,45.0,4.75,2.09231665311757,42.81983468755121
T3_late_minus_T3_early,full_easm_lon,positive,5,1,12.75,0.505616374834208,10.0,24.5,14.5,5.962872869705002,17.340168900181332
T3_late_minus_T3_early,full_easm_lon,positive,5,2,16.75,0.7116393282955329,10.0,24.5,14.5,5.962872869705002,17.340168900181332
T3_late_minus_T3_early,full_easm_lon,positive,5,3,20.75,0.6193063509945826,10.0,24.5,14.5,5.962872869705002,17.340168900181332
T3_late_minus_T3_early,full_easm_lon,positive,5,4,39.0,0.4443484115720828,37.25,41.5,4.25,0.9571647946097457,39.42376985189838
T3_late_minus_T3_early,full_easm_lon,positive,5,5,58.75,0.29816545106984327,55.5,60.0,4.5,0.7512798506842202,58.18766972542974
T3_late_minus_T3_early,full_easm_lon,negative,3,1,28.0,-0.3614976682971083,24.75,37.0,12.25,8.282662491461975,32.045876212694964
T3_late_minus_T3_early,full_easm_lon,negative,3,2,31.5,-1.3204827477926386,24.75,37.0,12.25,8.282662491461975,32.045876212694964
T3_late_minus_T3_early,full_easm_lon,negative,3,3,35.0,-0.951723150932164,24.75,37.0,12.25,8.282662491461975,32.045876212694964
T3_late_minus_T3_early,mid_sector,positive,5,1,10.0,0.8399734797285454,10.0,13.25,3.25,1.839471260660269,11.262023632584555
T3_late_minus_T3_early,mid_sector,positive,5,2,21.0,0.2593007408110699,19.5,21.75,2.25,0.47190245231974015,20.712137741141113
T3_late_minus_T3_early,mid_sector,positive,5,3,39.25,0.2715883145053697,38.75,45.75,7.0,2.05691617552204,42.4805267920876
T3_late_minus_T3_early,mid_sector,positive,5,4,43.25,0.5641169007729103,38.75,45.75,7.0,2.05691617552204,42.4805267920876
T3_late_minus_T3_early,mid_sector,positive,5,5,57.75,0.3481119944128972,56.5,59.0,2.5,0.5004732428562487,57.846652696065505
T3_late_minus_T3_early,mid_sector,negative,2,1,33.5,-2.1923748390857085,29.75,38.5,8.75,10.677031473531052,33.19402675133851
T3_late_minus_T3_early,mid_sector,negative,2,2,37.75,-0.5116566113004959,29.75,38.5,8.75,10.677031473531052,33.19402675133851
T3_late_minus_T3_early,south_scs_ref,positive,4,1,12.25,0.5230905170951257,10.0,23.5,13.5,5.382832739103307,16.90163469075158
T3_late_minus_T3_early,south_scs_ref,positive,4,2,16.75,0.6339629477265571,10.0,23.5,13.5,5.382832739103307,16.90163469075158
T3_late_minus_T3_early,south_scs_ref,positive,4,3,21.25,0.5077345780000861,10.0,23.5,13.5,5.382832739103307,16.90163469075158
T3_late_minus_T3_early,south_scs_ref,positive,4,4,39.0,0.570003625165425,36.5,41.25,4.75,1.3363944959304757,39.00899940574677
T3_late_minus_T3_early,south_scs_ref,negative,2,1,25.75,-0.39161329136097667,23.75,36.25,12.5,10.485350369588422,31.531945777782497
T3_late_minus_T3_early,south_scs_ref,negative,2,2,31.25,-1.8091494455872565,23.75,36.25,12.5,10.485350369588422,31.531945777782497
T3_late_minus_T3_early,west_sector,positive,6,1,16.75,1.266833672798139,11.75,18.5,6.75,3.5285194842496406,15.906820841975371
T3_late_minus_T3_early,west_sector,positive,6,2,21.25,0.7820286334002464,19.5,24.25,4.75,1.9000433136009394,21.819295157383685
T3_late_minus_T3_early,west_sector,positive,6,3,35.0,0.30405640868102557,34.25,42.5,8.25,3.6524538693474877,38.34575096022089
T3_late_minus_T3_early,west_sector,positive,6,4,38.25,0.7089327366281806,34.25,42.5,8.25,3.6524538693474877,38.34575096022089
T3_late_minus_T3_early,west_sector,positive,6,5,54.75,0.3426829856589979,54.0,60.0,6.0,1.4499580469405378,57.114884429749445
T3_late_minus_T3_early,west_sector,positive,6,6,59.0,0.30882684804234417,54.0,60.0,6.0,1.4499580469405378,57.114884429749445
T3_late_minus_T3_early,west_sector,negative,2,1,27.5,-1.1087960419370146,24.5,34.0,9.5,9.906268959817426,29.756185049692064
T3_late_minus_T3_early,west_sector,negative,2,2,31.25,-1.9840173459272892,24.5,34.0,9.5,9.906268959817426,29.756185049692064
