comparison,sector,p_change_type,p_change_band_id,p_change_peak_lat,p_change_peak_value,p_change_band_integrated_amount,v_change_peak_lat,v_change_peak_value,v_change_trough_lat,v_change_trough_value,v_gradient_change_peak_lat,v_gradient_change_peak_value,v_positive_north_edge_shift,v_positive_centroid_shift,distance_p_change_to_v_change_peak,distance_p_change_to_v_change_trough,distance_p_change_to_v_gradient_peak,v_south_10_delta,dV_south_10_delta,v_south_5_delta,dV_south_5_delta,v_same_lat_delta,dV_same_lat_delta,v_north_5_delta,dV_north_5_delta,v_north_10_delta,dV_north_10_delta
S4_minus_T3_full,full_easm_lon,negative,1,11.0,-0.7233460798111118,2.2161765333502457,60.0,0.07798888812301985,25.75,-1.533318871594906,56.25,0.21369231415280465,-6.0,-1.957116799858028,-49.0,-14.75,-45.25,,,,,0.03396847825876126,-0.03797504945039387,-0.2913275887510509,-0.11933100899355198,-0.8822001419544996,-0.14834235139137775
S4_minus_T3_full,full_easm_lon,negative,2,33.25,-0.9486121813766806,14.524080093220034,60.0,0.07798888812301985,25.75,-1.533318871594906,56.25,0.21369231415280465,-6.0,-1.957116799858028,-26.75,7.5,-23.0,-1.199565002701913,-0.13067644304004977,-1.321819315750965,0.09118896955057387,-0.8262809471914978,0.0519289202802633,-0.5912461170049672,0.0719458784961815,-0.5300411672088471,0.027029763194373446
S4_minus_T3_full,full_easm_lon,negative,3,43.0,-0.36487296611405684,14.524080093220034,60.0,0.07798888812301985,25.75,-1.533318871594906,56.25,0.21369231415280465,-6.0,-1.957116799858028,-17.0,17.25,-13.25,-0.8380003585391653,0.06235664913739658,-0.6123290659210945,0.0705547049896329,-0.5359896339813248,0.014070874970706138,-0.5199284931659266,-0.04967630284768698,-0.4706331596180786,0.025349015926851126
S4_minus_T3_full,full_easm_lon,negative,4,47.0,-0.5492675055362715,14.524080093220034,60.0,0.07798888812301985,25.75,-1.533318871594906,56.25,0.21369231415280465,-6.0,-1.957116799858028,-13.0,21.25,-9.25,-0.6681987038896826,0.059431732606288534,-0.5561236842393613,-0.013577082514647287,-0.4799806287542986,-0.007611672064044228,-0.5268526302848618,0.05609957336666227,-0.13135672058955816,0.09056949050786472
S4_minus_T3_full,full_easm_lon,negative,5,51.0,-0.5321300991655593,14.524080093220034,60.0,0.07798888812301985,25.75,-1.533318871594906,56.25,0.21369231415280465,-6.0,-1.957116799858028,-9.0,25.25,-5.25,-0.5746077021672445,-0.017205626125876394,-0.45691307465029596,-0.05975424934637208,-0.5615410531657985,0.02755395130134808,-0.3100078063280406,0.17575471482374483,,
S4_minus_T3_full,full_easm_lon,negative,6,55.5,-0.895767122998337,14.524080093220034,60.0,0.07798888812301985,25.75,-1.533318871594906,56.25,0.21369231415280465,-6.0,-1.957116799858028,-4.5,29.75,-0.75,-0.424296534011248,-0.044186781836368594,-0.5665487314014832,0.006422209928298228,-0.38334992773384036,0.114819349127669,,,,
S4_minus_T3_full,mid_sector,positive,1,20.75,2.1410974231765856,17.56309602251601,11.25,0.457638376552437,25.75,-2.5396302730553293,24.75,0.4684171386997589,-7.25,-4.087647456195725,9.5,-5.0,-4.0,0.45043974147148136,0.013402246937510576,0.07514831503170472,-0.2096083687632131,-0.9243801545780852,-0.2851309428035673,-2.5396302730553293,-0.010748067281244111,-2.3545002160887156,-0.06149457333995123
S4_minus_T3_full,mid_sector,positive,2,26.0,2.288844072271624,17.56309602251601,11.25,0.457638376552437,25.75,-2.5396302730553293,24.75,0.4684171386997589,-7.25,-4.087647456195725,14.75,0.25,1.25,0.01986287365460271,-0.2143151232454441,-0.9940519693042438,-0.27330442096556684,-2.515737481629981,0.12684220864869555,-2.384471551091126,-0.044562873890248156,-1.5527845155554334,0.07444578607026076
S4_minus_T3_full,mid_sector,negative,1,11.75,-0.5970103541642722,1.9653647448908058,11.25,0.457638376552437,25.75,-2.5396302730553293,24.75,0.4684171386997589,-7.25,-4.087647456195725,0.5,-14.0,-13.0,,,,,0.44475273521869685,-0.03752272095338327,-0.12233668985539214,-0.13683463963528375,-1.2023113558417762,-0.29871933058433253
S4_minus_T3_full,mid_sector,negative,2,33.75,-2.4341167857509474,28.54993222312726,11.25,0.457638376552437,25.75,-2.5396302730553293,24.75,0.4684171386997589,-7.25,-4.087647456195725,22.5,8.0,9.0,-1.8332403265940607,-0.376703176753054,-2.4710215542289147,0.024714263551051552,-1.840301013945532,0.21385636567505717,-1.0753177079088856,0.08298181905518831,-0.5960689623908912,0.1597562924523772
S4_minus_T3_full,mid_sector,negative,3,41.75,-0.8774951775691102,28.54993222312726,11.25,0.457638376552437,25.75,-2.5396302730553293,24.75,0.4684171386997589,-7.25,-4.087647456195725,30.5,16.0,17.0,-2.2739458953190415,0.2567081522396828,-1.3876482469307496,0.20411113620326926,-0.9570178524757265,0.09501053246963331,-0.5020978923860578,0.007915061804827928,-0.4421414403894137,0.11994422787113357
S4_minus_T3_full,mid_sector,negative,4,45.75,-0.9628256655060201,28.54993222312726,11.25,0.457638376552437,25.75,-2.5396302730553293,24.75,0.4684171386997589,-7.25,-4.087647456195725,34.5,20.0,21.0,-1.5602939247522043,0.013744833692344471,-1.0809702459370498,0.09463334264900203,-0.45900610438010575,-0.06961344707072903,-0.5272293124878884,0.021134844164594213,-0.23828572473863618,0.15359267680784383
S4_minus_T3_full,mid_sector,negative,5,51.25,-0.7033107008995789,28.54993222312726,11.25,0.457638376552437,25.75,-2.5396302730553293,24.75,0.4684171386997589,-7.25,-4.087647456195725,40.0,25.5,26.5,-1.0106313226014354,0.10904146145264781,-0.4894183383535693,-0.04034244352051963,-0.5008767520394902,0.09803109632537965,-0.17718475825723606,0.06628568347617336,,
S4_minus_T3_full,mid_sector,negative,6,55.75,-1.2648837438202634,28.54993222312726,11.25,0.457638376552437,25.75,-2.5396302730553293,24.75,0.4684171386997589,-7.25,-4.087647456195725,44.5,30.0,31.0,-0.45900610438010575,-0.06961344707072903,-0.5272293124878884,0.021134844164594213,-0.23828572473863618,0.15359267680784383,,,,
S4_minus_T3_full,south_scs_ref,positive,1,20.5,2.0727780909611013,14.305603274736367,10.0,0.1997674742916502,25.75,-2.18421890783291,21.5,0.3414683074585452,-8.25,-2.2793834384505764,10.5,-5.25,-1.0,0.19004291075703406,-0.02420280089225635,-0.13906294664115237,-0.15135974232024374,-0.9892044602598284,-0.19757158109741324,-2.168352161329602,-0.10291327440622222,-1.557323850017427,0.1357796243624021
S4_minus_T3_full,south_scs_ref,positive,2,26.5,1.4310465147747369,14.305603274736367,10.0,0.1997674742916502,25.75,-2.18421890783291,21.5,0.3414683074585452,-8.25,-2.2793834384505764,16.5,0.75,5.0,-0.3096008001487287,-0.18095764433083739,-1.25529970897882,-0.3414683074585452,-2.1146157619598247,0.10022757003678429,-1.4831511169996299,0.08671097899481772,-0.9835047573258082,0.10707029350925934
S4_minus_T3_full,south_scs_ref,negative,1,11.5,-0.7690355395031663,3.0142223829127097,10.0,0.1997674742916502,25.75,-2.18421890783291,21.5,0.3414683074585452,-8.25,-2.2793834384505764,1.5,-14.25,-10.0,,,,,0.16176630715404672,-0.020739383238614018,-0.3096008001487287,-0.18095764433083739,-1.25529970897882,-0.3414683074585452
S4_minus_T3_full,south_scs_ref,negative,2,33.25,-1.273349874496163,19.392889219441415,10.0,0.1997674742916502,25.75,-2.18421890783291,21.5,0.3414683074585452,-8.25,-2.2793834384505764,23.25,7.5,11.75,-1.6800960178017894,-0.2050515191309894,-1.9343349847557483,0.1081997165868005,-1.251995022773556,0.09781138214096874,-0.8097520575192461,0.0900586382687596,-0.5990963028089767,0.09241665040964797
S4_minus_T3_full,south_scs_ref,negative,3,37.25,-0.5605946345133948,19.392889219441415,10.0,0.1997674742916502,25.75,-2.18421890783291,21.5,0.3414683074585452,-8.25,-2.2793834384505764,27.25,11.5,15.75,-2.0226374021203486,0.10983233737981823,-1.4014065175582195,0.18180371663596784,-0.9152491668366796,0.1103378648623905,-0.7090765601495705,0.057515845870479865,-0.5211147509735623,-0.011046786275915599
S4_minus_T3_full,south_scs_ref,negative,4,42.0,-0.5837255367978424,19.392889219441415,10.0,0.1997674742916502,25.75,-2.18421890783291,21.5,0.3414683074585452,-8.25,-2.2793834384505764,32.0,16.25,20.5,-1.4403881772744858,0.12348929041632406,-0.9414428758552049,0.0880157781786215,-0.7089091489103709,-0.006166536165501224,-0.5190150514738309,-0.011938434225774897,-0.6045392657939301,0.04217855587286801
S4_minus_T3_full,south_scs_ref,negative,5,47.25,-0.7080192370604497,19.392889219441415,10.0,0.1997674742916502,25.75,-2.18421890783291,21.5,0.3414683074585452,-8.25,-2.2793834384505764,37.25,21.5,25.75,-0.9152491668366796,0.1103378648623905,-0.7090765601495705,0.057515845870479865,-0.5211147509735623,-0.011046786275915599,-0.5934487243517537,0.0608091252000269,-0.08441860438824389,0.07624619501335195
S4_minus_T3_full,south_scs_ref,negative,6,51.0,-0.5969915676655964,19.392889219441415,10.0,0.1997674742916502,25.75,-2.18421890783291,21.5,0.3414683074585452,-8.25,-2.2793834384505764,41.0,25.25,29.5,-0.7486149446821666,0.02830312526802703,-0.47761287397503505,-0.06118172863837068,-0.652226518138311,-0.0029595251709821913,-0.33075705859877014,0.21911376873902166,,
S4_minus_T3_full,south_scs_ref,negative,7,55.5,-1.1661273304316326,19.392889219441415,10.0,0.1997674742916502,25.75,-2.18421890783291,21.5,0.3414683074585452,-8.25,-2.2793834384505764,45.5,29.75,34.0,-0.45046569833237105,-0.01969035638827521,-0.6359152824972618,-0.042152613125767235,-0.408232099031413,0.10424240275139252,,,,
S4_minus_T3_full,west_sector,positive,1,16.0,1.0580512839600509,6.803500756538204,59.5,0.8293752753990055,25.5,-1.88806235217205,21.5,0.37934517276361346,0.25,1.4428499698778694,-43.5,-9.5,-5.5,,,-0.4315450381646748,-0.047665537559283044,-0.6849801429650482,-0.10382873307287066,-1.2859375808852787,-0.24161706564137964,-1.849059018261555,0.1864495089360223
S4_minus_T3_full,west_sector,positive,2,20.0,1.0920308360853568,6.803500756538204,59.5,0.8293752753990055,25.5,-1.88806235217205,21.5,0.37934517276361346,0.25,1.4428499698778694,-39.5,-5.5,-1.5,-0.3712950945376342,-0.05922630232277726,-0.584526025606438,-0.056683786388378454,-1.1130546771849725,-0.11569247979547015,-1.8558895334823744,-0.0805455389294587,-0.660912878847482,0.27501218364968927
S4_minus_T3_full,west_sector,positive,3,37.0,0.3822052699559837,1.2769446749828168,59.5,0.8293752753990055,25.5,-1.88806235217205,21.5,0.37934517276361346,0.25,1.4428499698778694,-22.5,11.5,15.5,-1.5786317178793872,0.3358077962013115,-0.39749553616022587,0.08623102953867412,-0.13251881900860663,0.05468436767171059,0.09106854072515924,0.02248808788576606,-0.027288571374999113,0.004038721203427936
S4_minus_T3_full,west_sector,negative,1,25.0,-1.5330197468637188,12.60572194482709,59.5,0.8293752753990055,25.5,-1.88806235217205,21.5,0.37934517276361346,0.25,1.4428499698778694,-34.5,-0.5,3.5,-0.584526025606438,-0.056683786388378454,-1.1130546771849725,-0.11569247979547015,-1.8558895334823744,-0.0805455389294587,-0.660912878847482,0.27501218364968927,-0.20072049766044764,-0.007043982257166181
S4_minus_T3_full,west_sector,negative,2,31.0,-1.5333607900274648,12.60572194482709,59.5,0.8293752753990055,25.5,-1.88806235217205,21.5,0.37934517276361346,0.25,1.4428499698778694,-28.5,5.5,9.5,-1.2859375808852787,-0.24161706564137964,-1.849059018261555,0.1864495089360223,-0.4365819806933765,0.16312237196948542,-0.20243929351597112,0.06975774084474229,0.028908180096964387,-0.04208220083390746
S4_minus_T3_full,west_sector,negative,3,50.25,-0.6048774745902721,4.540885327454732,59.5,0.8293752753990055,25.5,-1.88806235217205,21.5,0.37934517276361346,0.25,1.4428499698778694,-9.25,24.75,28.75,-0.024273635510932534,0.07714855576222379,0.06571953759324524,-0.03891653654711094,0.024974040444387557,-0.02625940110222691,0.29147408507387595,0.21612362039476718,,
S4_minus_T3_full,west_sector,negative,4,54.25,-0.3445193332829244,4.540885327454732,59.5,0.8293752753990055,25.5,-1.88806235217205,21.5,0.37934517276361346,0.25,1.4428499698778694,-5.25,28.75,32.75,0.025323447156151258,-0.038048874033883795,0.005471248018136754,0.012199234124871672,0.09532474722043971,0.16912283905958736,0.8263330386260983,0.04333179583502855,,
S4_minus_T3_full,west_sector,negative,5,58.0,-0.4407932345611201,4.540885327454732,59.5,0.8293752753990055,25.5,-1.88806235217205,21.5,0.37934517276361346,0.25,1.4428499698778694,-1.5,32.5,36.5,-0.0330232983928343,0.02291292718544613,0.0032571324109178512,-0.012302363470089617,0.7129921505351438,0.0611850950525874,,,,
T3_full_minus_S3,east_sector,positive,1,13.25,1.9337614132769687,19.018486622473894,38.25,0.7136164465822492,25.25,-1.935143684144644,32.0,0.4137771411330684,0.0,2.5871666766765173,-25.0,-12.0,-18.75,,,,,-0.24639115560939184,-0.11104990659012692,-0.8476439415087482,-0.1286458914477322,-1.7091231046302489,-0.1940497557203793
T3_full_minus_S3,east_sector,positive,2,21.0,1.0364704638693265,19.018486622473894,38.25,0.7136164465822492,25.25,-1.935143684144644,32.0,0.4137771411330684,0.0,2.5871666766765173,-17.25,-4.25,-11.0,-0.026159421342152323,-0.11603887090520804,-0.5259494930005408,-0.13684729331123568,-1.2623908739130618,-0.18078903787395806,-1.9242192224730874,0.020394480702310425,-1.1448612129008358,0.3108947718527162
T3_full_minus_S3,east_sector,positive,3,24.5,1.0992828781467652,19.018486622473894,38.25,0.7136164465822492,25.25,-1.935143684144644,32.0,0.4137771411330684,0.0,2.5871666766765173,-13.75,-0.75,-7.5,-0.38481629527624306,-0.0869249886528527,-1.0113521161241508,-0.14789778991565994,-1.906949244973164,-0.09733809646178848,-1.5907551170220406,0.25462521636046365,0.0549761437673868,0.31524358997550106
T3_full_minus_S3,east_sector,positive,4,42.75,0.9141359699542573,14.978681244237963,38.25,0.7136164465822492,25.25,-1.935143684144644,32.0,0.4137771411330684,0.0,2.5871666766765173,4.5,17.5,10.75,-0.48503077468266476,0.31415727665436055,0.6818169586360945,0.08775469007087544,0.2702594546564032,-0.10549528814715314,0.24280585234584295,0.05415959087402378,0.3814457074225981,-0.008855032437302679
T3_full_minus_S3,east_sector,positive,5,48.75,1.0647386361992828,14.978681244237963,38.25,0.7136164465822492,25.25,-1.935143684144644,32.0,0.4137771411330684,0.0,2.5871666766765173,10.5,23.5,16.75,0.6970340231303858,-0.0725376576278074,0.23864698899991632,-0.005220609526954689,0.2944430914219103,0.03965428959947115,0.34245684337681115,-0.0598952518075242,0.08962756393656546,-0.11482029584014075
T3_full_minus_S3,east_sector,positive,6,54.25,1.1787382149382792,14.978681244237963,38.25,0.7136164465822492,25.25,-1.935143684144644,32.0,0.4137771411330684,0.0,2.5871666766765173,16.0,29.0,22.25,0.2250384867195412,-0.037083578848583265,0.30609064467480374,0.01677073421589892,0.27312660885213935,-0.1938563128737094,0.04189891701340542,-0.0859173935530756,,
T3_full_minus_S3,east_sector,negative,1,34.25,-4.774035805684316,28.6852017876318,38.25,0.7136164465822492,25.25,-1.935143684144644,32.0,0.4137771411330684,0.0,2.5871666766765173,-4.0,9.0,2.25,-1.8774887837864127,-0.13364440425786395,-1.649919305696824,0.22073318862033275,-0.021088574637146973,0.316546337313083,0.6456518972300889,-0.11569519511442827,0.2250384867195412,-0.037083578848583265
T3_full_minus_S3,full_easm_lon,positive,1,14.0,0.919306592893328,14.320527025017613,38.0,0.5588978533026725,25.25,-1.3452679827214862,31.5,0.27043271212948383,3.0,2.144094937466086,-24.0,-11.25,-17.5,,,,,-0.28084695495925094,-0.0944687970541942,-0.769347687202695,-0.0874048747624121,-1.2879794626179248,-0.0879942631664159
T3_full_minus_S3,full_easm_lon,positive,2,19.75,1.5065717034311552,14.320527025017613,38.0,0.5588978533026725,25.25,-1.3452679827214862,31.5,0.27043271212948383,3.0,2.144094937466086,-18.25,-5.5,-11.75,,,-0.3521363608960406,-0.10423096890171557,-0.8439956747909725,-0.10754590049487334,-1.3344961002024758,-0.037517564912440626,-0.5545747429118841,0.23673902506186995
T3_full_minus_S3,full_easm_lon,positive,3,23.0,0.8313905880018888,14.320527025017613,38.0,0.5588978533026725,25.25,-1.3452679827214862,31.5,0.27043271212948383,3.0,2.144094937466086,-15.0,-2.25,-8.5,-0.17421547577834118,-0.09853542021251904,-0.6626265240185596,-0.10562302688487968,-1.211315522896454,-0.06078188555214403,-0.9300865037560366,0.18962560767893422,0.20021613893066714,0.1467493708809542
T3_full_minus_S3,full_easm_lon,positive,4,40.75,0.6771096513339478,10.258474853317805,38.0,0.5588978533026725,25.25,-1.3452679827214862,31.5,0.27043271212948383,3.0,2.144094937466086,2.75,15.5,9.25,-0.3008810539411435,0.24232753215070613,0.5153206136180828,0.027227622227688375,0.43475343999003413,-0.048342528049666766,0.331010730643971,-0.004279909291635131,0.30534553508831086,0.002308968704614056
T3_full_minus_S3,full_easm_lon,positive,5,46.25,0.3124647440978321,10.258474853317805,38.0,0.5588978533026725,25.25,-1.3452679827214862,31.5,0.27043271212948383,3.0,2.144094937466086,8.25,21.0,14.75,0.5249258758516611,0.028477581948100017,0.4322330756440306,-0.020957258260153155,0.32865382114082076,0.0015560948049340162,0.2924695713566932,-0.024606775055802554,0.08508691167743634,-0.047334362640739425
T3_full_minus_S3,full_easm_lon,positive,6,51.25,0.5960670956146341,10.258474853317805,38.0,0.5588978533026725,25.25,-1.3452679827214862,31.5,0.27043271212948383,3.0,2.144094937466086,13.25,26.0,19.75,0.4322330756440306,-0.020957258260153155,0.32865382114082076,0.0015560948049340162,0.2924695713566932,-0.024606775055802554,0.08508691167743634,-0.047334362640739425,,
T3_full_minus_S3,full_easm_lon,positive,7,54.5,0.8084554111672841,10.258474853317805,38.0,0.5588978533026725,25.25,-1.3452679827214862,31.5,0.27043271212948383,3.0,2.144094937466086,16.5,29.25,23.0,0.3722093350091821,-0.04902982028827241,0.27960321408844724,0.004493831729029729,0.20290004437670087,-0.08298064768810287,-0.06757582540048407,-0.07642281666485784,,
T3_full_minus_S3,full_easm_lon,negative,1,31.25,-2.7137524246914335,16.38417652542491,38.0,0.5588978533026725,25.25,-1.3452679827214862,31.5,0.27043271212948383,3.0,2.144094937466086,-6.75,6.0,-0.25,-1.0245623881441093,-0.14757454042826712,-1.2392062872652811,0.16403913352745914,-0.17892362428867825,0.26120831299807623,0.5249258758516611,0.028477581948100017,0.4322330756440306,-0.020957258260153155
T3_full_minus_S3,mid_sector,positive,1,13.75,0.43277507718875086,12.154885686525255,34.25,0.9300113533298435,25.75,-1.461555204821769,30.5,0.4537511526961753,0.5,1.8301088928463685,-20.5,-12.0,-16.75,,,,,-0.44332979955751917,-0.1404248132185506,-0.8731180232314064,-0.09177558933017504,-1.3219230377731979,-0.07343940272073723
T3_full_minus_S3,mid_sector,positive,2,17.5,2.059057177765201,12.154885686525255,34.25,0.9300113533298435,25.75,-1.461555204821769,30.5,0.4537511526961753,0.5,1.8301088928463685,-16.75,-8.25,-13.0,,,-0.25068691861712367,-0.18194307639392893,-0.7818075698751099,-0.043933162332040254,-1.2455310956681167,-0.03342949694695729,-1.1189770751184058,0.3277371435041907
T3_full_minus_S3,mid_sector,positive,3,21.5,1.2766757944109237,12.154885686525255,34.25,0.9300113533298435,25.75,-1.461555204821769,30.5,0.4537511526961753,0.5,1.8301088928463685,-12.75,-4.25,-9.0,-0.07341659421485502,-0.16592205737508792,-0.7474245472460392,-0.04521143347346879,-1.1428414677713632,-0.12557194010737227,-1.3551135641124974,0.17139751972944595,0.37750814000565747,0.33937543054028296
T3_full_minus_S3,mid_sector,positive,4,37.0,1.1468037108219038,13.73538933374457,34.25,0.9300113533298435,25.75,-1.461555204821769,30.5,0.4537511526961753,0.5,1.8301088928463685,2.75,11.25,6.5,-1.2626435839476349,0.22312273927238913,0.5329144683211844,0.27925231582650856,0.7254551306306547,-0.12078579004337486,0.4553339599712083,0.17462563232512496,0.2617541701056123,-0.03312084062347109
T3_full_minus_S3,mid_sector,positive,5,41.0,0.7040746371559283,13.73538933374457,34.25,0.9300113533298435,25.75,-1.461555204821769,30.5,0.4537511526961753,0.5,1.8301088928463685,6.75,15.25,10.5,0.1969508897505654,0.38503686150152117,0.8568482003767934,-0.09370703383590584,0.4049861835624029,-0.030964006439592406,0.29253425734721994,-0.03136656658776438,0.1246832136799253,-0.04680925276286246
T3_full_minus_S3,mid_sector,positive,6,54.5,0.8838307722414922,13.73538933374457,34.25,0.9300113533298435,25.75,-1.461555204821769,30.5,0.4537511526961753,0.5,1.8301088928463685,20.25,28.75,24.0,0.3864326803515814,-0.13587316108376502,0.19016998873472427,0.0018795203738855015,0.0643015371621948,0.0063907733592856175,0.0004981631904434902,-0.07200154572924244,,
T3_full_minus_S3,mid_sector,negative,1,30.5,-4.190483014224271,18.205178124089787,34.25,0.9300113533298435,25.75,-1.461555204821769,30.5,0.4537511526961753,0.5,1.8301088928463685,-3.75,4.75,0.0,-1.0433294101241706,-0.0843549852845138,-1.453026900479947,-0.06382459217903502,-0.015517809485970702,0.4537511526961753,0.8833982400908091,-0.020752404731300356,0.4252995094657228,-0.028486164016412463
T3_full_minus_S3,south_scs_ref,positive,1,17.0,1.555645139183559,13.405490197848874,36.0,0.7314218180947829,25.0,-1.43559400881629,31.5,0.33776770901965136,1.0,2.118137669989178,-19.0,-8.0,-14.5,,,-0.15924710383391893,-0.1051701307871089,-0.6564688014805626,-0.08579657812076835,-1.2329045550053146,-0.14164591347942057,-1.1731972617160906,0.21970581238035258
T3_full_minus_S3,south_scs_ref,positive,2,20.75,1.4003535413886095,13.405490197848874,36.0,0.7314218180947829,25.0,-1.43559400881629,31.5,0.33776770901965136,1.0,2.118137669989178,-15.25,-4.25,-10.75,-0.02092394874478143,-0.09905995834600256,-0.5441501680195211,-0.07670491490129372,-1.0279417186820972,-0.12269641451251534,-1.4035929616615563,0.1316162363374911,-0.12941696657583668,0.31337886350859545
T3_full_minus_S3,south_scs_ref,positive,3,39.75,1.0646205219257698,11.948412992777422,36.0,0.7314218180947829,25.0,-1.43559400881629,31.5,0.33776770901965136,1.0,2.118137669989178,3.75,14.75,8.25,-0.4491843713938213,0.3018600118870216,0.6761132334847975,0.09716189754408155,0.5195244075342202,-0.022776637466844996,0.37620322353816016,-0.07486014001314589,0.2593186178091551,0.012893680114172357
T3_full_minus_S3,south_scs_ref,positive,4,44.25,0.39620505519561267,11.948412992777422,36.0,0.7314218180947829,25.0,-1.43559400881629,31.5,0.33776770901965136,1.0,2.118137669989178,8.25,19.25,12.75,0.6251982800514342,0.12131313381561348,0.5595164392985026,-0.1245596047095785,0.41597726968442483,-0.07505221304446952,0.2580909389394747,-0.017078265665680603,0.1744461902843238,-0.06277822477523409
T3_full_minus_S3,south_scs_ref,positive,5,49.75,0.5064197823110228,11.948412992777422,36.0,0.7314218180947829,25.0,-1.43559400881629,31.5,0.33776770901965136,1.0,2.118137669989178,13.75,24.75,18.25,0.5195244075342202,-0.022776637466844996,0.37620322353816016,-0.07486014001314589,0.2593186178091551,0.012893680114172357,0.14950407971929924,-0.05437097497585319,-0.08234067898614161,-0.12399717356321427
