window,sector,lat,value
S3,full_easm_lon,51.25,4.035880516004147
S3,full_easm_lon,51.5,3.8816731321186038
S3,full_easm_lon,51.75,3.828085258243402
S3,full_easm_lon,52.0,3.745724002666789
S3,full_easm_lon,52.25,3.6834862040346112
S3,full_easm_lon,52.5,3.6449404823026677
S3,full_easm_lon,52.75,3.607567817420448
S3,full_easm_lon,53.0,3.554306943395929
S3,full_easm_lon,53.25,3.669852919726603
S3,full_easm_lon,53.5,3.5564956202495748
S3,full_easm_lon,53.75,3.6465359277206675
S3,full_easm_lon,54.0,3.609829050405276
S3,full_easm_lon,54.25,3.540249629108619
S3,full_easm_lon,54.5,3.582210945048231
S3,full_easm_lon,54.75,3.690134814287191
S3,full_easm_lon,55.0,3.7843574413242433
S3,full_easm_lon,55.25,3.991629070877183
S3,full_easm_lon,55.5,4.0268500226008035
S3,full_easm_lon,55.75,4.156042879015934
S3,full_easm_lon,56.0,4.069987703511242
S3,full_easm_lon,56.25,3.8654697661463726
S3,full_easm_lon,56.5,3.853018044867791
S3,full_easm_lon,56.75,3.8039877665875177
S3,full_easm_lon,57.0,3.6493251907162256
S3,full_easm_lon,57.25,3.575781543665556
S3,full_easm_lon,57.5,3.3975993687244195
S3,full_easm_lon,57.75,3.3507222817453277
S3,full_easm_lon,58.0,3.3653593590167494
S3,full_easm_lon,58.25,3.2393692709469626
S3,full_easm_lon,58.5,3.041312048567103
S3,full_easm_lon,58.75,2.8059116533368096
S3,full_easm_lon,59.0,2.6745492000865414
S3,full_easm_lon,59.25,2.641185880001178
S3,full_easm_lon,59.5,2.551086213162229
S3,full_easm_lon,59.75,2.390787252430657
S3,full_easm_lon,60.0,2.3018012718970233
S3,west_sector,10.0,8.750029254584625
S3,west_sector,10.25,8.777462665696264
S3,west_sector,10.5,8.533451859843973
S3,west_sector,10.75,8.456001359571946
S3,west_sector,11.0,8.019634828476676
S3,west_sector,11.25,7.846023718593882
S3,west_sector,11.5,7.69907046174895
S3,west_sector,11.75,7.442205531580919
S3,west_sector,12.0,7.585758289415008
S3,west_sector,12.25,6.824577480800568
S3,west_sector,12.5,5.739354016786259
S3,west_sector,12.75,5.442956055950416
S3,west_sector,13.0,5.267004025638779
S3,west_sector,13.25,5.313275439956563
S3,west_sector,13.5,5.756363007266505
S3,west_sector,13.75,6.230756301075423
S3,west_sector,14.0,6.386745080952202
S3,west_sector,14.25,6.370970617990645
S3,west_sector,14.5,6.626328432442108
S3,west_sector,14.75,5.7312212730113625
S3,west_sector,15.0,5.984333902216283
S3,west_sector,15.25,5.9447560369184504
S3,west_sector,15.5,5.322196579844504
S3,west_sector,15.75,5.3346919015897365
S3,west_sector,16.0,5.725863174438477
S3,west_sector,16.25,5.82328414410961
S3,west_sector,16.5,5.674257370367073
S3,west_sector,16.75,5.697492163919809
S3,west_sector,17.0,5.70652147062998
S3,west_sector,17.25,5.9958183926260125
S3,west_sector,17.5,6.501890173507657
S3,west_sector,17.75,7.039915275219073
S3,west_sector,18.0,7.521533514468309
S3,west_sector,18.25,7.859478615845141
S3,west_sector,18.5,7.982117914861562
S3,west_sector,18.75,7.994393546729398
S3,west_sector,19.0,7.602500461621621
S3,west_sector,19.25,7.021842373845797
S3,west_sector,19.5,6.555035870748853
S3,west_sector,19.75,6.53072911520718
S3,west_sector,20.0,6.53779434646122
S3,west_sector,20.25,6.922629068785512
S3,west_sector,20.5,7.542564632095719
S3,west_sector,20.75,8.008921710405762
S3,west_sector,21.0,8.52671076070911
S3,west_sector,21.25,9.511436936376315
S3,west_sector,21.5,10.389087068761015
S3,west_sector,21.75,11.033829358790738
S3,west_sector,22.0,10.717667439917047
S3,west_sector,22.25,10.579399754219315
S3,west_sector,22.5,10.26235982052377
S3,west_sector,22.75,9.578089176411526
S3,west_sector,23.0,8.8627139398138
S3,west_sector,23.25,8.394867550813151
S3,west_sector,23.5,8.182280883105705
S3,west_sector,23.75,8.182706986727897
S3,west_sector,24.0,8.374587283352875
S3,west_sector,24.25,8.298753716163892
S3,west_sector,24.5,8.095778373683663
S3,west_sector,24.75,8.422913458194863
S3,west_sector,25.0,8.656762278757936
S3,west_sector,25.25,8.703672934698682
S3,west_sector,25.5,8.784966593882936
S3,west_sector,25.75,8.471751879149283
S3,west_sector,26.0,8.782032773275223
S3,west_sector,26.25,8.534411363562759
S3,west_sector,26.5,7.720904368359484
S3,west_sector,26.75,7.990581616062153
S3,west_sector,27.0,8.057856493216796
S3,west_sector,27.25,8.00423376874859
S3,west_sector,27.5,8.18876094894236
S3,west_sector,27.75,8.329299645049772
S3,west_sector,28.0,8.387459474680375
S3,west_sector,28.25,8.704397942376513
S3,west_sector,28.5,8.644115765344532
S3,west_sector,28.75,8.47383799780848
S3,west_sector,29.0,8.571275918324787
S3,west_sector,29.25,8.755456853793053
S3,west_sector,29.5,8.917800232296898
S3,west_sector,29.75,8.88234341362328
