day,lat,Je_raw_profile_value
57,35.0,39.07328297696132
57,37.0,38.155456798575
57,39.0,34.2596697200141
57,41.0,29.00363758151763
57,43.0,23.842732118685774
57,45.0,19.171721885633225
58,25.0,12.699659804717331
58,27.0,18.98981335703801
58,29.0,25.722962431799417
58,31.0,32.14315076705502
58,33.0,37.080424901267364
58,35.0,39.30796865983796
58,37.0,38.437165502714144
58,39.0,34.375762600626636
58,41.0,28.786861552029762
58,43.0,23.397466675757702
58,45.0,18.615336792703854
59,25.0,12.241638801916537
59,27.0,18.613593310775048
59,29.0,25.442818573493064
59,31.0,32.01832271157449
59,33.0,37.102577812601346
59,35.0,39.41039769683233
59,37.0,38.58629237985763
59,39.0,34.47349865623665
59,41.0,28.67588177521299
59,43.0,23.115855653541725
59,45.0,18.28230640157241
60,25.0,11.800215384396374
60,27.0,18.17833597758069
60,29.0,25.066929905777144
60,31.0,31.75385643068531
60,33.0,37.02285466912289
60,35.0,39.36323637368226
60,37.0,38.54459010307569
60,39.0,34.38824321412645
60,41.0,28.487799077071855
60,43.0,22.80616189748509
60,45.0,17.90783877787397
61,25.0,11.379654260144141
61,27.0,17.7871525157673
61,29.0,24.691905413409994
61,31.0,31.430062198313944
61,33.0,36.65357630246172
61,35.0,39.03784457322555
61,37.0,38.201420542335136
61,39.0,34.063771722721235
61,41.0,28.259899423950127
61,43.0,22.666906741806226
61,45.0,17.816249433238248
62,25.0,11.053147778098436
62,27.0,17.405651124101883
62,29.0,24.29343817876226
62,31.0,30.97538171194613
62,33.0,36.0968226908951
62,35.0,38.46890109758914
62,37.0,37.68558700838654
62,39.0,33.71563768221711
62,41.0,28.074768826205002
62,43.0,22.548488090904733
62,45.0,17.824645922794577
63,25.0,10.668381728581277
63,27.0,17.018566772796667
63,29.0,23.91276789995605
63,31.0,30.52698496897063
63,33.0,35.661100975987814
63,35.0,38.09663690771227
63,37.0,37.29539099312891
63,39.0,33.381113773405005
63,41.0,27.88669874412176
63,43.0,22.475581296486897
63,45.0,17.80818239542393
64,25.0,10.24512911514579
64,27.0,16.5272973423253
64,29.0,23.37297189397016
64,31.0,29.98754944314777
64,33.0,35.19247887220817
64,35.0,37.769750865122404
64,37.0,37.08466038916668
64,39.0,33.30964960748399
64,41.0,27.906773377034163
64,43.0,22.487056357696147
64,45.0,17.766646347754296
65,25.0,9.7024849399807
65,27.0,15.865389431070772
65,29.0,22.649477311837547
65,31.0,29.280752468964874
65,33.0,34.633183306352684
65,35.0,37.400096773095385
65,37.0,36.87253781241123
65,39.0,33.280829240351395
65,41.0,28.00632862045476
65,43.0,22.662744002724242
65,45.0,17.94756194269075
66,25.0,9.131867936108534
66,27.0,15.247465967449052
66,29.0,21.987110685101047
66,31.0,28.53584481258877
66,33.0,33.96016595221948
66,35.0,36.92691579121355
66,37.0,36.72979799493789
66,39.0,33.2988311540624
66,41.0,28.079882770255438
66,43.0,22.737500618927534
66,45.0,18.030921823703128
67,25.0,8.72856837197267
67,27.0,14.72779092412966
67,29.0,21.324072932259735
67,31.0,27.839745840750997
67,33.0,33.27986892512093
67,35.0,36.24068604150304
67,37.0,36.14340011955004
67,39.0,32.98781150306378
67,41.0,28.003313353813272
67,43.0,22.77340652096363
67,45.0,18.108515742659
68,25.0,8.308229710979502
68,27.0,14.226916509165067
68,29.0,20.77069274180936
68,31.0,27.277977269694105
68,33.0,32.78343022773018
68,35.0,35.80554286638053
68,37.0,35.76233939965292
68,39.0,32.7793417883387
68,41.0,27.96434964305963
68,43.0,22.770346757401402
68,45.0,18.00406877000611
69,25.0,7.837808398393722
69,27.0,13.739355566336295
69,29.0,20.277688295774624
69,31.0,26.83211808726297
69,33.0,32.39116810160112
69,35.0,35.48462949484417
69,37.0,35.500069679927094
69,39.0,32.6427120213054
69,41.0,27.987041261728756
69,43.0,22.87619829340387
69,45.0,18.063217047492582
70,25.0,7.236185911706025
70,27.0,13.14133675201095
70,29.0,19.735238434322046
70,31.0,26.39203851501707
70,33.0,32.103709595807715
70,35.0,35.34895182950714
70,37.0,35.57734540917205
70,39.0,32.7935962901781
70,41.0,28.01005135921495
70,43.0,22.814031802102615
70,45.0,17.908159386722666
71,25.0,6.480051006830886
71,27.0,12.451890215213542
71,29.0,19.174963111125557
71,31.0,26.056034158403342
71,33.0,31.966078747970332
71,35.0,35.454955890161926
71,37.0,35.88559887416866
71,39.0,33.09399243791412
71,41.0,28.015513495528207
71,43.0,22.55918929440163
71,45.0,17.45325916588758
72,25.0,5.795579527896007
72,27.0,11.757829040835537
72,29.0,18.533922918764148
72,31.0,25.598915848430615
72,33.0,31.770384861294968
72,35.0,35.47908015726221
72,37.0,36.066081036910994
72,39.0,33.26407541034866
72,41.0,28.016496057576347
72,43.0,22.32437180645266
72,45.0,17.010364251165807
73,25.0,5.050521199487217
73,27.0,10.99536500157218
73,29.0,17.833870897865445
73,31.0,24.996286291398533
73,33.0,31.35839130868362
73,35.0,35.39916797466007
73,37.0,36.25141539278756
73,39.0,33.48441276773454
73,41.0,28.094349599429233
73,43.0,22.167674378037034
73,45.0,16.67600026689409
74,25.0,4.300203877531104
74,27.0,10.217402206547701
74,29.0,17.07014737765992
74,31.0,24.34443805340279
74,33.0,30.838409692931652
74,35.0,35.06487369333537
74,37.0,36.20777514369941
74,39.0,33.64559455640366
74,41.0,28.36594770263556
74,43.0,22.298128795507292
74,45.0,16.584757756360318
75,25.0,3.6175368283772804
75,27.0,9.477935716527089
75,29.0,16.33182582952214
75,31.0,23.69650487048941
75,33.0,30.313523772611855
75,35.0,34.60290176247321
75,37.0,35.81870441141586
75,39.0,33.45484891046392
75,41.0,28.498186801132757
75,43.0,22.58460191480364
75,45.0,16.784086686933303
