bootstrap_id,profile_std_min_day_day20_40,region2d_std_min_day_day20_40,profile_min_in_day30_34,region2d_min_in_day30_34
266,31,31,True,True
267,23,23,False,False
268,28,27,False,False
269,31,31,True,True
270,28,28,False,False
271,32,31,True,True
272,22,21,False,False
273,32,33,True,True
274,31,31,True,True
275,32,33,True,True
276,31,31,True,True
277,28,28,False,False
278,29,29,False,False
279,23,22,False,False
280,31,31,True,True
281,31,31,True,True
282,31,31,True,True
283,31,31,True,True
284,28,28,False,False
285,31,31,True,True
286,33,33,True,True
287,31,31,True,True
288,31,31,True,True
289,31,34,True,True
290,33,33,True,True
291,31,31,True,True
292,33,33,True,True
293,31,31,True,True
294,32,31,True,True
295,31,31,True,True
296,31,31,True,True
297,30,30,True,True
298,27,27,False,False
299,31,31,True,True
300,33,33,True,True
301,29,29,False,False
302,27,26,False,False
303,31,30,True,True
304,30,30,True,True
305,30,31,True,True
306,32,33,True,True
307,31,31,True,True
308,33,34,True,True
309,31,31,True,True
310,31,21,True,False
311,28,25,False,False
312,31,31,True,True
313,26,23,False,False
314,22,22,False,False
315,32,33,True,True
316,31,31,True,True
317,31,31,True,True
318,28,27,False,False
319,31,31,True,True
320,31,20,True,False
321,31,31,True,True
322,31,31,True,True
323,31,31,True,True
324,32,33,True,True
325,27,27,False,False
326,20,20,False,False
327,31,31,True,True
328,32,34,True,True
329,31,31,True,True
330,31,31,True,True
331,32,32,True,True
332,28,27,False,False
333,34,34,True,True
334,22,21,False,False
335,34,34,True,True
336,31,31,True,True
337,31,31,True,True
338,31,31,True,True
339,31,21,True,False
340,32,34,True,True
341,32,31,True,True
342,31,31,True,True
343,30,28,True,False
344,30,31,True,True
345,33,33,True,True
346,32,33,True,True
347,31,31,True,True
348,33,33,True,True
349,31,31,True,True
350,29,29,False,False
351,31,31,True,True
352,28,28,False,False
353,33,33,True,True
354,31,32,True,True
355,32,32,True,True
356,31,31,True,True
357,31,31,True,True
358,31,20,True,False
359,31,30,True,True
360,30,30,True,True
361,32,32,True,True
362,32,31,True,True
363,33,20,True,False
364,33,33,True,True
365,31,32,True,True
366,31,31,True,True
367,31,31,True,True
368,31,31,True,True
369,34,34,True,True
370,33,34,True,True
371,20,20,False,False
372,28,28,False,False
373,33,33,True,True
374,31,31,True,True
375,31,31,True,True
376,32,32,True,True
377,32,31,True,True
378,32,32,True,True
379,31,31,True,True
380,32,32,True,True
381,31,31,True,True
382,31,32,True,True
383,32,33,True,True
384,31,31,True,True
385,33,34,True,True
386,31,31,True,True
387,33,31,True,True
388,32,32,True,True
389,31,31,True,True
390,31,31,True,True
391,30,31,True,True
392,28,27,False,False
393,27,27,False,False
394,33,33,True,True
395,30,30,True,True
396,33,33,True,True
397,32,33,True,True
398,34,34,True,True
399,28,28,False,False
400,31,32,True,True
401,31,31,True,True
402,31,31,True,True
403,31,31,True,True
404,28,28,False,False
405,32,32,True,True
406,33,34,True,True
407,34,34,True,True
408,36,36,False,False
409,23,23,False,False
410,37,37,False,False
411,31,31,True,True
412,31,34,True,True
413,31,28,True,False
414,31,31,True,True
415,31,31,True,True
416,31,31,True,True
417,32,33,True,True
418,32,33,True,True
419,32,33,True,True
420,31,31,True,True
421,31,23,True,False
422,31,28,True,False
423,31,31,True,True
424,32,33,True,True
425,32,29,True,False
426,31,31,True,True
427,31,31,True,True
428,31,31,True,True
429,31,31,True,True
430,32,31,True,True
431,31,31,True,True
432,33,34,True,True
433,31,31,True,True
434,29,29,False,False
435,33,33,True,True
436,32,33,True,True
437,31,31,True,True
438,30,30,True,True
439,32,32,True,True
440,31,31,True,True
441,32,32,True,True
442,32,33,True,True
443,31,31,True,True
444,24,23,False,False
445,28,20,False,False
446,31,20,True,False
447,28,28,False,False
448,32,33,True,True
449,29,29,False,False
450,34,34,True,True
451,31,31,True,True
452,31,31,True,True
453,34,34,True,True
454,31,31,True,True
455,31,31,True,True
456,33,33,True,True
457,31,31,True,True
458,31,31,True,True
459,34,34,True,True
460,32,34,True,True
461,32,33,True,True
462,33,33,True,True
463,33,33,True,True
464,32,33,True,True
465,31,31,True,True
466,32,33,True,True
467,31,31,True,True
468,33,33,True,True
469,29,29,False,False
470,33,34,True,True
471,27,34,False,True
472,33,33,True,True
473,30,30,True,True
474,31,31,True,True
475,33,32,True,True
476,31,31,True,True
477,31,31,True,True
478,31,31,True,True
479,31,31,True,True
480,31,31,True,True
481,31,31,True,True
482,33,33,True,True
483,32,34,True,True
484,33,34,True,True
485,31,32,True,True
486,33,33,True,True
487,31,31,True,True
488,30,30,True,True
489,32,32,True,True
490,31,31,True,True
491,31,31,True,True
492,31,31,True,True
493,32,33,True,True
494,31,27,True,False
495,31,31,True,True
496,31,32,True,True
497,31,31,True,True
498,30,30,True,True
499,31,31,True,True
500,31,35,True,False
501,33,33,True,True
502,31,31,True,True
503,31,31,True,True
504,31,31,True,True
505,28,28,False,False
506,33,33,True,True
507,31,30,True,True
508,32,32,True,True
509,31,31,True,True
510,36,36,False,False
511,32,32,True,True
512,31,33,True,True
513,31,31,True,True
514,30,31,True,True
515,21,20,False,False
516,31,31,True,True
517,31,31,True,True
518,33,33,True,True
519,32,32,True,True
520,29,28,False,False
521,31,31,True,True
522,33,34,True,True
523,31,20,True,False
524,34,34,True,True
525,34,35,True,False
526,34,34,True,True
527,32,31,True,True
528,30,30,True,True
529,32,32,True,True
530,32,31,True,True
531,30,30,True,True
532,33,34,True,True
533,32,31,True,True
534,31,31,True,True
535,31,31,True,True
536,28,23,False,False
537,32,32,True,True
538,31,31,True,True
539,31,31,True,True
540,36,36,False,False
541,31,31,True,True
542,32,33,True,True
543,32,33,True,True
544,34,34,True,True
545,31,31,True,True
546,31,31,True,True
547,31,31,True,True
548,31,31,True,True
549,32,33,True,True
550,31,30,True,True
551,31,31,True,True
552,33,22,True,False
553,32,32,True,True
554,32,33,True,True
555,31,31,True,True
556,31,31,True,True
557,32,31,True,True
558,31,31,True,True
559,31,37,True,False
560,31,31,True,True
561,31,31,True,True
562,28,28,False,False
563,32,33,True,True
564,32,32,True,True
565,31,31,True,True
566,31,30,True,True
567,32,32,True,True
568,31,31,True,True
569,31,31,True,True
570,31,31,True,True
571,31,31,True,True
572,31,34,True,True
573,32,33,True,True
574,31,31,True,True
575,32,33,True,True
576,31,31,True,True
577,32,32,True,True
578,31,31,True,True
579,33,33,True,True
580,32,32,True,True
581,33,34,True,True
582,31,31,True,True
583,31,30,True,True
584,33,33,True,True
585,33,33,True,True
586,32,32,True,True
587,31,31,True,True
588,34,34,True,True
589,33,33,True,True
590,31,31,True,True
591,31,31,True,True
592,31,31,True,True
593,32,32,True,True
594,31,31,True,True
595,37,37,False,False
596,31,31,True,True
597,31,31,True,True
598,32,33,True,True
599,31,30,True,True
600,31,31,True,True
601,31,31,True,True
602,33,33,True,True
603,32,33,True,True
604,31,31,True,True
605,31,31,True,True
606,31,30,True,True
607,31,31,True,True
608,26,26,False,False
609,31,31,True,True
610,32,34,True,True
611,31,31,True,True
612,31,31,True,True
613,36,36,False,False
614,32,33,True,True
615,31,31,True,True
616,27,27,False,False
617,31,31,True,True
618,31,31,True,True
619,31,31,True,True
620,31,31,True,True
621,28,27,False,False
622,30,29,True,False
623,32,31,True,True
624,31,31,True,True
625,29,29,False,False
626,31,31,True,True
627,32,32,True,True
628,32,32,True,True
629,32,32,True,True
630,29,29,False,False
631,31,31,True,True
632,31,31,True,True
633,31,32,True,True
634,31,31,True,True
635,31,31,True,True
636,33,34,True,True
637,31,31,True,True
638,31,31,True,True
639,33,33,True,True
640,32,32,True,True
641,31,31,True,True
642,32,33,True,True
643,32,33,True,True
644,34,35,True,False
645,32,31,True,True
646,31,31,True,True
647,31,31,True,True
648,31,31,True,True
649,31,31,True,True
650,31,31,True,True
651,31,31,True,True
652,31,31,True,True
653,31,32,True,True
654,26,20,False,False
655,31,31,True,True
656,32,33,True,True
657,32,33,True,True
658,31,31,True,True
659,30,30,True,True
660,32,32,True,True
661,31,31,True,True
662,33,32,True,True
663,32,33,True,True
664,31,27,True,False
665,30,31,True,True
666,31,31,True,True
667,30,30,True,True
668,31,31,True,True
669,31,31,True,True
670,28,28,False,False
671,32,32,True,True
672,31,31,True,True
673,28,28,False,False
674,34,34,True,True
675,31,31,True,True
676,33,34,True,True
677,33,33,True,True
678,27,37,False,False
679,28,28,False,False
680,33,33,True,True
681,31,31,True,True
682,34,34,True,True
683,32,32,True,True
684,33,33,True,True
685,31,31,True,True
686,31,31,True,True
687,31,31,True,True
688,37,37,False,False
689,31,31,True,True
690,31,31,True,True
691,31,31,True,True
692,31,31,True,True
693,32,32,True,True
694,31,31,True,True
695,32,32,True,True
696,31,31,True,True
697,33,20,True,False
698,32,32,True,True
699,31,31,True,True
700,33,34,True,True
701,27,22,False,False
702,31,31,True,True
703,31,31,True,True
704,31,30,True,True
705,32,33,True,True
706,33,33,True,True
707,31,27,True,False
708,34,34,True,True
709,32,32,True,True
710,31,31,True,True
711,32,31,True,True
712,33,34,True,True
713,30,30,True,True
714,29,33,False,True
715,31,31,True,True
716,30,31,True,True
717,34,36,True,False
718,31,30,True,True
719,31,37,True,False
720,30,30,True,True
721,30,20,True,False
722,31,31,True,True
723,33,33,True,True
724,31,31,True,True
725,31,31,True,True
726,31,31,True,True
727,31,31,True,True
728,31,31,True,True
729,32,33,True,True
730,31,31,True,True
731,37,37,False,False
732,30,30,True,True
733,31,31,True,True
734,32,32,True,True
735,32,33,True,True
736,30,28,True,False
737,31,31,True,True
738,32,33,True,True
739,31,31,True,True
740,32,33,True,True
741,31,31,True,True
742,28,27,False,False
743,31,31,True,True
744,31,31,True,True
745,31,31,True,True
746,30,31,True,True
747,31,31,True,True
748,33,33,True,True
749,36,36,False,False
750,33,34,True,True
751,31,31,True,True
752,31,31,True,True
753,32,33,True,True
754,32,31,True,True
755,31,31,True,True
756,34,34,True,True
757,32,33,True,True
758,32,31,True,True
759,31,30,True,True
760,32,32,True,True
761,28,28,False,False
762,31,33,True,True
763,31,31,True,True
764,31,31,True,True
765,31,31,True,True
766,31,31,True,True
767,31,31,True,True
768,31,23,True,False
769,23,23,False,False
770,31,31,True,True
771,32,33,True,True
772,32,33,True,True
773,31,31,True,True
774,30,30,True,True
775,31,31,True,True
776,32,33,True,True
777,33,33,True,True
778,31,31,True,True
779,32,31,True,True
780,33,33,True,True
781,31,31,True,True
782,32,32,True,True
783,31,31,True,True
784,31,31,True,True
785,31,31,True,True
786,32,33,True,True
787,34,34,True,True
788,31,28,True,False
789,31,31,True,True
790,28,31,False,True
791,31,31,True,True
792,31,31,True,True
793,31,31,True,True
794,32,33,True,True
795,31,31,True,True
796,33,31,True,True
797,31,31,True,True
798,33,33,True,True
799,33,33,True,True
800,32,31,True,True
801,31,32,True,True
802,31,31,True,True
803,32,31,True,True
804,31,30,True,True
805,32,20,True,False
806,31,31,True,True
807,33,33,True,True
808,31,31,True,True
809,33,33,True,True
810,29,21,False,False
811,31,31,True,True
812,31,31,True,True
813,31,36,True,False
814,29,27,False,False
815,37,37,False,False
816,32,32,True,True
817,31,31,True,True
818,33,37,True,False
819,31,31,True,True
820,32,32,True,True
821,31,31,True,True
822,31,31,True,True
823,31,31,True,True
824,32,33,True,True
825,33,33,True,True
826,31,31,True,True
827,28,30,False,True
828,31,21,True,False
829,31,31,True,True
830,34,34,True,True
831,32,32,True,True
832,31,31,True,True
833,31,31,True,True
834,31,31,True,True
835,31,31,True,True
836,31,31,True,True
837,31,31,True,True
838,32,33,True,True
839,31,31,True,True
840,28,28,False,False
841,31,31,True,True
842,33,34,True,True
843,31,31,True,True
844,32,32,True,True
845,31,31,True,True
846,31,31,True,True
847,31,31,True,True
848,34,34,True,True
849,32,31,True,True
850,33,33,True,True
851,31,20,True,False
852,31,31,True,True
853,31,31,True,True
854,33,33,True,True
855,31,31,True,True
856,30,30,True,True
857,31,31,True,True
858,31,31,True,True
859,31,31,True,True
860,33,33,True,True
861,36,36,False,False
862,32,32,True,True
863,31,31,True,True
864,30,30,True,True
865,31,31,True,True
866,32,32,True,True
867,32,33,True,True
868,28,28,False,False
869,31,31,True,True
870,31,31,True,True
871,31,31,True,True
872,31,31,True,True
873,31,32,True,True
874,35,35,False,False
875,32,33,True,True
876,31,31,True,True
877,37,37,False,False
878,31,31,True,True
879,31,31,True,True
880,33,33,True,True
881,23,23,False,False
882,32,33,True,True
883,32,33,True,True
884,33,34,True,True
885,31,31,True,True
886,30,29,True,False
887,21,21,False,False
888,31,31,True,True
889,31,31,True,True
890,37,37,False,False
891,32,33,True,True
892,32,22,True,False
893,34,34,True,True
894,34,34,True,True
895,31,31,True,True
896,32,32,True,True
897,33,33,True,True
898,33,33,True,True
899,31,31,True,True
900,31,32,True,True
901,31,31,True,True
902,31,31,True,True
903,31,31,True,True
904,31,31,True,True
905,32,32,True,True
906,31,31,True,True
907,32,33,True,True
908,31,31,True,True
909,31,31,True,True
910,31,31,True,True
911,31,31,True,True
912,31,31,True,True
913,31,31,True,True
914,33,33,True,True
915,31,31,True,True
916,33,32,True,True
917,33,33,True,True
918,31,31,True,True
919,31,31,True,True
920,31,31,True,True
921,33,33,True,True
922,34,34,True,True
923,30,30,True,True
924,30,29,True,False
925,32,33,True,True
926,32,33,True,True
927,32,33,True,True
928,37,37,False,False
929,32,33,True,True
930,32,32,True,True
931,31,30,True,True
932,32,31,True,True
933,31,31,True,True
934,31,31,True,True
935,32,31,True,True
936,31,31,True,True
937,31,31,True,True
938,34,35,True,False
939,31,31,True,True
940,31,29,True,False
941,31,31,True,True
942,31,33,True,True
943,31,31,True,True
944,31,31,True,True
945,31,31,True,True
946,33,34,True,True
947,31,31,True,True
948,32,32,True,True
949,31,30,True,True
950,34,34,True,True
951,31,31,True,True
952,31,31,True,True
953,33,33,True,True
954,31,31,True,True
955,31,30,True,True
956,31,31,True,True
957,29,21,False,False
958,34,34,True,True
959,31,29,True,False
960,33,34,True,True
961,31,31,True,True
962,31,32,True,True
963,32,33,True,True
964,31,31,True,True
965,32,31,True,True
966,31,33,True,True
967,31,28,True,False
968,31,31,True,True
969,31,31,True,True
970,31,31,True,True
971,31,31,True,True
972,31,31,True,True
973,31,33,True,True
974,31,31,True,True
975,27,27,False,False
976,29,29,False,False
977,33,31,True,True
978,34,35,True,False
979,31,31,True,True
980,33,36,True,False
981,31,33,True,True
982,29,28,False,False
983,31,31,True,True
984,31,31,True,True
985,28,28,False,False
986,31,31,True,True
987,28,28,False,False
988,31,32,True,True
989,33,33,True,True
990,31,31,True,True
991,33,34,True,True
992,34,34,True,True
993,32,32,True,True
994,32,32,True,True
995,32,33,True,True
996,31,31,True,True
997,32,32,True,True
998,33,33,True,True
999,36,36,False,False
