window_id,mode_target,tested_y_target,corr_score_y,abs_corr_score_y,own_target_corr,max_other_target_corr,own_minus_max_other,own_abs_rank,n_targets_tested,specificity_margin,specificity_status
W081,W081_P_vs_Je_delta_peak,W081_P_vs_V_delta_peak,-0.07201851322471403,0.07201851322471403,0.4161141633486916,0.4339900125210827,-0.0178758491723911,2,10,0.05,common_mode
W081,W081_P_vs_Je_delta_peak,W081_P_vs_H_delta_peak,0.1760617243786182,0.1760617243786182,0.4161141633486916,0.4339900125210827,-0.0178758491723911,2,10,0.05,common_mode
W081,W081_P_vs_Je_delta_peak,W081_P_vs_Je_delta_peak,0.4161141633486916,0.4161141633486916,0.4161141633486916,0.4339900125210827,-0.0178758491723911,2,10,0.05,common_mode
W081,W081_P_vs_Je_delta_peak,W081_P_vs_Jw_delta_peak,0.23524285484355423,0.23524285484355423,0.4161141633486916,0.4339900125210827,-0.0178758491723911,2,10,0.05,common_mode
W081,W081_P_vs_Je_delta_peak,W081_V_vs_H_delta_peak,0.25350665902031,0.25350665902031,0.4161141633486916,0.4339900125210827,-0.0178758491723911,2,10,0.05,common_mode
W081,W081_P_vs_Je_delta_peak,W081_V_vs_Je_delta_peak,0.4339900125210827,0.4339900125210827,0.4161141633486916,0.4339900125210827,-0.0178758491723911,2,10,0.05,common_mode
W081,W081_P_vs_Je_delta_peak,W081_V_vs_Jw_delta_peak,0.27081290970062705,0.27081290970062705,0.4161141633486916,0.4339900125210827,-0.0178758491723911,2,10,0.05,common_mode
W081,W081_P_vs_Je_delta_peak,W081_H_vs_Je_delta_peak,0.28024580208446004,0.28024580208446004,0.4161141633486916,0.4339900125210827,-0.0178758491723911,2,10,0.05,common_mode
W081,W081_P_vs_Je_delta_peak,W081_H_vs_Jw_delta_peak,0.07017566899295234,0.07017566899295234,0.4161141633486916,0.4339900125210827,-0.0178758491723911,2,10,0.05,common_mode
W081,W081_P_vs_Je_delta_peak,W081_Je_vs_Jw_delta_peak,-0.2136833191267381,0.2136833191267381,0.4161141633486916,0.4339900125210827,-0.0178758491723911,2,10,0.05,common_mode
W081,W081_P_vs_Jw_delta_peak,W081_P_vs_V_delta_peak,-0.02995870105769815,0.02995870105769815,0.5099771455558172,0.48104826184499994,0.028928883710817255,1,10,0.05,common_mode
W081,W081_P_vs_Jw_delta_peak,W081_P_vs_H_delta_peak,0.07078062427005115,0.07078062427005115,0.5099771455558172,0.48104826184499994,0.028928883710817255,1,10,0.05,common_mode
W081,W081_P_vs_Jw_delta_peak,W081_P_vs_Je_delta_peak,0.1761714114426413,0.1761714114426413,0.5099771455558172,0.48104826184499994,0.028928883710817255,1,10,0.05,common_mode
W081,W081_P_vs_Jw_delta_peak,W081_P_vs_Jw_delta_peak,0.5099771455558172,0.5099771455558172,0.5099771455558172,0.48104826184499994,0.028928883710817255,1,10,0.05,common_mode
W081,W081_P_vs_Jw_delta_peak,W081_V_vs_H_delta_peak,0.10297289067416657,0.10297289067416657,0.5099771455558172,0.48104826184499994,0.028928883710817255,1,10,0.05,common_mode
W081,W081_P_vs_Jw_delta_peak,W081_V_vs_Je_delta_peak,0.18368452093919932,0.18368452093919932,0.5099771455558172,0.48104826184499994,0.028928883710817255,1,10,0.05,common_mode
W081,W081_P_vs_Jw_delta_peak,W081_V_vs_Jw_delta_peak,0.48104826184499994,0.48104826184499994,0.5099771455558172,0.48104826184499994,0.028928883710817255,1,10,0.05,common_mode
W081,W081_P_vs_Jw_delta_peak,W081_H_vs_Je_delta_peak,0.12273502766082434,0.12273502766082434,0.5099771455558172,0.48104826184499994,0.028928883710817255,1,10,0.05,common_mode
W081,W081_P_vs_Jw_delta_peak,W081_H_vs_Jw_delta_peak,0.4123277304679085,0.4123277304679085,0.5099771455558172,0.48104826184499994,0.028928883710817255,1,10,0.05,common_mode
W081,W081_P_vs_Jw_delta_peak,W081_Je_vs_Jw_delta_peak,0.23452971621513238,0.23452971621513238,0.5099771455558172,0.48104826184499994,0.028928883710817255,1,10,0.05,common_mode
W081,W081_V_vs_H_delta_peak,W081_P_vs_V_delta_peak,-0.2255923352351574,0.2255923352351574,0.451024602968463,0.38885309077752334,0.06217151219093964,1,10,0.05,pair_specific
W081,W081_V_vs_H_delta_peak,W081_P_vs_H_delta_peak,0.21171679026694232,0.21171679026694232,0.451024602968463,0.38885309077752334,0.06217151219093964,1,10,0.05,pair_specific
W081,W081_V_vs_H_delta_peak,W081_P_vs_Je_delta_peak,0.2477819110311339,0.2477819110311339,0.451024602968463,0.38885309077752334,0.06217151219093964,1,10,0.05,pair_specific
W081,W081_V_vs_H_delta_peak,W081_P_vs_Jw_delta_peak,0.13406233824268,0.13406233824268,0.451024602968463,0.38885309077752334,0.06217151219093964,1,10,0.05,pair_specific
W081,W081_V_vs_H_delta_peak,W081_V_vs_H_delta_peak,0.451024602968463,0.451024602968463,0.451024602968463,0.38885309077752334,0.06217151219093964,1,10,0.05,pair_specific
W081,W081_V_vs_H_delta_peak,W081_V_vs_Je_delta_peak,0.38885309077752334,0.38885309077752334,0.451024602968463,0.38885309077752334,0.06217151219093964,1,10,0.05,pair_specific
W081,W081_V_vs_H_delta_peak,W081_V_vs_Jw_delta_peak,0.30971734101441684,0.30971734101441684,0.451024602968463,0.38885309077752334,0.06217151219093964,1,10,0.05,pair_specific
W081,W081_V_vs_H_delta_peak,W081_H_vs_Je_delta_peak,0.08860709724882833,0.08860709724882833,0.451024602968463,0.38885309077752334,0.06217151219093964,1,10,0.05,pair_specific
W081,W081_V_vs_H_delta_peak,W081_H_vs_Jw_delta_peak,-0.05320553260438211,0.05320553260438211,0.451024602968463,0.38885309077752334,0.06217151219093964,1,10,0.05,pair_specific
W081,W081_V_vs_H_delta_peak,W081_Je_vs_Jw_delta_peak,-0.13302682037043895,0.13302682037043895,0.451024602968463,0.38885309077752334,0.06217151219093964,1,10,0.05,pair_specific
W081,W081_V_vs_Je_delta_peak,W081_P_vs_V_delta_peak,-0.2893911708284147,0.2893911708284147,0.5205514739202907,0.415529525274461,0.10502194864582964,1,10,0.05,pair_specific
W081,W081_V_vs_Je_delta_peak,W081_P_vs_H_delta_peak,0.007390396144887988,0.007390396144887988,0.5205514739202907,0.415529525274461,0.10502194864582964,1,10,0.05,pair_specific
W081,W081_V_vs_Je_delta_peak,W081_P_vs_Je_delta_peak,0.34073727778610396,0.34073727778610396,0.5205514739202907,0.415529525274461,0.10502194864582964,1,10,0.05,pair_specific
W081,W081_V_vs_Je_delta_peak,W081_P_vs_Jw_delta_peak,0.19224184705144687,0.19224184705144687,0.5205514739202907,0.415529525274461,0.10502194864582964,1,10,0.05,pair_specific
W081,W081_V_vs_Je_delta_peak,W081_V_vs_H_delta_peak,0.3118236320760957,0.3118236320760957,0.5205514739202907,0.415529525274461,0.10502194864582964,1,10,0.05,pair_specific
W081,W081_V_vs_Je_delta_peak,W081_V_vs_Je_delta_peak,0.5205514739202907,0.5205514739202907,0.5205514739202907,0.415529525274461,0.10502194864582964,1,10,0.05,pair_specific
W081,W081_V_vs_Je_delta_peak,W081_V_vs_Jw_delta_peak,0.415529525274461,0.415529525274461,0.5205514739202907,0.415529525274461,0.10502194864582964,1,10,0.05,pair_specific
W081,W081_V_vs_Je_delta_peak,W081_H_vs_Je_delta_peak,0.32999035994934817,0.32999035994934817,0.5205514739202907,0.415529525274461,0.10502194864582964,1,10,0.05,pair_specific
W081,W081_V_vs_Je_delta_peak,W081_H_vs_Jw_delta_peak,0.1715539655129632,0.1715539655129632,0.5205514739202907,0.415529525274461,0.10502194864582964,1,10,0.05,pair_specific
W081,W081_V_vs_Je_delta_peak,W081_Je_vs_Jw_delta_peak,-0.17582518553907914,0.17582518553907914,0.5205514739202907,0.415529525274461,0.10502194864582964,1,10,0.05,pair_specific
W081,W081_V_vs_Jw_delta_peak,W081_P_vs_V_delta_peak,-0.2671646529231377,0.2671646529231377,0.6153032357308751,0.45763791271437926,0.15766532301649583,1,10,0.05,pair_specific
W081,W081_V_vs_Jw_delta_peak,W081_P_vs_H_delta_peak,-0.06445530057836164,0.06445530057836164,0.6153032357308751,0.45763791271437926,0.15766532301649583,1,10,0.05,pair_specific
W081,W081_V_vs_Jw_delta_peak,W081_P_vs_Je_delta_peak,0.18439958546995974,0.18439958546995974,0.6153032357308751,0.45763791271437926,0.15766532301649583,1,10,0.05,pair_specific
W081,W081_V_vs_Jw_delta_peak,W081_P_vs_Jw_delta_peak,0.43660346763390756,0.43660346763390756,0.6153032357308751,0.45763791271437926,0.15766532301649583,1,10,0.05,pair_specific
W081,W081_V_vs_Jw_delta_peak,W081_V_vs_H_delta_peak,0.21590756163282887,0.21590756163282887,0.6153032357308751,0.45763791271437926,0.15766532301649583,1,10,0.05,pair_specific
W081,W081_V_vs_Jw_delta_peak,W081_V_vs_Je_delta_peak,0.3609924356936985,0.3609924356936985,0.6153032357308751,0.45763791271437926,0.15766532301649583,1,10,0.05,pair_specific
W081,W081_V_vs_Jw_delta_peak,W081_V_vs_Jw_delta_peak,0.6153032357308751,0.6153032357308751,0.6153032357308751,0.45763791271437926,0.15766532301649583,1,10,0.05,pair_specific
W081,W081_V_vs_Jw_delta_peak,W081_H_vs_Je_delta_peak,0.22993595034031736,0.22993595034031736,0.6153032357308751,0.45763791271437926,0.15766532301649583,1,10,0.05,pair_specific
W081,W081_V_vs_Jw_delta_peak,W081_H_vs_Jw_delta_peak,0.45763791271437926,0.45763791271437926,0.6153032357308751,0.45763791271437926,0.15766532301649583,1,10,0.05,pair_specific
W081,W081_V_vs_Jw_delta_peak,W081_Je_vs_Jw_delta_peak,0.16831285125386508,0.16831285125386508,0.6153032357308751,0.45763791271437926,0.15766532301649583,1,10,0.05,pair_specific
W081,W081_H_vs_Je_delta_peak,W081_P_vs_V_delta_peak,-0.24942243930004662,0.24942243930004662,0.42102096414454787,0.46164760659289494,-0.04062664244834707,2,10,0.05,common_mode
W081,W081_H_vs_Je_delta_peak,W081_P_vs_H_delta_peak,-0.16114897681237783,0.16114897681237783,0.42102096414454787,0.46164760659289494,-0.04062664244834707,2,10,0.05,common_mode
