window_id,bootstrap_id,object,selected_peak_day,peak_score,selected_candidate_id
W045,23,Jw,45.0,,
W045,24,P,45.0,,
W045,24,V,44.0,,
W045,24,H,39.0,,
W045,24,Je,47.0,,
W045,24,Jw,43.0,,
W045,25,P,46.0,,
W045,25,V,51.0,,
W045,25,H,34.0,,
W045,25,Je,46.0,,
W045,25,Jw,42.0,,
W045,26,P,44.0,,
W045,26,V,45.0,,
W045,26,H,35.0,,
W045,26,Je,47.0,,
W045,26,Jw,45.0,,
W045,27,P,41.0,,
W045,27,V,46.0,,
W045,27,H,34.0,,
W045,27,Je,46.0,,
W045,27,Jw,40.0,,
W045,28,P,46.0,,
W045,28,V,45.0,,
W045,28,H,34.0,,
W045,28,Je,46.0,,
W045,28,Jw,41.0,,
W045,29,P,46.0,,
W045,29,V,45.0,,
W045,29,H,48.0,,
W045,29,Je,46.0,,
W045,29,Jw,38.0,,
W045,30,P,45.0,,
W045,30,V,46.0,,
W045,30,H,51.0,,
W045,30,Je,47.0,,
W045,30,Jw,42.0,,
W045,31,P,44.0,,
W045,31,V,48.0,,
W045,31,H,34.0,,
W045,31,Je,46.0,,
W045,31,Jw,44.0,,
W045,32,P,44.0,,
W045,32,V,46.0,,
W045,32,H,35.0,,
W045,32,Je,48.0,,
W045,32,Jw,50.0,,
W045,33,P,45.0,,
W045,33,V,46.0,,
W045,33,H,35.0,,
W045,33,Je,44.0,,
W045,33,Jw,39.0,,
W045,34,P,43.0,,
W045,34,V,44.0,,
W045,34,H,36.0,,
W045,34,Je,45.0,,
W045,34,Jw,39.0,,
W045,35,P,42.0,,
W045,35,V,44.0,,
W045,35,H,33.0,,
W045,35,Je,44.0,,
W045,35,Jw,41.0,,
W045,36,P,43.0,,
W045,36,V,43.0,,
W045,36,H,54.0,,
W045,36,Je,46.0,,
W045,36,Jw,43.0,,
W045,37,P,41.0,,
W045,37,V,45.0,,
W045,37,H,36.0,,
W045,37,Je,45.0,,
W045,37,Jw,48.0,,
W045,38,P,44.0,,
W045,38,V,45.0,,
W045,38,H,39.0,,
W045,38,Je,46.0,,
W045,38,Jw,48.0,,
W045,39,P,45.0,,
W045,39,V,47.0,,
W045,39,H,54.0,,
W045,39,Je,47.0,,
W045,39,Jw,45.0,,
W045,40,P,52.0,,
W045,40,V,51.0,,
W045,40,H,50.0,,
W045,40,Je,47.0,,
W045,40,Jw,41.0,,
W045,41,P,46.0,,
W045,41,V,46.0,,
W045,41,H,48.0,,
W045,41,Je,46.0,,
W045,41,Jw,44.0,,
W045,42,P,45.0,,
W045,42,V,46.0,,
W045,42,H,35.0,,
W045,42,Je,45.0,,
W045,42,Jw,48.0,,
W045,43,P,45.0,,
W045,43,V,45.0,,
W045,43,H,33.0,,
W045,43,Je,46.0,,
W045,43,Jw,40.0,,
W045,44,P,45.0,,
W045,44,V,45.0,,
W045,44,H,33.0,,
W045,44,Je,46.0,,
W045,44,Jw,41.0,,
W045,45,P,47.0,,
W045,45,V,46.0,,
W045,45,H,37.0,,
W045,45,Je,48.0,,
W045,45,Jw,40.0,,
W045,46,P,44.0,,
W045,46,V,43.0,,
W045,46,H,46.0,,
W045,46,Je,46.0,,
W045,46,Jw,40.0,,
W045,47,P,48.0,,
W045,47,V,47.0,,
W045,47,H,36.0,,
W045,47,Je,44.0,,
W045,47,Jw,43.0,,
W045,48,P,45.0,,
W045,48,V,44.0,,
W045,48,H,34.0,,
W045,48,Je,44.0,,
W045,48,Jw,40.0,,
W045,49,P,42.0,,
W045,49,V,46.0,,
W045,49,H,28.0,,
W045,49,Je,48.0,,
W045,49,Jw,48.0,,
W045,50,P,51.0,,
W045,50,V,50.0,,
W045,50,H,37.0,,
W045,50,Je,46.0,,
W045,50,Jw,40.0,,
W045,51,P,45.0,,
W045,51,V,44.0,,
W045,51,H,35.0,,
W045,51,Je,46.0,,
W045,51,Jw,41.0,,
W045,52,P,46.0,,
W045,52,V,46.0,,
W045,52,H,36.0,,
W045,52,Je,47.0,,
W045,52,Jw,41.0,,
W045,53,P,46.0,,
W045,53,V,46.0,,
W045,53,H,46.0,,
W045,53,Je,46.0,,
W045,53,Jw,45.0,,
W045,54,P,42.0,,
W045,54,V,45.0,,
W045,54,H,52.0,,
W045,54,Je,46.0,,
W045,54,Jw,41.0,,
W045,55,P,45.0,,
W045,55,V,48.0,,
W045,55,H,49.0,,
W045,55,Je,47.0,,
W045,55,Jw,42.0,,
W045,56,P,45.0,,
W045,56,V,45.0,,
W045,56,H,32.0,,
W045,56,Je,46.0,,
W045,56,Jw,42.0,,
W045,57,P,45.0,,
W045,57,V,42.0,,
W045,57,H,31.0,,
W045,57,Je,46.0,,
W045,57,Jw,44.0,,
W045,58,P,46.0,,
W045,58,V,41.0,,
W045,58,H,35.0,,
W045,58,Je,46.0,,
W045,58,Jw,42.0,,
W045,59,P,41.0,,
W045,59,V,44.0,,
W045,59,H,33.0,,
W045,59,Je,49.0,,
W045,59,Jw,40.0,,
W045,60,P,44.0,,
W045,60,V,45.0,,
W045,60,H,37.0,,
W045,60,Je,47.0,,
W045,60,Jw,42.0,,
W045,61,P,42.0,,
W045,61,V,45.0,,
W045,61,H,32.0,,
W045,61,Je,45.0,,
W045,61,Jw,43.0,,
W045,62,P,41.0,,
W045,62,V,44.0,,
W045,62,H,34.0,,
W045,62,Je,47.0,,
W045,62,Jw,46.0,,
W045,63,P,45.0,,
W045,63,V,44.0,,
W045,63,H,41.0,,
W045,63,Je,50.0,,
W045,63,Jw,42.0,,
W045,64,P,43.0,,
W045,64,V,46.0,,
W045,64,H,34.0,,
W045,64,Je,47.0,,
W045,64,Jw,39.0,,
W045,65,P,46.0,,
W045,65,V,46.0,,
W045,65,H,39.0,,
W045,65,Je,50.0,,
W045,65,Jw,49.0,,
W045,66,P,45.0,,
W045,66,V,45.0,,
W045,66,H,35.0,,
W045,66,Je,47.0,,
W045,66,Jw,38.0,,
W045,67,P,45.0,,
W045,67,V,44.0,,
W045,67,H,33.0,,
W045,67,Je,46.0,,
W045,67,Jw,46.0,,
W045,68,P,41.0,,
W045,68,V,41.0,,
W045,68,H,41.0,,
W045,68,Je,46.0,,
W045,68,Jw,39.0,,
W045,69,P,41.0,,
W045,69,V,45.0,,
W045,69,H,35.0,,
W045,69,Je,46.0,,
W045,69,Jw,48.0,,
W045,70,P,44.0,,
W045,70,V,44.0,,
W045,70,H,55.0,,
W045,70,Je,45.0,,
W045,70,Jw,48.0,,
W045,71,P,45.0,,
W045,71,V,44.0,,
W045,71,H,36.0,,
W045,71,Je,49.0,,
W045,71,Jw,41.0,,
W045,72,P,45.0,,
W045,72,V,47.0,,
W045,72,H,35.0,,
W045,72,Je,47.0,,
W045,72,Jw,46.0,,
W045,73,P,45.0,,
W045,73,V,41.0,,
W045,73,H,34.0,,
W045,73,Je,44.0,,
W045,73,Jw,42.0,,
W045,74,P,45.0,,
W045,74,V,43.0,,
W045,74,H,34.0,,
W045,74,Je,46.0,,
W045,74,Jw,40.0,,
W045,75,P,47.0,,
W045,75,V,47.0,,
W045,75,H,37.0,,
W045,75,Je,45.0,,
W045,75,Jw,46.0,,
W045,76,P,43.0,,
W045,76,V,46.0,,
W045,76,H,32.0,,
W045,76,Je,46.0,,
W045,76,Jw,40.0,,
W045,77,P,46.0,,
W045,77,V,46.0,,
W045,77,H,35.0,,
W045,77,Je,46.0,,
W045,77,Jw,44.0,,
W045,78,P,45.0,,
W045,78,V,45.0,,
W045,78,H,34.0,,
W045,78,Je,46.0,,
W045,78,Jw,40.0,,
W045,79,P,45.0,,
W045,79,V,44.0,,
W045,79,H,34.0,,
W045,79,Je,46.0,,
W045,79,Jw,47.0,,
W045,80,P,46.0,,
W045,80,V,45.0,,
W045,80,H,50.0,,
W045,80,Je,44.0,,
W045,80,Jw,39.0,,
W045,81,P,46.0,,
W045,81,V,46.0,,
W045,81,H,37.0,,
W045,81,Je,49.0,,
W045,81,Jw,40.0,,
W045,82,P,46.0,,
W045,82,V,48.0,,
W045,82,H,48.0,,
W045,82,Je,46.0,,
W045,82,Jw,41.0,,
W045,83,P,44.0,,
W045,83,V,44.0,,
W045,83,H,30.0,,
W045,83,Je,46.0,,
W045,83,Jw,43.0,,
W045,84,P,46.0,,
W045,84,V,46.0,,
W045,84,H,53.0,,
W045,84,Je,46.0,,
W045,84,Jw,42.0,,
W045,85,P,42.0,,
W045,85,V,42.0,,
W045,85,H,36.0,,
W045,85,Je,47.0,,
W045,85,Jw,41.0,,
W045,86,P,46.0,,
W045,86,V,46.0,,
W045,86,H,36.0,,
W045,86,Je,52.0,,
W045,86,Jw,46.0,,
W045,87,P,44.0,,
W045,87,V,44.0,,
W045,87,H,34.0,,
W045,87,Je,46.0,,
W045,87,Jw,40.0,,
W045,88,P,46.0,,
W045,88,V,46.0,,
W045,88,H,46.0,,
W045,88,Je,45.0,,
W045,88,Jw,44.0,,
W045,89,P,43.0,,
W045,89,V,43.0,,
W045,89,H,35.0,,
W045,89,Je,46.0,,
W045,89,Jw,46.0,,
W045,90,P,40.0,,
W045,90,V,45.0,,
W045,90,H,36.0,,
W045,90,Je,46.0,,
W045,90,Jw,46.0,,
W045,91,P,41.0,,
W045,91,V,41.0,,
W045,91,H,57.0,,
W045,91,Je,44.0,,
W045,91,Jw,45.0,,
W045,92,P,45.0,,
W045,92,V,44.0,,
W045,92,H,38.0,,
W045,92,Je,49.0,,
W045,92,Jw,45.0,,
W045,93,P,43.0,,
W045,93,V,46.0,,
W045,93,H,32.0,,
W045,93,Je,46.0,,
W045,93,Jw,40.0,,
W045,94,P,43.0,,
W045,94,V,44.0,,
W045,94,H,50.0,,
W045,94,Je,45.0,,
W045,94,Jw,46.0,,
W045,95,P,45.0,,
