window,family,n_indices,ar1_mean,ar1_median,ar1_p75,ar1_p90,effective_n_mean,effective_n_median,variance_median
S4,Je,3,0.653113689664452,0.9444967054035903,0.9587421231154759,0.9672893737426073,533.8458963498998,47.52540091542162,9.763557014310415
S4,Jw,3,0.6248640023625502,0.9454060689439965,0.9625240229617762,0.9727947953724441,635.2646245987369,46.72489546492857,6.670913177797353
S4,P,7,0.9649196940697947,0.9654957400838611,0.9684757402524649,0.9707756824067186,29.740232168468783,29.22905992048608,0.013827812879932967
S4,V,3,0.9679951579673637,0.9728397880650999,0.9752291939385247,0.9766628374625795,27.124874542221548,22.92216182235499,8.709866889606202
S5,H,4,0.8711973661791985,0.9119272240271321,0.9523875928473297,0.9653888206809774,49.195067472143045,31.307276676995205,61.35705572040884
S5,Je,3,0.6385436295753592,0.930352575046115,0.9526458215125129,0.9660217693923516,231.36811856898143,24.354106317986638,8.342602137671935
S5,Jw,3,0.629408963673963,0.9295391380966929,0.9527877948269823,0.9667369888651558,243.8896491043948,24.648933439954376,4.440780098566899
S5,P,7,0.9543930200999418,0.9544554985414585,0.9577195444460009,0.961850274694897,15.758710884479646,15.72946455289342,0.009832198574124066
S5,V,3,0.9547235544246128,0.9719793138229369,0.9722985425406745,0.9724900797713171,15.23070379238825,9.591359826615236,25.77808959023272
T1,H,4,0.905211018730087,0.9471834058840161,0.9700017183317147,0.9797421671132941,21.645246755152822,11.018714204564068,48.7763648239824
T1,Je,3,0.6527971519922208,0.8867943595897588,0.9242332444276682,0.9466965753304138,118.99722189567932,24.299566157340195,10.132797495869983
T1,Jw,3,0.6387303140815218,0.8721534027610873,0.92377046383156,0.9547407004738436,128.55620850412836,27.65685322869197,25.993002010811207
T1,P,7,0.9545019167443617,0.9523813068645164,0.9631737975362733,0.9697810924352251,9.44563462861018,9.877973453271323,0.022308809748886632
T1,V,3,0.9584632593869662,0.9648433995918116,0.9656580817083247,0.9661468909782326,8.60083396037061,7.246594394379857,5.493350022445593
T2,H,4,0.8977576662450413,0.9192562631524583,0.9681133755671608,0.9781003866254377,30.601652081147055,23.004656365059,13.527069160997733
T2,Je,3,0.6112510566083126,0.9434784003875857,0.9526948499187458,0.9582247196374417,216.50857314067335,15.704658093764682,4.6228083628874375
T2,Jw,3,0.689722241791053,0.9587850792311557,0.9679341500467203,0.9734235925360591,143.53065153256026,11.362174161502006,3.7773413524611055
T2,P,7,0.9591533955888585,0.9607613607029817,0.9670465701129138,0.9687146592319511,11.274458960078459,10.806447763124606,0.015450022851723899
T2,V,3,0.9640907676094782,0.9718707112406901,0.9720798596765112,0.972205348738004,9.891028784096344,7.703251457328042,1.440074235383563
T3,H,4,0.8591940602471841,0.9085525163907946,0.9569958491746273,0.9719027796169205,40.5882953618873,23.947509285126095,24.732841177885227
T3,Je,3,0.6446726985952657,0.9388134093100148,0.9542355156330514,0.9634887794268734,164.52848644892717,15.6215973368584,13.414496214482341
T3,Jw,3,0.6034515074645183,0.8796726240123106,0.926311195970738,0.9542943391457943,192.3887134863844,31.687460014588243,9.184400523677546
T3,P,7,0.9693699772179477,0.9692815047502108,0.9758020307804245,0.9762542344876106,7.703726375599424,7.7214228194228545,0.017199844242606007
T3,V,3,0.9658106866999644,0.9677609782651774,0.9700053216773923,0.9713519277247213,8.614053960586864,8.10988526299897,2.6294581130263532
T4,H,4,0.8486850910779824,0.90463121934252,0.9519674394020836,0.9659075825425739,40.008322475240305,22.73669091188326,48.17832838406335
T4,Je,3,0.6578071984274995,0.9415306264145772,0.958201563476587,0.9682041257137929,140.24298386010798,13.551791434796558,9.960543882207077
T4,Jw,3,0.6401302834034108,0.8897472825412166,0.9305790093062571,0.9550780453652814,144.15052502876583,26.25415753461756,6.661032741496652
T4,P,7,0.9580099627091536,0.961582905773271,0.9655397005650541,0.9700518737154502,9.670190025806876,8.813133694807108,0.010984534753794378
T4,V,3,0.963638123208503,0.9722129524247355,0.9742385956542149,0.9754539815919026,8.360103126857174,6.340173049515666,14.192178001803708
S1,ALL,20,0.8463599980600837,0.949716136804905,0.9628962632819613,0.9699679379217181,189.19745321802657,40.62371247364192,4.269729048202925
S2,ALL,20,0.8419605837143725,0.9608056702726253,0.9674162410935173,0.9741502880440603,157.16401465791495,23.38720864797423,4.398574696048872
S3,ALL,20,0.8620849399613825,0.966438491999997,0.9693780770329442,0.976513147603924,103.15712762442645,15.360580389137727,3.64690014071179
S4,ALL,20,0.8460514031278439,0.9633913076676086,0.9723107514847115,0.9776698210405195,217.6968271903898,31.045830677593063,5.469730905654476
S5,ALL,20,0.8416784524219094,0.9504298305909766,0.9668422866429442,0.9741445821109593,88.92783302386117,17.15606380361084,4.55371309346351
T1,ALL,20,0.8526164834256502,0.9517013818101578,0.9652507406500682,0.9725302243187196,46.05816112507087,10.022557167446058,6.0255848620201995
T2,ALL,20,0.8550148316064353,0.9597732199670688,0.9684147651813,0.9727684293873277,65.55592907085635,11.084310962313307,2.550491097606174
T3,ALL,20,0.8432085379896807,0.9632814165298289,0.9724246907994968,0.9762003784427192,65.64365138822203,9.257835019677497,4.1659978311879
T4,ALL,20,0.8442768459197122,0.9551630760472236,0.9716112901596571,0.9749053516150272,55.29927280644013,10.320757524343755,5.489539153007943
