window,source_index,target_index,source_family,target_family,family_direction,v1_status,failure_reason,evidence_tier,positive_peak_lag,positive_peak_abs_r,ar1_null_p95_abs_r,ar1_null_p99_abs_r,observed_minus_ar1_p95,observed_minus_ar1_p99,observed_over_ar1_p95,p_pos_surrogate,q_pos_within_window,q_pos_global,source_ar1,target_ar1,mean_ar1,max_ar1,source_effective_n,target_effective_n,pair_effective_n_proxy
S1,P_main_band_share,Jw_strength,P,Jw,P→Jw,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,4,0.1436218098451995,0.34040586470198775,0.4022766937313894,-0.19678405485678824,-0.2586548838861899,0.42191344138837,0.1058941058941058,0.1725681725681725,0.2361532273036697,0.9608354378346371,0.9699191898165336,0.9653773138255853,0.9699191898165336,31.458114342611438,24.05036525552708,55.49155493079968
S1,P_main_band_share,Jw_axis_lat,P,Jw,P→Jw,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,5,0.0589436663891188,0.2181909149063745,0.26052367289288675,-0.1592472485172557,-0.20158000650376795,0.27014720761591504,0.4445554445554445,0.5226071638285379,0.5993714456749476,0.9608354378346371,0.8739856664176857,0.9174105521261614,0.9608354378346371,31.458114342611438,105.90933481980441,137.18319948407046
S1,P_main_band_share,Jw_meridional_width,P,Jw,P→Jw,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,3,0.0468517130269558,0.07918062195443215,0.09512904862948444,-0.03232890892747635,-0.04827733560252864,0.5917068074297094,0.1768231768231768,0.2618343195266272,0.3364130721714798,0.9608354378346371,0.20764349241174077,0.5842394651231889,0.9608354378346371,31.458114342611438,1033.385686498629,1051.0696289178122
S1,P_south_band_share_18_24,V_strength,P,V,P→V,tier4_ambiguous,same_day_exceeds_positive_lag,Tier4b_ambiguous_same_day_dominant,1,0.3115846415548617,0.303036607741707,0.35942583449823395,0.00854803381315472,-0.047841192943372246,1.0282079247020897,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.9466830512972704,0.9659115879712734,0.9562973196342719,0.9659115879712734,43.13706545646387,27.31010350300092,70.4137286591023
S1,P_south_band_share_18_24,V_pos_centroid_lat,P,V,P→V,other_not_supported,reverse_lag_dominant,Tier5b_no_reverse_dominant,1,0.2999441017667099,0.2319381778050516,0.2766808542154927,0.06800592396165828,0.02326324755121717,1.2932071149529274,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.9466830512972704,0.9044254732004244,0.9255542622488474,0.9466830512972704,43.13706545646387,78.54029288422271,121.23683085545127
S1,P_south_band_share_18_24,V_NS_diff,P,V,P→V,other_not_supported,reverse_lag_dominant,Tier5b_no_reverse_dominant,1,0.4131255651407054,0.2903987395695811,0.3448275935966591,0.1227268255711243,0.06829797154404632,1.42261486999918,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.9466830512972704,0.9580839064821512,0.9523834788897108,0.9580839064821512,43.13706545646387,33.71553541299358,76.80756862849114
S1,P_south_band_share_18_24,H_strength,P,H,P→H,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,1,0.0693481996485079,0.34722238230064423,0.4100391501808396,-0.2778741826521363,-0.34069095053233167,0.19972272291036358,0.4955044955044955,0.5652421652421652,0.6376687379472894,0.9466830512972704,0.9871965675384656,0.9669398094178681,0.9871965675384656,43.13706545646387,15.909090909090924,53.27532982798557
S1,P_south_band_share_18_24,H_centroid_lat,P,H,P→H,other_not_supported,reverse_lag_dominant,Tier5b_no_reverse_dominant,1,0.2557792775159854,0.30102591828526754,0.3571066961904548,-0.04524664076928214,-0.10132741867446943,0.8496918769419578,0.0049950049950049,0.0153846153846153,0.0254524886877828,0.9466830512972704,0.9647278821585789,0.9557054667279246,0.9647278821585789,43.13706545646387,28.2754604872831,71.37742974563729
S1,P_south_band_share_18_24,H_west_extent_lon,P,H,P→H,lead_lag_yes,,Tier1a_audit_stable_clear_leadlag,2,0.2330286468117089,0.2498304598126575,0.29763849123061964,-0.0168018130009486,-0.06460984441891074,0.9327471397460986,0.0019980019980019,0.006914433880726,0.01294033069734,0.9466830512972704,0.9251140359128208,0.9358985436050455,0.9466830512972704,43.13706545646387,61.26670484815289,104.29265657270368
S1,P_south_band_share_18_24,H_zonal_width,P,H,P→H,other_not_supported,same_day_only_without_positive_lag_support,Tier5c_no_same_day_only,1,0.0716092140434946,0.14629885351660646,0.1753699616521171,-0.07468963947311186,-0.1037607476086225,0.4894721477456158,0.1858141858141858,0.2699564586357039,0.3482602590107661,0.9466830512972704,0.7118036404294723,0.8292433458633713,0.9466830512972704,43.13706545646387,265.16433053600724,306.8863123757553
S1,P_south_band_share_18_24,Je_strength,P,Je,P→Je,tier4_ambiguous,positive_support_with_same_day_or_uncertain_direction,Tier4b_ambiguous_same_day_dominant,1,0.1739418435664492,0.31103255614065195,0.36863518500749004,-0.13709071257420274,-0.19469334144104083,0.5592399899378733,0.0329670329670329,0.0746606334841629,0.1067577282530553,0.9466830512972704,0.9704066708683786,0.9585448610828244,0.9704066708683786,43.13706545646387,23.654758213827193,66.76436037243464
S1,P_south_band_share_18_24,Je_axis_lat,P,Je,P→Je,lead_lag_yes,,Tier1b_audit_stable_with_same_day,2,0.2823809458831869,0.21427521870813815,0.2559132970939839,0.06810572717504876,0.02646764878920299,1.317842294529704,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.9466830512972704,0.8812653930758041,0.9139742221865372,0.9466830512972704,43.13706545646387,99.40490405761335,142.2959950807596
S1,P_south_band_share_18_24,Je_meridional_width,P,Je,P→Je,tier4_ambiguous,direction_difference_not_stable,Tier4c_ambiguous_direction_uncertain,5,0.0760671388260491,0.06469798157540024,0.07775345206061453,0.011369157250648854,-0.0016863132345654314,1.1757266142437384,0.0229770229770229,0.0557238037552998,0.0828248474542362,0.9466830512972704,-0.03818272443244831,0.45425016343241104,0.9466830512972704,43.13706545646387,1700.0503448186037,1575.0
S1,P_south_band_share_18_24,Jw_strength,P,Jw,P→Jw,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,5,0.0740391162708936,0.31013649211823757,0.36760420263129623,-0.23609737584734397,-0.2935650863604026,0.23873074646974035,0.4285714285714285,0.5096525096525096,0.5869565217391305,0.9466830512972704,0.9699191898165336,0.958301120556902,0.9699191898165336,43.13706545646387,24.05036525552708,67.15934292027224
S1,P_south_band_share_18_24,Jw_axis_lat,P,Jw,P→Jw,other_not_supported,same_day_only_without_positive_lag_support,Tier5c_no_same_day_only,1,0.0939617050459058,0.20960508647800832,0.2504100200810281,-0.11564338143210252,-0.1564483150351223,0.4482796988600953,0.1618381618381618,0.2467631378522467,0.3165951902719722,0.9466830512972704,0.8739856664176857,0.910334358857478,0.9466830512972704,43.13706545646387,105.90933481980441,148.77240309206366
S1,P_south_band_share_18_24,Jw_meridional_width,P,Jw,P→Jw,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,3,0.0576687942025091,0.07893913020616548,0.09483945517482109,-0.02127033600365638,-0.03717066097231199,0.7305476264039824,0.0959040959040959,0.1622992392223161,0.2211698451299117,0.9466830512972704,0.20764349241174077,0.5771632718545056,0.9466830512972704,43.13706545646387,1033.385686498629,1057.518967816846
S1,P_main_minus_south,V_strength,P,V,P→V,other_not_supported,reverse_lag_dominant,Tier5b_no_reverse_dominant,1,0.4790285832198492,0.3142049068263624,0.3722830098085178,0.16482367639348683,0.1067455734113314,1.5245738459602498,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.9527492223125397,0.9659115879712734,0.9593304051419065,0.9659115879712734,38.110359490819974,27.31010350300092,65.3930259883672
S1,P_main_minus_south,V_pos_centroid_lat,P,V,P→V,other_not_supported,same_day_only_without_positive_lag_support,Tier5c_no_same_day_only,4,0.1203732526579376,0.23678312655310962,0.282364016097288,-0.11640987389517203,-0.16199076343935043,0.5083692170562597,0.1268731268731268,0.1993720565149137,0.2664335664335664,0.9527492223125397,0.9044254732004244,0.9285873477564821,0.9527492223125397,38.110359490819974,78.54029288422271,116.26749345319556
S1,P_main_minus_south,V_NS_diff,P,V,P→V,other_not_supported,reverse_lag_dominant,Tier5b_no_reverse_dominant,1,0.5256393997832023,0.3001799046597172,0.35613050600338636,0.22545949512348507,0.16950889377981593,1.751081240361726,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.9527492223125397,0.9580839064821512,0.9554165643973455,0.9580839064821512,38.110359490819974,33.71553541299358,71.7887098736069
S1,P_main_minus_south,H_strength,P,H,P→H,other_not_supported,reverse_lag_dominant,Tier5b_no_reverse_dominant,1,0.2071564147343239,0.36432792889722126,0.4294404665398629,-0.15717151416289737,-0.222284051805539,0.5685987768254894,0.0189810189810189,0.0483153210425937,0.0714882943143812,0.9527492223125397,0.9871965675384656,0.9699728949255026,0.9871965675384656,38.110359490819974,15.909090909090924,48.250502742158126
S1,P_main_minus_south,H_centroid_lat,P,H,P→H,other_not_supported,reverse_lag_dominant,Tier5b_no_reverse_dominant,1,0.2573939849851733,0.3119648899307945,0.3697076110317486,-0.054570904945621224,-0.1123136260465753,0.8250735685104593,0.0049950049950049,0.0153846153846153,0.0254524886877828,0.9527492223125397,0.9647278821585789,0.9587385522355593,0.9647278821585789,38.110359490819974,28.2754604872831,66.35699438033339
S1,P_main_minus_south,H_west_extent_lon,P,H,P→H,lead_lag_yes,,Tier1b_audit_stable_with_same_day,2,0.2681618665138968,0.25596610001645304,0.30480575338609484,0.01219576649744375,-0.03664388687219805,1.0476460222531805,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.9527492223125397,0.9251140359128208,0.9389316291126802,0.9527492223125397,38.110359490819974,61.26670484815289,99.28361332313337
S1,P_main_minus_south,H_zonal_width,P,H,P→H,other_not_supported,same_day_only_without_positive_lag_support,Tier5c_no_same_day_only,1,0.0727951067695707,0.14746141482554637,0.1767545218493935,-0.07466630805597567,-0.1039594150798228,0.4936552850499275,0.1718281718281718,0.2594268476621418,0.3296247005589566,0.9527492223125397,0.7118036404294723,0.832276431371006,0.9527492223125397,38.110359490819974,265.16433053600724,302.04422981260467
S1,P_main_minus_south,Je_strength,P,Je,P→Je,other_not_supported,same_day_only_without_positive_lag_support,Tier5c_no_same_day_only,1,0.1490547357878996,0.3231461668502211,0.3825458396476647,-0.17409143106232147,-0.2334911038597651,0.46126103626965437,0.0739260739260739,0.133153396311291,0.1854507483466759,0.9527492223125397,0.9704066708683786,0.9615779465904591,0.9704066708683786,38.110359490819974,23.654758213827193,61.742679613065434
S1,P_main_minus_south,Je_axis_lat,P,Je,P→Je,lead_lag_yes,,Tier1b_audit_stable_with_same_day,1,0.375486438084569,0.21809467290781165,0.26041039963410495,0.15739176517675735,0.11507603845046405,1.7216671690247412,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.9527492223125397,0.8812653930758041,0.9170073076941718,0.9527492223125397,38.110359490819974,99.40490405761335,137.30557345848393
S1,P_main_minus_south,Je_meridional_width,P,Je,P→Je,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,5,0.0653830583258941,0.06469798157540024,0.07775345206061453,0.0006850767504938543,-0.01237039373472043,1.0105888427090335,0.0579420579420579,0.115136476426799,0.157930565010211,0.9527492223125397,-0.03818272443244831,0.4572832489400457,0.9527492223125397,38.110359490819974,1700.0503448186037,1575.0
S1,P_main_minus_south,Jw_strength,P,Jw,P→Jw,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,4,0.123014427753144,0.32214147974357327,0.38139403622869145,-0.19912705199042927,-0.2583796084755474,0.3818646013890055,0.1878121878121878,0.2715781870711448,0.3508189923284263,0.9527492223125397,0.9699191898165336,0.9613342060645367,0.9699191898165336,38.110359490819974,24.05036525552708,62.13776541494551
S1,P_main_minus_south,Jw_axis_lat,P,Jw,P→Jw,other_not_supported,same_day_only_without_positive_lag_support,Tier5c_no_same_day_only,1,0.0693005825219924,0.21317335932034576,0.2546153171861726,-0.14387277679835336,-0.1853147346641802,0.32509025866525426,0.3736263736263736,0.4640198511166253,0.5402672444925966,0.9527492223125397,0.8739856664176857,0.9133674443651127,0.9527492223125397,38.110359490819974,105.90933481980441,143.78573949715806
S1,P_main_minus_south,Jw_meridional_width,P,Jw,P→Jw,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,3,0.0571851046067487,0.07904251550547217,0.09496343395462747,-0.02185741089872347,-0.037778329347878774,0.7234727316185899,0.0739260739260739,0.133153396311291,0.1854507483466759,0.9527492223125397,0.20764349241174077,0.5801963573621403,0.9527492223125397,38.110359490819974,1033.385686498629,1054.750697419363
S1,P_spread_lat,V_strength,P,V,P→V,other_not_supported,reverse_lag_dominant,Tier5b_no_reverse_dominant,1,0.165965895066571,0.31531410820862255,0.3735576524863636,-0.14934821314205154,-0.20759175741979258,0.5263509965014389,0.0479520479520479,0.0984615384615384,0.1396250808015514,0.9533186938650046,0.9659115879712734,0.959615140918139,0.9659115879712734,37.64007245389065,27.31010350300092,64.92327219063593
S1,P_spread_lat,V_pos_centroid_lat,P,V,P→V,other_not_supported,reverse_lag_dominant,Tier5b_no_reverse_dominant,1,0.2998269083964542,0.23725217770839763,0.28291390050830695,0.06257473068805658,0.016913007888147258,1.2637477611057635,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.9533186938650046,0.9044254732004244,0.9288720835327144,0.9533186938650046,37.64007245389065,78.54029288422271,115.80249235145408
S1,P_spread_lat,V_NS_diff,P,V,P→V,other_not_supported,reverse_lag_dominant,Tier5b_no_reverse_dominant,5,0.1604708507303548,0.30114643829628107,0.35724574171743506,-0.14067558756592627,-0.19677489098708026,0.5328665071989879,0.0419580419580419,0.0897435897435897,0.127390681607549,0.9533186938650046,0.9580839064821512,0.9557013001735779,0.9580839064821512,37.64007245389065,33.71553541299358,71.31912194004909
S1,P_spread_lat,H_strength,P,H,P→H,other_not_supported,reverse_lag_dominant,Tier5b_no_reverse_dominant,1,0.2077226303734935,0.3660605544289349,0.43139925270291535,-0.15833792405544142,-0.22367662232942184,0.5674542855281056,0.0069930069930069,0.0207100591715976,0.0332497690988257,0.9533186938650046,0.9871965675384656,0.9702576307017351,0.9871965675384656,37.64007245389065,15.909090909090924,47.780380919166156
S1,P_spread_lat,H_centroid_lat,P,H,P→H,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,2,0.0145362650565543,0.3130504231396144,0.3709558859838526,-0.2985141580830601,-0.3564196209272983,0.04643426100743971,0.955044955044955,0.9612870789341376,0.9729454668815196,0.9533186938650046,0.9647278821585789,0.9590232880117917,0.9647278821585789,37.64007245389065,28.2754604872831,65.88726458865816
S1,P_spread_lat,H_west_extent_lon,P,H,P→H,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,5,0.0562973193025593,0.25656361297594926,0.3055031781532296,-0.20026629367338997,-0.2492058588506703,0.21942830727066787,0.5104895104895105,0.5759368836291914,0.6485228795036311,0.9533186938650046,0.9251140359128208,0.9392163648889127,0.9533186938650046,37.64007245389065,61.26670484815289,98.81491520406425
S1,P_spread_lat,H_zonal_width,P,H,P→H,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,5,0.0260876615415966,0.14757166916997155,0.1768858189077632,-0.12148400762837495,-0.15079815736616659,0.17677960606076154,0.7832167832167832,0.8289717155696537,0.862222765320462,0.9533186938650046,0.7118036404294723,0.8325611671472384,0.9533186938650046,37.64007245389065,265.16433053600724,301.59095059338847
S1,P_spread_lat,Je_strength,P,Je,P→Je,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,2,0.0838215119441166,0.32435326584332325,0.38392922628017456,-0.24053175389920664,-0.300107714336058,0.2584266007810325,0.3486513486513486,0.4474358974358974,0.5179322285431611,0.9533186938650046,0.9704066708683786,0.9618626823666916,0.9704066708683786,37.64007245389065,23.654758213827193,61.272838104718694
S1,P_spread_lat,Je_axis_lat,P,Je,P→Je,other_not_supported,same_day_only_without_positive_lag_support,Tier5c_no_same_day_only,1,0.1037894250474382,0.21846263092375,0.26084346080331533,-0.11467320587631182,-0.15705403575587712,0.47509006281108007,0.1168831168831168,0.1894736842105263,0.2525331254871395,0.9533186938650046,0.8812653930758041,0.9172920434704044,0.9533186938650046,37.64007245389065,99.40490405761335,136.83857840978064
S1,P_spread_lat,Je_meridional_width,P,Je,P→Je,other_not_supported,same_day_only_without_positive_lag_support,Tier5c_no_same_day_only,1,0.0624636272023068,0.06469798157540024,0.07775345206061453,-0.002234354373093446,-0.015289824858307731,0.9654648519368493,0.0769230769230769,0.1363636363636363,0.1902147807589377,0.9533186938650046,-0.03818272443244831,0.45756798471627813,0.9533186938650046,37.64007245389065,1700.0503448186037,1575.0
S1,P_spread_lat,Jw_strength,P,Jw,P→Jw,other_not_supported,same_day_only_without_positive_lag_support,Tier5c_no_same_day_only,1,0.1505722706552874,0.3233373024181651,0.38276492318432875,-0.17276503176287772,-0.23219265252904137,0.4656817185310575,0.0729270729270729,0.133153396311291,0.1841109709962169,0.9533186938650046,0.9699191898165336,0.961618941840769,0.9699191898165336,37.64007245389065,24.05036525552708,61.66793315575526
S1,P_spread_lat,Jw_axis_lat,P,Jw,P→Jw,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,4,0.0209764012350402,0.21351667789634537,0.2550197731756233,-0.1925402766613052,-0.2340433719405831,0.09824244851366358,0.8961038961038961,0.9169435215946844,0.93594574227581,0.9533186938650046,0.8739856664176857,0.9136521801413451,0.9533186938650046,37.64007245389065,105.90933481980441,143.31908941452943
S1,P_spread_lat,Jw_meridional_width,P,Jw,P→Jw,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,3,0.0206428678277495,0.07905223064742721,0.09497508422440587,-0.05840936281967771,-0.07433221639665637,0.261129479316234,0.7672327672327672,0.8159151193633952,0.8500276701715551,0.9533186938650046,0.20764349241174077,0.5804810931383727,0.9533186938650046,37.64007245389065,1033.385686498629,1054.4911204888376
S1,P_north_band_share_35_45,V_strength,P,V,P→V,tier4_ambiguous,same_day_exceeds_positive_lag,Tier4b_ambiguous_same_day_dominant,1,0.2668087456711396,0.27198912853988416,0.32347314812919703,-0.00518038286874456,-0.05666440245805743,0.9809537134937917,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.9260030390439205,0.9659115879712734,0.9459573135075969,0.9659115879712734,60.51143801085539,27.31010350300092,87.76307441668347
S1,P_north_band_share_35_45,V_pos_centroid_lat,P,V,P→V,other_not_supported,reverse_lag_dominant,Tier5b_no_reverse_dominant,1,0.2233969560873986,0.2172390496160714,0.25940326722989243,0.00615790647132719,-0.036006311142493835,1.0283462226621325,0.0019980019980019,0.006914433880726,0.01294033069734,0.9260030390439205,0.9044254732004244,0.9152142561221724,0.9260030390439205,60.51143801085539,78.54029288422271,138.40067754096103
S1,P_north_band_share_35_45,V_NS_diff,P,V,P→V,tier4_ambiguous,same_day_exceeds_positive_lag,Tier4b_ambiguous_same_day_dominant,1,0.3328797651973871,0.2627486121187107,0.31271653750231543,0.0701311530786764,0.020163227695071673,1.2669135053204046,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.9260030390439205,0.9580839064821512,0.9420434727630358,0.9580839064821512,60.51143801085539,33.71553541299358,94.14954068444945
S1,P_north_band_share_35_45,H_strength,P,H,P→H,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,3,0.1066693876687386,0.30255750316638064,0.3588733531382073,-0.19588811549764204,-0.25220396546946866,0.3525590558898802,0.1958041958041958,0.2805008944543828,0.3599265456029382,0.9260030390439205,0.9871965675384656,0.9565998032911931,0.9871965675384656,60.51143801085539,15.909090909090924,70.64161703975407
S1,P_north_band_share_35_45,H_centroid_lat,P,H,P→H,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,5,0.1277899310636812,0.27053377576464777,0.32178065751274126,-0.14274384470096657,-0.19399072644906007,0.47236220580033117,0.1218781218781218,0.1934972244250594,0.2596819014958907,0.9260030390439205,0.9647278821585789,0.9453654606012496,0.9647278821585789,60.51143801085539,28.2754604872831,88.72570074435325
S1,P_north_band_share_35_45,H_west_extent_lon,P,H,P→H,lead_lag_yes,,Tier3_surrogate_or_persistence_sensitive_yes,3,0.1714689018827039,0.23159902350438588,0.27628280240910397,-0.06013012162168199,-0.10481390052640008,0.7403697100625155,0.0169830169830169,0.0447074293228139,0.066026540079836,0.9260030390439205,0.9251140359128208,0.9255585374783706,0.9260030390439205,60.51143801085539,61.26670484815289,121.5964149409449
S1,P_north_band_share_35_45,H_zonal_width,P,H,P→H,tier4_ambiguous,same_day_exceeds_positive_lag,Tier4b_ambiguous_same_day_dominant,1,0.1047006682931213,0.14249136309835203,0.170833926741762,-0.03779069480523073,-0.06613325844864071,0.7347860671446704,0.0329670329670329,0.0746606334841629,0.1067577282530553,0.9260030390439205,0.7118036404294723,0.8189033397366964,0.9260030390439205,60.51143801085539,265.16433053600724,323.5827320654987
S1,P_north_band_share_35_45,Je_strength,P,Je,P→Je,tier4_ambiguous,same_day_exceeds_positive_lag,Tier4b_ambiguous_same_day_dominant,1,0.3055364772021828,0.2777211431996125,0.33013306316722163,0.027815334002570302,-0.02459658596503883,1.1001556225864229,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.9260030390439205,0.9704066708683786,0.9482048549561495,0.9704066708683786,60.51143801085539,23.654758213827193,84.11765820600831
S1,P_north_band_share_35_45,Je_axis_lat,P,Je,P→Je,lead_lag_yes,,Tier1b_audit_stable_with_same_day,4,0.2908071224470429,0.202480255089452,0.24200468226629576,0.08832686735759088,0.048802440180747114,1.4362245954232413,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.9260030390439205,0.8812653930758041,0.9036342160598623,0.9260030390439205,60.51143801085539,99.40490405761335,159.52950757492772
S1,P_north_band_share_35_45,Je_meridional_width,P,Je,P→Je,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,5,0.0370514775320347,0.06469798157540024,0.07775345206061453,-0.027646504043365543,-0.04070197452857983,0.5726836700284724,0.3996003996003996,0.4807692307692308,0.5614253967016257,0.9260030390439205,-0.03818272443244831,0.4439101573057361,0.9260030390439205,60.51143801085539,1700.0503448186037,1575.0
S1,P_north_band_share_35_45,Jw_strength,P,Jw,P→Jw,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,5,0.0695461647778587,0.27708320050668633,0.32939233395791967,-0.20753703572882765,-0.259846169180061,0.2509937977137682,0.4065934065934066,0.4853905784138342,0.5683696031653672,0.9260030390439205,0.9699191898165336,0.947961114430227,0.9699191898165336,60.51143801085539,24.05036525552708,84.51222200694183
S1,P_north_band_share_35_45,Jw_axis_lat,P,Jw,P→Jw,other_not_supported,same_day_only_without_positive_lag_support,Tier5c_no_same_day_only,1,0.0822086225585613,0.19853410007676264,0.2373445200133044,-0.11632547751820134,-0.1551358974547431,0.41407809805356144,0.2277722277722277,0.3188811188811189,0.3978478987930783,0.9260030390439205,0.8739856664176857,0.8999943527308031,0.9260030390439205,60.51143801085539,105.90933481980441,165.99193057278603
