window,family_direction,surrogate_failure_attribution,n
S2,P→Jw,observed_weak,7
S2,V→H,does_not_exceed_ar1_null_threshold,2
S2,V→Je,does_not_exceed_ar1_null_threshold,2
S2,V→Je,observed_weak,5
S2,V→Jw,does_not_exceed_ar1_null_threshold,1
S2,V→Jw,observed_weak,2
S3,H→Je,does_not_exceed_ar1_null_threshold,3
S3,H→Je,observed_weak,4
S3,H→Jw,both_observed_weak_and_null_high,1
S3,H→Jw,does_not_exceed_ar1_null_threshold,6
S3,H→Jw,observed_weak,4
S3,H→P,both_observed_weak_and_null_high,1
S3,H→P,does_not_exceed_ar1_null_threshold,10
S3,H→P,null_threshold_high,2
S3,H→V,does_not_exceed_ar1_null_threshold,1
S3,H→V,observed_weak,3
S3,Je→H,does_not_exceed_ar1_null_threshold,2
S3,Je→H,observed_weak,5
S3,Je→Jw,does_not_exceed_ar1_null_threshold,1
S3,Je→Jw,observed_moderate_but_null_high,1
S3,Je→Jw,observed_weak,5
S3,Je→P,does_not_exceed_ar1_null_threshold,7
S3,Je→P,observed_weak,5
S3,Je→V,does_not_exceed_ar1_null_threshold,2
S3,Je→V,null_threshold_high,1
S3,Je→V,observed_weak,6
S3,Jw→H,does_not_exceed_ar1_null_threshold,4
S3,Jw→H,null_threshold_high,1
S3,Jw→H,observed_weak,6
S3,Jw→Je,does_not_exceed_ar1_null_threshold,1
S3,Jw→Je,observed_weak,5
S3,Jw→P,does_not_exceed_ar1_null_threshold,7
S3,Jw→P,observed_weak,4
S3,Jw→P,uncertain_or_existing_v1_pq_failure,1
S3,Jw→V,both_observed_weak_and_null_high,1
S3,Jw→V,does_not_exceed_ar1_null_threshold,1
S3,Jw→V,null_threshold_high,1
S3,Jw→V,observed_weak,5
S3,Jw→V,uncertain_or_existing_v1_pq_failure,1
S3,P→H,does_not_exceed_ar1_null_threshold,7
S3,P→H,null_threshold_high,4
S3,P→H,observed_weak,4
S3,P→Je,does_not_exceed_ar1_null_threshold,7
S3,P→Je,observed_weak,5
S3,P→Jw,both_observed_weak_and_null_high,1
S3,P→Jw,does_not_exceed_ar1_null_threshold,11
S3,P→Jw,observed_weak,3
S3,P→V,does_not_exceed_ar1_null_threshold,6
S3,V→H,does_not_exceed_ar1_null_threshold,2
S3,V→Je,both_observed_weak_and_null_high,1
S3,V→Je,does_not_exceed_ar1_null_threshold,2
S3,V→Je,observed_weak,6
S3,V→Jw,does_not_exceed_ar1_null_threshold,2
S3,V→Jw,null_threshold_high,2
S3,V→Jw,observed_weak,5
S3,V→P,does_not_exceed_ar1_null_threshold,2
S3,V→P,observed_weak,2
S4,H→Je,does_not_exceed_ar1_null_threshold,1
S4,H→Je,observed_weak,4
S4,H→Jw,does_not_exceed_ar1_null_threshold,2
S4,H→Jw,observed_weak,8
S4,H→P,does_not_exceed_ar1_null_threshold,10
S4,H→P,observed_weak,8
S4,Je→H,does_not_exceed_ar1_null_threshold,1
S4,Je→H,observed_weak,5
S4,Je→Jw,observed_weak,8
S4,Je→P,does_not_exceed_ar1_null_threshold,10
S4,Je→P,observed_weak,6
S4,Je→V,does_not_exceed_ar1_null_threshold,1
S4,Je→V,observed_weak,3
S4,Jw→H,does_not_exceed_ar1_null_threshold,4
S4,Jw→H,observed_weak,5
S4,Jw→Je,observed_weak,6
S4,Jw→P,does_not_exceed_ar1_null_threshold,7
S4,Jw→P,observed_weak,9
S4,Jw→V,does_not_exceed_ar1_null_threshold,5
S4,Jw→V,observed_weak,3
S4,P→H,does_not_exceed_ar1_null_threshold,9
S4,P→H,observed_weak,10
S4,P→Je,does_not_exceed_ar1_null_threshold,5
S4,P→Je,observed_weak,8
S4,P→Jw,does_not_exceed_ar1_null_threshold,7
S4,P→Jw,observed_weak,9
S4,P→V,does_not_exceed_ar1_null_threshold,6
S4,P→V,observed_weak,4
S4,V→H,does_not_exceed_ar1_null_threshold,2
S4,V→H,observed_weak,3
S4,V→Je,does_not_exceed_ar1_null_threshold,3
S4,V→Jw,does_not_exceed_ar1_null_threshold,4
S4,V→Jw,observed_weak,3
S4,V→P,does_not_exceed_ar1_null_threshold,5
S4,V→P,observed_weak,2
S5,H→Je,does_not_exceed_ar1_null_threshold,2
S5,H→Je,observed_weak,5
S5,H→Jw,does_not_exceed_ar1_null_threshold,4
S5,H→Jw,null_threshold_high,1
S5,H→Jw,observed_weak,3
S5,H→P,both_observed_weak_and_null_high,1
S5,H→P,does_not_exceed_ar1_null_threshold,14
S5,H→P,null_threshold_high,1
S5,H→P,observed_moderate_but_null_high,2
S5,H→P,observed_weak,8
S5,H→V,does_not_exceed_ar1_null_threshold,5
S5,H→V,observed_weak,1
S5,Je→H,does_not_exceed_ar1_null_threshold,3
S5,Je→H,observed_weak,4
S5,Je→H,uncertain_or_existing_v1_pq_failure,1
S5,Je→Jw,does_not_exceed_ar1_null_threshold,1
S5,Je→Jw,null_threshold_high,1
S5,Je→Jw,observed_weak,6
S5,Je→P,both_observed_weak_and_null_high,1
S5,Je→P,does_not_exceed_ar1_null_threshold,7
S5,Je→P,null_threshold_high,1
S5,Je→P,observed_moderate_but_null_high,3
S5,Je→P,observed_weak,6
S5,Je→V,does_not_exceed_ar1_null_threshold,3
S5,Je→V,null_threshold_high,1
S5,Je→V,observed_moderate_but_null_high,1
S5,Je→V,observed_weak,4
S5,Jw→H,both_observed_weak_and_null_high,1
S5,Jw→H,does_not_exceed_ar1_null_threshold,4
S5,Jw→H,observed_weak,3
S5,Jw→Je,does_not_exceed_ar1_null_threshold,3
S5,Jw→Je,observed_weak,1
S5,Jw→P,both_observed_weak_and_null_high,1
S5,Jw→P,does_not_exceed_ar1_null_threshold,5
S5,Jw→P,null_threshold_high,3
S5,Jw→P,observed_moderate_but_null_high,1
S5,Jw→P,observed_weak,6
S5,Jw→V,observed_moderate_but_null_high,1
S5,Jw→V,observed_weak,3
S5,P→H,both_observed_weak_and_null_high,2
S5,P→H,does_not_exceed_ar1_null_threshold,17
S5,P→H,null_threshold_high,2
S5,P→H,observed_weak,2
S5,P→Je,both_observed_weak_and_null_high,2
S5,P→Je,does_not_exceed_ar1_null_threshold,6
S5,P→Je,null_threshold_high,1
S5,P→Je,observed_moderate_but_null_high,2
S5,P→Je,observed_weak,6
S5,P→Jw,both_observed_weak_and_null_high,1
S5,P→Jw,does_not_exceed_ar1_null_threshold,6
S5,P→Jw,null_threshold_high,2
S5,P→Jw,observed_moderate_but_null_high,2
S5,P→Jw,observed_weak,7
S5,P→V,both_observed_weak_and_null_high,1
S5,P→V,does_not_exceed_ar1_null_threshold,6
S5,P→V,null_threshold_high,2
S5,V→H,does_not_exceed_ar1_null_threshold,3
S5,V→H,observed_weak,1
S5,V→Je,does_not_exceed_ar1_null_threshold,3
S5,V→Je,observed_moderate_but_null_high,2
S5,V→Je,observed_weak,3
S5,V→Jw,observed_weak,1
S5,V→P,does_not_exceed_ar1_null_threshold,3
S5,V→P,null_threshold_high,1
S5,V→P,observed_weak,1
T1,H→Je,does_not_exceed_ar1_null_threshold,4
T1,H→Je,null_threshold_high,1
T1,H→Je,observed_moderate_but_null_high,1
T1,H→Je,observed_weak,4
T1,H→Jw,both_observed_weak_and_null_high,1
T1,H→Jw,does_not_exceed_ar1_null_threshold,3
T1,H→Jw,observed_moderate_but_null_high,2
T1,H→Jw,observed_weak,6
T1,H→P,both_observed_weak_and_null_high,2
T1,H→P,does_not_exceed_ar1_null_threshold,4
T1,H→P,null_threshold_high,4
T1,H→P,observed_moderate_but_null_high,4
T1,H→V,does_not_exceed_ar1_null_threshold,1
T1,H→V,null_threshold_high,1
T1,H→V,observed_moderate_but_null_high,1
T1,H→V,observed_weak,2
T1,Je→H,does_not_exceed_ar1_null_threshold,7
T1,Je→H,observed_moderate_but_null_high,2
T1,Je→Jw,does_not_exceed_ar1_null_threshold,4
T1,Je→Jw,null_threshold_high,1
T1,Je→Jw,observed_weak,1
T1,Je→P,both_observed_weak_and_null_high,1
T1,Je→P,does_not_exceed_ar1_null_threshold,3
T1,Je→P,observed_moderate_but_null_high,2
T1,Je→P,observed_weak,4
T1,Je→V,does_not_exceed_ar1_null_threshold,4
T1,Je→V,observed_moderate_but_null_high,1
T1,Jw→H,both_observed_weak_and_null_high,1
T1,Jw→H,does_not_exceed_ar1_null_threshold,4
T1,Jw→H,null_threshold_high,1
T1,Jw→H,observed_moderate_but_null_high,1
T1,Jw→H,observed_weak,4
T1,Jw→Je,does_not_exceed_ar1_null_threshold,3
T1,Jw→Je,observed_moderate_but_null_high,1
T1,Jw→Je,observed_weak,1
T1,Jw→P,both_observed_weak_and_null_high,1
T1,Jw→P,does_not_exceed_ar1_null_threshold,9
T1,Jw→P,null_threshold_high,5
T1,Jw→P,observed_moderate_but_null_high,1
T1,Jw→P,observed_weak,2
T1,Jw→V,does_not_exceed_ar1_null_threshold,3
T1,Jw→V,null_threshold_high,1
T1,Jw→V,observed_moderate_but_null_high,2
T1,Jw→V,observed_weak,1
T1,P→H,does_not_exceed_ar1_null_threshold,3
T1,P→H,null_threshold_high,4
T1,P→H,observed_moderate_but_null_high,9
T1,P→H,observed_weak,1
T1,P→Je,does_not_exceed_ar1_null_threshold,2
T1,P→Je,null_threshold_high,2
T1,P→Je,observed_moderate_but_null_high,1
T1,P→Je,observed_weak,6
T1,P→Jw,does_not_exceed_ar1_null_threshold,9
T1,P→Jw,null_threshold_high,3
T1,P→Jw,observed_moderate_but_null_high,4
T1,P→V,null_threshold_high,1
T1,V→H,does_not_exceed_ar1_null_threshold,3
T1,V→H,null_threshold_high,1
T1,V→H,observed_moderate_but_null_high,1
T1,V→Je,observed_moderate_but_null_high,1
T1,V→Je,observed_weak,3
T1,V→Jw,does_not_exceed_ar1_null_threshold,3
T1,V→Jw,null_threshold_high,1
T1,V→Jw,observed_weak,2
T1,V→P,null_threshold_high,1
T2,H→Je,does_not_exceed_ar1_null_threshold,2
T2,H→Je,observed_moderate_but_null_high,2
T2,H→Je,observed_weak,4
T2,H→Jw,both_observed_weak_and_null_high,1
T2,H→Jw,does_not_exceed_ar1_null_threshold,5
T2,H→Jw,null_threshold_high,1
T2,H→Jw,observed_moderate_but_null_high,1
T2,H→Jw,observed_weak,3
T2,H→P,both_observed_weak_and_null_high,1
T2,H→P,does_not_exceed_ar1_null_threshold,3
T2,H→P,null_threshold_high,1
T2,H→P,observed_moderate_but_null_high,4
T2,H→P,observed_weak,2
T2,H→V,does_not_exceed_ar1_null_threshold,3
T2,Je→H,does_not_exceed_ar1_null_threshold,1
T2,Je→H,null_threshold_high,2
T2,Je→H,observed_weak,5
T2,Je→Jw,both_observed_weak_and_null_high,2
T2,Je→Jw,does_not_exceed_ar1_null_threshold,3
T2,Je→Jw,null_threshold_high,1
T2,Je→Jw,observed_weak,1
T2,Je→P,both_observed_weak_and_null_high,3
T2,Je→P,does_not_exceed_ar1_null_threshold,2
T2,Je→P,null_threshold_high,1
T2,Je→P,observed_moderate_but_null_high,3
T2,Je→P,observed_weak,6
T2,Je→V,both_observed_weak_and_null_high,2
T2,Je→V,does_not_exceed_ar1_null_threshold,3
T2,Je→V,null_threshold_high,1
T2,Je→V,observed_moderate_but_null_high,2
T2,Je→V,observed_weak,1
T2,Jw→H,both_observed_weak_and_null_high,1
T2,Jw→H,does_not_exceed_ar1_null_threshold,3
T2,Jw→H,null_threshold_high,2
T2,Jw→H,observed_weak,5
T2,Jw→Je,null_threshold_high,2
T2,Jw→Je,observed_moderate_but_null_high,1
T2,Jw→Je,observed_weak,5
T2,Jw→P,both_observed_weak_and_null_high,1
T2,Jw→P,does_not_exceed_ar1_null_threshold,3
T2,Jw→P,null_threshold_high,4
T2,Jw→P,observed_moderate_but_null_high,5
T2,Jw→P,observed_weak,4
T2,Jw→V,both_observed_weak_and_null_high,2
T2,Jw→V,does_not_exceed_ar1_null_threshold,2
T2,Jw→V,null_threshold_high,2
T2,Jw→V,observed_weak,2
T2,P→H,both_observed_weak_and_null_high,2
T2,P→H,does_not_exceed_ar1_null_threshold,6
T2,P→H,null_threshold_high,6
T2,P→H,observed_moderate_but_null_high,4
T2,P→Je,both_observed_weak_and_null_high,1
T2,P→Je,null_threshold_high,1
T2,P→Je,observed_moderate_but_null_high,4
T2,P→Je,observed_weak,8
T2,P→Jw,both_observed_weak_and_null_high,2
T2,P→Jw,does_not_exceed_ar1_null_threshold,3
T2,P→Jw,null_threshold_high,5
T2,P→Jw,observed_moderate_but_null_high,3
T2,P→Jw,observed_weak,4
T2,P→V,does_not_exceed_ar1_null_threshold,1
T2,V→H,does_not_exceed_ar1_null_threshold,2
T2,V→H,null_threshold_high,2
T2,V→Je,both_observed_weak_and_null_high,2
T2,V→Je,does_not_exceed_ar1_null_threshold,3
T2,V→Je,null_threshold_high,1
T2,V→Je,observed_moderate_but_null_high,2
T2,V→Jw,both_observed_weak_and_null_high,1
T2,V→Jw,null_threshold_high,3
T2,V→Jw,observed_moderate_but_null_high,1
T2,V→Jw,observed_weak,4
T2,V→P,does_not_exceed_ar1_null_threshold,1
T3,H→Je,does_not_exceed_ar1_null_threshold,4
T3,H→Je,null_threshold_high,1
T3,H→Je,observed_moderate_but_null_high,1
T3,H→Je,observed_weak,3
T3,H→Jw,both_observed_weak_and_null_high,1
T3,H→Jw,does_not_exceed_ar1_null_threshold,5
T3,H→Jw,observed_moderate_but_null_high,1
T3,H→Jw,uncertain_or_existing_v1_pq_failure,2
T3,H→P,both_observed_weak_and_null_high,2
T3,H→P,does_not_exceed_ar1_null_threshold,8
T3,H→P,observed_moderate_but_null_high,3
T3,H→V,does_not_exceed_ar1_null_threshold,2
T3,H→V,observed_moderate_but_null_high,3
T3,H→V,observed_weak,4
T3,Je→H,does_not_exceed_ar1_null_threshold,3
T3,Je→H,null_threshold_high,2
T3,Je→H,observed_weak,4
T3,Je→Jw,both_observed_weak_and_null_high,1
T3,Je→Jw,does_not_exceed_ar1_null_threshold,1
T3,Je→Jw,observed_moderate_but_null_high,1
T3,Je→Jw,observed_weak,4
T3,Je→Jw,uncertain_or_existing_v1_pq_failure,1
T3,Je→P,both_observed_weak_and_null_high,2
T3,Je→P,does_not_exceed_ar1_null_threshold,3
T3,Je→P,null_threshold_high,2
T3,Je→P,observed_moderate_but_null_high,5
T3,Je→P,observed_weak,5
T3,Je→V,does_not_exceed_ar1_null_threshold,1
T3,Je→V,observed_moderate_but_null_high,5
T3,Jw→H,does_not_exceed_ar1_null_threshold,5
T3,Jw→H,null_threshold_high,1
T3,Jw→H,observed_moderate_but_null_high,1
T3,Jw→H,observed_weak,3
T3,Jw→Je,does_not_exceed_ar1_null_threshold,2
T3,Jw→Je,observed_moderate_but_null_high,1
T3,Jw→Je,observed_weak,4
T3,Jw→P,does_not_exceed_ar1_null_threshold,5
T3,Jw→P,null_threshold_high,2
T3,Jw→P,observed_moderate_but_null_high,4
T3,Jw→P,observed_weak,2
T3,Jw→P,uncertain_or_existing_v1_pq_failure,1
T3,Jw→V,does_not_exceed_ar1_null_threshold,5
T3,Jw→V,null_threshold_high,2
T3,Jw→V,observed_moderate_but_null_high,1
T3,Jw→V,observed_weak,1
T3,P→H,does_not_exceed_ar1_null_threshold,7
T3,P→H,null_threshold_high,5
T3,P→H,observed_weak,3
T3,P→Je,both_observed_weak_and_null_high,2
T3,P→Je,does_not_exceed_ar1_null_threshold,1
T3,P→Je,null_threshold_high,4
T3,P→Je,observed_moderate_but_null_high,3
T3,P→Je,observed_weak,7
T3,P→Jw,does_not_exceed_ar1_null_threshold,3
T3,P→Jw,null_threshold_high,3
T3,P→Jw,observed_moderate_but_null_high,2
T3,P→Jw,observed_weak,4
T3,P→Jw,uncertain_or_existing_v1_pq_failure,1
T3,P→V,both_observed_weak_and_null_high,4
T3,P→V,null_threshold_high,5
T3,P→V,observed_moderate_but_null_high,3
T3,V→H,does_not_exceed_ar1_null_threshold,2
T3,V→H,null_threshold_high,1
T3,V→H,observed_moderate_but_null_high,3
T3,V→H,observed_weak,4
T3,V→Je,does_not_exceed_ar1_null_threshold,1
T3,V→Je,null_threshold_high,2
T3,V→Je,observed_moderate_but_null_high,2
T3,V→Jw,does_not_exceed_ar1_null_threshold,3
T3,V→Jw,null_threshold_high,2
T3,V→Jw,observed_moderate_but_null_high,1
T3,V→Jw,observed_weak,1
T3,V→Jw,uncertain_or_existing_v1_pq_failure,1
T3,V→P,both_observed_weak_and_null_high,1
T3,V→P,null_threshold_high,1
T3,V→P,observed_moderate_but_null_high,9
T4,H→Je,does_not_exceed_ar1_null_threshold,2
T4,H→Je,null_threshold_high,1
T4,H→Je,observed_moderate_but_null_high,1
T4,H→Je,observed_weak,6
T4,H→Jw,both_observed_weak_and_null_high,1
T4,H→Jw,does_not_exceed_ar1_null_threshold,2
T4,H→Jw,observed_moderate_but_null_high,1
T4,H→Jw,observed_weak,5
T4,H→P,does_not_exceed_ar1_null_threshold,9
T4,H→P,null_threshold_high,5
T4,H→P,observed_moderate_but_null_high,4
T4,H→P,observed_weak,3
T4,H→V,does_not_exceed_ar1_null_threshold,6
T4,H→V,observed_moderate_but_null_high,1
T4,Je→H,does_not_exceed_ar1_null_threshold,2
T4,Je→H,observed_moderate_but_null_high,2
T4,Je→H,observed_weak,6
T4,Je→Jw,both_observed_weak_and_null_high,1
T4,Je→Jw,does_not_exceed_ar1_null_threshold,1
T4,Je→Jw,null_threshold_high,1
T4,Je→Jw,observed_weak,5
T4,Je→P,both_observed_weak_and_null_high,7
T4,Je→P,does_not_exceed_ar1_null_threshold,1
T4,Je→P,null_threshold_high,2
T4,Je→P,observed_moderate_but_null_high,2
T4,Je→P,observed_weak,7
T4,Je→V,both_observed_weak_and_null_high,1
T4,Je→V,null_threshold_high,1
T4,Je→V,observed_moderate_but_null_high,2
T4,Je→V,observed_weak,3
T4,Jw→H,does_not_exceed_ar1_null_threshold,6
T4,Jw→H,observed_moderate_but_null_high,1
T4,Jw→H,observed_weak,1
T4,Jw→Je,does_not_exceed_ar1_null_threshold,3
T4,Jw→Je,null_threshold_high,1
T4,Jw→Je,observed_weak,2
T4,Jw→P,does_not_exceed_ar1_null_threshold,8
T4,Jw→P,null_threshold_high,3
T4,Jw→P,observed_moderate_but_null_high,4
T4,Jw→P,observed_weak,2
T4,Jw→V,does_not_exceed_ar1_null_threshold,4
T4,Jw→V,null_threshold_high,1
T4,Jw→V,observed_moderate_but_null_high,2
T4,Jw→V,observed_weak,2
T4,P→H,both_observed_weak_and_null_high,1
T4,P→H,does_not_exceed_ar1_null_threshold,8
T4,P→H,null_threshold_high,4
T4,P→H,observed_moderate_but_null_high,5
T4,P→H,observed_weak,3
T4,P→Je,both_observed_weak_and_null_high,3
T4,P→Je,does_not_exceed_ar1_null_threshold,5
T4,P→Je,null_threshold_high,6
T4,P→Je,observed_moderate_but_null_high,2
T4,P→Je,observed_weak,2
T4,P→Jw,both_observed_weak_and_null_high,2
T4,P→Jw,does_not_exceed_ar1_null_threshold,10
T4,P→Jw,null_threshold_high,3
T4,P→Jw,observed_moderate_but_null_high,2
T4,P→Jw,observed_weak,2
T4,P→V,null_threshold_high,1
T4,P→V,observed_moderate_but_null_high,5
T4,V→H,does_not_exceed_ar1_null_threshold,1
T4,V→H,observed_moderate_but_null_high,1
T4,V→Je,does_not_exceed_ar1_null_threshold,1
T4,V→Je,null_threshold_high,1
T4,V→Je,observed_moderate_but_null_high,2
T4,V→Je,observed_weak,2
T4,V→Jw,does_not_exceed_ar1_null_threshold,1
T4,V→Jw,observed_moderate_but_null_high,3
T4,V→Jw,observed_weak,3
T4,V→P,null_threshold_high,1
T4,V→P,observed_moderate_but_null_high,3
