window_id,target_name,target_pair,target_set,was_in_original_v9_1_f,sequence_high,sequence_low,n_objects_with_shift_ge_threshold,max_abs_object_shift_high_low,object_with_max_abs_shift,n_pairs_with_dominant_order_change,n_pairs_total,sequence_registry_scope,evidence_stage,does_not_rerun_bootstrap,does_not_rerun_peak_detector,physical_interpretation_status,permutation_level,signflip_level,mode_stability_status,extreme_year_dominated_flag
W113,W113_Jw_vs_H_delta_peak,Jw-H,original_priority,True,Jw(105.0) -> Je(110.0) -> P(112.0) -> H/V(115.0/115.0),Jw(109.0) -> Je(112.0) -> P/V(113.0/113.0) -> H(114.0),1,4.0,Jw,0,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W113,W113_Jw_vs_V_delta_peak,Jw-V,original_priority,True,Jw(106.0) -> Je(109.0) -> P(111.0) -> H/V(115.0/115.0),Jw(109.0) -> Je(112.0) -> V(113.0) -> H/P(114.0/114.0),3,3.0,Je,2,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_H_delta_peak,P-H,added_all_pair,False,Jw(108.0) -> Je(110.0) -> P(111.0) -> H/V(115.0/115.0),Jw(108.0) -> Je(112.0) -> V(113.0) -> H/P(114.0/114.0),1,3.0,P,3,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_Je_delta_peak,P-Je,added_all_pair,False,Jw(109.0) -> Je/P(112.0/112.0) -> H/V(115.0/115.0),Je/Jw(108.0/108.0) -> P/V(113.0/113.0) -> H(114.0),1,4.0,Je,2,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_Jw_delta_peak,P-Jw,added_all_pair,False,Jw(109.0) -> Je(110.0) -> P(111.0) -> H/V(115.0/115.0),Jw(105.0) -> Je(112.0) -> V(113.0) -> P(114.0) -> H(115.0),2,4.0,Jw,2,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_V_delta_peak,P-V,original_priority,True,Jw(108.0) -> Je(109.0) -> P(111.0) -> H/V(115.0/115.0),Jw(108.0) -> Je(112.0) -> V(113.0) -> H/P(114.0/114.0),2,3.0,Je,3,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W113,W113_V_vs_H_delta_peak,V-H,added_all_pair,False,Jw(108.0) -> Je(112.0) -> V(113.0) -> P(114.0) -> H(115.0),Jw(108.0) -> Je(109.0) -> P(111.0) -> H/V(115.0/115.0),2,3.0,Je,2,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W113,W113_V_vs_Je_delta_peak,V-Je,original_priority,True,Jw(108.0) -> Je/V(113.0/113.0) -> P(114.0) -> H(115.0),Je/Jw(108.0/108.0) -> P(111.0) -> H/V(115.0/115.0),2,5.0,Je,2,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,H(155.0) -> Jw/P(157.0/157.0) -> V(160.0) -> Je(162.0),Jw(152.0) -> H(156.0) -> P(158.0) -> Je/V(161.0/161.0),1,5.0,Jw,2,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Jw_delta_peak,H-Jw,original_priority,True,H(155.0) -> P(157.0) -> Jw(158.0) -> Je/V(161.0/161.0),Jw(151.0) -> H(156.0) -> P(158.0) -> V(161.0) -> Je(162.0),1,7.0,Jw,2,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W160,W160_Je_vs_Jw_delta_peak,Je-Jw,added_all_pair,False,H(155.0) -> Jw/P(158.0/158.0) -> Je/V(161.0/161.0),Jw(151.0) -> H(156.0) -> P(158.0) -> V(161.0) -> Je(162.0),1,7.0,Jw,2,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W160,W160_Jw_vs_V_delta_peak,Jw-V,original_priority,True,Jw(151.0) -> H(155.0) -> P(158.0) -> Je/V(161.0/161.0),H(156.0) -> P(157.0) -> Jw(158.0) -> V(160.0) -> Je(162.0),1,7.0,Jw,3,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W160,W160_P_vs_H_delta_peak,P-H,added_all_pair,False,Jw(154.5) -> H(156.0) -> P(157.0) -> V(160.0) -> Je(162.0),H(155.0) -> Jw(156.0) -> P(158.0) -> Je/V(161.0/161.0),0,1.5,Jw,2,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W160,W160_P_vs_Je_delta_peak,P-Je,added_all_pair,False,H/Jw(156.0/156.0) -> P(157.0) -> V(160.0) -> Je(162.0),Jw(154.0) -> H(155.0) -> P(158.0) -> Je(161.0) -> V(162.0),0,2.0,Jw,1,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W160,W160_P_vs_Jw_delta_peak,P-Jw,added_all_pair,False,H(155.0) -> P(157.0) -> Jw(158.0) -> V(161.0) -> Je(162.0),Jw(151.0) -> H(155.0) -> P(158.0) -> V(161.0) -> Je(162.0),1,7.0,Jw,2,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W160,W160_P_vs_V_delta_peak,P-V,original_priority,True,H/Jw(155.0/155.0) -> P(158.0) -> Je/V(161.0/161.0),Jw(155.0) -> H(156.0) -> P(158.0) -> V(160.0) -> Je(162.0),0,1.0,H,1,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W160,W160_V_vs_H_delta_peak,V-H,added_all_pair,False,Jw(155.0) -> H(156.0) -> P(157.0) -> V(160.0) -> Je(162.0),H(155.0) -> Jw(156.0) -> P(158.0) -> Je/V(161.0/161.0),0,1.0,H,2,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
W160,W160_V_vs_Je_delta_peak,V-Je,original_priority,True,H/Jw(156.0/156.0) -> P(157.0) -> V(160.0) -> Je(162.0),H/Jw(155.0/155.0) -> P(158.0) -> Je(161.0) -> V(162.0),0,2.0,V,1,10,target_score_phase_conditioned_window_level_sequence,read_only_derived_from_v9_1_f_all_pairs_a_outputs,True,True,not_started,strict_99,direction_specific_99,stable,False
