window_id,target_name,target_pair,target_set,was_in_original_v9_1_f,object,median_peak_day_high,q25_peak_day_high,q75_peak_day_high,median_peak_day_low,q25_peak_day_low,q75_peak_day_low,shift_high_minus_low,abs_shift_high_low,shift_ge_threshold_flag,permutation_level,signflip_level,mode_stability_status,extreme_year_dominated_flag
W081,W081_H_vs_Jw_delta_peak,H-Jw,original_priority,True,V,79.0,78.0,81.0,81.0,78.0,83.0,-2.0,2.0,False,strict_99,direction_specific_99,stable,False
W081,W081_Je_vs_Jw_delta_peak,Je-Jw,added_all_pair,False,H,77.0,76.0,78.0,78.0,76.0,79.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W081,W081_Je_vs_Jw_delta_peak,Je-Jw,added_all_pair,False,Je,78.0,76.0,81.0,82.0,80.0,83.0,-4.0,4.0,True,strict_99,direction_specific_99,stable,False
W081,W081_Je_vs_Jw_delta_peak,Je-Jw,added_all_pair,False,Jw,84.0,82.0,85.0,80.0,77.0,82.0,4.0,4.0,True,strict_99,direction_specific_99,stable,False
W081,W081_Je_vs_Jw_delta_peak,Je-Jw,added_all_pair,False,P,81.0,79.0,84.0,82.0,79.0,83.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W081,W081_Je_vs_Jw_delta_peak,Je-Jw,added_all_pair,False,V,80.0,78.0,82.0,80.0,77.0,82.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_H_delta_peak,P-H,added_all_pair,False,H,77.0,77.0,79.0,77.0,75.0,78.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_H_delta_peak,P-H,added_all_pair,False,Je,80.0,77.0,82.0,81.0,77.0,84.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_H_delta_peak,P-H,added_all_pair,False,Jw,81.0,77.0,83.0,83.0,81.0,84.0,-2.0,2.0,False,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_H_delta_peak,P-H,added_all_pair,False,P,80.0,78.0,82.0,84.0,82.0,85.0,-4.0,4.0,True,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_H_delta_peak,P-H,added_all_pair,False,V,79.0,77.0,81.0,81.0,78.0,83.0,-2.0,2.0,False,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_Je_delta_peak,P-Je,added_all_pair,False,H,77.0,76.0,78.0,77.0,76.0,81.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_Je_delta_peak,P-Je,added_all_pair,False,Je,81.0,79.0,84.0,78.0,75.0,82.0,3.0,3.0,True,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_Je_delta_peak,P-Je,added_all_pair,False,Jw,82.0,80.0,84.0,83.0,78.0,84.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_Je_delta_peak,P-Je,added_all_pair,False,P,80.0,79.0,82.0,83.0,80.0,85.0,-3.0,3.0,True,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_Je_delta_peak,P-Je,added_all_pair,False,V,78.0,76.0,80.0,82.0,80.0,83.0,-4.0,4.0,True,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_Jw_delta_peak,P-Jw,added_all_pair,False,H,77.0,76.0,78.0,78.0,76.0,81.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_Jw_delta_peak,P-Jw,added_all_pair,False,Je,80.0,77.0,82.0,81.0,77.0,82.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_Jw_delta_peak,P-Jw,added_all_pair,False,Jw,84.0,81.0,85.0,81.0,77.0,83.0,3.0,3.0,True,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_Jw_delta_peak,P-Jw,added_all_pair,False,P,80.0,78.0,82.0,83.0,80.0,85.0,-3.0,3.0,True,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_Jw_delta_peak,P-Jw,added_all_pair,False,V,79.0,77.0,81.0,82.0,79.0,83.0,-3.0,3.0,True,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_V_delta_peak,P-V,original_priority,True,H,77.0,76.0,80.0,77.0,76.0,78.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_V_delta_peak,P-V,original_priority,True,Je,79.0,76.0,82.0,81.0,78.0,84.0,-2.0,2.0,False,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_V_delta_peak,P-V,original_priority,True,Jw,82.0,78.0,84.0,83.0,80.0,84.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_V_delta_peak,P-V,original_priority,True,P,81.0,78.0,83.0,82.0,80.0,84.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W081,W081_P_vs_V_delta_peak,P-V,original_priority,True,V,82.0,80.0,84.0,78.0,76.0,80.0,4.0,4.0,True,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_H_delta_peak,V-H,added_all_pair,False,H,77.0,76.0,78.0,77.0,76.0,81.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_H_delta_peak,V-H,added_all_pair,False,Je,81.0,77.0,82.0,80.0,76.0,82.0,1.0,1.0,False,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_H_delta_peak,V-H,added_all_pair,False,Jw,81.0,78.0,84.0,83.0,81.0,84.0,-2.0,2.0,False,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_H_delta_peak,V-H,added_all_pair,False,P,80.0,79.0,82.0,83.0,81.0,85.0,-3.0,3.0,True,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_H_delta_peak,V-H,added_all_pair,False,V,78.0,76.0,79.0,82.0,81.0,84.0,-4.0,4.0,True,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_Je_delta_peak,V-Je,added_all_pair,False,H,77.0,76.0,78.0,77.0,76.0,81.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_Je_delta_peak,V-Je,added_all_pair,False,Je,82.0,78.25,85.0,78.0,75.0,81.25,4.0,4.0,True,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_Je_delta_peak,V-Je,added_all_pair,False,Jw,82.0,80.0,84.0,83.0,78.0,84.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_Je_delta_peak,V-Je,added_all_pair,False,P,81.0,79.0,83.0,82.0,80.0,85.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_Je_delta_peak,V-Je,added_all_pair,False,V,78.0,76.0,80.0,82.0,81.0,84.0,-4.0,4.0,True,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_Jw_delta_peak,V-Jw,original_priority,True,H,77.0,76.0,78.0,78.0,76.0,81.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_Jw_delta_peak,V-Jw,original_priority,True,Je,81.0,77.0,84.0,80.0,76.0,82.0,1.0,1.0,False,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_Jw_delta_peak,V-Jw,original_priority,True,Jw,84.0,81.0,85.0,81.0,77.0,83.0,3.0,3.0,True,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_Jw_delta_peak,V-Jw,original_priority,True,P,81.0,79.0,83.0,82.0,80.0,85.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W081,W081_V_vs_Jw_delta_peak,V-Jw,original_priority,True,V,78.0,77.0,80.0,82.0,80.0,84.0,-4.0,4.0,True,strict_99,direction_specific_99,stable,False
W113,W113_H_vs_Je_delta_peak,H-Je,original_priority,True,H,115.0,114.0,115.0,115.0,114.0,116.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W113,W113_H_vs_Je_delta_peak,H-Je,original_priority,True,Je,113.0,112.0,114.0,108.0,107.0,109.0,5.0,5.0,True,strict_99,direction_specific_99,stable,False
W113,W113_H_vs_Je_delta_peak,H-Je,original_priority,True,Jw,109.0,105.0,111.0,108.0,104.0,109.0,1.0,1.0,False,strict_99,direction_specific_99,stable,False
W113,W113_H_vs_Je_delta_peak,H-Je,original_priority,True,P,114.0,112.0,115.0,112.0,110.0,113.0,2.0,2.0,False,strict_99,direction_specific_99,stable,False
W113,W113_H_vs_Je_delta_peak,H-Je,original_priority,True,V,113.0,112.0,115.0,115.0,113.0,116.0,-2.0,2.0,False,strict_99,direction_specific_99,stable,False
W113,W113_Je_vs_Jw_delta_peak,Je-Jw,added_all_pair,False,H,114.0,113.0,115.0,115.0,114.0,116.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W113,W113_Je_vs_Jw_delta_peak,Je-Jw,added_all_pair,False,Je,108.0,107.0,110.75,113.0,111.75,114.0,-5.0,5.0,True,strict_99,direction_specific_99,stable,False
W113,W113_Je_vs_Jw_delta_peak,Je-Jw,added_all_pair,False,Jw,109.0,108.0,110.0,106.0,103.0,109.0,3.0,3.0,True,strict_99,direction_specific_99,stable,False
W113,W113_Je_vs_Jw_delta_peak,Je-Jw,added_all_pair,False,P,112.0,110.25,113.0,114.0,112.0,115.0,-2.0,2.0,False,strict_99,direction_specific_99,stable,False
W113,W113_Je_vs_Jw_delta_peak,Je-Jw,added_all_pair,False,V,114.0,112.25,115.0,114.0,113.0,115.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W113,W113_Jw_vs_H_delta_peak,Jw-H,original_priority,True,H,115.0,114.0,116.0,114.0,113.0,115.0,1.0,1.0,False,strict_99,direction_specific_99,stable,False
W113,W113_Jw_vs_H_delta_peak,Jw-H,original_priority,True,Je,110.0,108.0,113.0,112.0,108.0,113.0,-2.0,2.0,False,strict_99,direction_specific_99,stable,False
W113,W113_Jw_vs_H_delta_peak,Jw-H,original_priority,True,Jw,105.0,103.0,108.0,109.0,108.0,111.0,-4.0,4.0,True,strict_99,direction_specific_99,stable,False
W113,W113_Jw_vs_H_delta_peak,Jw-H,original_priority,True,P,112.0,110.0,114.75,113.0,111.0,114.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W113,W113_Jw_vs_H_delta_peak,Jw-H,original_priority,True,V,115.0,113.0,116.0,113.0,112.0,115.0,2.0,2.0,False,strict_99,direction_specific_99,stable,False
W113,W113_Jw_vs_V_delta_peak,Jw-V,original_priority,True,H,115.0,114.0,116.0,114.0,114.0,115.0,1.0,1.0,False,strict_99,direction_specific_99,stable,False
W113,W113_Jw_vs_V_delta_peak,Jw-V,original_priority,True,Je,109.0,108.0,112.0,112.0,109.0,113.0,-3.0,3.0,True,strict_99,direction_specific_99,stable,False
W113,W113_Jw_vs_V_delta_peak,Jw-V,original_priority,True,Jw,106.0,103.0,108.0,109.0,108.0,111.0,-3.0,3.0,True,strict_99,direction_specific_99,stable,False
W113,W113_Jw_vs_V_delta_peak,Jw-V,original_priority,True,P,111.0,109.0,113.0,114.0,112.0,115.0,-3.0,3.0,True,strict_99,direction_specific_99,stable,False
W113,W113_Jw_vs_V_delta_peak,Jw-V,original_priority,True,V,115.0,114.0,117.0,113.0,112.0,114.0,2.0,2.0,False,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_H_delta_peak,P-H,added_all_pair,False,H,115.0,115.0,116.0,114.0,113.0,115.0,1.0,1.0,False,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_H_delta_peak,P-H,added_all_pair,False,Je,110.0,108.0,113.0,112.0,108.0,113.0,-2.0,2.0,False,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_H_delta_peak,P-H,added_all_pair,False,Jw,108.0,104.0,110.0,108.0,105.0,110.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_H_delta_peak,P-H,added_all_pair,False,P,111.0,109.0,112.0,114.0,113.0,116.0,-3.0,3.0,True,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_H_delta_peak,P-H,added_all_pair,False,V,115.0,114.0,117.0,113.0,112.0,114.0,2.0,2.0,False,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_Je_delta_peak,P-Je,added_all_pair,False,H,115.0,114.0,116.0,114.0,113.0,115.0,1.0,1.0,False,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_Je_delta_peak,P-Je,added_all_pair,False,Je,112.0,110.0,113.75,108.0,107.0,112.0,4.0,4.0,True,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_Je_delta_peak,P-Je,added_all_pair,False,Jw,109.0,105.0,110.75,108.0,104.0,109.0,1.0,1.0,False,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_Je_delta_peak,P-Je,added_all_pair,False,P,112.0,110.0,114.0,113.0,112.0,115.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_Je_delta_peak,P-Je,added_all_pair,False,V,115.0,113.0,116.0,113.0,112.0,114.0,2.0,2.0,False,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_Jw_delta_peak,P-Jw,added_all_pair,False,H,115.0,114.0,116.0,115.0,114.0,115.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_Jw_delta_peak,P-Jw,added_all_pair,False,Je,110.0,108.0,113.0,112.0,108.0,113.0,-2.0,2.0,False,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_Jw_delta_peak,P-Jw,added_all_pair,False,Jw,109.0,108.0,111.0,105.0,103.0,108.0,4.0,4.0,True,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_Jw_delta_peak,P-Jw,added_all_pair,False,P,111.0,110.0,113.0,114.0,112.0,116.0,-3.0,3.0,True,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_Jw_delta_peak,P-Jw,added_all_pair,False,V,115.0,113.0,117.0,113.0,112.0,115.0,2.0,2.0,False,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_V_delta_peak,P-V,original_priority,True,H,115.0,114.0,116.0,114.0,114.0,115.0,1.0,1.0,False,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_V_delta_peak,P-V,original_priority,True,Je,109.0,108.0,112.0,112.0,109.0,113.0,-3.0,3.0,True,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_V_delta_peak,P-V,original_priority,True,Jw,108.0,104.0,110.0,108.0,104.0,110.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_V_delta_peak,P-V,original_priority,True,P,111.0,109.0,112.0,114.0,113.0,116.0,-3.0,3.0,True,strict_99,direction_specific_99,stable,False
W113,W113_P_vs_V_delta_peak,P-V,original_priority,True,V,115.0,114.0,117.0,113.0,112.0,114.0,2.0,2.0,False,strict_99,direction_specific_99,stable,False
W113,W113_V_vs_H_delta_peak,V-H,added_all_pair,False,H,115.0,114.0,116.0,115.0,114.0,115.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W113,W113_V_vs_H_delta_peak,V-H,added_all_pair,False,Je,112.0,109.0,113.0,109.0,108.0,112.0,3.0,3.0,True,strict_99,direction_specific_99,stable,False
W113,W113_V_vs_H_delta_peak,V-H,added_all_pair,False,Jw,108.0,104.0,110.0,108.0,104.0,109.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W113,W113_V_vs_H_delta_peak,V-H,added_all_pair,False,P,114.0,112.0,115.0,111.0,109.0,113.0,3.0,3.0,True,strict_99,direction_specific_99,stable,False
W113,W113_V_vs_H_delta_peak,V-H,added_all_pair,False,V,113.0,112.0,114.0,115.0,114.0,117.0,-2.0,2.0,False,strict_99,direction_specific_99,stable,False
W113,W113_V_vs_Je_delta_peak,V-Je,original_priority,True,H,115.0,114.0,115.0,115.0,114.0,116.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W113,W113_V_vs_Je_delta_peak,V-Je,original_priority,True,Je,113.0,112.0,114.0,108.0,107.0,109.0,5.0,5.0,True,strict_99,direction_specific_99,stable,False
W113,W113_V_vs_Je_delta_peak,V-Je,original_priority,True,Jw,108.0,105.0,111.0,108.0,104.0,109.0,0.0,0.0,False,strict_99,direction_specific_99,stable,False
W113,W113_V_vs_Je_delta_peak,V-Je,original_priority,True,P,114.0,113.0,115.0,111.0,109.0,112.0,3.0,3.0,True,strict_99,direction_specific_99,stable,False
W113,W113_V_vs_Je_delta_peak,V-Je,original_priority,True,V,113.0,112.0,114.0,115.0,114.0,117.0,-2.0,2.0,False,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,H,155.0,154.0,157.0,156.0,155.0,164.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,Je,162.0,161.0,163.0,161.0,160.0,162.0,1.0,1.0,False,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,Jw,157.0,152.0,161.0,152.0,149.0,159.0,5.0,5.0,True,strict_99,direction_specific_99,stable,False
W160,W160_H_vs_Je_delta_peak,H-Je,added_all_pair,False,P,157.0,155.0,158.0,158.0,157.0,159.0,-1.0,1.0,False,strict_99,direction_specific_99,stable,False
