bootstrap_id,sampled_year_indices
99,41;13;5;10;40;38;32;23;16;7;14;30;8;42;8;13;12;7;23;32;43;19;31;3;26;5;40;24;37;35;9;13;24;20;30;43;40;40;38;16;27;0;42;7;16
100,36;6;23;1;10;26;44;9;18;42;5;38;4;44;23;21;14;21;9;31;28;22;29;37;23;13;30;4;29;38;34;31;40;21;31;10;33;41;23;8;19;16;43;42;31
101,24;38;40;22;40;11;32;9;29;38;44;21;8;14;43;5;18;4;21;42;7;35;27;34;13;23;30;41;43;33;21;2;34;16;19;37;44;24;9;20;21;14;0;5;39
102,1;31;38;9;19;28;6;16;7;23;3;12;1;17;19;10;7;7;18;4;22;12;42;21;27;7;27;32;16;10;19;39;44;20;37;10;27;36;31;9;15;16;11;5;40
103,42;23;1;5;7;30;37;0;8;29;8;4;33;13;9;41;0;19;2;28;34;1;30;21;43;37;37;4;32;18;41;8;30;44;26;25;21;24;3;8;6;14;19;8;4
104,33;34;35;33;19;11;6;10;27;6;44;42;10;38;20;29;43;42;29;26;23;31;6;23;25;2;21;19;3;13;1;32;0;1;8;42;22;2;22;31;43;37;5;31;28
105,22;24;0;0;29;16;9;5;6;28;7;12;27;39;0;42;3;42;13;7;15;31;30;33;42;17;7;24;42;29;27;35;41;6;8;17;42;35;30;13;6;39;41;35;11
106,35;35;8;14;27;16;11;43;2;11;3;6;34;24;2;32;25;26;35;40;12;16;4;41;3;2;13;29;12;23;36;40;35;30;18;10;12;22;34;36;4;14;5;37;42
107,22;43;13;18;37;14;10;35;22;4;38;35;35;12;40;5;31;37;16;23;2;27;31;22;19;22;1;38;18;0;42;41;1;21;0;38;32;34;1;28;12;8;38;5;36
108,26;9;34;31;15;39;37;4;2;2;27;11;40;5;15;15;5;13;40;12;8;40;39;20;29;36;7;33;24;24;14;14;2;42;18;32;40;14;39;35;35;15;35;27;9
109,38;1;16;43;13;38;4;12;12;43;25;1;11;19;37;25;2;43;26;20;9;35;33;29;16;43;5;32;3;6;1;21;37;6;29;16;43;27;41;23;39;6;41;5;35
110,34;40;12;35;43;43;10;13;35;36;20;43;4;20;12;28;41;24;24;37;31;15;37;37;32;13;26;41;11;13;29;32;33;32;6;14;3;15;8;41;35;22;11;1;22
111,7;29;44;10;30;7;18;3;0;15;25;12;42;41;18;25;40;25;2;35;44;13;6;12;11;19;24;20;19;15;42;21;11;14;9;11;25;12;7;29;9;1;4;33;28
112,21;22;34;25;42;39;14;41;5;25;10;1;7;0;3;30;16;15;10;5;38;36;44;35;28;5;24;25;36;41;13;35;25;8;36;25;18;9;31;9;38;9;24;43;5
113,4;42;4;32;23;40;14;42;18;10;10;16;0;41;39;34;9;8;26;40;20;26;10;27;27;19;25;1;36;18;11;40;4;7;29;18;27;20;35;41;29;29;24;8;17
114,29;30;21;11;0;43;33;39;14;14;26;26;38;31;18;10;33;10;20;15;19;20;41;12;19;40;19;12;1;1;6;12;3;13;36;11;28;34;2;21;44;16;3;38;11
115,19;2;19;4;15;14;5;19;42;40;32;22;39;43;5;18;40;11;19;38;2;9;34;44;33;24;39;37;39;5;38;9;23;8;36;0;33;12;0;38;34;20;30;7;5
116,38;39;28;25;7;2;22;40;37;22;40;38;29;25;35;12;10;14;18;8;9;11;43;26;17;19;36;10;12;31;39;1;23;14;5;4;10;1;26;33;36;19;18;2;6
117,15;3;4;16;19;38;9;29;32;2;35;5;25;44;1;13;13;1;7;40;37;12;23;11;28;30;44;28;44;3;39;14;44;29;41;34;37;37;14;44;28;33;30;33;6
118,34;1;20;7;22;14;43;9;44;3;31;9;16;19;40;44;33;43;21;7;42;28;15;33;33;19;22;39;14;9;14;26;27;7;0;12;2;24;17;42;24;14;22;27;5
119,21;16;11;43;33;25;8;31;22;35;36;32;36;12;43;0;24;0;20;26;13;20;43;40;40;15;36;14;30;12;0;9;8;23;24;10;38;22;34;12;43;17;22;36;26
120,7;41;6;14;43;8;11;10;24;15;11;10;11;9;14;29;14;39;16;9;19;25;3;27;17;22;26;13;37;22;7;21;3;35;30;19;31;23;36;12;21;23;3;18;36
121,9;10;27;3;35;35;3;24;27;14;22;13;9;2;42;33;9;40;24;17;18;0;0;7;41;31;9;35;11;16;14;42;11;13;15;6;39;42;3;24;35;32;30;26;14
122,18;7;29;28;37;27;23;34;28;5;37;15;24;24;18;2;4;1;21;5;19;30;34;16;13;2;1;5;13;40;32;7;33;2;35;30;32;32;34;5;34;7;5;3;33
123,32;44;9;39;37;0;13;26;1;20;18;11;16;38;39;31;38;25;7;6;31;14;37;25;19;36;7;19;27;38;13;10;28;44;24;30;8;29;5;26;13;28;7;35;35
124,9;1;12;10;13;38;0;29;19;35;37;37;12;2;25;6;36;5;24;36;6;23;33;6;9;20;5;19;2;22;37;4;10;26;39;39;29;33;15;26;25;36;11;37;27
125,27;21;34;3;18;27;32;39;14;7;22;43;21;23;19;30;0;22;25;24;16;25;34;7;24;5;13;24;2;13;10;11;44;29;17;27;24;16;16;1;27;29;30;18;0
126,20;32;40;19;6;0;44;34;2;2;34;39;23;37;29;42;5;23;8;24;9;22;40;42;27;10;2;41;6;18;39;41;9;19;38;28;2;30;26;10;26;23;13;23;7
127,5;36;33;43;44;42;9;4;10;22;25;18;4;7;32;11;7;15;20;41;14;36;6;20;7;23;41;18;31;29;35;26;18;37;15;31;2;27;24;15;44;16;3;40;8
128,41;18;24;21;5;43;35;24;32;36;41;1;27;28;14;35;33;34;32;16;5;40;1;6;38;1;3;4;42;39;12;6;18;40;21;31;22;26;44;15;40;26;30;21;0
129,44;24;42;1;26;28;9;4;24;23;0;17;13;12;32;15;36;18;19;16;41;30;9;37;28;36;8;5;33;11;13;1;23;3;26;10;16;8;6;39;44;9;20;15;22
130,20;5;18;33;0;17;32;4;19;32;5;27;32;37;17;35;13;2;18;13;8;16;31;6;43;25;44;0;42;44;17;12;26;35;6;29;36;3;35;3;24;30;30;27;1
131,30;39;27;21;19;31;20;21;29;44;14;39;0;34;7;27;32;16;13;16;5;23;2;6;2;34;20;18;43;30;27;39;25;2;24;13;41;35;28;11;40;44;10;30;34
132,36;24;11;13;38;7;41;6;30;31;2;19;4;24;30;36;4;39;7;37;4;11;41;43;21;37;1;10;44;30;14;21;42;3;31;8;39;25;2;20;7;17;21;26;17
133,14;44;29;10;11;3;34;11;11;44;3;14;1;23;6;25;15;24;30;18;32;19;32;18;30;9;6;34;42;3;12;1;35;1;16;38;8;31;3;30;5;44;35;36;4
134,27;20;27;19;16;19;33;10;18;24;4;34;22;40;4;24;32;19;22;43;38;19;13;20;13;14;35;2;5;30;6;25;3;23;8;22;44;13;20;17;25;30;26;23;20
135,24;6;40;8;27;35;12;37;14;16;24;0;0;15;37;32;11;15;35;11;12;40;13;27;19;44;37;8;28;26;22;8;16;17;38;9;14;25;8;38;27;2;33;23;36
136,36;39;11;3;14;23;40;35;30;27;30;39;1;33;20;43;31;2;13;35;10;3;36;32;23;44;9;36;9;5;37;26;13;1;25;28;43;23;22;27;10;30;34;0;40
137,19;20;40;30;14;30;43;33;33;32;10;2;3;19;11;18;42;41;39;17;7;42;1;28;19;30;21;14;18;34;2;28;39;8;42;3;10;14;0;37;24;13;17;7;41
138,22;18;39;9;44;42;2;32;38;9;38;6;43;17;9;24;26;3;25;14;38;11;34;21;5;11;27;19;22;13;23;33;22;10;28;13;36;18;12;38;21;11;34;44;17
139,35;1;21;25;10;36;3;16;23;22;41;40;29;20;5;1;26;2;34;23;18;2;12;40;10;9;6;21;20;30;9;22;7;8;6;32;13;30;7;3;21;28;27;44;10
140,25;20;14;29;20;12;8;3;28;27;35;11;28;43;26;40;30;9;40;0;36;28;9;35;18;43;6;44;39;5;8;34;39;27;39;23;34;10;26;24;34;14;32;44;2
141,21;30;21;17;26;28;35;37;30;6;13;26;26;3;42;37;18;20;29;5;14;8;38;30;7;2;34;9;2;21;3;39;0;16;35;12;7;36;35;43;9;8;36;36;7
142,40;40;5;23;34;24;23;19;21;27;0;5;35;17;38;4;41;19;41;7;32;9;21;40;11;31;32;28;4;16;31;34;1;16;14;14;12;18;36;12;14;3;13;35;9
143,14;36;15;11;43;42;14;17;8;35;28;10;39;8;31;3;32;7;39;31;5;41;16;20;3;2;3;27;30;16;24;4;3;3;43;19;2;34;10;27;43;21;5;24;8
144,2;22;44;9;17;38;27;36;31;19;43;15;25;16;37;7;14;30;44;13;11;32;32;6;28;28;28;22;25;3;21;21;27;40;19;39;4;19;22;29;25;27;24;9;16
145,40;26;18;39;36;3;19;32;2;30;12;19;16;33;14;5;11;21;8;8;9;23;6;20;9;14;6;10;18;28;30;5;29;42;2;20;2;40;10;18;6;18;24;9;8
146,15;23;23;8;9;8;41;28;24;25;35;10;29;29;13;30;14;8;24;28;21;2;6;10;16;25;2;33;31;37;27;4;10;27;28;17;2;33;0;7;7;3;36;2;39
147,4;23;1;22;32;39;30;14;13;12;32;32;4;43;9;24;3;40;15;27;18;17;42;0;39;21;13;20;13;15;10;28;14;36;35;9;27;38;41;14;41;34;41;9;30
148,39;12;12;44;32;30;18;36;26;43;19;16;3;17;1;4;26;2;32;15;13;35;0;22;25;33;23;13;42;20;16;18;12;5;27;42;25;34;7;11;23;7;1;4;35
149,3;32;2;27;22;24;4;16;35;15;39;7;3;33;2;33;28;1;43;29;43;30;33;3;34;42;30;39;22;7;0;20;25;33;38;33;40;30;23;18;31;18;26;25;38
150,20;5;42;15;33;20;36;29;20;7;3;5;10;42;6;41;4;22;23;12;4;0;39;10;16;21;6;20;10;40;38;26;42;39;4;24;40;7;12;16;27;34;4;42;26
