from_window,to_window,sector,from_band_rank,to_band_rank,link_type,peak_lat_shift,peak_value_change,band_share_change,confidence
T3_early,T3_full,mid_sector,6.0,6.0,continue,0.0,0.05665392493654586,0.0,medium_peak_distance_and_overlap
T3_early,T3_full,mid_sector,7.0,7.0,continue,0.0,-0.04056995821980358,0.0,medium_peak_distance_and_overlap
T3_early,T3_full,mid_sector,8.0,8.0,continue,0.0,-0.02011051489281268,0.0,medium_peak_distance_and_overlap
T3_full,T3_late,mid_sector,1.0,1.0,continue,0.0,0.22252803208978378,0.008086449683117891,medium_peak_distance_and_overlap
T3_full,T3_late,mid_sector,2.0,2.0,continue,-0.25,0.03373896343831895,0.008086449683117891,medium_peak_distance_and_overlap
T3_full,T3_late,mid_sector,3.0,3.0,continue,0.0,0.023361657783345535,0.00475523816808443,medium_peak_distance_and_overlap
T3_full,T3_late,mid_sector,4.0,5.0,continue,0.25,-1.1299977195674105,0.5498936258209264,medium_peak_distance_and_overlap
T3_full,T3_late,mid_sector,5.0,6.0,continue,0.0,0.13689445512959253,0.0,medium_peak_distance_and_overlap
T3_full,T3_late,mid_sector,6.0,7.0,continue,0.0,0.06798470992385486,0.0,medium_peak_distance_and_overlap
T3_full,T3_late,mid_sector,7.0,8.0,continue,0.25,-0.04221845716939576,0.0,medium_peak_distance_and_overlap
T3_full,T3_late,mid_sector,8.0,9.0,continue,0.0,-0.024132617871376993,0.0,medium_peak_distance_and_overlap
T3_full,T3_late,mid_sector,,4.0,emerge,,,,low_no_source_band
T3_late,S4,mid_sector,1.0,1.0,continue,0.0,-0.7545039266096456,0.12694750596644871,medium_peak_distance_and_overlap
T3_late,S4,mid_sector,2.0,2.0,continue,0.0,-0.028054428043562396,0.09875306300821124,medium_peak_distance_and_overlap
T3_late,S4,mid_sector,3.0,3.0,continue,-1.75,2.053084448080959,0.13263225985715277,medium_peak_distance_and_overlap
T3_late,S4,mid_sector,4.0,4.0,continue,-1.75,0.22005435162980014,-0.18328696862515337,medium_peak_distance_and_overlap
T3_late,S4,mid_sector,5.0,5.0,continue,-0.25,-1.325137745776308,-0.025089429874175728,medium_peak_distance_and_overlap
T3_late,S4,mid_sector,6.0,6.0,continue,-0.5,-0.6295864356106193,-0.17897259524817755,medium_peak_distance_and_overlap
T3_late,S4,mid_sector,7.0,7.0,continue,3.75,-0.2295980271609359,0.0,medium_peak_distance_and_overlap
T3_late,S4,mid_sector,8.0,8.0,continue,4.75,0.33307747057462045,0.0,medium_peak_distance_and_overlap
T3_late,S4,mid_sector,9.0,,disappear,,,,low_no_nearby_target_band
S3,T3_early,east_sector,1.0,1.0,continue,0.0,1.5550376035344744,0.025698034492771693,medium_peak_distance_and_overlap
S3,T3_early,east_sector,2.0,3.0,continue,1.5,-3.5132605941149624,0.6927355958018977,medium_peak_distance_and_overlap
S3,T3_early,east_sector,3.0,4.0,continue,0.0,1.1612073611449043,-0.00605612599152805,medium_peak_distance_and_overlap
S3,T3_early,east_sector,4.0,5.0,continue,1.5,0.9924369744636978,-0.005707294855608502,medium_peak_distance_and_overlap
S3,T3_early,east_sector,5.0,6.0,continue,5.0,1.2998821776369178,-0.007790596582635256,medium_peak_distance_and_overlap
S3,T3_early,east_sector,6.0,,disappear,,,,low_no_nearby_target_band
S3,T3_early,east_sector,,2.0,emerge,,,,low_no_source_band
T3_early,T3_full,east_sector,1.0,1.0,continue,0.0,0.3620934443955566,0.01041828204474382,medium_peak_distance_and_overlap
T3_early,T3_full,east_sector,2.0,2.0,continue,0.0,0.04638289092990977,0.0,medium_peak_distance_and_overlap
T3_early,T3_full,east_sector,3.0,3.0,continue,0.0,-0.8669589466427094,0.004244552867913476,medium_peak_distance_and_overlap
T3_early,T3_full,east_sector,4.0,4.0,continue,-2.25,-0.13233513806076402,-0.0005682489668340507,medium_peak_distance_and_overlap
T3_early,T3_full,east_sector,5.0,5.0,continue,0.0,0.15324473672415806,0.0018343164914468302,medium_peak_distance_and_overlap
T3_early,T3_full,east_sector,6.0,7.0,continue,0.0,-0.06487897319973346,0.0017966203868265973,medium_peak_distance_and_overlap
T3_early,T3_full,east_sector,,6.0,emerge,,,,low_no_source_band
T3_full,T3_late,east_sector,1.0,1.0,continue,-0.25,0.4601752859563977,0.01224789438250884,medium_peak_distance_and_overlap
T3_full,T3_late,east_sector,2.0,2.0,continue,0.0,0.05565946911589137,0.0,medium_peak_distance_and_overlap
T3_full,T3_late,east_sector,3.0,3.0,continue,-2.0,-0.6114654869436604,0.006236221945968734,medium_peak_distance_and_overlap
T3_full,T3_late,east_sector,4.0,4.0,continue,-0.25,0.08957070728879479,0.001850367829674071,medium_peak_distance_and_overlap
T3_full,T3_late,east_sector,5.0,6.0,continue,-0.5,0.2329975382937821,-0.00019883590270841633,medium_peak_distance_and_overlap
T3_full,T3_late,east_sector,6.0,7.0,continue,-1.0,0.11062335617976515,-8.973812969514938e-05,medium_peak_distance_and_overlap
T3_full,T3_late,east_sector,7.0,8.0,continue,0.0,-0.07785476783967837,0.0019221619289385705,medium_peak_distance_and_overlap
T3_full,T3_late,east_sector,,5.0,emerge,,,,low_no_source_band
T3_late,S4,east_sector,1.0,1.0,continue,2.75,-0.8580459091686183,0.08855688102853154,medium_peak_distance_and_overlap
T3_late,S4,east_sector,2.0,2.0,continue,4.25,1.4800128014254694,-0.009072852073475857,medium_peak_distance_and_overlap
T3_late,S4,east_sector,3.0,3.0,continue,6.75,0.7472953024379452,-0.009339109024210757,medium_peak_distance_and_overlap
T3_late,S4,east_sector,4.0,,disappear,,,,low_no_nearby_target_band
T3_late,S4,east_sector,5.0,4.0,continue,6.25,-0.6011514003830261,-0.0010711062365496016,medium_peak_distance_and_overlap
T3_late,S4,east_sector,6.0,5.0,continue,7.0,-1.1744312189935266,0.002411627429869112,medium_peak_distance_and_overlap
T3_late,S4,east_sector,7.0,,disappear,,,,low_no_nearby_target_band
T3_late,S4,east_sector,8.0,,disappear,,,,low_no_nearby_target_band
S3,T3_early,south_scs_ref,1.0,1.0,continue,0.5,-0.4458131329674391,-0.2697698404302592,medium_peak_distance_and_overlap
S3,T3_early,south_scs_ref,2.0,2.0,continue,0.0,0.8555168701225959,-0.289239245194342,medium_peak_distance_and_overlap
S3,T3_early,south_scs_ref,3.0,3.0,continue,-0.25,0.9189619791720736,-0.012507806634718954,medium_peak_distance_and_overlap
S3,T3_early,south_scs_ref,4.0,4.0,continue,1.75,-1.8370630273318866,0.04179955381404843,medium_peak_distance_and_overlap
S3,T3_early,south_scs_ref,5.0,6.0,continue,-0.25,0.5382504152853551,0.0,medium_peak_distance_and_overlap
S3,T3_early,south_scs_ref,6.0,7.0,continue,0.0,0.7167213819168277,-0.0021193895848485855,medium_peak_distance_and_overlap
S3,T3_early,south_scs_ref,,5.0,emerge,,,,low_no_source_band
T3_early,T3_full,south_scs_ref,1.0,1.0,continue,0.0,0.08326932856639502,0.005787329718523637,medium_peak_distance_and_overlap
T3_early,T3_full,south_scs_ref,2.0,2.0,continue,0.0,0.09843008919634322,0.005674933653013636,medium_peak_distance_and_overlap
T3_early,T3_full,south_scs_ref,3.0,3.0,continue,0.0,0.21945638036051562,-0.00541429805927629,medium_peak_distance_and_overlap
T3_early,T3_full,south_scs_ref,4.0,4.0,continue,0.0,-0.660691044925672,0.009737011428492037,medium_peak_distance_and_overlap
T3_early,T3_full,south_scs_ref,5.0,5.0,continue,0.0,0.17485663815379482,-3.659943326517201e-05,medium_peak_distance_and_overlap
T3_early,T3_full,south_scs_ref,6.0,6.0,continue,0.25,-0.047971066322957334,0.0,medium_peak_distance_and_overlap
T3_early,T3_full,south_scs_ref,7.0,7.0,continue,0.0,-0.006749452786633192,0.0021193895848485855,medium_peak_distance_and_overlap
T3_full,T3_late,south_scs_ref,1.0,1.0,continue,4.25,1.2240092650464796,-0.003770371170120912,medium_peak_distance_and_overlap
T3_full,T3_late,south_scs_ref,2.0,2.0,continue,7.25,-1.3815338139633706,0.019496998698410706,medium_peak_distance_and_overlap
T3_full,T3_late,south_scs_ref,3.0,3.0,continue,8.0,-3.0986836284997743,0.23358945334566394,medium_peak_distance_and_overlap
T3_full,T3_late,south_scs_ref,4.0,4.0,continue,-0.25,-0.7824451449564904,0.20824935587525772,medium_peak_distance_and_overlap
T3_full,T3_late,south_scs_ref,5.0,5.0,continue,-1.0,0.2532412759372864,-0.002386163174955769,medium_peak_distance_and_overlap
T3_full,T3_late,south_scs_ref,6.0,6.0,continue,0.25,-0.03598805848195408,0.0,medium_peak_distance_and_overlap
T3_full,T3_late,south_scs_ref,7.0,7.0,continue,0.0,-0.008099343343961785,0.0,medium_peak_distance_and_overlap
T3_late,S4,south_scs_ref,1.0,1.0,continue,0.25,-0.11735685746192104,0.2539830229486139,medium_peak_distance_and_overlap
T3_late,S4,south_scs_ref,2.0,2.0,continue,-0.5,1.4868136913244498,0.2335648069908683,medium_peak_distance_and_overlap
T3_late,S4,south_scs_ref,3.0,3.0,continue,-1.0,0.2862228471399497,-0.1836653732871084,medium_peak_distance_and_overlap
T3_late,S4,south_scs_ref,4.0,4.0,continue,-1.5,-0.18103000233391597,-0.17911110480364378,medium_peak_distance_and_overlap
T3_late,S4,south_scs_ref,5.0,6.0,continue,0.0,-0.6911746421843228,-0.0015650404509183202,medium_peak_distance_and_overlap
T3_late,S4,south_scs_ref,6.0,7.0,continue,-0.5,-0.5331502144067732,0.0,medium_peak_distance_and_overlap
T3_late,S4,south_scs_ref,7.0,8.0,continue,0.0,-1.1366813437049261,0.0,medium_peak_distance_and_overlap
T3_late,S4,south_scs_ref,,5.0,emerge,,,,low_no_source_band
