window,sector,n_precip_bands,multiband,band_rank,peak_lat,peak_value,south_edge,north_edge,band_width,band_integrated_amount,band_share,band_centroid_lat,narrow_width_flag
S3,mid_sector,7,True,4,39.75,4.596225040219155,10.0,60.0,50.0,299.9846032405818,1.0,29.74488173694707,False
S3,mid_sector,7,True,5,47.25,3.3923988901711293,10.0,60.0,50.0,299.9846032405818,1.0,29.74488173694707,False
S3,mid_sector,7,True,6,51.0,3.675366871966453,10.0,60.0,50.0,299.9846032405818,1.0,29.74488173694707,False
S3,mid_sector,7,True,7,56.0,4.796678309088184,10.0,60.0,50.0,299.9846032405818,1.0,29.74488173694707,False
S3,south_scs_ref,6,True,1,10.0,9.35168388962335,10.0,38.5,28.5,211.17256210952073,0.7331944959909387,23.398922970208744,False
S3,south_scs_ref,6,True,2,14.25,9.133184370012216,10.0,39.0,29.0,213.46515028664197,0.7411543986234,23.563250570648176,False
S3,south_scs_ref,6,True,3,21.75,7.303831499402585,10.0,42.0,32.0,225.9012259871459,0.7843326513483313,24.485847674079256,False
S3,south_scs_ref,6,True,4,31.75,9.249508797402516,10.0,38.5,28.5,211.17256210952073,0.7331944959909387,23.398922970208744,False
S3,south_scs_ref,6,True,5,50.25,3.62430212211399,10.0,60.0,50.0,288.0171131455555,1.0,30.24256735299256,False
S3,south_scs_ref,6,True,6,55.75,4.527438471516804,10.0,60.0,50.0,288.0171131455555,1.0,30.24256735299256,False
S3,west_sector,10,True,1,10.0,8.759173724955172,10.0,35.0,25.0,190.34010877722892,0.7586108316410135,22.780897471888984,False
S3,west_sector,10,True,2,14.25,6.461348043794984,10.0,36.75,26.75,196.86397042141155,0.7846120362173785,23.203960826843417,False
S3,west_sector,10,True,3,18.5,7.945330025812034,10.0,35.75,25.75,193.46345087147515,0.7710590810343594,22.979822613749775,False
S3,west_sector,10,True,4,22.0,10.776965517642367,13.0,34.5,21.5,165.71751317243513,0.6604761408030748,24.191812229472305,False
S3,west_sector,10,True,5,25.25,8.715133935779852,10.0,35.25,25.25,191.4180093712363,0.7629068629467607,22.849862025403784,False
S3,west_sector,10,True,6,28.5,8.607450568509842,10.0,35.25,25.25,191.4180093712363,0.7629068629467607,22.849862025403784,False
S3,west_sector,10,True,7,31.5,9.01858357308547,10.0,35.0,25.0,190.34010877722892,0.7586108316410135,22.780897471888984,False
S3,west_sector,10,True,8,37.25,3.2151383780510425,10.0,39.5,29.5,203.74073735226523,0.8120197639628848,23.68644576732975,False
S3,west_sector,10,True,9,51.5,3.9201469865166048,46.25,60.0,13.75,40.44425908524001,0.1611927891439194,52.79441722168151,False
S3,west_sector,10,True,10,55.25,2.972780356660181,45.75,60.0,14.25,41.20425145901358,0.16422177998779858,52.67990493900043,False
S4,east_sector,5,True,1,15.75,11.660701157879906,10.0,26.5,16.5,155.72404362730896,0.4866630319434379,17.60774809092822,False
S4,east_sector,5,True,2,33.25,5.877400625232427,10.0,58.75,48.75,317.0801402337246,0.9909271479265241,29.756195518008205,False
S4,east_sector,5,True,3,40.0,6.193781784396451,10.0,58.5,48.5,316.3613276984223,0.9886807415291513,29.694293312506584,False
S4,east_sector,5,True,4,49.0,4.949156383370937,10.0,59.25,49.25,318.3376527117607,0.9948570794965803,29.867725033479484,False
S4,east_sector,5,True,5,55.5,4.415888499497846,10.0,59.75,49.75,319.4520693282148,0.998339813162999,29.968149616259044,False
S4,full_easm_lon,8,True,1,12.0,9.290262305969154,10.0,37.75,27.75,212.85506526806225,0.7348666121313655,21.943886758695484,False
S4,full_easm_lon,8,True,2,18.0,10.505105167579815,10.0,34.25,24.25,195.69907587931257,0.675636808114276,20.718842300465905,False
S4,full_easm_lon,8,True,3,28.25,5.890470021772115,10.0,43.25,33.25,234.27423647392595,0.8088147409151089,23.60552988013964,False
S4,full_easm_lon,8,True,4,31.75,5.78558430925183,10.0,43.5,33.5,235.00050634405846,0.8113221347527195,23.665924705750076,False
S4,full_easm_lon,8,True,5,35.25,5.117492565727293,10.0,59.0,49.0,287.386384413836,0.9921805639011305,28.722087325012815,False
S4,full_easm_lon,8,True,6,39.75,4.26624623553057,10.0,60.0,50.0,289.6512941997861,1.0,28.958328540433516,False
S4,full_easm_lon,8,True,7,51.25,3.9643582673196347,10.0,60.0,50.0,289.6512941997861,1.0,28.958328540433516,False
S4,full_easm_lon,8,True,8,55.75,3.8416898251605556,10.0,60.0,50.0,289.6512941997861,1.0,28.958328540433516,False
S4,mid_sector,8,True,1,12.5,10.666697658558759,10.0,29.0,19.0,174.34183915163769,0.5915139785671945,18.539160608610597,False
S4,mid_sector,8,True,2,17.0,11.176694682877661,10.0,27.5,17.5,166.03185626483992,0.563319535608957,18.055051794018194,False
S4,mid_sector,8,True,3,20.0,10.25408068304069,10.0,29.75,19.75,178.24010312030236,0.6047401647817634,18.77594285928253,False
S4,mid_sector,8,True,4,27.75,5.623514773885077,10.0,42.75,32.75,240.7166307276458,0.8167130313748466,23.201439631103344,False
S4,mid_sector,8,True,5,33.75,5.25865699387233,10.0,43.0,33.0,241.37400572043197,0.8189433995944644,23.252934676828712,False
S4,mid_sector,8,True,6,39.0,4.98199497476365,10.0,43.25,33.25,241.9882419094319,0.8210274047518225,23.30196309460001,False
S4,mid_sector,8,True,7,51.0,3.358596112685426,10.0,60.0,50.0,294.7383248219094,1.0,28.483266082402398,False
S4,mid_sector,8,True,8,56.0,4.3427726058340514,10.0,60.0,50.0,294.7383248219094,1.0,28.483266082402398,False
S4,south_scs_ref,8,True,1,15.0,10.095792492806865,10.0,37.25,27.25,206.9306650229836,0.7194246370576961,21.884845927575437,False
S4,south_scs_ref,8,True,2,21.0,10.192411206692235,10.0,36.75,26.75,204.40732940763064,0.7106518927713507,21.6989147195856,False
S4,south_scs_ref,8,True,3,28.5,5.629789077575349,10.0,43.75,33.75,234.80522974283457,0.8163346267128916,24.036736605327203,False
S4,south_scs_ref,8,True,4,31.75,5.788279577854551,10.0,43.5,33.5,234.0961225985715,0.8138693123050931,23.978704387403923,False
S4,south_scs_ref,8,True,5,35.5,5.3243680307315735,10.0,44.5,34.5,236.85025317932602,0.8234444489492863,24.208761365252567,False
S4,south_scs_ref,8,True,6,38.75,4.985579686779457,10.0,59.25,49.25,285.87692024125903,0.9938928073560122,28.996190322675886,False
S4,south_scs_ref,8,True,7,50.0,3.5454431981876606,10.0,60.0,50.0,287.63355376497657,1.0,29.17885361307237,False
S4,south_scs_ref,8,True,8,55.75,4.092629713598111,10.0,60.0,50.0,287.63355376497657,1.0,29.17885361307237,False
S4,west_sector,9,True,1,10.0,8.33954664923563,10.0,35.75,25.75,193.7285260517439,0.7642871589559925,22.01461891107279,False
S4,west_sector,9,True,2,14.25,7.551819390897009,10.0,37.25,27.25,199.4453428248286,0.7868408310393998,22.42798197094243,False
S4,west_sector,9,True,3,21.5,11.522258359941748,10.0,33.0,23.0,180.48219389056243,0.7120284556024518,21.12395369982944,False
S4,west_sector,9,True,4,25.75,6.9152676871472085,10.0,37.75,27.75,201.26581722487228,0.7940228668268908,22.559968003924492,False
S4,west_sector,9,True,5,29.75,7.001583496769862,10.0,37.75,27.75,201.26581722487228,0.7940228668268908,22.559968003924492,False
S4,west_sector,9,True,6,33.5,5.414831561744937,10.0,38.5,28.5,203.4873619294101,0.8027871831892186,22.72323865434929,False
S4,west_sector,9,True,7,37.0,3.7847046753660347,10.0,39.75,29.75,206.25972842083291,0.8137245714639242,22.935408369652105,False
S4,west_sector,9,True,8,51.5,3.9182895396018824,46.5,59.25,12.75,37.451790178659806,0.14775274915279407,52.68861287479159,False
S4,west_sector,9,True,9,55.5,3.060533550800394,46.0,60.0,14.0,39.71764306528454,0.15669186772569907,52.80980982041333,False
T3_early,east_sector,6,True,1,13.25,11.69647833669657,10.0,22.0,12.0,115.7503523075121,0.3754399744876537,15.398107124853237,False
T3_early,east_sector,6,True,2,29.0,4.295345463761157,10.0,60.0,50.0,308.3058815606183,1.0,31.096423394211918,False
T3_early,east_sector,6,True,3,35.25,6.924910915544876,10.0,58.5,48.5,304.4641053214185,0.9875390757394799,30.753654456575603,False
T3_early,east_sector,6,True,4,42.25,6.331405342574922,10.0,58.75,48.75,305.22311941447083,0.9900009622568899,30.818448661040478,False
T3_early,east_sector,6,True,5,49.0,5.204077443473432,10.0,59.25,49.25,306.5462889888335,0.9942927051443915,30.936442902584997,False
T3_early,east_sector,6,True,6,55.5,5.694725941422305,10.0,59.0,49.0,305.90399481332577,0.9922094034173647,30.87815784609675,False
T3_early,full_easm_lon,8,True,1,11.75,9.728457570812056,10.0,37.75,27.75,207.65724614060454,0.7070379610684059,22.335547002893414,False
T3_early,full_easm_lon,8,True,2,18.0,9.434243509295774,10.0,38.0,28.0,208.8423766673867,0.711073130978579,22.422593486482448,False
T3_early,full_easm_lon,8,True,3,21.75,8.643251851843967,10.0,39.0,29.0,213.2968002936619,0.7262396934606995,22.75431842807123,False
T3_early,full_easm_lon,8,True,4,33.5,7.004180041878397,10.0,42.75,32.75,228.1875413996271,0.7769401598592109,23.92454200565657,False
T3_early,full_easm_lon,8,True,5,39.75,4.262068135657584,10.0,60.0,50.0,293.7002785915673,1.0,30.045979316175842,False
T3_early,full_easm_lon,8,True,6,44.5,3.146490644767754,10.0,60.0,50.0,293.7002785915673,1.0,30.045979316175842,False
T3_early,full_easm_lon,8,True,7,51.25,4.476043916793622,10.0,60.0,50.0,293.7002785915673,1.0,30.045979316175842,False
T3_early,full_easm_lon,8,True,8,55.5,4.708873967824617,10.0,60.0,50.0,293.7002785915673,1.0,30.045979316175842,False
T3_early,mid_sector,8,True,1,13.0,11.055377522660871,10.0,24.75,14.75,139.59729710562826,0.44989242981486316,16.79583370535124,False
T3_early,mid_sector,8,True,2,17.25,11.149796194591968,10.0,24.75,14.75,139.59729710562826,0.44989242981486316,16.79583370535124,False
T3_early,mid_sector,8,True,3,22.0,8.214612248131605,10.0,25.5,15.5,143.0065977391804,0.46087988141886904,16.98283666680127,False
T3_early,mid_sector,8,True,4,33.5,8.681761434494875,27.5,42.0,14.5,89.96647714615652,0.28994284161921524,34.57407495595745,False
T3_early,mid_sector,8,True,5,39.5,5.360608242636681,10.0,60.0,50.0,310.29038911162485,1.0,30.071571673266003,False
T3_early,mid_sector,8,True,6,47.25,3.463555504985961,10.0,60.0,50.0,310.29038911162485,1.0,30.071571673266003,False
T3_early,mid_sector,8,True,7,51.0,4.09248355064863,10.0,60.0,50.0,310.29038911162485,1.0,30.071571673266003,False
T3_early,mid_sector,8,True,8,56.0,5.620441201177315,10.0,60.0,50.0,310.29038911162485,1.0,30.071571673266003,False
T3_early,south_scs_ref,7,True,1,10.5,8.905870756655911,10.0,26.75,16.75,137.72107336387032,0.46342465556067947,17.58164774668094,False
T3_early,south_scs_ref,7,True,2,14.25,9.988701240134812,10.0,26.0,16.0,134.30066625252897,0.451915153429058,17.36111084611258,False
T3_early,south_scs_ref,7,True,3,21.5,8.222793478574658,10.0,42.5,32.5,229.37179709236048,0.7718248447136123,24.251152864769466,False
T3_early,south_scs_ref,7,True,4,33.5,7.412445770070629,10.0,42.75,32.75,230.31362511479557,0.7749940498049871,24.324608823804585,False
T3_early,south_scs_ref,7,True,5,39.75,5.248656414872698,10.0,59.75,49.75,296.5513101349744,0.9978806104151514,30.386208760456977,False
T3_early,south_scs_ref,7,True,6,50.0,4.162552537399345,10.0,60.0,50.0,297.181152774979,1.0,30.447132525276153,False
T3_early,south_scs_ref,7,True,7,55.75,5.244159853433632,10.0,59.75,49.75,296.5513101349744,0.9978806104151514,30.386208760456977,False
T3_early,west_sector,9,True,1,10.0,8.38020935692935,10.0,34.75,24.75,197.30117301382987,0.750357111895731,22.44865004113843,False
T3_early,west_sector,9,True,2,14.25,6.73244653743591,10.0,36.25,26.25,202.9903358976605,0.7719935966941072,22.81030396341295,False
T3_early,west_sector,9,True,3,18.75,9.780389023922828,10.0,34.25,24.25,195.16270791510786,0.7422243042146819,22.324631541018512,False
T3_early,west_sector,9,True,4,21.75,11.808635063459723,15.75,33.75,18.0,153.6870343662624,0.5844879555521203,24.58256657912422,False
T3_early,west_sector,9,True,5,25.0,8.668658120858636,10.0,34.5,24.5,196.29843434568795,0.7465435912789001,22.388714798364703,False
T3_early,west_sector,9,True,6,29.75,8.82749552682774,10.0,34.5,24.5,196.29843434568795,0.7465435912789001,22.388714798364703,False
T3_early,west_sector,9,True,7,35.25,4.010134979290336,10.0,39.0,29.0,210.6252900416258,0.8010301303011353,23.330005493582732,False
T3_early,west_sector,9,True,8,51.5,4.355283642348608,46.5,59.0,12.5,40.981286375967734,0.15585614224750474,52.55946199278614,False
T3_early,west_sector,9,True,9,55.5,3.2090028726390822,45.75,60.0,14.25,44.33166551724764,0.1685979864940682,52.6943856809684,False
T3_full,east_sector,7,True,1,13.25,12.058571781092127,10.0,22.0,12.0,120.08396104670683,0.3858582565323975,15.473908637658946,False
T3_full,east_sector,7,True,2,29.0,4.3417283546910665,10.0,60.0,50.0,311.21262539738944,1.0,30.92404375115647,False
T3_full,east_sector,7,True,3,35.25,6.057951968902167,10.0,59.0,49.0,308.6555868850563,0.9917836286073933,30.69322366343414,False
T3_full,east_sector,7,True,4,40.0,6.199070204514158,10.0,58.75,48.75,307.9239523570608,0.9894327132900559,30.628974394207802,False
T3_full,east_sector,7,True,5,49.0,5.35732218019759,10.0,59.5,49.5,310.0073056325714,0.9961270216358383,30.81472517473595,False
T3_full,east_sector,7,True,6,52.5,5.059248809468448,10.0,59.75,49.75,310.62430552836275,0.9981095886830572,30.86982211335295,False
T3_full,east_sector,7,True,7,55.5,5.629846968222571,10.0,59.25,49.25,309.3472243289224,0.9940060238041913,30.755728440926337,False
T3_full,full_easm_lon,9,True,1,12.0,9.916425215903796,10.0,37.5,27.5,205.37894044604118,0.6994913234572945,22.004146274085745,False
T3_full,full_easm_lon,9,True,2,18.0,9.637102864007623,10.0,38.0,28.0,207.792159518953,0.7077104027817736,22.184486564495373,False
T3_full,full_easm_lon,9,True,3,21.5,8.869467793556275,10.0,39.25,29.25,213.49143957189165,0.7271213362412886,22.619645026036313,False
T3_full,full_easm_lon,9,True,4,29.75,6.030814842579202,10.0,58.75,48.75,290.3207405482487,0.9887909568145341,29.641913203107286,False
T3_full,full_easm_lon,9,True,5,33.25,6.4558359538336845,10.0,43.5,33.5,230.0127514613622,0.78339056371767,23.946012120345298,False
T3_full,full_easm_lon,9,True,6,37.0,5.053498041684161,10.0,59.75,49.75,293.0170051270227,0.9979740486860844,29.907437555020678,False
T3_full,full_easm_lon,9,True,7,44.75,3.1123376190453733,10.0,60.0,50.0,293.6118484371451,1.0,29.96678774843678,False
T3_full,full_easm_lon,9,True,8,51.25,4.49575971316861,10.0,60.0,50.0,293.6118484371451,1.0,29.96678774843678,False
T3_full,full_easm_lon,9,True,9,55.5,4.7178722820204095,10.0,60.0,50.0,293.6118484371451,1.0,29.96678774843678,False
T3_full,mid_sector,8,True,1,12.5,11.19867355307862,10.0,24.75,14.75,140.1975931262178,0.45648002291762785,16.753141051550944,False
T3_full,mid_sector,8,True,2,17.25,11.171010147482905,10.0,24.75,14.75,140.1975931262178,0.45648002291762785,16.753141051550944,False
T3_full,mid_sector,8,True,3,21.75,8.177634577176386,10.0,25.5,15.5,143.53688163963258,0.4673526667565262,16.936340251409888,False
T3_full,mid_sector,8,True,4,33.75,7.713792459216049,26.75,42.5,15.75,90.3382543049715,0.2941392036477137,34.58544225760381,False
T3_full,mid_sector,8,True,5,39.5,5.474686955244676,10.0,60.0,50.0,307.1275545206423,1.0,30.030549182258998,False
T3_full,mid_sector,8,True,6,47.25,3.520209429922507,10.0,60.0,50.0,307.1275545206423,1.0,30.030549182258998,False
T3_full,mid_sector,8,True,7,51.0,4.051913592428827,10.0,60.0,50.0,307.1275545206423,1.0,30.030549182258998,False
T3_full,mid_sector,8,True,8,56.0,5.600330686284503,10.0,60.0,50.0,307.1275545206423,1.0,30.030549182258998,False
T3_full,south_scs_ref,7,True,1,10.5,8.989140085222306,10.0,26.5,16.5,138.7581940521819,0.4692119852792031,17.47999549092326,False
T3_full,south_scs_ref,7,True,2,14.25,10.087131329331156,10.0,25.75,15.75,135.32129632602368,0.45759008708207166,17.263846428693647,False
T3_full,south_scs_ref,7,True,3,21.5,8.442249858935174,10.0,42.25,32.25,226.64754245998313,0.7664105466543361,23.980171385550182,False
T3_full,south_scs_ref,7,True,4,33.5,6.7517547251449574,10.0,43.75,33.75,232.06539536413663,0.7847310612334791,24.416294835634094,False
T3_full,south_scs_ref,7,True,5,39.75,5.423513053026493,10.0,59.75,49.75,295.0884403075136,0.9978440109818862,30.294641677838626,False
T3_full,south_scs_ref,7,True,6,50.25,4.114581471076388,10.0,60.0,50.0,295.7260223641011,1.0,30.356738375554563,False
T3_full,south_scs_ref,7,True,7,55.75,5.237410400646999,10.0,60.0,50.0,295.7260223641011,1.0,30.356738375554563,False
T3_full,west_sector,9,True,1,10.0,8.313383812202845,10.0,34.75,24.75,195.22793864081507,0.7434119236238476,22.233827966375554,False
T3_full,west_sector,9,True,2,14.25,6.866419037893812,10.0,37.0,27.0,203.77671339740607,0.7759649543563846,22.79981771480293,False
T3_full,west_sector,9,True,3,18.5,9.787792616051053,10.0,34.25,24.25,193.04587268900121,0.7351027960573441,22.10259576369913,False
T3_full,west_sector,9,True,4,21.75,12.054567648429504,13.5,33.25,19.75,162.85476242543936,0.6201375328187254,23.323854912014223,False
T3_full,west_sector,9,True,5,25.0,8.475788260141222,10.0,34.75,24.75,195.22793864081507,0.7434119236238476,22.233827966375554,False
T3_full,west_sector,9,True,6,29.75,8.2636083475539,10.0,34.75,24.75,195.22793864081507,0.7434119236238476,22.233827966375554,False
T3_full,west_sector,9,True,7,35.25,4.147222482967908,10.0,39.25,29.25,209.99916516878852,0.7996595386112068,23.23816028092994,False
T3_full,west_sector,9,True,8,51.25,4.3463235238402325,46.5,59.5,13.0,42.30705489865973,0.16110178330027694,52.80826866770875,False
T3_full,west_sector,9,True,9,55.25,3.3147320445132884,46.0,60.0,14.0,44.22681217263788,0.16841206100886202,52.8453876137271,False
T3_late,east_sector,8,True,1,13.0,12.518747067048524,10.0,22.0,12.0,125.28429153374047,0.39810615091490636,15.558031728543531,False
T3_late,east_sector,8,True,2,29.0,4.397387823806958,10.0,60.0,50.0,314.7007180015149,1.0,30.721364422108586,False
T3_late,east_sector,8,True,3,33.25,5.446486481958506,10.0,59.75,49.75,314.0775635489076,0.9980198505533621,30.66440716740304,False
T3_late,east_sector,8,True,4,39.75,6.288640911802953,10.0,59.0,49.0,311.95749737113294,0.99128308111973,30.475598734386633,False
T3_late,east_sector,8,True,5,42.75,5.550307783753963,10.0,59.5,49.5,313.41931512816205,0.9959281857331299,30.606027819769473,False
T3_late,east_sector,8,True,6,48.5,5.590319718491372,10.0,59.5,49.5,313.41931512816205,0.9959281857331299,30.606027819769473,False
T3_late,east_sector,8,True,7,51.5,5.169872165648213,10.0,59.75,49.75,314.0775635489076,0.9980198505533621,30.66440716740304,False
T3_late,east_sector,8,True,8,55.5,5.551992200382893,10.0,59.5,49.5,313.41931512816205,0.9959281857331299,30.606027819769473,False
T3_late,full_easm_lon,8,True,1,12.0,10.143973423221592,10.0,26.5,16.5,145.14310894302088,0.49451541484199335,17.548776253854335,False
T3_late,full_easm_lon,8,True,2,16.5,9.976758571655818,10.0,26.75,16.75,146.3798369156858,0.4987290564740544,17.626354530784003,False
T3_late,full_easm_lon,8,True,3,21.5,9.152264324243344,10.0,40.0,30.0,215.91685576959856,0.7356478325415948,22.636475015433103,False
T3_late,full_easm_lon,8,True,4,29.5,5.796851246971329,10.0,59.25,49.25,291.55745999878536,0.9933620640452047,29.679223518845355,False
T3_late,full_easm_lon,8,True,5,33.25,5.804545431306926,10.0,59.25,49.25,291.55745999878536,0.9933620640452047,29.679223518845355,False
T3_late,full_easm_lon,8,True,6,37.0,5.032039442158071,10.0,60.0,50.0,293.50573225183837,1.0,29.87170291417535,False
T3_late,full_easm_lon,8,True,7,51.25,4.5194186688185916,10.0,60.0,50.0,293.50573225183837,1.0,29.87170291417535,False
T3_late,full_easm_lon,8,True,8,55.75,4.729829210113533,10.0,60.0,50.0,293.50573225183837,1.0,29.87170291417535,False
T3_late,mid_sector,9,True,1,12.5,11.421201585168404,10.0,24.75,14.75,140.9179483509252,0.46456647260074574,16.70241091009762,False
T3_late,mid_sector,9,True,2,17.0,11.204749110921224,10.0,24.75,14.75,140.9179483509252,0.46456647260074574,16.70241091009762,False
T3_late,mid_sector,9,True,3,21.75,8.200996234959732,10.0,25.25,15.25,143.20550725451338,0.47210790492461063,16.825577306474106,False
T3_late,mid_sector,9,True,4,29.5,5.403460422255277,10.0,60.0,50.0,303.33215301146333,1.0,29.98021191273215,False
T3_late,mid_sector,9,True,5,34.0,6.5837947396486385,10.0,49.0,39.0,256.02229537507986,0.8440328294686401,25.45442166513096,False
T3_late,mid_sector,9,True,6,39.5,5.611581410374269,10.0,60.0,50.0,303.33215301146333,1.0,29.98021191273215,False
T3_late,mid_sector,9,True,7,47.25,3.5881941398463617,10.0,60.0,50.0,303.33215301146333,1.0,29.98021191273215,False
T3_late,mid_sector,9,True,8,51.25,4.009695135259431,10.0,60.0,50.0,303.33215301146333,1.0,29.98021191273215,False
T3_late,mid_sector,9,True,9,56.0,5.576198068413126,10.0,60.0,50.0,303.33215301146333,1.0,29.98021191273215,False
T3_late,south_scs_ref,7,True,1,14.75,10.213149350268786,10.0,25.5,15.5,136.83046328659185,0.4654416141090822,17.17033095015862,False
T3_late,south_scs_ref,7,True,2,21.5,8.705597515367785,10.0,26.25,16.25,140.25399748655516,0.47708708578048237,17.37880115866044,False
T3_late,south_scs_ref,7,True,3,29.5,5.3435662304354,10.0,60.0,50.0,293.97986587104754,1.0,30.247100959951428,False
T3_late,south_scs_ref,7,True,4,33.25,5.969309580188467,10.0,59.25,49.25,291.9162498342033,0.9929804171087369,30.045438260197226,False
T3_late,south_scs_ref,7,True,5,38.75,5.67675432896378,10.0,59.5,49.5,292.64456457856306,0.9954578478069305,30.11679515162895,False
T3_late,south_scs_ref,7,True,6,50.5,4.078593412594434,10.0,60.0,50.0,293.97986587104754,1.0,30.247100959951428,False
T3_late,south_scs_ref,7,True,7,55.75,5.229311057303037,10.0,60.0,50.0,293.97986587104754,1.0,30.247100959951428,False
T3_late,west_sector,9,True,1,10.0,8.233193158531042,10.0,35.75,25.75,197.01138279709846,0.7513440519909454,22.25787244775555,False
T3_late,west_sector,9,True,2,14.25,7.027186038443293,10.0,37.75,27.75,204.48798580653653,0.7798576389750252,22.781613546862836,False
T3_late,west_sector,9,True,3,18.5,9.811415334538628,10.0,34.25,24.25,190.50567041767317,0.7265331591844155,21.82968746013946,False
T3_late,west_sector,9,True,4,21.75,12.349686750393246,13.5,32.5,19.0,156.17814659801576,0.5956179781664741,22.764521777439896,False
T3_late,west_sector,9,True,5,29.75,7.58694373242529,10.0,36.5,26.5,199.94492652847651,0.7625317336494019,22.459455330343346,False
T3_late,west_sector,9,True,6,35.25,4.311727487380992,10.0,39.5,29.5,209.26735327151027,0.7980847549218504,23.12982095950306,False
T3_late,west_sector,9,True,7,40.0,2.0950462779465355,10.0,42.25,32.25,214.0043225263479,0.8161501764399143,23.508094209274194,False
T3_late,west_sector,9,True,8,51.25,4.338179369844998,46.5,60.0,13.5,43.72146283931688,0.16674092929186676,53.07417890842267,False
T3_late,west_sector,9,True,9,55.25,3.4509697969628386,46.25,60.0,13.75,44.1796779651512,0.16848842836750377,53.01125564499574,False
