pair_type,source,target,window,best_positive_lag,best_positive_corr,lag0_corr,lag_minus_tau0_abs_corr,simple_classification,n_pairs_best_lag
structural_index,V_pos_band_width,P_highlat_40_60_mean,S2,2,0.1856006052777727,0.1518914322246422,0.03370917305313051,positive_lag_abs_dominant_over_tau0,1170.0
structural_index,V_pos_band_width,P_highlat_40_60_mean,T2,4,0.21044548977116567,0.15095608534507007,0.0594894044260956,positive_lag_abs_dominant_over_tau0,540.0
structural_index,V_pos_band_width,P_highlat_40_60_mean,S3,3,0.24947355612511765,0.1678515265069058,0.08162202961821186,positive_lag_abs_dominant_over_tau0,900.0
structural_index,V_pos_band_width,P_highlat_40_60_mean,T3,3,0.3313041008766174,0.16570870399094773,0.16559539688566965,positive_lag_abs_dominant_over_tau0,495.0
structural_index,V_pos_band_width,P_highlat_40_60_mean,S4,4,0.22721820988213956,0.011009435871523884,0.21620877401061567,positive_lag_abs_dominant_over_tau0,1665.0
structural_index,V_pos_band_width,P_highlat_40_60_mean,T4,2,0.2830011494521723,0.13664598724017743,0.14635516221199488,positive_lag_abs_dominant_over_tau0,448.0
structural_index,V_pos_band_width,P_highlat_40_60_mean,S5,2,0.2990243115295747,0.1545850237702745,0.1444392877593002,positive_lag_abs_dominant_over_tau0,823.0
structural_index,V_pos_north_edge_lat,P_highlat_35_60_mean,S1,3,0.22555759536842027,0.1364473840792083,0.08911021128921195,positive_lag_abs_dominant_over_tau0,1505.0
structural_index,V_pos_north_edge_lat,P_highlat_35_60_mean,T1,3,0.20660170062037855,-0.02574928472957083,0.18085241589080772,positive_lag_abs_dominant_over_tau0,405.0
structural_index,V_pos_north_edge_lat,P_highlat_35_60_mean,S2,3,0.23048173009916165,0.14909878250624972,0.08138294759291193,positive_lag_abs_dominant_over_tau0,1170.0
structural_index,V_pos_north_edge_lat,P_highlat_35_60_mean,T2,3,0.15817891383962693,0.10374766161165323,0.054431252227973695,positive_lag_abs_dominant_over_tau0,540.0
structural_index,V_pos_north_edge_lat,P_highlat_35_60_mean,S3,3,0.24729330783340828,0.15434385934715214,0.09294944848625614,positive_lag_abs_dominant_over_tau0,900.0
structural_index,V_pos_north_edge_lat,P_highlat_35_60_mean,T3,3,0.2745167679205918,0.14310490730732262,0.1314118606132692,positive_lag_abs_dominant_over_tau0,495.0
structural_index,V_pos_north_edge_lat,P_highlat_35_60_mean,S4,4,0.13790510572300574,-0.008646590932539304,0.12925851479046643,positive_lag_abs_dominant_over_tau0,1665.0
structural_index,V_pos_north_edge_lat,P_highlat_35_60_mean,T4,3,0.24735190878778038,0.13578491110408747,0.11156699768369291,positive_lag_abs_dominant_over_tau0,449.0
structural_index,V_pos_north_edge_lat,P_highlat_35_60_mean,S5,3,0.3507327836816301,0.1022086736102762,0.2485241100713539,positive_lag_abs_dominant_over_tau0,826.0
