year,day,V_PC1,V_PC2,V_PC3,V_PC4,V_PC5
1979,139,85.430305,210.12875,-72.44783,50.219536,-99.7722
1979,140,-32.258034,37.392883,-28.226246,33.917725,-130.02136
1979,141,-87.68059,-74.70304,23.297993,-20.773092,-92.69738
1979,142,-77.43185,-59.50743,89.23551,20.891851,12.240022
1979,143,-80.74965,67.79113,157.42622,31.761202,58.90085
1979,144,-25.63925,221.84236,95.73772,32.675392,69.04737
1979,145,63.17849,318.34824,-25.02435,36.93356,74.84496
1979,146,129.56793,308.71954,-131.92645,23.162504,33.608932
1979,147,165.79552,195.78857,-199.89476,0.24647622,-21.668922
1979,148,185.98657,49.70113,-226.99062,6.3692617,-0.80989915
1979,149,159.58182,-73.64505,-168.69714,-0.67286646,28.90529
1979,150,91.8576,-162.34267,-74.62526,-16.004675,27.427362
1979,151,-27.90406,-183.26273,45.466354,-27.073767,4.34559
1979,152,-139.81276,-125.93431,124.341415,-117.85677,-54.701294
1979,153,-213.17986,-78.23749,132.47975,-192.90205,-88.19059
1979,154,-233.39777,-49.469437,71.58438,-269.0027,-104.39873
1979,155,-172.63861,-75.487305,-34.30783,-235.139,-92.92009
1979,156,-135.11528,-81.340904,-119.84738,-148.88406,-43.33163
1979,157,-96.928925,-81.51452,-185.23903,-103.19974,7.6085844
1979,158,-41.316734,-95.051414,-227.73685,-72.23155,18.372496
1979,159,26.23343,-97.02628,-202.82045,0.93543243,10.672387
1979,160,52.5659,-77.42347,-124.73323,53.779816,1.3940653
1979,161,23.57396,-97.60296,-30.380821,91.0741,-4.244128
1979,162,-104.72408,-108.08128,37.966805,79.82682,12.598725
1979,163,-218.75595,-80.900475,57.903687,-0.61385846,24.833048
1979,164,-308.0081,-70.68834,31.004072,-80.180824,46.48815
1979,165,-323.2188,-58.59656,-43.611027,-144.17744,77.587776
1979,166,-252.75569,-56.662445,-115.011986,-112.55196,91.56366
1979,167,-179.7351,-47.484463,-140.51543,-39.87525,77.30968
1979,168,-115.162506,-41.170162,-147.47452,43.019993,59.781155
1979,169,-93.18686,-80.581635,-104.06761,140.35814,24.558783
1979,170,-160.77255,-77.75065,-52.130756,97.93788,-32.598755
1979,171,-224.69096,-40.355125,-66.68278,-45.319885,-67.42819
1979,172,-188.55968,-14.850645,-164.38147,-150.508,-82.5104
1979,173,-118.85171,-48.98456,-215.84088,-141.60428,-92.68319
1979,174,-58.171898,-17.486826,-259.75867,-160.26897,-91.01742
1979,175,45.50157,15.787381,-276.04227,-110.306786,-68.61229
1979,176,185.0596,11.444355,-254.48213,-45.734493,-40.583996
1979,177,292.56503,-38.22578,-134.80733,20.224548,-3.4520953
1979,178,316.81464,-47.12131,2.232623,-23.809391,28.466766
1979,179,339.57108,-64.1036,115.3944,-56.276127,62.073757
1979,180,340.50073,-80.74482,196.87079,-99.16552,61.896393
1979,181,307.23654,-95.02913,243.01585,-125.83024,16.386805
1979,182,0.0,0.0,0.0,0.0,0.0
1979,183,0.0,0.0,0.0,0.0,0.0
1980,1,0.0,0.0,0.0,0.0,0.0
1980,2,0.0,0.0,0.0,0.0,0.0
1980,3,-350.09308,119.823524,-50.274334,-4.051204,128.22066
1980,4,-356.541,150.49861,-100.2481,8.840055,155.09981
1980,5,-290.0848,192.40707,-211.56699,-18.007463,156.13043
1980,6,-87.87413,170.44395,-234.49977,52.416836,117.57494
1980,7,35.99526,78.967896,-77.156906,157.8052,70.874344
1980,8,-57.953114,14.875348,17.87879,141.91978,89.800644
1980,9,-99.139336,79.50238,-41.511414,122.19863,103.95109
1980,10,-34.22578,128.88513,-47.43414,119.9287,59.727467
1980,11,16.426079,152.25769,1.7665141,108.000565,0.85264677
1980,12,28.297626,191.43547,-21.802187,29.144903,-11.148513
1980,13,150.89806,170.87067,16.202978,-6.7362533,-61.821224
1980,14,188.49748,89.69346,156.6466,-77.23779,-97.833534
1980,15,72.118286,-0.28251523,285.06772,-116.27578,-75.85664
1980,16,-172.78636,35.137817,217.06303,-260.73834,9.651769
1980,17,-216.70448,156.14404,81.754005,-344.06577,23.046515
1980,18,-179.42178,180.52344,-34.11933,-340.7182,34.58867
1980,19,-151.91878,173.04166,-186.32132,-306.0276,21.591034
1980,20,-4.11519,190.20462,-307.38403,-287.60236,-13.956261
1980,21,179.75598,52.931347,-321.68726,-156.22038,-68.023254
1980,22,218.12834,-72.39462,-268.58594,-7.743092,-107.50469
1980,23,124.295525,-132.15295,-198.90926,77.97413,-120.81337
1980,24,-3.2635946,-59.397068,-130.82642,82.246155,-131.20747
1980,25,-89.75898,-51.83075,-83.92128,57.151237,-132.01329
1980,26,-154.60374,-3.8953385,-43.865547,37.359867,-113.05303
1980,27,-164.8442,33.99461,-27.511826,-21.982351,-77.49518
1980,28,-115.48322,17.447828,14.566948,-39.75632,-60.617474
1980,29,-99.1454,-65.14419,47.035053,-0.1257651,-21.445913
1980,30,-134.32217,-14.850314,66.69167,56.630962,6.197872
1980,31,-122.35054,36.369766,95.126785,22.054617,-13.76455
1980,32,-122.0326,28.730675,94.65938,0.060516957,-46.136578
1980,33,-77.75189,40.07139,52.681416,-12.107773,-75.13172
1980,34,-15.669515,9.152037,22.624899,-34.78283,-121.22284
1980,35,22.59361,2.8674212,-18.658886,-54.63267,-169.68794
1980,36,75.503975,14.015591,-28.626284,-24.352629,-189.57515
1980,37,81.352066,-49.15577,15.098399,24.152596,-178.63202
1980,38,-34.82052,-57.8825,2.3294451,10.7941265,-155.45291
1980,39,-82.85878,47.990246,-27.849838,39.848106,-93.80497
1980,40,-61.592785,49.07282,-28.876968,28.828539,-0.28425875
1980,41,-125.421135,-3.33858,-104.228455,15.705761,114.63186
1980,42,-92.298775,122.1865,-212.26503,-19.59996,142.11389
1980,43,53.829876,206.48912,-246.65588,-31.498722,137.66032
1980,44,171.38257,155.62654,-192.51031,-45.679783,97.64846
1980,45,172.72546,92.87088,-104.2836,-39.463295,59.672714
1980,46,180.7233,96.02092,-12.926588,-33.60792,19.555254
