window_id,object,selected_candidate_id,selected_peak_day,selected_window_start,selected_window_end,selected_role,support_class,selection_reason,excluded_candidates,early_secondary_candidates,late_secondary_candidates,target_name,phase_group,phase_group_size,years_in_phase_group,group_role
W113,P,CP001,112,102,122,within_system_window,candidate_window,system_relevant_first,CP002@119:candidate_window;CP003@131:candidate_window;CP004@137:weak_window,,CP003@131:candidate_window;CP004@137:weak_window,W113_H_late_minus_early_peak_influence,target_mode_mid,15,1979;1980;1981;1982;1984;1988;1989;2002;2003;2008;2010;2014;2018;2020;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,CP001,118,108,128,within_system_window,accepted_window,system_relevant_first,CP002@132:candidate_window;CP003@135:candidate_window,,CP002@132:candidate_window;CP003@135:candidate_window,W113_H_late_minus_early_peak_influence,target_mode_mid,15,1979;1980;1981;1982;1984;1988;1989;2002;2003;2008;2010;2014;2018;2020;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,CP001,115,105,125,within_system_window,accepted_window,system_relevant_first,CP002@132:candidate_window,,CP002@132:candidate_window,W113_H_late_minus_early_peak_influence,target_mode_mid,15,1979;1980;1981;1982;1984;1988;1989;2002;2003;2008;2010;2014;2018;2020;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,CP001,109,99,119,within_system_window,accepted_window,system_relevant_first,CP002@134:candidate_window,,CP002@134:candidate_window,W113_H_late_minus_early_peak_influence,target_mode_mid,15,1979;1980;1981;1982;1984;1988;1989;2002;2003;2008;2010;2014;2018;2020;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,CP002,113,103,123,within_system_window,candidate_window,system_relevant_first,CP001@130:accepted_window,,CP001@130:accepted_window,W113_H_late_minus_early_peak_influence,target_mode_mid,15,1979;1980;1981;1982;1984;1988;1989;2002;2003;2008;2010;2014;2018;2020;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,CP001,115,105,125,within_system_window,accepted_window,system_relevant_first,CP002@137:weak_window;CP003@103:weak_window,,CP002@137:weak_window,W113_Je_late_minus_early_peak_influence,target_mode_high,15,1979;1982;1983;1986;1992;1996;1999;2002;2006;2007;2008;2015;2016;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,CP001,111,101,121,within_system_window,accepted_window,system_relevant_first,CP002@125:accepted_window;CP003@136:candidate_window,,CP002@125:accepted_window;CP003@136:candidate_window,W113_Je_late_minus_early_peak_influence,target_mode_high,15,1979;1982;1983;1986;1992;1996;1999;2002;2006;2007;2008;2015;2016;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,CP001,116,106,126,within_system_window,candidate_window,system_relevant_first,CP002@105:candidate_window,,,W113_Je_late_minus_early_peak_influence,target_mode_high,15,1979;1982;1983;1986;1992;1996;1999;2002;2006;2007;2008;2015;2016;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,CP001,116,106,126,within_system_window,accepted_window,system_relevant_first,CP002@105:candidate_window,,,W113_Je_late_minus_early_peak_influence,target_mode_high,15,1979;1982;1983;1986;1992;1996;1999;2002;2006;2007;2008;2015;2016;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,CP003,114,104,124,within_system_window,candidate_window,system_relevant_first,CP001@133:candidate_window;CP002@106:candidate_window,,CP001@133:candidate_window,W113_Je_late_minus_early_peak_influence,target_mode_high,15,1979;1982;1983;1986;1992;1996;1999;2002;2006;2007;2008;2015;2016;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,CP001,106,98,116,front_or_early,accepted_window,system_relevant_first,CP002@138:weak_window;CP003@125:candidate_window;CP004@118:weak_window,,CP002@138:weak_window;CP003@125:candidate_window,W113_Je_late_minus_early_peak_influence,target_mode_low,15,1980;1981;1989;1991;1993;1994;1997;1998;2003;2005;2009;2010;2014;2017;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,CP001,109,99,119,within_system_window,candidate_window,system_relevant_first,CP002@136:candidate_window,,CP002@136:candidate_window,W113_Je_late_minus_early_peak_influence,target_mode_low,15,1980;1981;1989;1991;1993;1994;1997;1998;2003;2005;2009;2010;2014;2017;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,CP001,108,98,118,within_system_window,accepted_window,system_relevant_first,CP002@129:accepted_window;CP003@138:unstable_window,,CP002@129:accepted_window;CP003@138:unstable_window,W113_Je_late_minus_early_peak_influence,target_mode_low,15,1980;1981;1989;1991;1993;1994;1997;1998;2003;2005;2009;2010;2014;2017;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,CP001,106,98,116,front_or_early,accepted_window,system_relevant_first,CP002@130:accepted_window,,CP002@130:accepted_window,W113_Je_late_minus_early_peak_influence,target_mode_low,15,1980;1981;1989;1991;1993;1994;1997;1998;2003;2005;2009;2010;2014;2017;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
