window_id,object,observed_peak_day,bootstrap_peak_median,bootstrap_peak_q025,bootstrap_peak_q975,abs_error_median,abs_error_q75,abs_error_q90,abs_error_q975,support_class,included_in_tau_estimation,target_name,phase_group,phase_group_size,years_in_phase_group,group_role
W113,P,115.0,115.0,110.475,119.0,1.0,2.0,3.1000000000000227,5.0,accepted_window,True,W113_Je_late_minus_early_peak_influence,target_mode_high,15,1979;1982;1983;1986;1992;1996;1999;2002;2006;2007;2008;2015;2016;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,111.0,111.0,107.0,116.0,1.0,2.0,4.0,5.0,accepted_window,True,W113_Je_late_minus_early_peak_influence,target_mode_high,15,1979;1982;1983;1986;1992;1996;1999;2002;2006;2007;2008;2015;2016;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,116.0,116.0,106.0,121.0,1.0,2.0,5.0,10.0,candidate_window,True,W113_Je_late_minus_early_peak_influence,target_mode_high,15,1979;1982;1983;1986;1992;1996;1999;2002;2006;2007;2008;2015;2016;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,116.0,116.0,111.0,118.0,1.0,2.0,3.0,5.0,accepted_window,True,W113_Je_late_minus_early_peak_influence,target_mode_high,15,1979;1982;1983;1986;1992;1996;1999;2002;2006;2007;2008;2015;2016;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,114.0,114.0,105.0,118.0,1.5,4.0,7.0,9.0,candidate_window,True,W113_Je_late_minus_early_peak_influence,target_mode_high,15,1979;1982;1983;1986;1992;1996;1999;2002;2006;2007;2008;2015;2016;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,106.0,109.0,102.0,123.0,3.0,11.0,12.0,17.0,accepted_window,True,W113_Je_late_minus_early_peak_influence,target_mode_low,15,1980;1981;1989;1991;1993;1994;1997;1998;2003;2005;2009;2010;2014;2017;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,109.0,109.0,103.0,119.0,1.0,2.0,6.0,10.0,candidate_window,True,W113_Je_late_minus_early_peak_influence,target_mode_low,15,1980;1981;1989;1991;1993;1994;1997;1998;2003;2005;2009;2010;2014;2017;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,108.0,108.0,107.0,115.0,1.0,1.0,2.0,7.0,accepted_window,True,W113_Je_late_minus_early_peak_influence,target_mode_low,15,1980;1981;1989;1991;1993;1994;1997;1998;2003;2005;2009;2010;2014;2017;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,106.0,106.0,104.0,119.0,1.0,2.0,12.0,13.0,accepted_window,True,W113_Je_late_minus_early_peak_influence,target_mode_low,15,1980;1981;1989;1991;1993;1994;1997;1998;2003;2005;2009;2010;2014;2017;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,106.0,106.0,100.0,111.0,2.0,3.0,6.0,7.0,candidate_window,True,W113_Je_late_minus_early_peak_influence,target_mode_low,15,1980;1981;1989;1991;1993;1994;1997;1998;2003;2005;2009;2010;2014;2017;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,115.0,115.0,106.0,120.0,1.0,3.0,5.0,9.0,candidate_window,True,W113_Je_late_minus_early_peak_influence,target_mode_mid,15,1984;1985;1987;1988;1990;1995;2000;2001;2004;2011;2012;2013;2018;2020;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,116.0,116.0,109.0,123.0,2.0,3.0,6.0,10.0,candidate_window,True,W113_Je_late_minus_early_peak_influence,target_mode_mid,15,1984;1985;1987;1988;1990;1995;2000;2001;2004;2011;2012;2013;2018;2020;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,116.0,115.0,109.0,118.0,1.0,2.0,3.0,7.0,accepted_window,True,W113_Je_late_minus_early_peak_influence,target_mode_mid,15,1984;1985;1987;1988;1990;1995;2000;2001;2004;2011;2012;2013;2018;2020;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,109.0,109.0,107.0,113.52499999999998,1.0,1.0,2.0,4.524999999999977,accepted_window,True,W113_Je_late_minus_early_peak_influence,target_mode_mid,15,1984;1985;1987;1988;1990;1995;2000;2001;2004;2011;2012;2013;2018;2020;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,103.0,108.0,101.0,120.0,5.0,13.0,15.0,17.0,candidate_window,True,W113_Je_late_minus_early_peak_influence,target_mode_mid,15,1984;1985;1987;1988;1990;1995;2000;2001;2004;2011;2012;2013;2018;2020;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,106.0,112.0,104.0,120.0,6.0,12.0,13.0,14.0,accepted_window,True,W113_P_earlier_minus_H_earlier,target_mode_high,15,1980;1981;1986;1989;1991;1992;2001;2003;2004;2010;2011;2012;2015;2018;2019,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,119.0,119.0,108.0,122.0,1.0,1.0,3.0,11.0,accepted_window,True,W113_P_earlier_minus_H_earlier,target_mode_high,15,1980;1981;1986;1989;1991;1992;2001;2003;2004;2010;2011;2012;2015;2018;2019,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,119.0,119.0,107.0,121.0,1.0,2.0,10.0,12.0,accepted_window,True,W113_P_earlier_minus_H_earlier,target_mode_high,15,1980;1981;1986;1989;1991;1992;2001;2003;2004;2010;2011;2012;2015;2018;2019,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,108.0,108.0,104.0,117.0,1.0,1.0,4.0,9.0,accepted_window,True,W113_P_earlier_minus_H_earlier,target_mode_high,15,1980;1981;1986;1989;1991;1992;2001;2003;2004;2010;2011;2012;2015;2018;2019,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,110.0,110.0,102.475,112.0,1.0,1.0,2.0,8.0,accepted_window,True,W113_P_earlier_minus_H_earlier,target_mode_high,15,1980;1981;1986;1989;1991;1992;2001;2003;2004;2010;2011;2012;2015;2018;2019,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,118.0,117.0,108.0,119.0,1.0,1.0,2.0,10.0,accepted_window,True,W113_P_earlier_minus_H_earlier,target_mode_low,15,1979;1982;1984;1988;1993;1994;1995;1998;2002;2008;2009;2017;2020;2021;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,111.0,111.0,108.0,115.0,1.0,2.0,3.0,4.0,accepted_window,True,W113_P_earlier_minus_H_earlier,target_mode_low,15,1979;1982;1984;1988;1993;1994;1995;1998;2002;2008;2009;2017;2020;2021;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,113.0,113.0,110.0,115.0,1.0,1.0,2.0,3.0,accepted_window,True,W113_P_earlier_minus_H_earlier,target_mode_low,15,1979;1982;1984;1988;1993;1994;1995;1998;2002;2008;2009;2017;2020;2021;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,113.0,113.0,104.0,118.0,1.0,2.0,4.0,9.0,accepted_window,True,W113_P_earlier_minus_H_earlier,target_mode_low,15,1979;1982;1984;1988;1993;1994;1995;1998;2002;2008;2009;2017;2020;2021;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,113.0,112.0,100.0,120.0,2.0,4.0,11.199999999999989,14.0,candidate_window,True,W113_P_earlier_minus_H_earlier,target_mode_low,15,1979;1982;1984;1988;1993;1994;1995;1998;2002;2008;2009;2017;2020;2021;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,110.0,110.0,108.0,115.0,1.0,4.0,5.0,6.0,accepted_window,True,W113_P_earlier_minus_H_earlier,target_mode_mid,15,1983;1985;1987;1990;1996;1997;1999;2000;2005;2006;2007;2013;2014;2016;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,110.0,111.0,107.0,119.0,1.0,3.0,7.0,11.0,candidate_window,True,W113_P_earlier_minus_H_earlier,target_mode_mid,15,1983;1985;1987;1990;1996;1997;1999;2000;2005;2006;2007;2013;2014;2016;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,112.0,112.0,107.0,118.0,2.0,3.25,5.0,8.0,candidate_window,True,W113_P_earlier_minus_H_earlier,target_mode_mid,15,1983;1985;1987;1990;1996;1997;1999;2000;2005;2006;2007;2013;2014;2016;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
