window,family_direction,source,target,source_family,target_family,pc1_lead_lag_label,pc1_lead_lag_group,pc1_evidence_tier,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,lag0_signed_r,lag0_abs_r,same_day_coupling_flag,p_pos_surrogate,q_pos_within_window,p_pos_audit_surrogate,q_pos_audit_within_window,source_pc1_explained_variance_ratio,target_pc1_explained_variance_ratio,source_quality_flag,target_quality_flag,source_sign_reference_corr_abs,target_sign_reference_corr_abs,v1_total_pairs,v1_yes_count,v1_tier1a_count,v1_tier1b_count,v1_tier2_count,v1_tier3_count,v1_same_day_yes_count,v1_max_positive_abs_r,v1_max_lag0_abs_r,interpretation_hint,meiyu_end_focus_note
T3,V→P,V_PC1,P_PC1,V,P,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,1,0.5867313911863782,0.5867313911863782,0.6099776850058374,0.6099776850058374,True,0.000999000999000999,0.0024975024975024975,0.000999000999000999,0.004995004995004995,0.27816721873004546,0.20200443644651617,pc1_moderate,pc1_moderate,0.8360334642754722,0.7665547366085177,21,4,0,0,4,0,8,0.5697633549128992,0.5618676570977882,index_yes_pc1_lagged_weak_tau0_present,T3/meiyu-ending primary audit window
T3,V→H,V_PC1,H_PC1,V,H,PC1_no_same_day_only,PC1_lead_lag_no,PC1_Tier5c_no_same_day_only,1,-0.24187826936116671,0.24187826936116671,-0.25812005286943623,0.25812005286943623,True,0.07292707292707293,0.07292707292707293,0.10789210789210789,0.14385614385614384,0.27816721873004546,0.4102965319849802,pc1_moderate,pc1_good,0.8360334642754722,0.6690259667410314,12,0,0,0,0,0,2,0.2819599224508086,0.310275838715725,both_weak_or_no_signal,T3/meiyu-ending primary audit window
T3,H→P,H_PC1,P_PC1,H,P,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,1,-0.5618506548041226,0.5618506548041226,-0.5460458618895198,0.5460458618895198,True,0.000999000999000999,0.0024975024975024975,0.000999000999000999,0.004995004995004995,0.4102965319849802,0.20200443644651617,pc1_good,pc1_moderate,0.6690259667410314,0.7665547366085177,28,0,0,0,0,0,13,0.4895875303599397,0.4733840668939985,index_weak_or_no_pc1_strong,T3/meiyu-ending primary audit window
T3,H→V,H_PC1,V_PC1,H,V,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,4,-0.3593378309715851,0.3593378309715851,-0.25812005286943623,0.25812005286943623,True,0.003996003996003996,0.007992007992007992,0.012987012987012988,0.03710575139146568,0.4102965319849802,0.27816721873004546,pc1_good,pc1_moderate,0.6690259667410314,0.8360334642754722,12,0,0,0,0,0,2,0.3290990583753917,0.310275838715725,index_weak_or_no_pc1_strong,T3/meiyu-ending primary audit window
T3,Je→H,Je_PC1,H_PC1,Je,H,PC1_no_reverse_dominant,PC1_lead_lag_no,PC1_Tier5b_no_reverse_dominant,1,0.40185879392691826,0.40185879392691826,0.44701566999708026,0.44701566999708026,True,0.003996003996003996,0.007992007992007992,0.03496503496503497,0.06993006993006994,0.39964406682959874,0.4102965319849802,pc1_good,pc1_good,0.6685419281090548,0.6690259667410314,12,0,0,0,0,0,3,0.4123253871989502,0.4030709002325398,both_weak_or_no_signal,T3/meiyu-ending primary audit window
T3,Jw→Je,Jw_PC1,Je_PC1,Jw,Je,PC1_ambiguous_bidirectional_close,PC1_lead_lag_ambiguous,PC1_Tier4a_ambiguous_bidirectional_close,1,0.44240855143251423,0.44240855143251423,0.45107681316032894,0.45107681316032894,True,0.000999000999000999,0.0024975024975024975,0.04495504495504495,0.08173644537280901,0.40664501337561293,0.39964406682959874,pc1_good,pc1_good,0.7010349576442427,0.6685419281090548,9,0,0,0,0,0,1,0.3249812675074705,0.2251619051377567,both_weak_or_no_signal,T3/meiyu-ending primary audit window
S4,P→V,P_PC1,V_PC1,P,V,PC1_no_reverse_dominant,PC1_lead_lag_no,PC1_Tier5b_no_reverse_dominant,1,0.5468583340500052,0.5468583340500052,0.6083248368842982,0.6083248368842982,True,0.000999000999000999,0.003996003996003996,0.000999000999000999,0.00666000666000666,0.15642910594049633,0.32001364568208546,pc1_low_variance,pc1_moderate,0.43762520206414296,0.854285633787556,21,1,0,1,0,0,11,0.3465364804696754,0.4174984665903461,index_yes_pc1_weak_but_pc1_quality_low,neighboring reference window
S4,P→H,P_PC1,H_PC1,P,H,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,5,-0.020351720843544304,0.020351720843544304,-0.015325205254084777,0.015325205254084777,False,0.913086913086913,0.9130869130869129,0.913086913086913,0.9130869130869129,0.15642910594049633,0.3681673059900933,pc1_low_variance,pc1_good,0.43762520206414296,0.34933238566600394,28,1,0,0,1,0,9,0.2587527699269495,0.2849697013866363,index_yes_pc1_weak_but_pc1_quality_low,neighboring reference window
S4,V→P,V_PC1,P_PC1,V,P,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,1,0.6065077119556332,0.6065077119556332,0.6083248368842982,0.6083248368842982,True,0.000999000999000999,0.003996003996003996,0.000999000999000999,0.00666000666000666,0.32001364568208546,0.15642910594049633,pc1_moderate,pc1_low_variance,0.854285633787556,0.43762520206414296,21,9,1,8,0,0,11,0.452115359358,0.4174984665903461,index_strong_pc1_strong,neighboring reference window
S4,V→H,V_PC1,H_PC1,V,H,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,1,0.3665932612378707,0.3665932612378707,0.3758554480567989,0.3758554480567989,True,0.000999000999000999,0.003996003996003996,0.000999000999000999,0.00666000666000666,0.32001364568208546,0.3681673059900933,pc1_moderate,pc1_good,0.854285633787556,0.34933238566600394,12,0,0,0,0,0,7,0.3289052198877072,0.3407031902734487,both_weak_or_no_signal,neighboring reference window
S4,H→P,H_PC1,P_PC1,H,P,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,5,0.02499772787091163,0.02499772787091163,-0.015325205254084777,0.015325205254084777,False,0.8801198801198801,0.9130869130869129,0.8691308691308691,0.9130869130869129,0.3681673059900933,0.15642910594049633,pc1_good,pc1_low_variance,0.34933238566600394,0.43762520206414296,28,4,0,2,2,0,9,0.3146783016043165,0.2849697013866363,index_yes_pc1_weak_but_pc1_quality_low,neighboring reference window
S4,H→V,H_PC1,V_PC1,H,V,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,1,0.37251829054467467,0.37251829054467467,0.3758554480567989,0.3758554480567989,True,0.000999000999000999,0.003996003996003996,0.001998001998001998,0.00999000999000999,0.3681673059900933,0.32001364568208546,pc1_good,pc1_moderate,0.34933238566600394,0.854285633787556,12,4,1,2,1,0,7,0.345897851975511,0.3407031902734487,index_yes_pc1_lagged_weak_tau0_present,neighboring reference window
S4,Je→H,Je_PC1,H_PC1,Je,H,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,5,-0.06359894084443732,0.06359894084443732,0.047223548110214744,0.047223548110214744,False,0.5594405594405595,0.6216006216006217,0.6223776223776224,0.6915306915306916,0.32598500012409143,0.3681673059900933,pc1_moderate,pc1_good,0.8277497112060402,0.34933238566600394,12,0,0,0,0,0,6,0.3825109572232057,0.3897467813636349,both_weak_or_no_signal,neighboring reference window
S4,Jw→Je,Jw_PC1,Je_PC1,Jw,Je,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,3,0.3444022490363236,0.3444022490363236,0.28733307781375167,0.28733307781375167,True,0.000999000999000999,0.003996003996003996,0.012987012987012988,0.05194805194805195,0.448064222274174,0.32598500012409143,pc1_good,pc1_moderate,0.7406821406678329,0.8277497112060402,9,1,1,0,0,0,1,0.3215843115739784,0.2368175507521906,index_strong_pc1_strong,neighboring reference window
