window,family_direction,v1_total_pairs,v1_yes_count,v1_tier1a_count,v1_tier1b_count,v1_tier2_count,v1_tier3_count,v1_same_day_yes_count,v1_max_positive_abs_r,v1_max_lag0_abs_r
S5,V→Jw,9,0,0,0,0,0,5,0.3090904704753051,0.2462352788612605
S5,V→P,21,13,0,7,4,2,12,0.5537660242721644,0.5593847697601709
T1,H→Je,12,0,0,0,0,0,2,0.4132877907137344,0.4616130380929157
T1,H→Jw,12,0,0,0,0,0,0,0.1730288084516135,0.1761641554467139
T1,H→P,28,3,1,0,1,1,11,0.4354400000922875,0.5165092248442459
T1,H→V,12,1,0,0,0,1,6,0.3738738811255923,0.3210090525517557
T1,Je→H,12,1,1,0,0,0,2,0.449875503185729,0.4616130380929157
T1,Je→Jw,9,0,0,0,0,0,1,0.2633279031871773,0.2630257880610508
T1,Je→P,21,0,0,0,0,0,10,0.385613827794218,0.4376777585917062
T1,Je→V,9,0,0,0,0,0,4,0.2572903807227557,0.3067114686594898
T1,Jw→H,12,1,1,0,0,0,0,0.3719471015462124,0.1761641554467139
T1,Jw→Je,9,2,2,0,0,0,1,0.3754610626612096,0.2630257880610508
T1,Jw→P,21,0,0,0,0,0,2,0.2461066300174585,0.2195942617401318
T1,Jw→V,9,0,0,0,0,0,0,0.205739918009672,0.1586145743325766
T1,P→H,28,0,0,0,0,0,11,0.5217000827248799,0.5165092248442459
T1,P→Je,21,3,0,3,0,0,10,0.4249063941286414,0.4376777585917062
T1,P→Jw,21,0,0,0,0,0,2,0.2277960380826668,0.2195942617401318
T1,P→V,21,0,0,0,0,0,20,0.6880825793308851,0.7814173760701392
T1,V→H,12,2,1,0,1,0,6,0.3381335125934803,0.3210090525517557
T1,V→Je,9,2,1,1,0,0,4,0.4429711143862401,0.3067114686594898
T1,V→Jw,9,1,1,0,0,0,0,0.3170957135405479,0.1586145743325766
T1,V→P,21,14,0,14,0,0,20,0.7998054799684968,0.7814173760701392
T2,H→Je,12,0,0,0,0,0,4,0.4732585420840388,0.4846683304010653
T2,H→Jw,12,0,0,0,0,0,1,0.2517212870840072,0.272814579689356
T2,H→P,28,6,2,2,2,0,10,0.4689566174776787,0.360463759766905
T2,H→V,12,5,0,2,0,3,5,0.5634159927391513,0.5339366195037524
T2,Je→H,12,1,0,1,0,0,4,0.4687831563282555,0.4846683304010653
T2,Je→Jw,9,0,0,0,0,0,1,0.2478616931847478,0.2627801288293253
T2,Je→P,21,0,0,0,0,0,6,0.4041798844911913,0.4402866937775943
T2,Je→V,9,0,0,0,0,0,0,0.2001359837553535,0.112181835621974
T2,Jw→H,12,0,0,0,0,0,1,0.2760295931312724,0.272814579689356
T2,Jw→Je,9,0,0,0,0,0,1,0.2822284797792068,0.2627801288293253
T2,Jw→P,21,0,0,0,0,0,3,0.2721258724353579,0.2272524552179413
T2,Jw→V,9,0,0,0,0,0,0,0.2419218667055184,0.0974040057665438
T2,P→H,28,0,0,0,0,0,10,0.3152780807439089,0.360463759766905
T2,P→Je,21,1,0,1,0,0,6,0.4319217802401591,0.4402866937775943
T2,P→Jw,21,0,0,0,0,0,3,0.265981725865496,0.2272524552179413
T2,P→V,21,0,0,0,0,0,20,0.4668798744249413,0.5819740203271208
T2,V→H,12,0,0,0,0,0,5,0.4609976210735484,0.5339366195037524
T2,V→Je,9,0,0,0,0,0,0,0.209794750734321,0.112181835621974
T2,V→Jw,9,0,0,0,0,0,0,0.1518050404691926,0.0974040057665438
T2,V→P,21,15,0,15,0,0,20,0.7173995645614188,0.5819740203271208
T3,H→Je,12,0,0,0,0,0,3,0.4279486101991395,0.4030709002325398
T3,H→Jw,12,0,0,0,0,0,1,0.2631128004119717,0.2111560259952315
T3,H→P,28,0,0,0,0,0,13,0.4895875303599397,0.4733840668939985
T3,H→V,12,0,0,0,0,0,2,0.3290990583753917,0.310275838715725
T3,Je→H,12,0,0,0,0,0,3,0.4123253871989502,0.4030709002325398
T3,Je→Jw,9,0,0,0,0,0,1,0.2614087975475477,0.2251619051377567
T3,Je→P,21,2,0,0,2,0,4,0.3952041352701987,0.3780083475798179
T3,Je→V,9,0,0,0,0,0,3,0.2334757230792167,0.1998568118940445
T3,Jw→H,12,0,0,0,0,0,1,0.2222023566139744,0.2111560259952315
T3,Jw→Je,9,0,0,0,0,0,1,0.3249812675074705,0.2251619051377567
T3,Jw→P,21,0,0,0,0,0,6,0.316282750493957,0.3531908971141655
T3,Jw→V,9,0,0,0,0,0,0,0.2205444401553299,0.1672534953779725
T3,P→H,28,0,0,0,0,0,13,0.4252176934232057,0.4733840668939985
T3,P→Je,21,0,0,0,0,0,4,0.3821843306668911,0.3780083475798179
T3,P→Jw,21,2,0,0,2,0,6,0.3912826051200154,0.3531908971141655
T3,P→V,21,2,0,0,2,0,8,0.4917342977053504,0.5618676570977882
T3,V→H,12,0,0,0,0,0,2,0.2819599224508086,0.310275838715725
T3,V→Je,9,0,0,0,0,0,3,0.2653677272540249,0.1998568118940445
T3,V→Jw,9,0,0,0,0,0,0,0.1848628462595642,0.1672534953779725
T3,V→P,21,4,0,0,4,0,8,0.5697633549128992,0.5618676570977882
T4,H→Je,12,0,0,0,0,0,1,0.2928947758765313,0.3105424682038254
T4,H→Jw,12,0,0,0,0,0,3,0.3111654031337144,0.3514522673527931
T4,H→P,28,1,0,0,1,0,5,0.3056624301843295,0.3241928411158687
T4,H→V,12,1,0,0,1,0,5,0.3991681094194386,0.3867203978822831
T4,Je→H,12,0,0,0,0,0,1,0.303615749254445,0.3105424682038254
T4,Je→Jw,9,0,0,0,0,0,1,0.0806685129081062,0.1349996567975706
T4,Je→P,21,0,0,0,0,0,2,0.2611695421142244,0.2435907066659275
T4,Je→V,9,0,0,0,0,0,2,0.251161928173527,0.2542745519273987
T4,Jw→H,12,0,0,0,0,0,3,0.3826281108597382,0.3514522673527931
T4,Jw→Je,9,0,0,0,0,0,1,0.2842965590974892,0.1349996567975706
T4,Jw→P,21,0,0,0,0,0,2,0.1994582345486966,0.2323873426205488
T4,Jw→V,9,0,0,0,0,0,0,0.2055354381271162,0.1451879550882211
T4,P→H,28,0,0,0,0,0,5,0.3418830615635748,0.3241928411158687
T4,P→Je,21,0,0,0,0,0,2,0.1874891942901193,0.2435907066659275
T4,P→Jw,21,0,0,0,0,0,2,0.2532234034460724,0.2323873426205488
T4,P→V,21,0,0,0,0,0,15,0.5414902361474256,0.6173923055895794
T4,V→H,12,0,0,0,0,0,5,0.3177953832870978,0.3867203978822831
T4,V→Je,9,0,0,0,0,0,2,0.2520244924203318,0.2542745519273987
T4,V→Jw,9,0,0,0,0,0,0,0.2347911947909951,0.1451879550882211
T4,V→P,21,9,0,8,1,0,15,0.6282099379798477,0.6173923055895794
