window,family_direction,n_pairs,n_pc1_yes,n_pc1_ambiguous,n_same_day,max_positive_abs_r,max_lag0_abs_r
T1,Je→Jw,1,0,0,0,0.19905867524144585,0.047804990737425355
T1,Je→P,1,0,1,1,0.28617540960143684,0.3141155044015984
T1,Je→V,1,0,0,1,0.17324925328549873,0.28343612876728635
T1,Jw→H,1,0,1,0,0.32965579148262475,0.14927960048910952
T1,Jw→Je,1,0,0,0,0.18988734160971846,0.047804990737425355
T1,Jw→P,1,0,0,0,0.2446866159876968,0.027145546675444825
T1,Jw→V,1,0,1,0,0.36788578717652876,0.07222395329048091
T1,P→H,1,0,0,1,0.36825867927322553,0.44160767859445277
T1,P→Je,1,0,1,1,0.3260915382413237,0.3141155044015984
T1,P→Jw,1,0,0,0,0.07475828040964638,0.027145546675444825
T1,P→V,1,0,0,1,0.6912627603927481,0.7732333443067642
T1,V→H,1,0,1,1,0.44211544026243804,0.4728296011618463
T1,V→Je,1,1,0,1,0.4597588059159945,0.28343612876728635
T1,V→Jw,1,0,1,0,0.2832366679763915,0.07222395329048091
T1,V→P,1,1,0,1,0.7819536106317296,0.7732333443067642
T2,H→Je,1,1,0,1,0.6668265105704908,0.6530366732305625
T2,H→Jw,1,0,0,0,0.1519218872791521,0.018644449054852654
T2,H→P,1,0,0,0,0.16193275270803253,0.21253793971346183
T2,H→V,1,1,0,0,0.3118876994359607,0.16728692311923438
T2,Je→H,1,0,0,1,0.6110100192295276,0.6530366732305625
T2,Je→Jw,1,0,0,0,0.1251904673431373,0.1444127718484823
T2,Je→P,1,0,1,1,0.34024056835317384,0.3630787641091253
T2,Je→V,1,0,0,0,0.04705977541365053,0.06065249124232668
T2,Jw→H,1,0,0,0,0.09714982245901177,0.018644449054852654
T2,Jw→Je,1,0,0,0,0.18171746214069345,0.1444127718484823
T2,Jw→P,1,0,0,0,0.07589953852165296,0.07871530439991155
T2,Jw→V,1,0,0,0,0.08059624755617395,0.10870135448167596
T2,P→H,1,0,0,0,0.21826472486781862,0.21253793971346183
T2,P→Je,1,0,1,1,0.35433968685257966,0.3630787641091253
T2,P→Jw,1,0,0,0,0.1406458607853869,0.07871530439991155
T2,P→V,1,0,1,1,0.6196858220578803,0.6696164400214861
T2,V→H,1,0,0,0,0.12449111281130293,0.16728692311923438
T2,V→Je,1,0,0,0,0.06483202601217672,0.06065249124232668
T2,V→Jw,1,0,0,0,0.13104341597378097,0.10870135448167596
T2,V→P,1,1,0,1,0.684190709457999,0.6696164400214861
T3,H→Je,1,1,0,1,0.5491989483109646,0.44701566999708026
T3,H→Jw,1,1,0,1,0.5536412525916681,0.3514091292305242
T3,H→P,1,1,0,1,0.5618506548041226,0.5460458618895198
T3,H→V,1,1,0,1,0.3593378309715851,0.25812005286943623
T3,Je→H,1,0,0,1,0.40185879392691826,0.44701566999708026
T3,Je→Jw,1,0,1,1,0.4609526430886634,0.45107681316032894
T3,Je→P,1,0,1,1,0.28986064235270054,0.2868774802348282
T3,Je→V,1,0,1,1,0.351612952226152,0.30655566062224643
T3,Jw→H,1,0,0,1,0.27540839437630876,0.3514091292305242
T3,Jw→Je,1,0,1,1,0.44240855143251423,0.45107681316032894
T3,Jw→P,1,0,0,1,0.26917592319190164,0.3025262353609217
T3,Jw→V,1,0,1,1,0.27600141771621944,0.253059750229049
T3,P→H,1,0,1,1,0.5214485733152697,0.5460458618895198
T3,P→Je,1,0,1,1,0.28393570319511746,0.2868774802348282
T3,P→Jw,1,1,0,1,0.3746129198085063,0.3025262353609217
T3,P→V,1,0,1,1,0.5887596634330131,0.6099776850058374
T3,V→H,1,0,0,1,0.24187826936116671,0.25812005286943623
T3,V→Je,1,0,1,1,0.27603560493556234,0.30655566062224643
T3,V→Jw,1,0,0,1,0.24105840717422994,0.253059750229049
T3,V→P,1,0,1,1,0.5867313911863782,0.6099776850058374
T4,H→Je,1,0,0,1,0.2567162616448879,0.2621925032085135
T4,H→Jw,1,0,1,0,0.2843892319038158,0.07740384806197577
T4,H→P,1,0,1,1,0.3034999672890549,0.3470117262763171
T4,H→V,1,0,0,0,0.17605246133165628,0.14968241297822563
T4,Je→H,1,0,0,1,0.2638758530506096,0.2621925032085135
T4,Je→Jw,1,0,0,0,0.011374427304705932,0.016393063018265652
T4,Je→P,1,0,0,0,0.18259809103957214,0.1857464421858279
T4,Je→V,1,0,0,1,0.2292512020528762,0.269402924520063
T4,Jw→H,1,0,0,0,0.10537121868779549,0.07740384806197577
T4,Jw→Je,1,0,0,0,0.11321251584469667,0.016393063018265652
T4,Jw→P,1,0,0,0,0.04442405233695813,0.010919159206614647
T4,Jw→V,1,0,0,0,0.09378203020995496,0.08232397631089979
T4,P→H,1,1,0,1,0.40027294848328626,0.3470117262763171
T4,P→Je,1,0,0,0,0.16939034561371538,0.1857464421858279
T4,P→Jw,1,0,0,0,0.09560270137872783,0.010919159206614647
T4,P→V,1,0,0,1,0.23759517702655467,0.3469560395511254
T4,V→H,1,0,0,0,0.19795579202125654,0.14968241297822563
T4,V→Je,1,0,1,1,0.3221630186418569,0.269402924520063
T4,V→Jw,1,0,0,0,0.08209151520968455,0.08232397631089979
T4,V→P,1,1,0,1,0.41671008245353164,0.3469560395511254
