window,family_direction,source,target,source_family,target_family,pc1_lead_lag_label,pc1_lead_lag_group,pc1_evidence_tier,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,lag0_signed_r,lag0_abs_r,same_day_coupling_flag,p_pos_surrogate,q_pos_within_window,p_pos_audit_surrogate,q_pos_audit_within_window,source_pc1_explained_variance_ratio,target_pc1_explained_variance_ratio,source_quality_flag,target_quality_flag,source_sign_reference_corr_abs,target_sign_reference_corr_abs,v1_total_pairs,v1_yes_count,v1_tier1a_count,v1_tier1b_count,v1_tier2_count,v1_tier3_count,v1_same_day_yes_count,v1_max_positive_abs_r,v1_max_lag0_abs_r,interpretation_hint
S1,H→Je,H_PC1,Je_PC1,H,Je,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,1,0.8215041226318793,0.8215041226318793,0.7738144128188811,0.7738144128188811,True,0.000999000999000999,0.001998001998001998,0.000999000999000999,0.00333000333000333,0.6197226208206511,0.4635688283819569,pc1_good,pc1_good,0.3104580996232486,0.6775492275554494,12,0,0,0,0,0,5,0.2866700353502285,0.2722224593102738,index_weak_or_no_pc1_strong
S1,H→Jw,H_PC1,Jw_PC1,H,Jw,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,4,-0.08852853323134773,0.08852853323134773,0.07236716495816155,0.07236716495816155,False,0.41858141858141856,0.4185814185814186,0.5634365634365635,0.5634365634365635,0.6197226208206511,0.3108868337452324,pc1_good,pc1_moderate;sign_reference_weak,0.3104580996232486,0.10255400000212213,12,0,0,0,0,0,2,0.1683229858437658,0.1195950882907493,both_weak_or_no_signal
S1,Je→P,Je_PC1,P_PC1,Je,P,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,1,0.3090251389078738,0.3090251389078738,0.35142089767412515,0.35142089767412515,True,0.000999000999000999,0.001998001998001998,0.007992007992007992,0.014530923621832713,0.4635688283819569,0.1855522473261639,pc1_good,pc1_low_variance,0.6775492275554494,0.6264309226547231,21,1,0,0,0,1,13,0.3024443183860542,0.3533360578055778,index_yes_pc1_weak_but_pc1_quality_low
S1,Je→V,Je_PC1,V_PC1,Je,V,PC1_no_reverse_dominant,PC1_lead_lag_no,PC1_Tier5b_no_reverse_dominant,1,0.29724666396250454,0.29724666396250454,0.4192485862665938,0.4192485862665938,True,0.001998001998001998,0.0036327309054581783,0.016983016983016984,0.026127718435410747,0.4635688283819569,0.5058069804039994,pc1_good,pc1_good,0.6775492275554494,0.9636992745904391,9,1,0,0,1,0,4,0.2946696357946986,0.4043788377551237,index_yes_pc1_lagged_weak_tau0_present
S1,Je→H,Je_PC1,H_PC1,Je,H,PC1_no_reverse_dominant,PC1_lead_lag_no,PC1_Tier5b_no_reverse_dominant,1,0.6734858618753691,0.6734858618753691,0.7738144128188811,0.7738144128188811,True,0.000999000999000999,0.001998001998001998,0.000999000999000999,0.00333000333000333,0.4635688283819569,0.6197226208206511,pc1_good,pc1_good,0.6775492275554494,0.3104580996232486,12,1,0,1,0,0,5,0.2936585544529848,0.2722224593102738,index_yes_pc1_lagged_weak_tau0_present
S1,Je→Jw,Je_PC1,Jw_PC1,Je,Jw,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,3,-0.13339447680192545,0.13339447680192545,-0.05804344828250244,0.05804344828250244,False,0.1968031968031968,0.20716125979283873,0.41058941058941056,0.4321993795678005,0.4635688283819569,0.3108868337452324,pc1_good,pc1_moderate;sign_reference_weak,0.6775492275554494,0.10255400000212213,9,0,0,0,0,0,1,0.1783796291373627,0.2001879685557387,both_weak_or_no_signal
S1,Jw→P,Jw_PC1,P_PC1,Jw,P,PC1_ambiguous_bidirectional_close,PC1_lead_lag_ambiguous,PC1_Tier4a_ambiguous_bidirectional_close,5,0.2429093095594635,0.2429093095594635,-0.1183479440105059,0.1183479440105059,False,0.004995004995004995,0.007135721421435708,0.026973026973026972,0.03853289567575281,0.3108868337452324,0.1855522473261639,pc1_moderate;sign_reference_weak,pc1_low_variance,0.10255400000212213,0.6264309226547231,21,0,0,0,0,0,4,0.1790308236729683,0.1480621622437678,both_weak_pc1_quality_low
S1,Jw→V,Jw_PC1,V_PC1,Jw,V,PC1_ambiguous_bidirectional_close,PC1_lead_lag_ambiguous,PC1_Tier4a_ambiguous_bidirectional_close,4,0.304232835550349,0.304232835550349,0.029783927854638525,0.029783927854638525,False,0.000999000999000999,0.001998001998001998,0.004995004995004995,0.0111000111000111,0.3108868337452324,0.5058069804039994,pc1_moderate;sign_reference_weak,pc1_good,0.10255400000212213,0.9636992745904391,9,0,0,0,0,0,3,0.2815278184611893,0.276566357069926,both_weak_or_no_signal
S1,Jw→H,Jw_PC1,H_PC1,Jw,H,PC1_ambiguous_direction_uncertain,PC1_lead_lag_ambiguous,PC1_Tier4c_ambiguous_direction_uncertain,4,0.25134955289506744,0.25134955289506744,0.07236716495816155,0.07236716495816155,False,0.01098901098901099,0.013736263736263738,0.052947052947052944,0.06618381618381618,0.3108868337452324,0.6197226208206511,pc1_moderate;sign_reference_weak,pc1_good,0.10255400000212213,0.3104580996232486,12,0,0,0,0,0,2,0.1515507398983474,0.1195950882907493,both_weak_or_no_signal
S1,Jw→Je,Jw_PC1,Je_PC1,Jw,Je,PC1_ambiguous_direction_uncertain,PC1_lead_lag_ambiguous,PC1_Tier4c_ambiguous_direction_uncertain,5,0.320626582258778,0.320626582258778,-0.05804344828250244,0.05804344828250244,False,0.002997002997002997,0.004610773841543072,0.012987012987012988,0.021645021645021648,0.3108868337452324,0.4635688283819569,pc1_moderate;sign_reference_weak,pc1_good,0.10255400000212213,0.6775492275554494,9,1,0,1,0,0,1,0.3546741189457124,0.2001879685557387,index_yes_pc1_weak
T1,P→V,P_PC1,V_PC1,P,V,PC1_no_reverse_dominant,PC1_lead_lag_no,PC1_Tier5b_no_reverse_dominant,1,0.6912627603927481,0.6912627603927481,0.7732333443067642,0.7732333443067642,True,0.000999000999000999,0.00333000333000333,0.000999000999000999,0.00666000666000666,0.24338306715701352,0.42017540538876336,pc1_moderate,pc1_good,0.8472803815578415,0.9584850989101019,21,0,0,0,0,0,20,0.6880825793308851,0.7814173760701392,both_weak_or_no_signal
T1,P→H,P_PC1,H_PC1,P,H,PC1_no_reverse_dominant,PC1_lead_lag_no,PC1_Tier5b_no_reverse_dominant,1,0.36825867927322553,0.36825867927322553,0.44160767859445277,0.44160767859445277,True,0.005994005994005994,0.011988011988011988,0.016983016983016984,0.03396603396603397,0.24338306715701352,0.6120363568866078,pc1_moderate,pc1_good,0.8472803815578415,0.413290584858937,28,0,0,0,0,0,11,0.5217000827248799,0.5165092248442459,both_weak_or_no_signal
T1,P→Je,P_PC1,Je_PC1,P,Je,PC1_ambiguous_coupled_or_feedback_like,PC1_lead_lag_ambiguous,PC1_Tier4c_ambiguous_direction_uncertain,1,0.3260915382413237,0.3260915382413237,0.3141155044015984,0.3141155044015984,True,0.016983016983016984,0.028305028305028308,0.03596403596403597,0.059940059940059943,0.24338306715701352,0.4653123748699067,pc1_moderate,pc1_good,0.8472803815578415,0.7978817505860057,21,3,0,3,0,0,10,0.4249063941286414,0.4376777585917062,index_yes_pc1_lagged_weak_tau0_present
T1,P→Jw,P_PC1,Jw_PC1,P,Jw,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,5,-0.07475828040964638,0.07475828040964638,-0.027145546675444825,0.027145546675444825,False,0.7022977022977023,0.7022977022977023,0.7032967032967034,0.7032967032967034,0.24338306715701352,0.3010365395489544,pc1_moderate,pc1_moderate,0.8472803815578415,0.1751374587683178,21,0,0,0,0,0,2,0.2277960380826668,0.2195942617401318,both_weak_or_no_signal
T1,V→P,V_PC1,P_PC1,V,P,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,1,0.7819536106317296,0.7819536106317296,0.7732333443067642,0.7732333443067642,True,0.000999000999000999,0.00333000333000333,0.000999000999000999,0.00666000666000666,0.42017540538876336,0.24338306715701352,pc1_good,pc1_moderate,0.9584850989101019,0.8472803815578415,21,14,0,14,0,0,20,0.7998054799684968,0.7814173760701392,index_strong_pc1_strong
T1,V→H,V_PC1,H_PC1,V,H,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,1,0.44211544026243804,0.44211544026243804,0.4728296011618463,0.4728296011618463,True,0.003996003996003996,0.00888000888000888,0.006993006993006993,0.0222000222000222,0.42017540538876336,0.6120363568866078,pc1_good,pc1_good,0.9584850989101019,0.413290584858937,12,2,1,0,1,0,6,0.3381335125934803,0.3210090525517557,index_yes_pc1_lagged_weak_tau0_present
T1,V→Je,V_PC1,Je_PC1,V,Je,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,3,0.4597588059159945,0.4597588059159945,0.28343612876728635,0.28343612876728635,True,0.000999000999000999,0.00333000333000333,0.002997002997002997,0.011988011988011988,0.42017540538876336,0.4653123748699067,pc1_good,pc1_good,0.9584850989101019,0.7978817505860057,9,2,1,1,0,0,4,0.4429711143862401,0.3067114686594898,index_strong_pc1_strong
T1,V→Jw,V_PC1,Jw_PC1,V,Jw,PC1_ambiguous_bidirectional_close,PC1_lead_lag_ambiguous,PC1_Tier4a_ambiguous_bidirectional_close,3,0.2832366679763915,0.2832366679763915,0.07222395329048091,0.07222395329048091,False,0.03996003996003996,0.0585129156557728,0.04195804195804196,0.064550833781603,0.42017540538876336,0.3010365395489544,pc1_good,pc1_moderate,0.9584850989101019,0.1751374587683178,9,1,1,0,0,0,0,0.3170957135405479,0.1586145743325766,index_yes_pc1_weak
T1,H→P,H_PC1,P_PC1,H,P,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,2,0.4900482951971731,0.4900482951971731,0.44160767859445277,0.44160767859445277,True,0.000999000999000999,0.00333000333000333,0.001998001998001998,0.00999000999000999,0.6120363568866078,0.24338306715701352,pc1_good,pc1_moderate,0.413290584858937,0.8472803815578415,28,3,1,0,1,1,11,0.4354400000922875,0.5165092248442459,index_strong_pc1_strong
T1,H→V,H_PC1,V_PC1,H,V,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,1,0.4344787073847676,0.4344787073847676,0.4728296011618463,0.4728296011618463,True,0.001998001998001998,0.005708577137148565,0.007992007992007992,0.0222000222000222,0.6120363568866078,0.42017540538876336,pc1_good,pc1_good,0.413290584858937,0.9584850989101019,12,1,0,0,0,1,6,0.3738738811255923,0.3210090525517557,index_yes_pc1_lagged_weak_tau0_present
T1,H→Je,H_PC1,Je_PC1,H,Je,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,2,0.7596053888592645,0.7596053888592645,0.6457757833566496,0.6457757833566496,True,0.000999000999000999,0.00333000333000333,0.000999000999000999,0.00666000666000666,0.6120363568866078,0.4653123748699067,pc1_good,pc1_good,0.413290584858937,0.7978817505860057,12,0,0,0,0,0,2,0.4132877907137344,0.4616130380929157,index_weak_or_no_pc1_strong
T1,H→Jw,H_PC1,Jw_PC1,H,Jw,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,5,-0.10544781758348445,0.10544781758348445,-0.14927960048910952,0.14927960048910952,False,0.5144855144855145,0.5415636994584363,0.5744255744255744,0.6046584993953414,0.6120363568866078,0.3010365395489544,pc1_good,pc1_moderate,0.413290584858937,0.1751374587683178,12,0,0,0,0,0,0,0.1730288084516135,0.1761641554467139,both_weak_or_no_signal
T1,Je→P,Je_PC1,P_PC1,Je,P,PC1_ambiguous_bidirectional_close,PC1_lead_lag_ambiguous,PC1_Tier4a_ambiguous_bidirectional_close,1,0.28617540960143684,0.28617540960143684,0.3141155044015984,0.3141155044015984,True,0.04095904095904096,0.0585129156557728,0.08791208791208792,0.12558869701726846,0.4653123748699067,0.24338306715701352,pc1_good,pc1_moderate,0.7978817505860057,0.8472803815578415,21,0,0,0,0,0,10,0.385613827794218,0.4376777585917062,both_weak_or_no_signal
T1,Je→V,Je_PC1,V_PC1,Je,V,PC1_no_same_day_only,PC1_lead_lag_no,PC1_Tier5c_no_same_day_only,1,0.17324925328549873,0.17324925328549873,0.28343612876728635,0.28343612876728635,True,0.20679320679320679,0.22977022977022976,0.36063936063936064,0.4007104007104007,0.4653123748699067,0.42017540538876336,pc1_good,pc1_good,0.7978817505860057,0.9584850989101019,9,0,0,0,0,0,4,0.2572903807227557,0.3067114686594898,both_weak_or_no_signal
T1,Je→H,Je_PC1,H_PC1,Je,H,PC1_no_reverse_dominant,PC1_lead_lag_no,PC1_Tier5b_no_reverse_dominant,1,0.5293557333775308,0.5293557333775308,0.6457757833566496,0.6457757833566496,True,0.000999000999000999,0.00333000333000333,0.00999000999000999,0.0222000222000222,0.4653123748699067,0.6120363568866078,pc1_good,pc1_good,0.7978817505860057,0.413290584858937,12,1,1,0,0,0,2,0.449875503185729,0.4616130380929157,index_yes_pc1_lagged_weak_tau0_present
T1,Je→Jw,Je_PC1,Jw_PC1,Je,Jw,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,5,-0.19905867524144585,0.19905867524144585,0.047804990737425355,0.047804990737425355,False,0.16883116883116883,0.21103896103896103,0.22277722277722278,0.27847152847152845,0.4653123748699067,0.3010365395489544,pc1_good,pc1_moderate,0.7978817505860057,0.1751374587683178,9,0,0,0,0,0,1,0.2633279031871773,0.2630257880610508,both_weak_or_no_signal
T1,Jw→P,Jw_PC1,P_PC1,Jw,P,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,5,-0.2446866159876968,0.2446866159876968,-0.027145546675444825,0.027145546675444825,False,0.1018981018981019,0.13586413586413587,0.11188811188811189,0.14918414918414918,0.3010365395489544,0.24338306715701352,pc1_moderate,pc1_moderate,0.1751374587683178,0.8472803815578415,21,0,0,0,0,0,2,0.2461066300174585,0.2195942617401318,both_weak_or_no_signal
T1,Jw→V,Jw_PC1,V_PC1,Jw,V,PC1_ambiguous_bidirectional_close,PC1_lead_lag_ambiguous,PC1_Tier4a_ambiguous_bidirectional_close,5,-0.36788578717652876,0.36788578717652876,0.07222395329048091,0.07222395329048091,False,0.002997002997002997,0.007492507492507492,0.00999000999000999,0.0222000222000222,0.3010365395489544,0.42017540538876336,pc1_moderate,pc1_good,0.1751374587683178,0.9584850989101019,9,0,0,0,0,0,0,0.205739918009672,0.1586145743325766,both_weak_or_no_signal
T1,Jw→H,Jw_PC1,H_PC1,Jw,H,PC1_ambiguous_direction_uncertain,PC1_lead_lag_ambiguous,PC1_Tier4c_ambiguous_direction_uncertain,4,-0.32965579148262475,0.32965579148262475,-0.14927960048910952,0.14927960048910952,False,0.015984015984015984,0.028305028305028308,0.028971028971028972,0.05267459812914359,0.3010365395489544,0.6120363568866078,pc1_moderate,pc1_good,0.1751374587683178,0.413290584858937,12,1,1,0,0,0,0,0.3719471015462124,0.1761641554467139,index_yes_pc1_weak
T1,Jw→Je,Jw_PC1,Je_PC1,Jw,Je,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,5,-0.18988734160971846,0.18988734160971846,0.047804990737425355,0.047804990737425355,False,0.1918081918081918,0.22565669624493154,0.24375624375624375,0.28677205147793383,0.3010365395489544,0.4653123748699067,pc1_moderate,pc1_good,0.1751374587683178,0.7978817505860057,9,2,2,0,0,0,1,0.3754610626612096,0.2630257880610508,index_yes_pc1_weak
S2,P→V,P_PC1,V_PC1,P,V,PC1_no_reverse_dominant,PC1_lead_lag_no,PC1_Tier5b_no_reverse_dominant,1,0.6394803229661475,0.6394803229661475,0.7235800864294752,0.7235800864294752,True,0.000999000999000999,0.00333000333000333,0.000999000999000999,0.003996003996003996,0.19734012600392128,0.3945141040637759,pc1_low_variance,pc1_good,0.7289121301863862,0.9706335830014932,21,0,0,0,0,0,21,0.5560197874309526,0.6815787544027265,both_weak_pc1_quality_low
S2,P→H,P_PC1,H_PC1,P,H,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,1,0.11741111961557296,0.11741111961557296,0.1464274077967423,0.1464274077967423,False,0.31868131868131866,0.3749191984486102,0.32867132867132864,0.38667215137803373,0.19734012600392128,0.5327559269861208,pc1_low_variance,pc1_good,0.7289121301863862,0.4955240692506201,28,0,0,0,0,0,21,0.3990951558598286,0.3977327621107426,both_weak_pc1_quality_low
S2,P→Je,P_PC1,Je_PC1,P,Je,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,2,0.10162533226324064,0.10162533226324064,0.09055676395213536,0.09055676395213536,False,0.37662337662337664,0.3964456596035544,0.38461538461538464,0.4048582995951417,0.19734012600392128,0.4045012476927509,pc1_low_variance,pc1_good,0.7289121301863862,0.7462314850767305,21,2,0,2,0,0,7,0.3559949460294327,0.3340730822496394,index_yes_pc1_weak_but_pc1_quality_low
S2,P→Jw,P_PC1,Jw_PC1,P,Jw,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,3,0.15630385748083284,0.15630385748083284,0.12764928204159023,0.12764928204159023,False,0.16983016983016982,0.2122877122877123,0.17882117882117882,0.22352647352647353,0.19734012600392128,0.4054142203099709,pc1_low_variance,pc1_good,0.7289121301863862,0.4631503990886237,21,4,0,3,1,0,10,0.2548145617308533,0.2286427415296917,index_yes_pc1_weak_but_pc1_quality_low
S2,V→P,V_PC1,P_PC1,V,P,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,1,0.7491123751339315,0.7491123751339315,0.7235800864294752,0.7235800864294752,True,0.000999000999000999,0.00333000333000333,0.000999000999000999,0.003996003996003996,0.3945141040637759,0.19734012600392128,pc1_good,pc1_low_variance,0.9706335830014932,0.7289121301863862,21,16,0,16,0,0,21,0.7419510830210648,0.6815787544027265,index_strong_pc1_strong
S2,V→H,V_PC1,H_PC1,V,H,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,1,0.38920738092666457,0.38920738092666457,0.4146630263630871,0.4146630263630871,True,0.001998001998001998,0.005708577137148565,0.001998001998001998,0.00666000666000666,0.3945141040637759,0.5327559269861208,pc1_good,pc1_good,0.9706335830014932,0.4955240692506201,12,3,0,3,0,0,9,0.4082550021009129,0.4392920398909093,index_yes_pc1_lagged_weak_tau0_present
S2,V→Je,V_PC1,Je_PC1,V,Je,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,2,0.32621119110947916,0.32621119110947916,0.2599835324990524,0.2599835324990524,True,0.005994005994005994,0.010898192716374534,0.005994005994005994,0.014985014985014984,0.3945141040637759,0.4045012476927509,pc1_good,pc1_good,0.9706335830014932,0.7462314850767305,9,0,0,0,0,0,2,0.2635826864039851,0.1954307045096373,index_weak_or_no_pc1_strong
S2,V→Jw,V_PC1,Jw_PC1,V,Jw,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,3,0.39525279436830735,0.39525279436830735,0.30931547178267815,0.30931547178267815,True,0.000999000999000999,0.00333000333000333,0.000999000999000999,0.003996003996003996,0.3945141040637759,0.4054142203099709,pc1_good,pc1_good,0.9706335830014932,0.4631503990886237,9,2,2,0,0,0,3,0.3215586977929217,0.2923288645761142,index_strong_pc1_strong
S2,H→P,H_PC1,P_PC1,H,P,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,3,0.19953223243171053,0.19953223243171053,0.1464274077967423,0.1464274077967423,False,0.07092907092907093,0.09457209457209456,0.08291708291708291,0.11188811188811189,0.5327559269861208,0.19734012600392128,pc1_good,pc1_low_variance,0.4955240692506201,0.7289121301863862,28,8,1,5,2,0,21,0.3714857126432705,0.3977327621107426,index_yes_pc1_weak_but_pc1_quality_low
S2,H→V,H_PC1,V_PC1,H,V,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,1,0.3959764530850974,0.3959764530850974,0.4146630263630871,0.4146630263630871,True,0.000999000999000999,0.00333000333000333,0.002997002997002997,0.008562865705722848,0.5327559269861208,0.3945141040637759,pc1_good,pc1_good,0.4955240692506201,0.9706335830014932,12,3,0,3,0,0,9,0.437487813506697,0.4392920398909093,index_yes_pc1_lagged_weak_tau0_present
S2,H→Je,H_PC1,Je_PC1,H,Je,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,2,0.7116719310269433,0.7116719310269433,0.6402660624400351,0.6402660624400351,True,0.000999000999000999,0.00333000333000333,0.000999000999000999,0.003996003996003996,0.5327559269861208,0.4045012476927509,pc1_good,pc1_good,0.4955240692506201,0.7462314850767305,12,0,0,0,0,0,5,0.3442575937388961,0.377097532362399,index_weak_or_no_pc1_strong
S2,H→Jw,H_PC1,Jw_PC1,H,Jw,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,2,0.29178466167975,0.29178466167975,0.26086296287281824,0.26086296287281824,True,0.005994005994005994,0.010898192716374534,0.015984015984015984,0.029061847243665426,0.5327559269861208,0.4054142203099709,pc1_good,pc1_good,0.4955240692506201,0.4631503990886237,12,0,0,0,0,0,2,0.1904172750470197,0.1704642838733364,index_weak_or_no_pc1_strong
S2,Je→P,Je_PC1,P_PC1,Je,P,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,1,0.08817177803654906,0.08817177803654906,0.09055676395213536,0.09055676395213536,False,0.43656343656343655,0.43656343656343655,0.4645354645354645,0.46453546453546457,0.4045012476927509,0.19734012600392128,pc1_good,pc1_low_variance,0.7462314850767305,0.7289121301863862,21,1,0,1,0,0,7,0.3112371389599282,0.3340730822496394,index_yes_pc1_weak_but_pc1_quality_low
