window,source,target,source_object,target_object,source_family,target_family,family_direction,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,negative_peak_lag,negative_peak_signed_r,negative_peak_abs_r,lag0_signed_r,lag0_abs_r,p_pos_surrogate,q_pos_within_window,q_pos_global,p_pos_audit_surrogate,q_pos_audit_within_window,T_pos_null95,T_pos_audit_null95,strength_excess,strength_ratio,statistical_support,strength_tier,same_day_coupling_flag,direction_label,pc1_lead_lag_label,pc1_lead_lag_group,pc1_evidence_tier,pc1_evidence_tier_reason,failure_reason,risk_note,suggested_reverse_direction,sample_status,pair_phi_risk
S1,Je_PC1,Jw_PC1,Je,Jw,Je,Jw,Je→Jw,3,-0.13339447680192545,0.13339447680192545,-5,0.33297494858729587,0.33297494858729587,-0.05804344828250244,0.05804344828250244,0.1968031968031968,0.20716125979283873,0.27460911181841413,0.41058941058941056,0.4321993795678005,0.1987584141114438,0.26259356257072214,-0.06536393730951834,0.6711387661159904,not_supported,not_supported,False,no_directional_signal,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,positive-lag not supported,positive_lag_not_supported,,,ok,minor
S1,Jw_PC1,P_PC1,Jw,P,Jw,P,Jw→P,5,0.2429093095594635,0.2429093095594635,-2,-0.19457961990498937,0.19457961990498937,-0.1183479440105059,0.1183479440105059,0.004995004995004995,0.007135721421435708,0.014048451548451548,0.026973026973026972,0.03853289567575281,0.18013423478166032,0.2169998041293658,0.06277507477780317,1.3484905290429245,supported,strong_above_null,False,bidirectional_close,PC1_ambiguous_bidirectional_close,PC1_lead_lag_ambiguous,PC1_Tier4a_ambiguous_bidirectional_close,bidirectional/feedback-like,positive_and_negative_supported_but_direction_difference_uncertain,bidirectional_or_feedback_like,,ok,minor
S1,Jw_PC1,V_PC1,Jw,V,Jw,V,Jw→V,4,0.304232835550349,0.304232835550349,-4,-0.2315532897520819,0.2315532897520819,0.029783927854638525,0.029783927854638525,0.000999000999000999,0.001998001998001998,0.003909134343916952,0.004995004995004995,0.0111000111000111,0.17783876812057794,0.20740113417326286,0.12639406742977108,1.7107228011390272,supported,strong_above_null,False,bidirectional_close,PC1_ambiguous_bidirectional_close,PC1_lead_lag_ambiguous,PC1_Tier4a_ambiguous_bidirectional_close,bidirectional/feedback-like,positive_and_negative_supported_but_direction_difference_uncertain,bidirectional_or_feedback_like,,ok,minor
S1,Jw_PC1,H_PC1,Jw,H,Jw,H,Jw→H,4,0.25134955289506744,0.25134955289506744,-4,-0.0820190026088706,0.0820190026088706,0.07236716495816155,0.07236716495816155,0.01098901098901099,0.013736263736263738,0.025688597117168546,0.052947052947052944,0.06618381618381618,0.1972373989439928,0.25296988829788397,0.05411215395107463,1.2743503729048882,supported,strong_above_null,False,direction_uncertain,PC1_ambiguous_direction_uncertain,PC1_lead_lag_ambiguous,PC1_Tier4c_ambiguous_direction_uncertain,direction uncertain,direction_difference_not_stable,direction_uncertain,,ok,minor
S1,Jw_PC1,Je_PC1,Jw,Je,Jw,Je,Jw→Je,5,0.320626582258778,0.320626582258778,-2,-0.12622541104060456,0.12622541104060456,-0.05804344828250244,0.05804344828250244,0.002997002997002997,0.004610773841543072,0.009301043783802405,0.012987012987012988,0.021645021645021648,0.20113337180359342,0.2604946276914889,0.11949321045518457,1.5940993748758392,supported,strong_above_null,False,direction_uncertain,PC1_ambiguous_direction_uncertain,PC1_lead_lag_ambiguous,PC1_Tier4c_ambiguous_direction_uncertain,direction uncertain,direction_difference_not_stable,direction_uncertain,,ok,minor
T1,P_PC1,V_PC1,P,V,P,V,P→V,1,0.6912627603927481,0.6912627603927481,-1,0.7868887765409309,0.7868887765409309,0.7732333443067642,0.7732333443067642,0.000999000999000999,0.00333000333000333,0.003909134343916952,0.000999000999000999,0.00666000666000666,0.26879904575748875,0.4189130671795454,0.4224637146352594,2.5716711844892757,supported,strong_above_null,True,reverse_dominant,PC1_no_reverse_dominant,PC1_lead_lag_no,PC1_Tier5b_no_reverse_dominant,reverse lag is stronger,reverse_lag_dominant,reverse_direction,V_PC1 -> P_PC1,ok,moderate
T1,P_PC1,H_PC1,P,H,P,H,P→H,1,0.36825867927322553,0.36825867927322553,-2,0.4951688894238401,0.4951688894238401,0.44160767859445277,0.44160767859445277,0.005994005994005994,0.011988011988011988,0.01586648645472175,0.016983016983016984,0.03396603396603397,0.2631253670226926,0.308794089796082,0.1051333122505329,1.3995559737935337,supported,strong_above_null,True,reverse_dominant,PC1_no_reverse_dominant,PC1_lead_lag_no,PC1_Tier5b_no_reverse_dominant,reverse lag is stronger,reverse_lag_dominant,reverse_direction,H_PC1 -> P_PC1,ok,moderate
T1,P_PC1,Je_PC1,P,Je,P,Je,P→Je,1,0.3260915382413237,0.3260915382413237,-1,0.2754049982214564,0.2754049982214564,0.3141155044015984,0.3141155044015984,0.016983016983016984,0.028305028305028308,0.03774003774003774,0.03596403596403597,0.059940059940059943,0.2733882231822389,0.30944638779110417,0.05270331505908482,1.192778293247669,supported,moderate_above_null,True,same_day_short_lag_mixed,PC1_ambiguous_coupled_or_feedback_like,PC1_lead_lag_ambiguous,PC1_Tier4c_ambiguous_direction_uncertain,direction uncertain,positive_support_with_same_day_or_uncertain_direction,same_day_short_lag_mixed,,ok,moderate
T1,P_PC1,Jw_PC1,P,Jw,P,Jw,P→Jw,5,-0.07475828040964638,0.07475828040964638,-5,-0.23216430601688906,0.23216430601688906,-0.027145546675444825,0.027145546675444825,0.7022977022977023,0.7022977022977023,0.7392607392607393,0.7032967032967034,0.7032967032967034,0.2847661316641699,0.2927244645738316,-0.21000785125452354,0.2625251815332107,not_supported,not_supported,False,no_directional_signal,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,positive-lag not supported,positive_lag_not_supported,,,ok,moderate
T1,V_PC1,P_PC1,V,P,V,P,V→P,1,0.7819536106317296,0.7819536106317296,-1,0.7004612835660362,0.7004612835660362,0.7732333443067642,0.7732333443067642,0.000999000999000999,0.00333000333000333,0.003909134343916952,0.000999000999000999,0.00666000666000666,0.2621990941466976,0.4304436605091189,0.519754516485032,2.982289520017315,supported,strong_above_null,True,X_leads_Y_with_same_day_component,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,PC1 main yes; audit-FDR pass; same-day coupling present,,same_day_coupling_present,,ok,moderate
T1,V_PC1,H_PC1,V,H,V,H,V→H,1,0.44211544026243804,0.44211544026243804,-1,0.4434247496078288,0.4434247496078288,0.4728296011618463,0.4728296011618463,0.003996003996003996,0.00888000888000888,0.011601301923882569,0.006993006993006993,0.0222000222000222,0.2643334560906295,0.32204913209523717,0.17778198417180852,1.6725670930994603,supported,strong_above_null,True,same_day_dominant,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,same-day dominant/mixed,same_day_exceeds_positive_lag,same_day_dominant,,ok,none
T1,V_PC1,Je_PC1,V,Je,V,Je,V→Je,3,0.4597588059159945,0.4597588059159945,-1,0.17201906840709522,0.17201906840709522,0.28343612876728635,0.28343612876728635,0.000999000999000999,0.00333000333000333,0.003909134343916952,0.002997002997002997,0.011988011988011988,0.25996450800898263,0.32643777295246024,0.19979429790701186,1.768544519546908,supported,strong_above_null,True,X_leads_Y_with_same_day_component,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,PC1 main yes; audit-FDR pass; same-day coupling present,,same_day_coupling_present,,ok,minor
T1,V_PC1,Jw_PC1,V,Jw,V,Jw,V→Jw,3,0.2832366679763915,0.2832366679763915,-5,-0.36068078575641677,0.36068078575641677,0.07222395329048091,0.07222395329048091,0.03996003996003996,0.0585129156557728,0.07492507492507493,0.04195804195804196,0.064550833781603,0.2663092661813284,0.27708675932530663,0.016927401795063135,1.0635629470870058,supported,moderate_above_null,False,bidirectional_close,PC1_ambiguous_bidirectional_close,PC1_lead_lag_ambiguous,PC1_Tier4a_ambiguous_bidirectional_close,bidirectional/feedback-like,positive_and_negative_supported_but_direction_difference_uncertain,bidirectional_or_feedback_like,,ok,minor
T1,H_PC1,P_PC1,H,P,H,P,H→P,2,0.4900482951971731,0.4900482951971731,-1,0.3616711798462031,0.3616711798462031,0.44160767859445277,0.44160767859445277,0.000999000999000999,0.00333000333000333,0.003909134343916952,0.001998001998001998,0.00999000999000999,0.2717613082840742,0.3229399073596882,0.2182869869130989,1.8032305565916757,supported,strong_above_null,True,X_leads_Y_with_same_day_component,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,PC1 main yes; audit-FDR pass; same-day coupling present,,same_day_coupling_present,,ok,moderate
T1,H_PC1,V_PC1,H,V,H,V,H→V,1,0.4344787073847676,0.4344787073847676,-1,0.43863836991588195,0.43863836991588195,0.4728296011618463,0.4728296011618463,0.001998001998001998,0.005708577137148565,0.007192807192807193,0.007992007992007992,0.0222000222000222,0.2707351003375413,0.32140507498493903,0.16374360704722635,1.604811148768954,supported,strong_above_null,True,same_day_dominant,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,same-day dominant/mixed,same_day_exceeds_positive_lag,same_day_dominant,,ok,none
T1,H_PC1,Je_PC1,H,Je,H,Je,H→Je,2,0.7596053888592645,0.7596053888592645,-1,0.5158467345910557,0.5158467345910557,0.6457757833566496,0.6457757833566496,0.000999000999000999,0.00333000333000333,0.003909134343916952,0.000999000999000999,0.00666000666000666,0.28036841646170796,0.45919762528703273,0.4792369723975566,2.7093115495875035,supported,strong_above_null,True,X_leads_Y_with_same_day_component,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,PC1 main yes; audit-FDR pass; same-day coupling present,,same_day_coupling_present,,ok,minor
T1,H_PC1,Jw_PC1,H,Jw,H,Jw,H→Jw,5,-0.10544781758348445,0.10544781758348445,-4,-0.3635873856473722,0.3635873856473722,-0.14927960048910952,0.14927960048910952,0.5144855144855145,0.5415636994584363,0.5821678321678322,0.5744255744255744,0.6046584993953414,0.27348036124671377,0.30016745297255476,-0.1680325436632293,0.3855772937507466,not_supported,not_supported,False,no_directional_signal,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,positive-lag not supported,positive_lag_not_supported,,,ok,minor
T1,Je_PC1,P_PC1,Je,P,Je,P,Je→P,1,0.28617540960143684,0.28617540960143684,-1,0.3175375611913743,0.3175375611913743,0.3141155044015984,0.3141155044015984,0.04095904095904096,0.0585129156557728,0.07600646775904508,0.08791208791208792,0.12558869701726846,0.27842059833198807,0.3165036421934833,0.007754811269448769,1.0278528647517737,supported,moderate_above_null,True,bidirectional_close,PC1_ambiguous_bidirectional_close,PC1_lead_lag_ambiguous,PC1_Tier4a_ambiguous_bidirectional_close,bidirectional/feedback-like,positive_and_negative_supported_but_direction_difference_uncertain,bidirectional_or_feedback_like,,ok,moderate
T1,Je_PC1,V_PC1,Je,V,Je,V,Je→V,1,0.17324925328549873,0.17324925328549873,-2,0.41723768447679044,0.41723768447679044,0.28343612876728635,0.28343612876728635,0.20679320679320679,0.22977022977022976,0.2863290555598248,0.36063936063936064,0.4007104007104007,0.2639329902851798,0.3170880903518841,-0.09068373699968107,0.6564137855533057,not_supported,not_supported,True,same_day_only,PC1_no_same_day_only,PC1_lead_lag_no,PC1_Tier5c_no_same_day_only,same-day coupling but no positive-lag support,same_day_only_without_positive_lag_support,same_day_coupling,,ok,minor
T1,Je_PC1,H_PC1,Je,H,Je,H,Je→H,1,0.5293557333775308,0.5293557333775308,-2,0.7422403652816187,0.7422403652816187,0.6457757833566496,0.6457757833566496,0.000999000999000999,0.00333000333000333,0.003909134343916952,0.00999000999000999,0.0222000222000222,0.26591226178612226,0.45220653807841793,0.2634434715914086,1.9907157715175263,supported,strong_above_null,True,reverse_dominant,PC1_no_reverse_dominant,PC1_lead_lag_no,PC1_Tier5b_no_reverse_dominant,reverse lag is stronger,reverse_lag_dominant,reverse_direction,H_PC1 -> Je_PC1,ok,minor
T1,Je_PC1,Jw_PC1,Je,Jw,Je,Jw,Je→Jw,5,-0.19905867524144585,0.19905867524144585,-5,-0.2524614419975751,0.2524614419975751,0.047804990737425355,0.047804990737425355,0.16883116883116883,0.21103896103896103,0.25263992206140967,0.22277722277722278,0.27847152847152845,0.27099725772473987,0.29715772222026504,-0.07193858248329402,0.7345412898739949,not_supported,not_supported,False,no_directional_signal,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,positive-lag not supported,positive_lag_not_supported,,,ok,minor
T1,Jw_PC1,P_PC1,Jw,P,Jw,P,Jw→P,5,-0.2446866159876968,0.2446866159876968,-5,0.06410234747481311,0.06410234747481311,-0.027145546675444825,0.027145546675444825,0.1018981018981019,0.13586413586413587,0.15676631061246446,0.11188811188811189,0.14918414918414918,0.2779309162806906,0.29444310842140586,-0.0332443002929938,0.88038646172267,not_supported,not_supported,False,no_directional_signal,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,positive-lag not supported,positive_lag_not_supported,,,ok,moderate
T1,Jw_PC1,V_PC1,Jw,V,Jw,V,Jw→V,5,-0.36788578717652876,0.36788578717652876,-4,0.33169173230679466,0.33169173230679466,0.07222395329048091,0.07222395329048091,0.002997002997002997,0.007492507492507492,0.009301043783802405,0.00999000999000999,0.0222000222000222,0.27595201929984886,0.27049459196248343,0.0919337678766799,1.3331512779284462,supported,strong_above_null,False,bidirectional_close,PC1_ambiguous_bidirectional_close,PC1_lead_lag_ambiguous,PC1_Tier4a_ambiguous_bidirectional_close,bidirectional/feedback-like,positive_and_negative_supported_but_direction_difference_uncertain,bidirectional_or_feedback_like,,ok,minor
T1,Jw_PC1,H_PC1,Jw,H,Jw,H,Jw→H,4,-0.32965579148262475,0.32965579148262475,-1,-0.08559280293172712,0.08559280293172712,-0.14927960048910952,0.14927960048910952,0.015984015984015984,0.028305028305028308,0.03641927692560604,0.028971028971028972,0.05267459812914359,0.2723398824743613,0.297169739030339,0.057315909008263444,1.2104572730498233,supported,moderate_above_null,False,direction_uncertain,PC1_ambiguous_direction_uncertain,PC1_lead_lag_ambiguous,PC1_Tier4c_ambiguous_direction_uncertain,direction uncertain,direction_difference_not_stable,direction_uncertain,,ok,minor
T1,Jw_PC1,Je_PC1,Jw,Je,Jw,Je,Jw→Je,5,-0.18988734160971846,0.18988734160971846,-5,-0.092779320400253,0.092779320400253,0.047804990737425355,0.047804990737425355,0.1918081918081918,0.22565669624493154,0.26973026973026976,0.24375624375624375,0.28677205147793383,0.2691233552115606,0.29500814563481786,-0.07923601360184215,0.7055773418863854,not_supported,not_supported,False,no_directional_signal,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,positive-lag not supported,positive_lag_not_supported,,,ok,minor
S2,P_PC1,V_PC1,P,V,P,V,P→V,1,0.6394803229661475,0.6394803229661475,-1,0.7489337219932808,0.7489337219932808,0.7235800864294752,0.7235800864294752,0.000999000999000999,0.00333000333000333,0.003909134343916952,0.000999000999000999,0.003996003996003996,0.2102334534576239,0.2895105379262391,0.42924686950852364,3.0417629185501895,supported,strong_above_null,True,reverse_dominant,PC1_no_reverse_dominant,PC1_lead_lag_no,PC1_Tier5b_no_reverse_dominant,reverse lag is stronger,reverse_lag_dominant,reverse_direction,V_PC1 -> P_PC1,ok,moderate
S2,P_PC1,H_PC1,P,H,P,H,P→H,1,0.11741111961557296,0.11741111961557296,-2,0.18194122171230312,0.18194122171230312,0.1464274077967423,0.1464274077967423,0.31868131868131866,0.3749191984486102,0.40973312401883827,0.32867132867132864,0.38667215137803373,0.21364892949593903,0.21698781841260753,-0.09623780988036607,0.5495516401256046,not_supported,not_supported,False,no_directional_signal,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,positive-lag not supported,positive_lag_not_supported,,,ok,moderate
S2,P_PC1,Je_PC1,P,Je,P,Je,P→Je,2,0.10162533226324064,0.10162533226324064,-1,0.07587499348343188,0.07587499348343188,0.09055676395213536,0.09055676395213536,0.37662337662337664,0.3964456596035544,0.45805545805545805,0.38461538461538464,0.4048582995951417,0.21231304905997683,0.21710712803499765,-0.1106877167967362,0.4786579662116399,not_supported,not_supported,False,no_directional_signal,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,positive-lag not supported,positive_lag_not_supported,,,ok,moderate
S2,P_PC1,Jw_PC1,P,Jw,P,Jw,P→Jw,3,0.15630385748083284,0.15630385748083284,-1,0.10575458444257764,0.10575458444257764,0.12764928204159023,0.12764928204159023,0.16983016983016982,0.2122877122877123,0.25263992206140967,0.17882117882117882,0.22352647352647353,0.22530288533968906,0.2205406148665547,-0.06899902785885623,0.693749914676741,not_supported,not_supported,False,no_directional_signal,PC1_no_not_supported,PC1_lead_lag_no,PC1_Tier5a_no_not_supported,positive-lag not supported,positive_lag_not_supported,,,ok,moderate
S2,V_PC1,P_PC1,V,P,V,P,V→P,1,0.7491123751339315,0.7491123751339315,-1,0.641294471859585,0.641294471859585,0.7235800864294752,0.7235800864294752,0.000999000999000999,0.00333000333000333,0.003909134343916952,0.000999000999000999,0.003996003996003996,0.21593442630475412,0.2914277570166878,0.5331779488291774,3.4691660239330657,supported,strong_above_null,True,X_leads_Y_with_same_day_component,PC1_yes_with_same_day_coupling,PC1_lead_lag_yes,PC1_Tier1b_audit_stable_with_same_day,PC1 main yes; audit-FDR pass; same-day coupling present,,same_day_coupling_present,,ok,moderate
S2,V_PC1,H_PC1,V,H,V,H,V→H,1,0.38920738092666457,0.38920738092666457,-1,0.4019636387217264,0.4019636387217264,0.4146630263630871,0.4146630263630871,0.001998001998001998,0.005708577137148565,0.007192807192807193,0.001998001998001998,0.00666000666000666,0.21947389610834805,0.25825384545697505,0.16973348481831652,1.7733652513031612,supported,strong_above_null,True,same_day_dominant,PC1_ambiguous_same_day_dominant,PC1_lead_lag_ambiguous,PC1_Tier4b_ambiguous_same_day,same-day dominant/mixed,same_day_exceeds_positive_lag,same_day_dominant,,ok,none
