window,evidence_tier,audit_sensitive,not_supported,significant_lagged_but_tau0_coupled,stable_lag_dominant
S3,Tier4a_ambiguous_bidirectional_close,0.0,28,0,0
S3,Tier4b_ambiguous_same_day_dominant,0.0,26,0,0
S3,Tier4c_ambiguous_direction_uncertain,0.0,1,0,0
S3,Tier4d_ambiguous_marginal_statistical_support,0.0,3,0,0
S3,Tier5a_no_not_supported,0.0,180,0,0
S3,Tier5b_no_reverse_dominant,0.0,16,0,0
S3,Tier5c_no_same_day_only,0.0,21,0,0
T3,Tier2_main_supported_audit_moderate,0.0,0,7,3
T3,Tier4a_ambiguous_bidirectional_close,0.0,32,0,0
T3,Tier4b_ambiguous_same_day_dominant,0.0,6,0,0
T3,Tier4c_ambiguous_direction_uncertain,0.0,4,0,0
T3,Tier4d_ambiguous_marginal_statistical_support,0.0,23,0,0
T3,Tier5a_no_not_supported,0.0,211,0,0
T3,Tier5b_no_reverse_dominant,0.0,9,0,0
T3,Tier5c_no_same_day_only,0.0,13,0,0
S4,Tier1a_audit_stable_clear_leadlag,0.0,0,0,3
S4,Tier1b_audit_stable_with_same_day,0.0,0,6,8
S4,Tier2_main_supported_audit_moderate,0.0,0,2,4
S4,Tier3_surrogate_or_persistence_sensitive_yes,1.0,0,0,0
S4,Tier4a_ambiguous_bidirectional_close,0.0,35,0,0
S4,Tier4b_ambiguous_same_day_dominant,0.0,15,0,0
S4,Tier4c_ambiguous_direction_uncertain,0.0,6,0,0
S4,Tier4d_ambiguous_marginal_statistical_support,0.0,12,0,0
S4,Tier5a_no_not_supported,0.0,186,0,0
S4,Tier5b_no_reverse_dominant,0.0,13,0,0
S4,Tier5c_no_same_day_only,0.0,17,0,0
T4,Tier1b_audit_stable_with_same_day,0.0,0,5,3
T4,Tier2_main_supported_audit_moderate,0.0,0,2,1
T4,Tier4a_ambiguous_bidirectional_close,0.0,12,0,0
T4,Tier4b_ambiguous_same_day_dominant,0.0,8,0,0
T4,Tier4c_ambiguous_direction_uncertain,0.0,4,0,0
T4,Tier4d_ambiguous_marginal_statistical_support,0.0,26,0,0
T4,Tier5a_no_not_supported,0.0,214,0,0
T4,Tier5b_no_reverse_dominant,0.0,11,0,0
T4,Tier5c_no_same_day_only,0.0,22,0,0
S5,Tier1a_audit_stable_clear_leadlag,0.0,0,0,1
S5,Tier1b_audit_stable_with_same_day,0.0,0,7,3
S5,Tier2_main_supported_audit_moderate,0.0,0,5,3
S5,Tier3_surrogate_or_persistence_sensitive_yes,3.0,0,0,0
S5,Tier4a_ambiguous_bidirectional_close,0.0,10,0,0
S5,Tier4b_ambiguous_same_day_dominant,0.0,14,0,0
S5,Tier4c_ambiguous_direction_uncertain,0.0,10,0,0
S5,Tier4d_ambiguous_marginal_statistical_support,0.0,21,0,0
S5,Tier5a_no_not_supported,0.0,207,0,0
S5,Tier5b_no_reverse_dominant,0.0,9,0,0
S5,Tier5c_no_same_day_only,0.0,15,0,0
