window,metric,n,mean,median,p25,p75,p90,min,max
S3,D_pos_neg_CI95_high,308,0.09349648165969941,0.08464118196447701,0.04511284126712175,0.13158684857265734,0.20080087690912515,-0.1417528532340626,0.4065431461237788
S3,P_D_pos_neg_gt_0,308,0.5052532467532468,0.515,0.238,0.7685,0.9592,0.0,1.0
S3,D_pos_0_CI90_low,308,-0.03599347504355997,-0.034381860940890296,-0.05626866425338613,-0.020981096353752726,-0.004031838357445008,-0.1389277547336325,0.1761359748007722
S3,D_pos_0_CI90_high,308,0.06922836575692887,0.0636489309709107,0.019935208822354174,0.10666152717024482,0.16017538909695966,-0.0941558094662492,0.4225485098795279
S3,D_pos_0_CI95_low,308,-0.04191113656163599,-0.04019881383092245,-0.06114848255168916,-0.02601714216805465,-0.010334006046965058,-0.1431516885301032,0.1397121367570473
S3,D_pos_0_CI95_high,308,0.08418815861125241,0.078477923739315,0.03127744283967415,0.12441781909612698,0.1769318671984802,-0.0899116466340405,0.4346774016911907
S3,P_D_pos_0_gt_0,308,0.46517857142857133,0.486,0.15175,0.7335,0.9319000000000001,0.0,1.0
S3,D_pos_neg_robustness,308,-0.0003627565069818477,0.001049555311022,-0.04123597313002315,0.0351062185255144,0.09874503251675874,-0.2339392327421639,0.2642688328640701
S3,D_pos_0_robustness,308,0.0014347659378942952,-0.0074260539074129,-0.029984542495737426,0.022269413441593198,0.06994668610706067,-0.1129375747455949,0.3459389426293837
S3,D_pos_neg_bootstrap_mean,308,0.0005268536088305451,0.00215971832038205,-0.028929338895492547,0.0278781443601557,0.0859224762059048,-0.2272750812715183,0.2675475927961918
S3,D_pos_neg_CI90_low_robustness,308,-0.07830859073672858,-0.07220844614349055,-0.1229349612246179,-0.030238972989746225,0.006799633789403539,-0.3755140811773973,0.1826772621546359
S3,D_pos_neg_CI90_high_robustness,308,0.07849671513106626,0.07007006065458571,0.03550203539680548,0.11288132335583075,0.17925929837638888,-0.150145391043742,0.3763712403372067
S3,D_pos_neg_CI95_low_robustness,308,-0.09410032021080385,-0.08845707048395676,-0.13986513188747926,-0.042349732452651875,-0.009895293303892978,-0.3997599208691678,0.1680669245489437
S3,D_pos_neg_CI95_high_robustness,308,0.09349648165969941,0.08464118196447701,0.04511284126712175,0.13158684857265734,0.20080087690912515,-0.1417528532340626,0.4065431461237788
S3,P_D_pos_neg_gt_0_robustness,308,0.5052532467532468,0.515,0.238,0.7685,0.9592,0.0,1.0
S3,D_pos_0_bootstrap_mean,308,0.008293468614190015,0.00461494634190465,-0.0187317999577873,0.0254050653806602,0.06490869279603784,-0.114934366845273,0.3105328595865299
S3,D_pos_0_CI90_low_robustness,308,-0.03599347504355997,-0.034381860940890296,-0.05626866425338613,-0.020981096353752726,-0.004031838357445008,-0.1389277547336325,0.1761359748007722
S3,D_pos_0_CI90_high_robustness,308,0.06922836575692887,0.0636489309709107,0.019935208822354174,0.10666152717024482,0.16017538909695966,-0.0941558094662492,0.4225485098795279
S3,D_pos_0_CI95_low_robustness,308,-0.04191113656163599,-0.04019881383092245,-0.06114848255168916,-0.02601714216805465,-0.010334006046965058,-0.1431516885301032,0.1397121367570473
S3,D_pos_0_CI95_high_robustness,308,0.08418815861125241,0.078477923739315,0.03127744283967415,0.12441781909612698,0.1769318671984802,-0.0899116466340405,0.4346774016911907
S3,P_D_pos_0_gt_0_robustness,308,0.46517857142857133,0.486,0.15175,0.7335,0.9319000000000001,0.0,1.0
S3,D_pos_0_used,308,0.0014347659378942952,-0.0074260539074129,-0.029984542495737426,0.022269413441593198,0.06994668610706067,-0.1129375747455949,0.3459389426293837
S3,D_pos_0_CI90_low_used,308,-0.03599347504355997,-0.034381860940890296,-0.05626866425338613,-0.020981096353752726,-0.004031838357445008,-0.1389277547336325,0.1761359748007722
S3,D_pos_0_CI90_high_used,308,0.06922836575692887,0.0636489309709107,0.019935208822354174,0.10666152717024482,0.16017538909695966,-0.0941558094662492,0.4225485098795279
S3,P_D_pos_0_gt_0_used,308,0.46517857142857133,0.486,0.15175,0.7335,0.9319000000000001,0.0,1.0
S3,D_pos_neg_used,308,-0.0003627565069818477,0.001049555311022,-0.04123597313002315,0.0351062185255144,0.09874503251675874,-0.2339392327421639,0.2642688328640701
S3,D_pos_neg_CI90_low_used,308,-0.07830859073672858,-0.07220844614349055,-0.1229349612246179,-0.030238972989746225,0.006799633789403539,-0.3755140811773973,0.1826772621546359
S3,D_pos_neg_CI90_high_used,308,0.07849671513106626,0.07007006065458571,0.03550203539680548,0.11288132335583075,0.17925929837638888,-0.150145391043742,0.3763712403372067
S3,P_D_pos_neg_gt_0_used,308,0.5052532467532468,0.515,0.238,0.7685,0.9592,0.0,1.0
T3,positive_peak_abs_r,308,0.16774531397153042,0.14254459565236435,0.0827338847128205,0.22848708365921647,0.3292213683779474,0.0089535779191645,0.5697633549128992
