object,window_id,break_day,main_peak_day,left_start,left_end,right_start,right_end,feature_name,feature_group,left_mean,right_mean,delta,abs_delta,metric_fullseason_std,delta_z,contribution_abs,contribution_share,rank_within_break,source_v10_2_support,edge_limited_flag
P,W001,18,18,8,17,19,28,P_south_band_share_18_24,rainband_structure,0.22295468147860897,0.24135611239258764,0.018401430913978667,0.018401430913978667,0.05013664242503341,0.3670255929382047,0.13470778587164073,0.08536747113797688,4,0.793,False
P,W001,18,18,8,17,19,28,P_main_minus_south,rainband_structure,0.4431718616676684,0.3985612893596173,-0.0446105723080511,0.0446105723080511,0.15042682966633078,-0.29655994483832493,0.08794780088251032,0.05573457617839764,6,0.793,False
P,W002,34,34,24,33,35,44,P_profile_lat_14.0,profile_structure,2.7911527448252125,4.598015733342985,1.8068629885177723,1.8068629885177723,2.8465776167336756,0.6347492434058655,0.40290660200431866,0.08486204130615603,3,0.6,False
P,W002,34,34,24,33,35,44,P_profile_lat_16.0,profile_structure,2.719614364079378,4.385799766525846,1.6661854024464677,1.6661854024464677,2.7129908056166463,0.6141507737501364,0.3771811728978912,0.07944363312771463,5,0.6,False
P,W002,34,34,24,33,35,44,P_profile_lat_18.0,profile_structure,2.406904779102649,3.8703668915609493,1.4634621124583003,1.4634621124583003,2.8085286698067815,0.5210778612272389,0.2715221374611536,0.057189241204136966,7,0.6,False
P,W002,34,34,24,33,35,44,P_profile_lat_20.0,profile_structure,2.846922422052793,4.072163674366618,1.2252412523138254,1.2252412523138254,2.7606903083661405,0.44381698613596376,0.19697351718281025,0.04148746798447177,11,0.6,False
P,W002,34,34,24,33,35,44,P_profile_lat_22.0,profile_structure,4.822876264574759,6.086942408886864,1.264066144312105,1.264066144312105,1.9978280801074249,0.6327201809297504,0.400334827355776,0.08432036230320833,4,0.6,False
P,W002,34,34,24,33,35,44,P_profile_lat_24.0,profile_structure,7.124184557355553,8.13015412211509,1.0059695647595372,1.0059695647595372,1.4022682560573532,0.7173873903328184,0.5146446678085316,0.10839682656054474,2,0.6,False
P,W002,34,34,24,33,35,44,P_profile_lat_26.0,profile_structure,7.002179141288086,7.7227904422500115,0.7206113009619255,0.7206113009619255,1.704427027194578,0.4227880041001366,0.17874969641097713,0.03764908305009258,13,0.6,False
P,W002,34,34,24,33,35,44,P_profile_lat_28.0,profile_structure,7.0078577595116105,7.785688728430779,0.7778309689191687,0.7778309689191687,1.884488735055362,0.41275437440931084,0.17036617359402156,0.035883306922214794,14,0.6,False
P,W002,34,34,24,33,35,44,P_profile_lat_30.0,profile_structure,5.603730285369375,6.1341366226581195,0.5304063372887446,0.5304063372887446,1.7514291226345897,0.3028420222286129,0.09171329042751566,0.019317074979327085,19,0.6,False
P,W002,34,34,24,33,35,44,P_profile_lat_32.0,profile_structure,3.6247130588721332,4.168584599332136,0.5438715404600027,0.5438715404600027,1.7700952466782522,0.30725552282038426,0.09440595630362768,0.01988421664855157,18,0.6,False
P,W002,34,34,24,33,35,44,P_profile_lat_34.0,profile_structure,2.3760703555470357,2.9729902798830414,0.5969199243360057,0.5969199243360057,1.708791625138791,0.34932282880747556,0.12202643872605688,0.02570176967093421,16,0.6,False
P,W002,34,34,24,33,35,44,P_profile_lat_36.0,profile_structure,1.610957586096293,2.3255573889773498,0.7145998028810567,0.7145998028810567,1.4854422256845325,0.48106872857458294,0.23142712161236575,0.0487442445865478,9,0.6,False
P,W002,34,34,24,33,35,44,P_profile_lat_38.0,profile_structure,1.3462602664217536,1.8400504723643223,0.4937902059425687,0.4937902059425687,1.3453692205944079,0.36702951010311025,0.13471066128652912,0.02837337895583675,15,0.6,False
P,W002,34,34,24,33,35,44,P_profile_lat_40.0,profile_structure,,,,,,,,,20,0.6,False
P,W002,34,34,24,33,35,44,P_total_strength,strength,4.781777517664467,5.636585526977324,0.8548080093128574,0.8548080093128574,1.1703613061960925,0.7303795885829093,0.5334543434185398,0.11235860693503165,1,0.6,False
P,W002,34,34,24,33,35,44,P_centroid_lat,position,26.29023817636653,25.933177304922783,-0.3570608714437462,0.3570608714437462,0.8402080577139507,-0.4249672068311756,0.1805971268818912,0.03803819735140473,12,0.6,False
P,W002,34,34,24,33,35,44,P_spread_lat,rainband_width,5.4125213276318345,5.760413613030197,0.3478922853983626,0.3478922853983626,0.6493837905171157,0.5357267774136016,0.28700318003796266,0.060449929582237674,6,0.6,False
P,W002,34,34,24,33,35,44,P_main_band_share,rainband_structure,0.6189957413424287,0.5672668053852558,-0.05172893595717298,0.05172893595717298,0.10368215793218731,-0.49891839626838985,0.24891956613502209,0.0524285836920445,8,0.6,False
P,W002,34,34,24,33,35,44,P_south_band_share_18_24,rainband_structure,0.2568440655339556,0.27317718203795016,0.01633311650399455,0.01633311650399455,0.05013664242503341,0.3257720444366915,0.1061274249364617,0.022353046273928895,17,0.6,False
P,W002,34,34,24,33,35,44,P_main_minus_south,rainband_structure,0.3621516758084731,0.2940896233473057,-0.06806205246116737,0.06806205246116737,0.15042682966633078,-0.452459528743238,0.20471962515055303,0.04311898886561505,10,0.6,False
P,W003,45,45,35,44,46,55,P_profile_lat_14.0,profile_structure,4.598015733342985,6.710803909045933,2.1127881757029483,2.1127881757029483,2.8465776167336756,0.7422204696906464,0.5508912256278037,0.04403643658041106,11,0.985,False
P,W003,45,45,35,44,46,55,P_profile_lat_16.0,profile_structure,4.385799766525846,6.5089242947957375,2.1231245282698916,2.1231245282698916,2.7129908056166463,0.7825771189030317,0.6124269470305699,0.04895540019231941,8,0.985,False
P,W003,45,45,35,44,46,55,P_profile_lat_18.0,profile_structure,3.8703668915609493,6.156796453940653,2.2864295623797037,2.2864295623797037,2.8085286698067815,0.8141022689068731,0.6627625042393187,0.05297905943691284,7,0.985,False
P,W003,45,45,35,44,46,55,P_profile_lat_20.0,profile_structure,4.072163674366618,6.782249497987934,2.7100858236213154,2.7100858236213154,2.7606903083661405,0.9816696264005162,0.9636752553973291,0.07703303718452638,5,0.985,False
P,W003,45,45,35,44,46,55,P_profile_lat_22.0,profile_structure,6.086942408886864,8.629198127161382,2.542255718274518,2.542255718274518,1.9978280801074249,1.2725097537611032,1.6192810734171434,0.129440014612923,3,0.985,False
P,W003,45,45,35,44,46,55,P_profile_lat_24.0,profile_structure,8.13015412211509,9.46294029433668,1.3327861722215886,1.3327861722215886,1.4022682560573532,0.950450219823759,0.9033556203630317,0.07221128352578139,6,0.985,False
P,W003,45,45,35,44,46,55,P_profile_lat_26.0,profile_structure,7.7227904422500115,8.439489745330636,0.7166993030806248,0.7166993030806248,1.704427027194578,0.42049280587874993,0.17681419979578408,0.014133946836691457,12,0.985,False
P,W003,45,45,35,44,46,55,P_profile_lat_28.0,profile_structure,7.785688728430779,7.811342418219619,0.02565368978883953,0.02565368978883953,1.884488735055362,0.013613076752132303,0.00018531585865944495,1.4813541544251447e-05,19,0.985,False
P,W003,45,45,35,44,46,55,P_profile_lat_30.0,profile_structure,6.1341366226581195,5.759833481264922,-0.37430314139319787,0.37430314139319787,1.7514291226345897,-0.21371298247579218,0.04567323887869826,0.0036509688187748297,17,0.985,False
P,W003,45,45,35,44,46,55,P_profile_lat_32.0,profile_structure,4.168584599332136,3.69164584767217,-0.4769387516599659,0.4769387516599659,1.7700952466782522,-0.2694424226916522,0.07259921914594697,0.005803343311675545,16,0.985,False
P,W003,45,45,35,44,46,55,P_profile_lat_34.0,profile_structure,2.9729902798830414,2.418459857541093,-0.5545304223419483,0.5545304223419483,1.708791625138791,-0.3245161166428986,0.10531070996098736,0.008418192530022803,14,0.985,False
P,W003,45,45,35,44,46,55,P_profile_lat_36.0,profile_structure,2.3255573889773498,1.7767423632813197,-0.54881502569603,0.54881502569603,1.4854422256845325,-0.3694623837982798,0.1365024530419074,0.010911558102237292,13,0.985,False
P,W003,45,45,35,44,46,55,P_profile_lat_38.0,profile_structure,1.8400504723643223,1.4589901344908065,-0.3810603378735158,0.3810603378735158,1.3453692205944079,-0.2832384835630154,0.08022403857107654,0.006412846352260656,15,0.985,False
P,W003,45,45,35,44,46,55,P_profile_lat_40.0,profile_structure,,,,,,,,,20,0.985,False
P,W003,45,45,35,44,46,55,P_total_strength,strength,5.636585526977324,6.508452391146929,0.871866864169605,0.871866864169605,1.1703613061960925,0.7449553053008436,0.5549584068958732,0.0443615537027037,10,0.985,False
P,W003,45,45,35,44,46,55,P_centroid_lat,position,25.933177304922783,24.642223809998573,-1.29095349492421,1.29095349492421,0.8402080577139507,-1.536468834203586,2.3607364784789264,0.1887095262755867,1,0.985,False
P,W003,45,45,35,44,46,55,P_spread_lat,rainband_width,5.760413613030197,5.645635307870925,-0.11477830515927234,0.11477830515927234,0.6493837905171157,-0.17674956910746475,0.03124041017967446,0.0024972558603660387,18,0.985,False
P,W003,45,45,35,44,46,55,P_main_band_share,rainband_structure,0.5672668053852558,0.48712040229549974,-0.08014640308975601,0.08014640308975601,0.10368215793218731,-0.7730009163406437,0.5975304166634748,0.04776462044440969,9,0.985,False
P,W003,45,45,35,44,46,55,P_south_band_share_18_24,rainband_structure,0.27317718203795016,0.34447318006521777,0.0712959980272676,0.0712959980272676,0.05013664242503341,1.4220337577226612,2.0221800081028323,0.16164643315840305,2,0.985,False
P,W003,45,45,35,44,46,55,P_main_minus_south,rainband_structure,0.2940896233473057,0.14264722223028198,-0.15144240111702373,0.15144240111702373,0.15042682966633078,-1.006751265402227,1.0135481103889854,0.08101970953244998,4,0.985,False
P,W004,65,65,55,64,66,75,P_profile_lat_14.0,profile_structure,6.679127507645117,7.706047850598506,1.0269203429533889,1.0269203429533889,2.8465776167336756,0.3607561363922111,0.1301449899446356,0.02649201214183389,9,0.811,False
P,W004,65,65,55,64,66,75,P_profile_lat_16.0,profile_structure,6.3496676769447005,7.138101469286875,0.7884337923421745,0.7884337923421745,2.7129908056166463,0.29061425151530085,0.08445664318379854,0.017191798298463404,10,0.811,False
P,W004,65,65,55,64,66,75,P_profile_lat_18.0,profile_structure,6.143219190282695,6.618363795454883,0.47514460517218815,0.47514460517218815,2.8085286698067815,0.1691791899011935,0.02862159829562409,0.005826146130472841,15,0.811,False
P,W004,65,65,55,64,66,75,P_profile_lat_20.0,profile_structure,6.533371968063671,6.968355995489864,0.4349840274261929,0.4349840274261929,2.7606903083661405,0.15756350000867347,0.024826256534983247,0.005053575169054508,17,0.811,False
P,W004,65,65,55,64,66,75,P_profile_lat_22.0,profile_structure,8.25490538719496,9.490381418743286,1.2354760315483269,1.2354760315483269,1.9978280801074249,0.6184095838125853,0.38243041335125494,0.077846647483072,6,0.811,False
P,W004,65,65,55,64,66,75,P_profile_lat_24.0,profile_structure,9.441484874485653,10.626131150382736,1.1846462758970837,1.1846462758970837,1.4022682560573532,0.8448071692272774,0.7136991531778057,0.14527894342798964,3,0.811,False
P,W004,65,65,55,64,66,75,P_profile_lat_26.0,profile_structure,8.863819122419107,10.268448009581814,1.4046288871627066,1.4046288871627066,1.704427027194578,0.8241062038746665,0.6791510352647133,0.1382464087171221,4,0.811,False
P,W004,65,65,55,64,66,75,P_profile_lat_28.0,profile_structure,8.485987580676865,10.096877464464644,1.6108898837877792,1.6108898837877792,1.884488735055362,0.8548153426560305,0.7307092700401469,0.1487414833432246,1,0.811,False
P,W004,65,65,55,64,66,75,P_profile_lat_30.0,profile_structure,6.339351234726019,7.706433533220969,1.3670822984949504,1.3670822984949504,1.7514291226345897,0.78055245332367,0.6092621323895999,0.12401998583035105,5,0.811,False
P,W004,65,65,55,64,66,75,P_profile_lat_32.0,profile_structure,4.163332283978344,5.171280632654971,1.007948348676627,1.007948348676627,1.7700952466782522,0.5694317018070832,0.324252463022911,0.06600407892056988,7,0.811,False
P,W004,65,65,55,64,66,75,P_profile_lat_34.0,profile_structure,2.7226872052210274,3.1305443052961377,0.40785710007511033,0.40785710007511033,1.708791625138791,0.2386815888344389,0.05696890084853215,0.011596457256082432,14,0.811,False
P,W004,65,65,55,64,66,75,P_profile_lat_36.0,profile_structure,1.8229010663848697,2.2394920822542406,0.41659101586937086,0.41659101586937086,1.4854422256845325,0.2804491542425316,0.07865172811535127,0.016010163257874903,11,0.811,False
P,W004,65,65,55,64,66,75,P_profile_lat_38.0,profile_structure,1.4495370672301826,1.9714997518485942,0.5219626846184116,0.5219626846184116,1.3453692205944079,0.38796984250003785,0.15052059868950418,0.030639623774797595,8,0.811,False
P,W004,65,65,55,64,66,75,P_profile_lat_40.0,profile_structure,,,,,,,,,20,0.811,False
P,W004,65,65,55,64,66,75,P_total_strength,strength,6.670384540644069,7.663460883967358,0.9930763433232883,0.9930763433232883,1.1703613061960925,0.8485211686901925,0.71998817371537,0.14655912185446823,2,0.811,False
P,W004,65,65,55,64,66,75,P_centroid_lat,position,24.870355732271726,25.10105449342138,0.23069876114965382,0.23069876114965382,0.8402080577139507,0.27457337385853975,0.07539053763206144,0.015346322890935689,13,0.811,False
P,W004,65,65,55,64,66,75,P_spread_lat,rainband_width,5.6535126202447525,5.706228277439169,0.05271565719441629,0.05271565719441629,0.6493837905171157,0.08117796896722518,0.006589862645643774,0.0013414171478723783,19,0.811,False
P,W004,65,65,55,64,66,75,P_main_band_share,rainband_structure,0.510512218639447,0.5221667925673044,0.011654573927857403,0.011654573927857403,0.10368215793218731,0.11240674538699397,0.01263527640849649,0.002572007544598635,18,0.811,False
P,W004,65,65,55,64,66,75,P_south_band_share_18_24,rainband_structure,0.3263248992574525,0.3125310849095647,-0.01379381434788779,0.01379381434788779,0.05013664242503341,-0.2751244136165073,0.07569344296782698,0.015407981598169373,12,0.811,False
P,W004,65,65,55,64,66,75,P_main_minus_south,rainband_structure,0.1841873193819944,0.2096357076577397,0.025448388275745304,0.025448388275745304,0.15042682966633078,0.16917453044908037,0.028620021752666824,0.005825825213046947,16,0.811,False
P,W005,82,82,72,81,83,92,P_profile_lat_14.0,profile_structure,8.64846901992312,9.282571985401443,0.6341029654783235,0.6341029654783235,2.8465776167336756,0.22275976658803676,0.049621913610356616,0.003276592381625014,13,0.916,False
P,W005,82,82,72,81,83,92,P_profile_lat_16.0,profile_structure,7.540374838522051,8.151563568780233,0.6111887302581822,0.6111887302581822,2.7129908056166463,0.22528227113518132,0.050752101687825346,0.003351220008312603,12,0.916,False
P,W005,82,82,72,81,83,92,P_profile_lat_18.0,profile_structure,6.676229227589609,7.179030084438466,0.5028008568488573,0.5028008568488573,2.8085286698067815,0.17902642841222907,0.03205046207003898,0.002116329101510773,15,0.916,False
P,W005,82,82,72,81,83,92,P_profile_lat_20.0,profile_structure,6.215494426193987,6.542003586147274,0.3265091599532868,0.3265091599532868,2.7606903083661405,0.1182708393490631,0.013987991440331892,0.0009236432626826704,17,0.916,False
P,W005,82,82,72,81,83,92,P_profile_lat_22.0,profile_structure,8.32525811966046,8.025457424698143,-0.2998006949623164,0.2998006949623164,1.9978280801074249,-0.15006331022546981,0.022518997075825595,0.0014869554374679797,16,0.916,False
P,W005,82,82,72,81,83,92,P_profile_lat_24.0,profile_structure,9.522993034655103,7.545869184240955,-1.9771238504141486,1.9771238504141486,1.4022682560573532,-1.4099469497891008,1.9879504012195892,0.13126666558713726,3,0.916,False
P,W005,82,82,72,81,83,92,P_profile_lat_26.0,profile_structure,9.684253304795039,6.525737359145486,-3.158515945649553,3.158515945649553,1.704427027194578,-1.8531247717001689,3.434071419488803,0.22675570997537647,1,0.916,False
P,W005,82,82,72,81,83,92,P_profile_lat_28.0,profile_structure,11.207095514702152,8.847059710548702,-2.3600358041534495,2.3600358041534495,1.884488735055362,-1.2523480561342377,1.5683756537032039,0.10356165944752121,5,0.916,False
P,W005,82,82,72,81,83,92,P_profile_lat_30.0,profile_structure,9.273500100113854,10.735074286025538,1.4615741859116849,1.4615741859116849,1.7514291226345897,0.8345037586865682,0.6963965232620101,0.04598386834953121,8,0.916,False
P,W005,82,82,72,81,83,92,P_profile_lat_32.0,profile_structure,6.160816932457864,9.073791957442271,2.912975024984407,2.912975024984407,1.7700952466782522,1.645660045949998,2.7081969868361493,0.17882538115489202,2,0.916,False
P,W005,82,82,72,81,83,92,P_profile_lat_34.0,profile_structure,3.846044929663848,6.161084900387103,2.315039970723255,2.315039970723255,1.708791625138791,1.3547819035777533,1.835434006261761,0.12119583152548123,4,0.916,False
P,W005,82,82,72,81,83,92,P_profile_lat_36.0,profile_structure,2.6165784544146033,4.009794725214013,1.3932162707994094,1.3932162707994094,1.4854422256845325,0.9379134689384343,0.8796816752161274,0.05808639904339995,6,0.916,False
P,W005,82,82,72,81,83,92,P_profile_lat_38.0,profile_structure,2.354343193669342,3.2661161464693484,0.9117729528000065,0.9117729528000065,1.3453692205944079,0.6777120650918188,0.4592936431710177,0.030327690785162748,10,0.916,False
P,W005,82,82,72,81,83,92,P_profile_lat_40.0,profile_structure,,,,,,,,,20,0.916,False
P,W005,82,82,72,81,83,92,P_total_strength,strength,7.792186744406332,7.836874330932533,0.04468758652620064,0.04468758652620064,1.1703613061960925,0.03818272723954297,0.0014579206594493366,9.6268188350729e-05,18,0.916,False
P,W005,82,82,72,81,83,92,P_centroid_lat,position,25.528965629834623,26.17558408658876,0.6466184567541369,0.6466184567541369,0.8402080577139507,0.7695932582620858,0.5922737831624535,0.03910852332267349,9,0.916,False
P,W005,82,82,72,81,83,92,P_spread_lat,rainband_width,5.906032004254814,6.448405852331433,0.5423738480766191,0.5423738480766191,0.6493837905171157,0.8352130989360192,0.6975809206343087,0.04606207547869118,7,0.916,False
P,W005,82,82,72,81,83,92,P_main_band_share,rainband_structure,0.5466374275695567,0.5271746655732797,-0.019462761996276945,0.019462761996276945,0.10368215793218731,-0.18771563386061568,0.03523715919569272,0.0023267504005854652,14,0.916,False
P,W005,82,82,72,81,83,92,P_south_band_share_18_24,rainband_structure,0.2745586739371581,0.2605406492342789,-0.014018024702879217,0.014018024702879217,0.05013664242503341,-0.27959639945653825,0.0781741465890601,0.005161929367840649,11,0.916,False
P,W005,82,82,72,81,83,92,P_main_minus_south,rainband_structure,0.27207875363239864,0.2666340163390009,-0.005444737293397728,0.005444737293397728,0.15042682966633078,-0.03619525390168088,0.001310096405007145,8.650718175739214e-05,19,0.916,False
P,W006,95,95,85,94,96,105,P_profile_lat_14.0,profile_structure,8.966076341224069,8.949774507785094,-0.016301833438975066,0.016301833438975066,2.8465776167336756,-0.005726818528728916,3.279645046099283e-05,3.7478006426120825e-06,19,0.695,False
P,W006,95,95,85,94,96,105,P_profile_lat_16.0,profile_structure,7.948978933305426,8.218092553784546,0.2691136204791196,0.2691136204791196,2.7129908056166463,0.09919444618904744,0.009839538154751828,0.0011244091022363843,17,0.695,False
P,W006,95,95,85,94,96,105,P_profile_lat_18.0,profile_structure,7.131271852623523,7.516280380000322,0.38500852737679914,0.38500852737679914,2.8085286698067815,0.13708548946494648,0.01879243142184395,0.0021474972312262278,16,0.695,False
P,W006,95,95,85,94,96,105,P_profile_lat_20.0,profile_structure,6.4803980587968155,6.911572909156755,0.4311748503599393,0.4311748503599393,2.7606903083661405,0.15618370849250407,0.024393350798471488,0.002787539947553393,15,0.695,False
P,W006,95,95,85,94,96,105,P_profile_lat_22.0,profile_structure,7.886885758154167,7.375784469959738,-0.5111012881944292,0.5111012881944292,1.9978280801074249,-0.2558284635617623,0.06544820276837195,0.0074790659643136515,13,0.695,False
P,W006,95,95,85,94,96,105,P_profile_lat_24.0,profile_structure,7.288241197030513,6.455106617975227,-0.8331345790552858,0.8331345790552858,1.4022682560573532,-0.5941335229235976,0.35299464306160505,0.04033831501608351,7,0.695,False
P,W006,95,95,85,94,96,105,P_profile_lat_26.0,profile_structure,6.163982841621501,4.992554822481182,-1.1714280191403192,1.1714280191403192,1.704427027194578,-0.6872855220258066,0.47236138878628553,0.05397889989783927,6,0.695,False
P,W006,95,95,85,94,96,105,P_profile_lat_28.0,profile_structure,8.367158900716468,5.892340761805213,-2.474818138911256,2.474818138911256,1.884488735055362,-1.31325706164996,1.7246441099734866,0.19708298345650013,2,0.695,False
P,W006,95,95,85,94,96,105,P_profile_lat_30.0,profile_structure,10.458410174143495,7.530647460799121,-2.927762713344374,2.927762713344374,1.7514291226345897,-1.6716421324205695,2.7943874188835887,0.31932745211726776,1,0.695,False
P,W006,95,95,85,94,96,105,P_profile_lat_32.0,profile_structure,9.301626872038119,8.321265531499071,-0.9803613405390479,0.9803613405390479,1.7700952466782522,-0.5538466601606806,0.30674612297114046,0.03505328474974249,9,0.695,False
P,W006,95,95,85,94,96,105,P_profile_lat_34.0,profile_structure,6.512546746481884,7.454727626998801,0.9421808805169176,0.9421808805169176,1.708791625138791,0.5513725995938168,0.30401174358284344,0.034740814690191586,10,0.695,False
P,W006,95,95,85,94,96,105,P_profile_lat_36.0,profile_structure,4.257145735951136,5.652583961662697,1.395438225711561,1.395438225711561,1.4854422256845325,0.9394092894245714,0.8824898130571781,0.10084615383631322,3,0.695,False
P,W006,95,95,85,94,96,105,P_profile_lat_38.0,profile_structure,3.4215737322143185,4.392398264364869,0.9708245321505502,0.9708245321505502,1.3453692205944079,0.7216045359812991,0.5207131063487861,0.05950427217456375,4,0.695,False
P,W006,95,95,85,94,96,105,P_profile_lat_40.0,profile_structure,,,,,,,,,20,0.695,False
P,W006,95,95,85,94,96,105,P_total_strength,strength,7.733127378470597,7.223433740661186,-0.509693637809411,0.509693637809411,1.1703613061960925,-0.43550110133597825,0.18966120926485,0.021673455266349926,12,0.695,False
P,W006,95,95,85,94,96,105,P_centroid_lat,position,26.301713338549355,26.381837953930813,0.08012461538145743,0.08012461538145743,0.8402080577139507,0.09536282667827112,0.009094068712069978,0.0010392208938461607,18,0.695,False
P,W006,95,95,85,94,96,105,P_spread_lat,rainband_width,6.513920874915608,6.962901838518269,0.4489809636026605,0.4489809636026605,0.6493837905171157,0.6913953969271855,0.47802759489210045,0.054626403227804904,5,0.695,False
P,W006,95,95,85,94,96,105,P_main_band_share,rainband_structure,0.5243955553416588,0.46553666748354755,-0.058858887858111275,0.058858887858111275,0.10368215793218731,-0.5676857911908769,0.3222671575200119,0.036826944473237574,8,0.695,False
P,W006,95,95,85,94,96,105,P_south_band_share_18_24,rainband_structure,0.2592192719114108,0.2709497711891272,0.01173049927771641,0.01173049927771641,0.05013664242503341,0.23397057940719412,0.05474223202813813,0.006255645641197996,14,0.695,False
P,W006,95,95,85,94,96,105,P_main_minus_south,rainband_structure,0.2651762834302479,0.1945868962944204,-0.07058938713582752,0.07058938713582752,0.15042682966633078,-0.4692606185505964,0.22020552812248836,0.025163894513089678,11,0.695,False
P,W007,113,113,103,112,114,123,P_profile_lat_14.0,profile_structure,9.48840786228491,10.649771427241172,1.161363564956261,1.161363564956261,2.8465776167336756,0.40798591196992406,0.16645250436593062,0.02056999942665611,11,0.938,False
P,W007,113,113,103,112,114,123,P_profile_lat_16.0,profile_structure,9.044480697532702,10.113520680272604,1.069039982739902,1.069039982739902,2.7129908056166463,0.3940448233465037,0.1552713228061773,0.019188242515580524,12,0.938,False
P,W007,113,113,103,112,114,123,P_profile_lat_18.0,profile_structure,8.78163070171858,9.426071960368983,0.6444412586504029,0.6444412586504029,2.8085286698067815,0.22945867192971858,0.052651282123750226,0.006506581845817674,16,0.938,False
P,W007,113,113,103,112,114,123,P_profile_lat_20.0,profile_structure,7.973697568567547,9.19247915797836,1.2187815894108125,1.2187815894108125,2.7606903083661405,0.44147711379192184,0.1949020420020455,0.02408575892269223,10,0.938,False
P,W007,113,113,103,112,114,123,P_profile_lat_22.0,profile_structure,8.06784458205315,9.568982151427878,1.5011375693747286,1.5011375693747286,1.9978280801074249,0.7513847584392793,0.5645790552148542,0.069769997671772,6,0.938,False
