object,window_id,break_day,main_peak_day,field_delta_norm,positive_area_fraction,negative_area_fraction,max_positive_value,max_positive_lat,max_positive_lon,max_negative_value,max_negative_lat,max_negative_lon,source_v10_2_support,edge_limited_flag
H,W006,115,115,8.945147222223815,0.2030405060708091,0.7969594939291909,16.05965434509926,35.0,127.0,-14.266292438271194,25.25,127.5,0.996,False
H,W007,129,129,3.543988523170028,0.7706356494235282,0.22936435057647178,4.54976176697528,22.75,123.0,-11.577652512538407,35.0,124.25,0.887,False
H,W008,155,155,5.559478516573641,0.7467605346393226,0.2532394653606775,8.365468147184401,24.0,117.5,-16.04609869309388,35.0,133.25,0.936,False
Je,W001,26,26,5.023940406470298,0.00479542903785328,0.9952045709621468,0.10243634777672739,45.0,144.5,-7.764167893129738,27.5,150.0,0.825,False
Je,W002,33,33,4.5403726369151425,0.4233241505968779,0.5766758494031221,2.088533240976151,43.0,150.0,-8.313038145833545,25.75,124.25,0.763,False
Je,W003,46,46,3.0148899647529586,0.09856137128864402,0.9014386287113559,0.7072386358108034,35.5,150.0,-6.001244220490808,42.0,131.75,0.978,False
Je,W004,81,81,5.6510394744079075,0.2360983573104785,0.7639016426895214,2.224978415347909,40.75,129.25,-9.681301347049715,28.25,128.75,0.714,False
Je,W005,94,94,5.437802052103796,0.13437404346495255,0.8656259565350475,2.1310673855085316,45.0,124.0,-8.664516959102063,36.25,143.75,0.606,False
Je,W006,111,111,5.904351795790603,0.2218141006019794,0.7781858993980206,5.254752074295638,45.0,123.0,-9.96790180194525,37.25,137.0,0.986,False
Je,W007,136,136,3.6572347384664994,0.7981838587899194,0.2018161412100806,6.572866424180933,40.0,129.25,-1.909994966927456,25.5,124.25,0.842,False
Je,W008,162,162,4.968445272459494,1.0,0.0,8.059736718021234,39.25,150.0,0.9307374043063619,25.0,150.0,0.981,False
Jw,W001,41,41,3.310349676127629,0.5614733190490766,0.4385266809509234,5.070772905960503,35.5,92.5,-7.133928709843275,25.0,96.75,0.913,False
Jw,W002,83,83,4.157707922027018,0.3349658198143047,0.6650341801856954,4.539743669402355,43.25,80.0,-6.675129340005417,25.75,80.0,0.806,False
Jw,W003,104,104,4.218098270083747,0.12549739822467096,0.874502601775329,4.1215892975896935,45.0,80.0,-7.502844026493442,37.5,103.75,0.898,False
Jw,W004,130,130,3.2559615387176484,0.9069482705846342,0.09305172941536578,5.399821448046481,38.25,106.0,-1.1551882937587301,45.0,80.0,0.923,False
Jw,W005,152,152,3.304919329911009,0.9258238955208652,0.07417610447913478,5.6630614672619615,37.0,110.0,-1.6267055760567786,45.0,84.0,0.729,False
