window_id,year,method,k,cluster_id,cluster_size,medoid_year,medoid_year_flag,distance_to_medoid,small_cluster_warning,feature_source
W081,2009,kmedoids_behavior_pca,4,3,7,1993,False,5.8785200858938005,True,whole_window_behavior_features_not_single_year_peak
W081,2010,kmedoids_behavior_pca,4,3,7,1993,False,5.414326853715713,True,whole_window_behavior_features_not_single_year_peak
W081,2011,kmedoids_behavior_pca,4,1,16,2016,False,6.725143917003192,False,whole_window_behavior_features_not_single_year_peak
W081,2012,kmedoids_behavior_pca,4,2,10,1995,False,5.334865995553752,False,whole_window_behavior_features_not_single_year_peak
W081,2013,kmedoids_behavior_pca,4,1,16,2016,False,5.049688346242324,False,whole_window_behavior_features_not_single_year_peak
W081,2014,kmedoids_behavior_pca,4,2,10,1995,False,3.129472773724205,False,whole_window_behavior_features_not_single_year_peak
W081,2015,kmedoids_behavior_pca,4,0,12,2006,False,8.993704597102674,False,whole_window_behavior_features_not_single_year_peak
W081,2016,kmedoids_behavior_pca,4,1,16,2016,True,0.0,False,whole_window_behavior_features_not_single_year_peak
W081,2017,kmedoids_behavior_pca,4,2,10,1995,False,5.895134684433719,False,whole_window_behavior_features_not_single_year_peak
W081,2018,kmedoids_behavior_pca,4,0,12,2006,False,4.588866913581383,False,whole_window_behavior_features_not_single_year_peak
W081,2019,kmedoids_behavior_pca,4,2,10,1995,False,3.7169931629113027,False,whole_window_behavior_features_not_single_year_peak
W081,2020,kmedoids_behavior_pca,4,1,16,2016,False,9.783450865133911,False,whole_window_behavior_features_not_single_year_peak
W081,2021,kmedoids_behavior_pca,4,1,16,2016,False,5.850682467132869,False,whole_window_behavior_features_not_single_year_peak
W081,2022,kmedoids_behavior_pca,4,1,16,2016,False,7.407457720356553,False,whole_window_behavior_features_not_single_year_peak
W081,2023,kmedoids_behavior_pca,4,1,16,2016,False,6.467526828271834,False,whole_window_behavior_features_not_single_year_peak
W081,1979,kmedoids_behavior_pca,5,1,7,1993,False,6.3434301314120605,True,whole_window_behavior_features_not_single_year_peak
W081,1980,kmedoids_behavior_pca,5,3,12,2016,False,4.334324160145128,False,whole_window_behavior_features_not_single_year_peak
W081,1981,kmedoids_behavior_pca,5,4,11,2006,False,4.414737325891429,False,whole_window_behavior_features_not_single_year_peak
