year,mode,target_metric,target_family,target_value
1993,anomaly,P_main_minus_south_transition,P_rainband_structure,0.04937872702851487
1994,anomaly,P_main_minus_south_transition,P_rainband_structure,0.09511333397149227
1995,anomaly,P_main_minus_south_transition,P_rainband_structure,0.3569704712138899
1996,anomaly,P_main_minus_south_transition,P_rainband_structure,0.13716486832114144
1997,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.11836788572327439
1998,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.6752811854265658
1999,anomaly,P_main_minus_south_transition,P_rainband_structure,0.41899509616340636
2000,anomaly,P_main_minus_south_transition,P_rainband_structure,0.13197348051916208
2001,anomaly,P_main_minus_south_transition,P_rainband_structure,0.28190725823666507
2002,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.49965720103573147
2003,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.04620943329657479
2004,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.5363389314125637
2005,anomaly,P_main_minus_south_transition,P_rainband_structure,0.10545229210826473
2006,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.017504510806812403
2007,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.2928219779420635
2008,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.0444801351446939
2009,anomaly,P_main_minus_south_transition,P_rainband_structure,0.6380343434615224
2010,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.002863983498284872
2011,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.29501072750111756
2012,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.29163344832168236
2013,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.03803295658980399
2014,anomaly,P_main_minus_south_transition,P_rainband_structure,0.1471818014400761
2015,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.2980752638048788
2016,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.09010487830273883
2017,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.9463030167825499
2018,anomaly,P_main_minus_south_transition,P_rainband_structure,0.20626191584128228
2019,anomaly,P_main_minus_south_transition,P_rainband_structure,0.6132410282078131
2020,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.14099209428648524
2021,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.0003839713817954671
2022,anomaly,P_main_minus_south_transition,P_rainband_structure,-0.16988332944073203
2023,anomaly,P_main_minus_south_transition,P_rainband_structure,0.6755073383691234
1979,local_background_removed,P_total_strength_transition,P_strength,2.757696880751892
1980,local_background_removed,P_total_strength_transition,P_strength,1.2215272627266396
1981,local_background_removed,P_total_strength_transition,P_strength,0.8313015999920612
1982,local_background_removed,P_total_strength_transition,P_strength,1.406437505238407
1983,local_background_removed,P_total_strength_transition,P_strength,1.1677509383127864
1984,local_background_removed,P_total_strength_transition,P_strength,-0.2612939850478897
1985,local_background_removed,P_total_strength_transition,P_strength,0.2155642178490682
1986,local_background_removed,P_total_strength_transition,P_strength,0.9206260969988511
1987,local_background_removed,P_total_strength_transition,P_strength,1.5649340034441641
1988,local_background_removed,P_total_strength_transition,P_strength,-0.8020344901044987
1989,local_background_removed,P_total_strength_transition,P_strength,0.6607913603507054
1990,local_background_removed,P_total_strength_transition,P_strength,-0.5622404010775917
1991,local_background_removed,P_total_strength_transition,P_strength,-0.9153341244746622
1992,local_background_removed,P_total_strength_transition,P_strength,-1.0240959402637757
1993,local_background_removed,P_total_strength_transition,P_strength,-0.09078086102557137
1994,local_background_removed,P_total_strength_transition,P_strength,-0.5152633625734087
1995,local_background_removed,P_total_strength_transition,P_strength,-1.6033651058263096
1996,local_background_removed,P_total_strength_transition,P_strength,0.42857632695757
1997,local_background_removed,P_total_strength_transition,P_strength,-1.1284207293149997
1998,local_background_removed,P_total_strength_transition,P_strength,-0.9753535056839491
1999,local_background_removed,P_total_strength_transition,P_strength,-0.11891194166777996
2000,local_background_removed,P_total_strength_transition,P_strength,2.6225158122995564
2001,local_background_removed,P_total_strength_transition,P_strength,-0.9289854757325919
2002,local_background_removed,P_total_strength_transition,P_strength,-0.6365039799984853
2003,local_background_removed,P_total_strength_transition,P_strength,-0.166856703944128
2004,local_background_removed,P_total_strength_transition,P_strength,0.8755719980455918
2005,local_background_removed,P_total_strength_transition,P_strength,0.13429932650557497
2006,local_background_removed,P_total_strength_transition,P_strength,0.5338251764325861
2007,local_background_removed,P_total_strength_transition,P_strength,-0.14872735228185086
2008,local_background_removed,P_total_strength_transition,P_strength,-1.160110547202489
2009,local_background_removed,P_total_strength_transition,P_strength,-0.027674052335813215
2010,local_background_removed,P_total_strength_transition,P_strength,0.6759605951696885
2011,local_background_removed,P_total_strength_transition,P_strength,1.1332171668092643
2012,local_background_removed,P_total_strength_transition,P_strength,1.9182214146319048
2013,local_background_removed,P_total_strength_transition,P_strength,1.0330277415154363
2014,local_background_removed,P_total_strength_transition,P_strength,-0.11522568625424245
2015,local_background_removed,P_total_strength_transition,P_strength,-0.10920370103545718
2016,local_background_removed,P_total_strength_transition,P_strength,0.5493517281427618
2017,local_background_removed,P_total_strength_transition,P_strength,0.9108964175835501
2018,local_background_removed,P_total_strength_transition,P_strength,-0.29379120490865196
2019,local_background_removed,P_total_strength_transition,P_strength,0.6255600498477714
2020,local_background_removed,P_total_strength_transition,P_strength,0.7135578473625452
2021,local_background_removed,P_total_strength_transition,P_strength,0.5234566449357931
2022,local_background_removed,P_total_strength_transition,P_strength,-0.18486639389276682
2023,local_background_removed,P_total_strength_transition,P_strength,-0.7425716254052981
1979,local_background_removed,P_centroid_lat_transition,P_position,-8.075596534636045
1980,local_background_removed,P_centroid_lat_transition,P_position,-2.2633390774975055
1981,local_background_removed,P_centroid_lat_transition,P_position,-1.3286886052331113
1982,local_background_removed,P_centroid_lat_transition,P_position,-4.424427238457568
1983,local_background_removed,P_centroid_lat_transition,P_position,-2.314157923865757
1984,local_background_removed,P_centroid_lat_transition,P_position,-4.994757480657427
1985,local_background_removed,P_centroid_lat_transition,P_position,-10.193091581339143
1986,local_background_removed,P_centroid_lat_transition,P_position,-0.9727656220683158
1987,local_background_removed,P_centroid_lat_transition,P_position,-8.12796879664495
1988,local_background_removed,P_centroid_lat_transition,P_position,3.678272098013455
1989,local_background_removed,P_centroid_lat_transition,P_position,-11.553692435669884
1990,local_background_removed,P_centroid_lat_transition,P_position,2.983087438649804
1991,local_background_removed,P_centroid_lat_transition,P_position,6.4570659725002955
1992,local_background_removed,P_centroid_lat_transition,P_position,-2.1760137952892684
1993,local_background_removed,P_centroid_lat_transition,P_position,1.0004115544679166
1994,local_background_removed,P_centroid_lat_transition,P_position,-4.733136102083293
1995,local_background_removed,P_centroid_lat_transition,P_position,1.1718051355925425
1996,local_background_removed,P_centroid_lat_transition,P_position,0.8554095410587301
1997,local_background_removed,P_centroid_lat_transition,P_position,-3.5825969287318884
1998,local_background_removed,P_centroid_lat_transition,P_position,-4.598511553995067
1999,local_background_removed,P_centroid_lat_transition,P_position,2.6491154155952685
2000,local_background_removed,P_centroid_lat_transition,P_position,0.6960055789163171
2001,local_background_removed,P_centroid_lat_transition,P_position,3.3219440588216287
2002,local_background_removed,P_centroid_lat_transition,P_position,-2.8226950193143203
2003,local_background_removed,P_centroid_lat_transition,P_position,-1.3179423869661804
2004,local_background_removed,P_centroid_lat_transition,P_position,-5.467636953195743
2005,local_background_removed,P_centroid_lat_transition,P_position,2.1732820554696346
2006,local_background_removed,P_centroid_lat_transition,P_position,-0.06333299714593466
2007,local_background_removed,P_centroid_lat_transition,P_position,4.261019983441436
2008,local_background_removed,P_centroid_lat_transition,P_position,0.9297197115439317
