mode,anchor_name,anchor_type,anchor_start,anchor_end,source_metric,information_form,target_metric,target_family,n_valid_years,spearman_r,pearson_r,n_high,n_low,high_mean_target,low_mean_target,high_minus_low,permutation_null_p90_absdiff,permutation_p,bootstrap_ci_low,bootstrap_ci_high,evaluation_mode,primary_score,support_flag
anomaly,E2_W33,named,27,38,H_zonal_width,pre_state,P_centroid_lat_transition,P_position,45,-0.274723522004061,-0.3224687642171672,13,13,-1.6293520644111865,0.7727925361773038,-2.4021446005884903,2.9650994220076528,0.1867626474705059,-5.725277015922564,1.021370743880575,formal_perm_boot,0.39483075203348555,False
anomaly,E2_W33,named,27,38,H_zonal_width,pre_state,P_main_band_share_transition,P_rainband_structure,45,-0.29592791035291816,-0.33079370958903737,13,13,-0.0750587819301639,0.06298956938113769,-0.13804835131130158,0.14797159481895147,0.125374925014997,-0.3083363175950298,0.011702106790256177,formal_perm_boot,0.30283032791848324,False
anomaly,E2_W33,named,27,38,H_zonal_width,pre_state,P_main_minus_south_transition,P_rainband_structure,45,-0.31499852377358845,-0.3266350213523827,13,13,-0.14430985471714827,0.08235886059893907,-0.22666871531608734,0.2494109965689009,0.13457308538292342,-0.5154189723953304,0.0954255067458291,formal_perm_boot,0.3263319595393928,False
anomaly,E2_W33,named,27,38,H_zonal_width,pre_state,P_south_band_share_18_24_transition,P_rainband_structure,45,0.3157986893716585,0.2933545076756974,13,13,0.06925107278698446,-0.019369291217801364,0.08862036400478582,0.11153532883610513,0.19996000799840033,-0.05822335093760785,0.23328470947749907,formal_perm_boot,0.3202297075718978,False
anomaly,E2_W33,named,27,38,H_zonal_width,pre_state,P_spread_lat_transition,P_spread,45,0.029339405262569625,0.07233226654725892,13,13,-0.11332523252071139,-0.25282690618582687,0.13950167366511548,1.122569829405222,0.831633673265347,-0.927128738763955,1.2233510014960236,formal_perm_boot,0.036314488945825396,False
anomaly,E2_W33,named,27,38,H_zonal_width,pre_state,P_total_strength_transition,P_strength,45,0.356073691141186,0.29793657987746164,13,13,1.0380891421463725,0.18321975063865903,0.8548693915077135,0.7866909567370087,0.07258548290341932,-0.17631333822172995,1.8181482924285561,formal_perm_boot,1.3988171607165716,False
anomaly,E2_W33,named,27,38,H_zonal_width,signed_transition,P_centroid_lat_transition,P_position,45,0.4961291452578783,0.48528311108191596,13,13,1.524586610388996,-3.392166743555454,4.916753353944451,2.999623711699263,0.00639872025594881,2.3569805926492933,7.557695825855522,formal_perm_boot,2.741966812955101,True
anomaly,E2_W33,named,27,38,H_zonal_width,signed_transition,P_main_band_share_transition,P_rainband_structure,45,0.46760007223043326,0.4884104133369985,13,13,0.08668518577751325,-0.15027077673200828,0.23695596250952153,0.14775781387359643,0.006798640271945611,0.08034248551284666,0.39796472744309086,formal_perm_boot,2.479447870355909,True
anomaly,E2_W33,named,27,38,H_zonal_width,signed_transition,P_main_minus_south_transition,P_rainband_structure,45,0.4619996768324359,0.4744781693951029,13,13,0.13388079490220564,-0.2605930432356768,0.3944738381378824,0.2462487537958764,0.006998600279944011,0.10274433780778165,0.6791086646673313,formal_perm_boot,2.48172336873933,True
anomaly,E2_W33,named,27,38,H_zonal_width,signed_transition,P_south_band_share_18_24_transition,P_rainband_structure,45,-0.44005930427322304,-0.4158270695823994,13,13,-0.04719560912469235,0.11032226650366864,-0.157517875628361,0.11257316344227544,0.019596080783843232,-0.29570673762251376,-0.028391376011425665,formal_perm_boot,2.4479351980546413,True
anomaly,E2_W33,named,27,38,H_zonal_width,signed_transition,P_spread_lat_transition,P_spread,45,-0.13842859683755673,-0.16695744425969328,13,13,-0.04726454763263805,0.4648844028274167,-0.5121489504600548,1.1101237199011027,0.4641071785642871,-1.5512547004013242,0.5839853625661213,formal_perm_boot,0.16403604436055946,False
anomaly,E2_W33,named,27,38,H_zonal_width,signed_transition,P_total_strength_transition,P_strength,45,-0.5653763871789977,-0.48461253344145966,13,13,-0.08017787840544173,1.5579976087895575,-1.6381754871949992,0.7817493085735743,0.0001999600079984003,-2.4278558127860657,-0.8631778836923201,formal_perm_boot,2.647285161538748,True
anomaly,E2_W33,named,27,38,H_zonal_width,slope,P_centroid_lat_transition,P_position,45,0.5140334739579667,0.4686608641045117,13,13,1.5505318264559174,-3.812070974080686,5.362602800536603,3.0085028343803693,0.0027994401119776045,2.6450494236345077,8.210371815302805,formal_perm_boot,2.782163613984797,True
