year,mode,window_start,window_end,window_name,information_form,source_feature,source_value
1982,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,0.0
1983,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,-8.7
1984,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,-10.2
1985,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,0.0
1986,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,0.5500000000000007
1987,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,0.6999999999999993
1988,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,0.75
1989,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,4.75
1990,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,-3.4499999999999993
1991,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,-5.75
1992,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,2.5
1993,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,7.5
1994,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,-5.0
1995,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,-13.0
1996,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,0.0
1997,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,3.1000000000000014
1998,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,-0.75
1999,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,0.0
2000,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,15.7
2001,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,0.0
2002,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,-3.1499999999999986
2003,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,-1.3500000000000014
2004,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,0.0
2005,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,-10.25
2006,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,4.100000000000001
2007,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,0.0
2008,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,1.4499999999999993
2009,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,0.0
2010,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,-15.0
2011,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,-12.25
2012,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,-10.8
2013,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,0.0
2014,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,-8.600000000000001
2015,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,6.300000000000001
2016,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,2.4499999999999993
2017,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,-0.9499999999999993
2018,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,0.0
2019,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,-4.399999999999999
2020,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,0.0
2021,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,-6.149999999999999
2022,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,0.0
2023,anomaly,0,11,sliding_000_011,signed_transition,H_zonal_width_sliding_signed_transition,-3.6999999999999993
1979,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,2.0327380952380953
1980,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.19642857142857142
1981,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.6666666666666666
1982,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.0
1983,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,-1.8630952380952381
1984,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,-0.8333333333333334
1985,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.7142857142857143
1986,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,-0.2916666666666667
1987,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.11607142857142858
1988,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.0625
1989,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.3005952380952381
1990,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.6547619047619048
1991,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,-1.3541666666666667
1992,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.8184523809523809
1993,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.9821428571428571
1994,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,-1.5595238095238095
1995,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,-1.9017857142857142
1996,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.0
1997,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.5119047619047619
1998,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,-0.9375
1999,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.0
2000,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,1.9910714285714286
2001,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.0
2002,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,-0.9940476190476191
2003,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.06547619047619048
2004,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.0
2005,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,-2.050595238095238
2006,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.9196428571428571
2007,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.0
2008,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,1.3244047619047619
2009,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.0
2010,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,-3.5714285714285716
2011,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,-1.005952380952381
2012,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,-2.5595238095238093
2013,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.0
2014,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,-1.8630952380952381
2015,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,2.3363095238095237
2016,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,1.1845238095238095
2017,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,-1.0773809523809523
2018,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.0
2019,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.1636904761904762
2020,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.0
2021,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.17261904761904762
2022,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,0.0
2023,anomaly,0,11,sliding_000_011,slope,H_zonal_width_sliding_slope,-1.5416666666666667
1979,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,12.875
1980,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,21.625
1981,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,14.625
1982,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,30.0
1983,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,30.0
1984,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,26.625
1985,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,24.0
1986,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,22.125
1987,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,20.25
1988,anomaly,1,12,sliding_001_012,pre_state,H_zonal_width_sliding_pre_state,29.625
