year,mode,P_profile_30_32,P_profile_18_25,P_profile_contrast_30_32_minus_18_25
2002,local_background_removed,-1.0065360466419553,1.448838386915644,-2.4553744335575995
2003,local_background_removed,-1.8914190800007842,-0.1053217787096667,-1.7860973012911174
2004,local_background_removed,-1.7856492590225943,1.8111334314730465,-3.596782690495641
2005,local_background_removed,3.3486675699729433,-2.0365179853808986,5.385185555353842
2006,local_background_removed,-1.3204424128330519,0.8422534742025417,-2.1626958870355937
2007,local_background_removed,-0.3605141514441096,1.6162443121306345,-1.9767584635747442
2008,local_background_removed,1.015535500052642,0.04247663934830233,0.9730588607043397
2009,local_background_removed,2.06682381014233,-1.5644023518076178,3.6312261619499475
2010,local_background_removed,2.5641320744660288,-1.5385492171902555,4.1026812916562845
2011,local_background_removed,0.6416988718464102,1.0472431102020858,-0.40554423835567566
2012,local_background_removed,-0.5500138468209198,0.9093460416771412,-1.459359888498061
2013,local_background_removed,-1.7434268069459533,0.7716353887932506,-2.515062195739204
2014,local_background_removed,-0.5228884088178563,-0.7793952395829215,0.2565068307650652
2015,local_background_removed,-3.0736481646190117,1.2643115455079583,-4.33795971012697
2016,local_background_removed,-2.090086149664128,-0.06922777366132818,-2.0208583760028
2017,local_background_removed,-4.554884334121803,4.253343799814793,-8.808228133936595
2018,local_background_removed,3.2604915635044085,-1.9456819214830712,5.206173484987479
2019,local_background_removed,2.280633563525874,-2.3034582599053994,4.584091823431273
2020,local_background_removed,-1.7816342527318274,1.2807746973115468,-3.062408950043374
2021,local_background_removed,-1.9140801910682645,-1.356158056636364,-0.5579221344319005
2022,local_background_removed,0.6541779976585608,-0.2236782725590743,0.8778562702176351
2023,local_background_removed,3.1158669375243213,-2.356532288301424,5.472399225825745
1979,raw,-3.19451461447926,6.243358980019813,-9.437873594499074
1980,raw,-1.0867781704779174,3.9019337178167435,-4.988711888294661
1981,raw,-1.3637668003222005,-0.07224959117125648,-1.2915172091509441
1982,raw,-0.6748331526009091,3.0913910333397827,-3.766224185940692
1983,raw,-1.9024064049235707,3.1202838620701367,-5.022690266993708
1984,raw,0.5176062456941911,4.7139842267962155,-4.1963779811020245
1985,raw,-2.7091637861362567,0.6903167168790071,-3.3994805030152637
1986,raw,1.8786190498265647,-0.09975155273869442,1.9783706025652592
1987,raw,0.5554517268793957,3.6214243403970134,-3.0659726135176175
1988,raw,3.7664164448864494,0.6754501600420416,3.090966284844408
1989,raw,0.8719610854103033,3.453437728866134,-2.581476643455831
1990,raw,0.7391902380434303,-1.003601573205939,1.7427918112493692
1991,raw,4.949641607693416,-0.671252157571804,5.620893765265221
1992,raw,-1.3076536944174986,0.9640908759313925,-2.271744570348891
1993,raw,2.9550866828671696,-0.1389963785324128,3.0940830613995822
1994,raw,-1.814255699431722,0.2820440000769177,-2.0962996995086396
1995,raw,1.7750876182172388,-1.014793895315457,2.7898815135326958
1996,raw,-0.21825788128365056,2.508395149831529,-2.7266530311151795
1997,raw,-3.2182886889243343,2.373390251264273,-5.591678940188608
1998,raw,-2.468839212967758,5.236182486753142,-7.7050216997209
1999,raw,3.2842508617097916,-1.4615426255746111,4.745793487284403
2000,raw,-0.04451498183993924,1.9772878796752094,-2.0218028615151487
2001,raw,3.2461575003208383,0.04280150676142789,3.2033559935594105
2002,raw,-0.9348335204811902,3.1967696985922576,-4.1316032190734475
2003,raw,-2.528249079129511,0.9340770076774537,-3.4623260868069647
2004,raw,-0.03905225877749194,5.233959217233997,-5.273011476011488
2005,raw,1.062677546698589,-2.6462792231394063,3.7089567698379953
2006,raw,-1.556916669490033,2.282008003061407,-3.83892467255144
2007,raw,0.18460354572923168,3.8375907948198233,-3.6529872490905917
2008,raw,-1.268392978256034,-0.5652230534445268,-0.7031699248115071
2009,raw,2.1788152124112803,0.2238178359771794,1.9549973764341009
2010,raw,2.862409808370316,0.43595730222987883,2.4264525061404374
2011,raw,-0.3600406009388778,1.7217324229326458,-2.0817730238715235
2012,raw,0.3719106607930464,3.507499334806956,-3.13558867401391
2013,raw,-2.0508145990207263,2.140476382234325,-4.191290981255051
2014,raw,-2.1791026726777107,-0.759380717926929,-1.4197219547507818
2015,raw,-2.9766164558199693,3.0375720398228485,-6.014188495642818
2016,raw,-1.476166564802067,2.2209205967165806,-3.6970871615186476
2017,raw,-2.984131082297953,7.500325837154488,-10.484456919452441
2018,raw,2.358978942880435,-1.1709657565911957,3.529944699471631
2019,raw,1.8172481931140139,-1.0906148448014126,2.907863037915426
2020,raw,0.3598285026421852,5.098466238201407,-4.738637735559222
2021,raw,-1.9736705104157264,0.260480409532022,-2.2341509199477483
2022,raw,-0.13929226636619008,0.6590802489320231,-0.7983725152982132
2023,raw,3.3861533710754914,-0.41001706923440756,3.796170440309899
