scope,object,config_id,window_id,candidate_id,point_day,is_main_peak,bootstrap_match_fraction_5d,sensitivity_group,changed_factor,changed_value,input_source,smoothed_fields_path,bootstrap_status
joint_all,joint_all,PEAK_DISTANCE_7,W007,CP007,160,True,,local_peak_distance,local_peak_min_distance_days,7,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,not_run_by_mode
joint_all,joint_all,MATCH_RADIUS_1_4_7,W001,CP001,18,True,0.726,bootstrap_match_radius,strict_match/match/near,1/4/7,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
joint_all,joint_all,MATCH_RADIUS_1_4_7,W002,CP002,45,True,0.98,bootstrap_match_radius,strict_match/match/near,1/4/7,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
joint_all,joint_all,MATCH_RADIUS_1_4_7,W003,CP003,81,True,0.88,bootstrap_match_radius,strict_match/match/near,1/4/7,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
joint_all,joint_all,MATCH_RADIUS_1_4_7,W004,CP004,96,True,0.745,bootstrap_match_radius,strict_match/match/near,1/4/7,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
joint_all,joint_all,MATCH_RADIUS_1_4_7,W005,CP005,113,True,0.975,bootstrap_match_radius,strict_match/match/near,1/4/7,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
joint_all,joint_all,MATCH_RADIUS_1_4_7,W006,CP006,132,True,0.788,bootstrap_match_radius,strict_match/match/near,1/4/7,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
joint_all,joint_all,MATCH_RADIUS_1_4_7,W006,CP007,135,False,0.751,bootstrap_match_radius,strict_match/match/near,1/4/7,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
joint_all,joint_all,MATCH_RADIUS_1_4_7,W007,CP008,160,True,0.909,bootstrap_match_radius,strict_match/match/near,1/4/7,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
joint_all,joint_all,MATCH_RADIUS_3_6_9,W001,CP001,18,True,0.753,bootstrap_match_radius,strict_match/match/near,3/6/9,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
joint_all,joint_all,MATCH_RADIUS_3_6_9,W002,CP002,45,True,0.997,bootstrap_match_radius,strict_match/match/near,3/6/9,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
