scope,object,config_id,sensitivity_group,changed_factor,changed_value,n_candidates,candidate_days,n_derived_windows,derived_window_main_peak_days,bootstrap_status,n_candidate_same_day,n_candidate_shift_or_missing,n_support_class_changed,n_windows_changed
joint_all,joint_all,SMOOTH5_MATCH_RADIUS_1_4_7,smooth5_bootstrap_match_radius,strict_match/match/near,1/4/7,9,17;44;67;79;97;113;129;134;159,8,17;44;67;79;97;113;129;159,run,9,0,3,0
joint_all,joint_all,SMOOTH5_MATCH_RADIUS_3_6_9,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,9,17;44;67;79;97;113;129;134;159,8,17;44;67;79;97;113;134;159,run,9,0,3,1
joint_all,joint_all,SMOOTH5_BAND_Q30,smooth5_candidate_band,band_floor_quantile,0.30,9,17;44;67;79;97;113;129;134;159,8,17;44;67;79;97;113;134;159,not_run_by_mode,9,0,0,1
joint_all,joint_all,SMOOTH5_BAND_Q40,smooth5_candidate_band,band_floor_quantile,0.40,9,17;44;67;79;97;113;129;134;159,8,17;44;67;79;97;113;134;159,not_run_by_mode,9,0,0,1
joint_all,joint_all,SMOOTH5_BAND_PROM_045,smooth5_candidate_band,band_prominence_ratio,0.45,9,17;44;67;79;97;113;129;134;159,8,17;44;67;79;97;113;134;159,not_run_by_mode,9,0,0,4
joint_all,joint_all,SMOOTH5_BAND_PROM_055,smooth5_candidate_band,band_prominence_ratio,0.55,9,17;44;67;79;97;113;129;134;159,8,17;44;67;79;97;113;134;159,not_run_by_mode,9,0,0,1
joint_all,joint_all,SMOOTH5_BAND_MAX_HW_8,smooth5_candidate_band,band_max_half_width,8,9,17;44;67;79;97;113;129;134;159,8,17;44;67;79;97;113;134;159,not_run_by_mode,9,0,0,1
joint_all,joint_all,SMOOTH5_BAND_MAX_HW_12,smooth5_candidate_band,band_max_half_width,12,9,17;44;67;79;97;113;129;134;159,8,17;44;67;79;97;113;134;159,not_run_by_mode,9,0,0,1
joint_all,joint_all,SMOOTH5_MERGE_GAP_0,smooth5_window_merge,merge_gap_days,0,9,17;44;67;79;97;113;129;134;159,8,17;44;67;79;97;113;134;159,not_run_by_mode,9,0,0,1
joint_all,joint_all,SMOOTH5_MERGE_GAP_2,smooth5_window_merge,merge_gap_days,2,9,17;44;67;79;97;113;129;134;159,8,17;44;67;79;97;113;134;159,not_run_by_mode,9,0,0,1
joint_all,joint_all,SMOOTH5_CLOSE_NEIGHBOR_3,smooth5_window_merge,close_neighbor_exemption_days,3,9,17;44;67;79;97;113;129;134;159,8,17;44;67;79;97;113;134;159,not_run_by_mode,9,0,0,1
joint_all,joint_all,SMOOTH5_CLOSE_NEIGHBOR_5,smooth5_window_merge,close_neighbor_exemption_days,5,9,17;44;67;79;97;113;129;134;159,8,17;44;67;79;97;113;134;159,not_run_by_mode,9,0,0,1
joint_all,joint_all,SMOOTH5_PROTECT_THR_090,smooth5_window_merge,significant_peak_threshold,0.90,9,17;44;67;79;97;113;129;134;159,8,17;44;67;79;97;113;134;159,not_run_by_mode,9,0,0,1
P_only,P,BASELINE,baseline,none,baseline,10,18;34;45;65;82;95;113;126;138;158,10,18;34;45;65;82;95;113;126;138;158,run,10,0,0,0
P_only,P,DET_WIDTH_16,detector_width,detector_width,16,11,17;34;45;57;65;83;97;114;126;138;157,11,17;34;45;57;65;83;97;114;126;138;157,run,5,5,4,6
P_only,P,DET_WIDTH_24,detector_width,detector_width,24,7,19;43;81;112;126;137;158,7,19;43;81;112;126;137;158,run,2,8,6,9
P_only,P,DET_PEN_3,detector_penalty,detector_penalty,3.0,10,18;34;45;65;82;95;113;126;138;158,10,18;34;45;65;82;95;113;126;138;158,not_run_by_mode,10,0,0,0
P_only,P,DET_PEN_5,detector_penalty,detector_penalty,5.0,10,18;34;45;65;82;95;113;126;138;158,10,18;34;45;65;82;95;113;126;138;158,not_run_by_mode,10,0,0,0
P_only,P,PEAK_DISTANCE_5,local_peak_distance,local_peak_min_distance_days,5,10,18;34;45;65;82;95;113;126;138;158,10,18;34;45;65;82;95;113;126;138;158,not_run_by_mode,10,0,0,0
P_only,P,PEAK_DISTANCE_7,local_peak_distance,local_peak_min_distance_days,7,10,18;34;45;65;82;95;113;126;138;158,10,18;34;45;65;82;95;113;126;138;158,not_run_by_mode,10,0,0,0
P_only,P,MATCH_RADIUS_1_4_7,bootstrap_match_radius,strict_match/match/near,1/4/7,10,18;34;45;65;82;95;113;126;138;158,10,18;34;45;65;82;95;113;126;138;158,run,10,0,2,0
P_only,P,MATCH_RADIUS_3_6_9,bootstrap_match_radius,strict_match/match/near,3/6/9,10,18;34;45;65;82;95;113;126;138;158,10,18;34;45;65;82;95;113;126;138;158,run,10,0,3,0
P_only,P,BAND_Q30,candidate_band,band_floor_quantile,0.30,10,18;34;45;65;82;95;113;126;138;158,10,18;34;45;65;82;95;113;126;138;158,not_run_by_mode,10,0,0,0
P_only,P,BAND_Q40,candidate_band,band_floor_quantile,0.40,10,18;34;45;65;82;95;113;126;138;158,10,18;34;45;65;82;95;113;126;138;158,not_run_by_mode,10,0,0,0
P_only,P,BAND_PROM_045,candidate_band,band_prominence_ratio,0.45,10,18;34;45;65;82;95;113;126;138;158,10,18;34;45;65;82;95;113;126;138;158,not_run_by_mode,10,0,0,3
P_only,P,BAND_PROM_055,candidate_band,band_prominence_ratio,0.55,10,18;34;45;65;82;95;113;126;138;158,8,18;45;65;82;113;126;138;158,not_run_by_mode,10,0,0,6
P_only,P,BAND_MAX_HW_8,candidate_band,band_max_half_width,8,10,18;34;45;65;82;95;113;126;138;158,10,18;34;45;65;82;95;113;126;138;158,not_run_by_mode,10,0,0,1
P_only,P,BAND_MAX_HW_12,candidate_band,band_max_half_width,12,10,18;34;45;65;82;95;113;126;138;158,10,18;34;45;65;82;95;113;126;138;158,not_run_by_mode,10,0,0,0
P_only,P,MERGE_GAP_0,window_merge,merge_gap_days,0,10,18;34;45;65;82;95;113;126;138;158,10,18;34;45;65;82;95;113;126;138;158,not_run_by_mode,10,0,0,0
P_only,P,MERGE_GAP_2,window_merge,merge_gap_days,2,10,18;34;45;65;82;95;113;126;138;158,8,18;45;65;82;113;126;138;158,not_run_by_mode,10,0,0,4
P_only,P,CLOSE_NEIGHBOR_3,window_merge,close_neighbor_exemption_days,3,10,18;34;45;65;82;95;113;126;138;158,10,18;34;45;65;82;95;113;126;138;158,not_run_by_mode,10,0,0,0
P_only,P,CLOSE_NEIGHBOR_5,window_merge,close_neighbor_exemption_days,5,10,18;34;45;65;82;95;113;126;138;158,10,18;34;45;65;82;95;113;126;138;158,not_run_by_mode,10,0,0,0
P_only,P,PROTECT_THR_090,window_merge,significant_peak_threshold,0.90,10,18;34;45;65;82;95;113;126;138;158,10,18;34;45;65;82;95;113;126;138;158,not_run_by_mode,10,0,0,0
P_only,P,SMOOTH_INPUT_5D,smooth_input,smoothed_fields_input,smooth5,12,17;33;44;56;66;83;97;114;127;139;156;167,12,17;33;44;56;66;83;97;114;127;139;156;167,run,0,12,3,10
P_only,P,SMOOTH5_DET_WIDTH_16,smooth5_detector_width,detector_width,16,12,17;32;45;55;66;78;83;97;113;126;139;156,11,17;32;45;55;66;83;97;113;126;139;156,run,6,6,4,9
P_only,P,SMOOTH5_DET_WIDTH_24,smooth5_detector_width,detector_width,24,8,17;44;67;82;114;127;138;156,8,17;44;67;82;114;127;138;156,run,5,7,7,8
P_only,P,SMOOTH5_DET_PEN_3,smooth5_detector_penalty,detector_penalty,3.0,12,17;33;44;56;66;83;97;114;127;139;156;167,12,17;33;44;56;66;83;97;114;127;139;156;167,not_run_by_mode,12,0,0,0
P_only,P,SMOOTH5_DET_PEN_5,smooth5_detector_penalty,detector_penalty,5.0,12,17;33;44;56;66;83;97;114;127;139;156;167,12,17;33;44;56;66;83;97;114;127;139;156;167,not_run_by_mode,12,0,0,0
P_only,P,SMOOTH5_PEAK_DISTANCE_5,smooth5_local_peak_distance,local_peak_min_distance_days,5,12,17;33;44;56;66;83;97;114;127;139;156;167,12,17;33;44;56;66;83;97;114;127;139;156;167,not_run_by_mode,12,0,0,0
P_only,P,SMOOTH5_PEAK_DISTANCE_7,smooth5_local_peak_distance,local_peak_min_distance_days,7,12,17;33;44;56;66;83;97;114;127;139;156;167,12,17;33;44;56;66;83;97;114;127;139;156;167,not_run_by_mode,12,0,0,0
P_only,P,SMOOTH5_MATCH_RADIUS_1_4_7,smooth5_bootstrap_match_radius,strict_match/match/near,1/4/7,12,17;33;44;56;66;83;97;114;127;139;156;167,12,17;33;44;56;66;83;97;114;127;139;156;167,run,12,0,2,0
P_only,P,SMOOTH5_MATCH_RADIUS_3_6_9,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,12,17;33;44;56;66;83;97;114;127;139;156;167,12,17;33;44;56;66;83;97;114;127;139;156;167,run,12,0,3,0
P_only,P,SMOOTH5_BAND_Q30,smooth5_candidate_band,band_floor_quantile,0.30,12,17;33;44;56;66;83;97;114;127;139;156;167,12,17;33;44;56;66;83;97;114;127;139;156;167,not_run_by_mode,12,0,0,0
P_only,P,SMOOTH5_BAND_Q40,smooth5_candidate_band,band_floor_quantile,0.40,12,17;33;44;56;66;83;97;114;127;139;156;167,12,17;33;44;56;66;83;97;114;127;139;156;167,not_run_by_mode,12,0,0,0
P_only,P,SMOOTH5_BAND_PROM_045,smooth5_candidate_band,band_prominence_ratio,0.45,12,17;33;44;56;66;83;97;114;127;139;156;167,12,17;33;44;56;66;83;97;114;127;139;156;167,not_run_by_mode,12,0,0,3
P_only,P,SMOOTH5_BAND_PROM_055,smooth5_candidate_band,band_prominence_ratio,0.55,12,17;33;44;56;66;83;97;114;127;139;156;167,12,17;33;44;56;66;83;97;114;127;139;156;167,not_run_by_mode,12,0,0,2
P_only,P,SMOOTH5_BAND_MAX_HW_8,smooth5_candidate_band,band_max_half_width,8,12,17;33;44;56;66;83;97;114;127;139;156;167,12,17;33;44;56;66;83;97;114;127;139;156;167,not_run_by_mode,12,0,0,1
P_only,P,SMOOTH5_BAND_MAX_HW_12,smooth5_candidate_band,band_max_half_width,12,12,17;33;44;56;66;83;97;114;127;139;156;167,12,17;33;44;56;66;83;97;114;127;139;156;167,not_run_by_mode,12,0,0,0
P_only,P,SMOOTH5_MERGE_GAP_0,smooth5_window_merge,merge_gap_days,0,12,17;33;44;56;66;83;97;114;127;139;156;167,12,17;33;44;56;66;83;97;114;127;139;156;167,not_run_by_mode,12,0,0,0
P_only,P,SMOOTH5_MERGE_GAP_2,smooth5_window_merge,merge_gap_days,2,12,17;33;44;56;66;83;97;114;127;139;156;167,12,17;33;44;56;66;83;97;114;127;139;156;167,not_run_by_mode,12,0,0,0
P_only,P,SMOOTH5_CLOSE_NEIGHBOR_3,smooth5_window_merge,close_neighbor_exemption_days,3,12,17;33;44;56;66;83;97;114;127;139;156;167,12,17;33;44;56;66;83;97;114;127;139;156;167,not_run_by_mode,12,0,0,0
P_only,P,SMOOTH5_CLOSE_NEIGHBOR_5,smooth5_window_merge,close_neighbor_exemption_days,5,12,17;33;44;56;66;83;97;114;127;139;156;167,12,17;33;44;56;66;83;97;114;127;139;156;167,not_run_by_mode,12,0,0,0
P_only,P,SMOOTH5_PROTECT_THR_090,smooth5_window_merge,significant_peak_threshold,0.90,12,17;33;44;56;66;83;97;114;127;139;156;167,12,17;33;44;56;66;83;97;114;127;139;156;167,not_run_by_mode,12,0,0,0
V_only,V,BASELINE,baseline,none,baseline,9,16;30;45;69;80;95;114;136;161,8,16;30;45;80;95;114;136;161,run,9,0,0,0
V_only,V,DET_WIDTH_16,detector_width,detector_width,16,9,16;30;45;67;79;95;113;136;161,8,16;30;45;79;95;113;136;161,run,6,3,5,4
V_only,V,DET_WIDTH_24,detector_width,detector_width,24,8,19;30;45;79;96;115;137;162,8,19;30;45;79;96;115;137;162,run,2,7,4,6
V_only,V,DET_PEN_3,detector_penalty,detector_penalty,3.0,9,16;30;45;69;80;95;114;136;161,8,16;30;45;80;95;114;136;161,not_run_by_mode,9,0,0,0
V_only,V,DET_PEN_5,detector_penalty,detector_penalty,5.0,9,16;30;45;69;80;95;114;136;161,8,16;30;45;80;95;114;136;161,not_run_by_mode,9,0,0,0
V_only,V,PEAK_DISTANCE_5,local_peak_distance,local_peak_min_distance_days,5,9,16;30;45;69;80;95;114;136;161,8,16;30;45;80;95;114;136;161,not_run_by_mode,9,0,0,0
V_only,V,PEAK_DISTANCE_7,local_peak_distance,local_peak_min_distance_days,7,9,16;30;45;69;80;95;114;136;161,8,16;30;45;80;95;114;136;161,not_run_by_mode,9,0,0,0
V_only,V,MATCH_RADIUS_1_4_7,bootstrap_match_radius,strict_match/match/near,1/4/7,9,16;30;45;69;80;95;114;136;161,8,16;30;45;80;95;114;136;161,run,9,0,2,0
V_only,V,MATCH_RADIUS_3_6_9,bootstrap_match_radius,strict_match/match/near,3/6/9,9,16;30;45;69;80;95;114;136;161,8,16;30;45;80;95;114;136;161,run,9,0,1,0
V_only,V,BAND_Q30,candidate_band,band_floor_quantile,0.30,9,16;30;45;69;80;95;114;136;161,8,16;30;45;80;95;114;136;161,not_run_by_mode,9,0,0,0
V_only,V,BAND_Q40,candidate_band,band_floor_quantile,0.40,9,16;30;45;69;80;95;114;136;161,8,16;30;45;80;95;114;136;161,not_run_by_mode,9,0,0,1
V_only,V,BAND_PROM_045,candidate_band,band_prominence_ratio,0.45,9,16;30;45;69;80;95;114;136;161,8,16;30;45;80;95;114;136;161,not_run_by_mode,9,0,0,3
V_only,V,BAND_PROM_055,candidate_band,band_prominence_ratio,0.55,9,16;30;45;69;80;95;114;136;161,8,16;30;45;80;95;114;136;161,not_run_by_mode,9,0,0,3
V_only,V,BAND_MAX_HW_8,candidate_band,band_max_half_width,8,9,16;30;45;69;80;95;114;136;161,8,16;30;45;80;95;114;136;161,not_run_by_mode,9,0,0,1
V_only,V,BAND_MAX_HW_12,candidate_band,band_max_half_width,12,9,16;30;45;69;80;95;114;136;161,8,16;30;45;80;95;114;136;161,not_run_by_mode,9,0,0,0
V_only,V,MERGE_GAP_0,window_merge,merge_gap_days,0,9,16;30;45;69;80;95;114;136;161,8,16;30;45;80;95;114;136;161,not_run_by_mode,9,0,0,0
V_only,V,MERGE_GAP_2,window_merge,merge_gap_days,2,9,16;30;45;69;80;95;114;136;161,8,16;30;45;80;95;114;136;161,not_run_by_mode,9,0,0,0
V_only,V,CLOSE_NEIGHBOR_3,window_merge,close_neighbor_exemption_days,3,9,16;30;45;69;80;95;114;136;161,8,16;30;45;80;95;114;136;161,not_run_by_mode,9,0,0,0
V_only,V,CLOSE_NEIGHBOR_5,window_merge,close_neighbor_exemption_days,5,9,16;30;45;69;80;95;114;136;161,8,16;30;45;80;95;114;136;161,not_run_by_mode,9,0,0,0
V_only,V,PROTECT_THR_090,window_merge,significant_peak_threshold,0.90,9,16;30;45;69;80;95;114;136;161,8,16;30;45;80;95;114;136;161,not_run_by_mode,9,0,0,0
V_only,V,SMOOTH_INPUT_5D,smooth_input,smoothed_fields_input,smooth5,9,15;30;45;67;78;96;113;136;160,8,15;30;45;67;96;113;136;160,run,3,6,5,6
V_only,V,SMOOTH5_DET_WIDTH_16,smooth5_detector_width,detector_width,16,11,15;28;45;66;77;85;95;113;124;136;162,10,15;28;45;66;85;95;113;124;136;162,run,4,6,3,6
V_only,V,SMOOTH5_DET_WIDTH_24,smooth5_detector_width,detector_width,24,10,16;27;45;68;78;96;114;136;143;161,9,16;27;45;78;96;114;136;143;161,run,4,5,6,6
V_only,V,SMOOTH5_DET_PEN_3,smooth5_detector_penalty,detector_penalty,3.0,9,15;30;45;67;78;96;113;136;160,8,15;30;45;78;96;113;136;160,not_run_by_mode,9,0,0,1
V_only,V,SMOOTH5_DET_PEN_5,smooth5_detector_penalty,detector_penalty,5.0,9,15;30;45;67;78;96;113;136;160,8,15;30;45;78;96;113;136;160,not_run_by_mode,9,0,0,1
V_only,V,SMOOTH5_PEAK_DISTANCE_5,smooth5_local_peak_distance,local_peak_min_distance_days,5,9,15;30;45;67;78;96;113;136;160,8,15;30;45;78;96;113;136;160,not_run_by_mode,9,0,0,1
V_only,V,SMOOTH5_PEAK_DISTANCE_7,smooth5_local_peak_distance,local_peak_min_distance_days,7,9,15;30;45;67;78;96;113;136;160,8,15;30;45;78;96;113;136;160,not_run_by_mode,9,0,0,1
V_only,V,SMOOTH5_MATCH_RADIUS_1_4_7,smooth5_bootstrap_match_radius,strict_match/match/near,1/4/7,9,15;30;45;67;78;96;113;136;160,8,15;30;45;67;96;113;136;160,run,9,0,2,0
V_only,V,SMOOTH5_MATCH_RADIUS_3_6_9,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,9,15;30;45;67;78;96;113;136;160,8,15;30;45;78;96;113;136;160,run,9,0,2,1
V_only,V,SMOOTH5_BAND_Q30,smooth5_candidate_band,band_floor_quantile,0.30,9,15;30;45;67;78;96;113;136;160,8,15;30;45;78;96;113;136;160,not_run_by_mode,9,0,0,3
V_only,V,SMOOTH5_BAND_Q40,smooth5_candidate_band,band_floor_quantile,0.40,9,15;30;45;67;78;96;113;136;160,8,15;30;45;78;96;113;136;160,not_run_by_mode,9,0,0,2
V_only,V,SMOOTH5_BAND_PROM_045,smooth5_candidate_band,band_prominence_ratio,0.45,9,15;30;45;67;78;96;113;136;160,8,15;30;45;78;96;113;136;160,not_run_by_mode,9,0,0,3
V_only,V,SMOOTH5_BAND_PROM_055,smooth5_candidate_band,band_prominence_ratio,0.55,9,15;30;45;67;78;96;113;136;160,8,15;30;45;78;96;113;136;160,not_run_by_mode,9,0,0,3
V_only,V,SMOOTH5_BAND_MAX_HW_8,smooth5_candidate_band,band_max_half_width,8,9,15;30;45;67;78;96;113;136;160,8,15;30;45;78;96;113;136;160,not_run_by_mode,9,0,0,2
V_only,V,SMOOTH5_BAND_MAX_HW_12,smooth5_candidate_band,band_max_half_width,12,9,15;30;45;67;78;96;113;136;160,8,15;30;45;78;96;113;136;160,not_run_by_mode,9,0,0,1
V_only,V,SMOOTH5_MERGE_GAP_0,smooth5_window_merge,merge_gap_days,0,9,15;30;45;67;78;96;113;136;160,8,15;30;45;78;96;113;136;160,not_run_by_mode,9,0,0,1
V_only,V,SMOOTH5_MERGE_GAP_2,smooth5_window_merge,merge_gap_days,2,9,15;30;45;67;78;96;113;136;160,8,15;30;45;78;96;113;136;160,not_run_by_mode,9,0,0,1
V_only,V,SMOOTH5_CLOSE_NEIGHBOR_3,smooth5_window_merge,close_neighbor_exemption_days,3,9,15;30;45;67;78;96;113;136;160,8,15;30;45;78;96;113;136;160,not_run_by_mode,9,0,0,1
V_only,V,SMOOTH5_CLOSE_NEIGHBOR_5,smooth5_window_merge,close_neighbor_exemption_days,5,9,15;30;45;67;78;96;113;136;160,8,15;30;45;78;96;113;136;160,not_run_by_mode,9,0,0,1
V_only,V,SMOOTH5_PROTECT_THR_090,smooth5_window_merge,significant_peak_threshold,0.90,9,15;30;45;67;78;96;113;136;160,8,15;30;45;78;96;113;136;160,not_run_by_mode,9,0,0,1
H_only,H,BASELINE,baseline,none,baseline,8,19;35;57;77;95;115;129;155,8,19;35;57;77;95;115;129;155,run,8,0,0,0
H_only,H,DET_WIDTH_16,detector_width,detector_width,16,9,19;36;55;77;95;115;129;143;155,9,19;36;55;77;95;115;129;143;155,run,6,3,5,6
H_only,H,DET_WIDTH_24,detector_width,detector_width,24,7,19;34;77;95;115;131;154,7,19;34;77;95;115;131;154,run,4,4,4,6
H_only,H,DET_PEN_3,detector_penalty,detector_penalty,3.0,8,19;35;57;77;95;115;129;155,8,19;35;57;77;95;115;129;155,not_run_by_mode,8,0,0,0
H_only,H,DET_PEN_5,detector_penalty,detector_penalty,5.0,8,19;35;57;77;95;115;129;155,8,19;35;57;77;95;115;129;155,not_run_by_mode,8,0,0,0
H_only,H,PEAK_DISTANCE_5,local_peak_distance,local_peak_min_distance_days,5,8,19;35;57;77;95;115;129;155,8,19;35;57;77;95;115;129;155,not_run_by_mode,8,0,0,0
H_only,H,PEAK_DISTANCE_7,local_peak_distance,local_peak_min_distance_days,7,8,19;35;57;77;95;115;129;155,8,19;35;57;77;95;115;129;155,not_run_by_mode,8,0,0,0
H_only,H,MATCH_RADIUS_1_4_7,bootstrap_match_radius,strict_match/match/near,1/4/7,8,19;35;57;77;95;115;129;155,8,19;35;57;77;95;115;129;155,run,8,0,0,0
H_only,H,MATCH_RADIUS_3_6_9,bootstrap_match_radius,strict_match/match/near,3/6/9,8,19;35;57;77;95;115;129;155,8,19;35;57;77;95;115;129;155,run,8,0,1,0
H_only,H,BAND_Q30,candidate_band,band_floor_quantile,0.30,8,19;35;57;77;95;115;129;155,8,19;35;57;77;95;115;129;155,not_run_by_mode,8,0,0,1
H_only,H,BAND_Q40,candidate_band,band_floor_quantile,0.40,8,19;35;57;77;95;115;129;155,8,19;35;57;77;95;115;129;155,not_run_by_mode,8,0,0,0
H_only,H,BAND_PROM_045,candidate_band,band_prominence_ratio,0.45,8,19;35;57;77;95;115;129;155,8,19;35;57;77;95;115;129;155,not_run_by_mode,8,0,0,2
H_only,H,BAND_PROM_055,candidate_band,band_prominence_ratio,0.55,8,19;35;57;77;95;115;129;155,8,19;35;57;77;95;115;129;155,not_run_by_mode,8,0,0,3
H_only,H,BAND_MAX_HW_8,candidate_band,band_max_half_width,8,8,19;35;57;77;95;115;129;155,8,19;35;57;77;95;115;129;155,not_run_by_mode,8,0,0,0
H_only,H,BAND_MAX_HW_12,candidate_band,band_max_half_width,12,8,19;35;57;77;95;115;129;155,8,19;35;57;77;95;115;129;155,not_run_by_mode,8,0,0,0
H_only,H,MERGE_GAP_0,window_merge,merge_gap_days,0,8,19;35;57;77;95;115;129;155,8,19;35;57;77;95;115;129;155,not_run_by_mode,8,0,0,0
H_only,H,MERGE_GAP_2,window_merge,merge_gap_days,2,8,19;35;57;77;95;115;129;155,8,19;35;57;77;95;115;129;155,not_run_by_mode,8,0,0,0
H_only,H,CLOSE_NEIGHBOR_3,window_merge,close_neighbor_exemption_days,3,8,19;35;57;77;95;115;129;155,8,19;35;57;77;95;115;129;155,not_run_by_mode,8,0,0,0
H_only,H,CLOSE_NEIGHBOR_5,window_merge,close_neighbor_exemption_days,5,8,19;35;57;77;95;115;129;155,8,19;35;57;77;95;115;129;155,not_run_by_mode,8,0,0,0
H_only,H,PROTECT_THR_090,window_merge,significant_peak_threshold,0.90,8,19;35;57;77;95;115;129;155,8,19;35;57;77;95;115;129;155,not_run_by_mode,8,0,0,0
