scope,object,config_id,reference_config_id,sensitivity_group,changed_factor,changed_value,baseline_window_id,baseline_main_peak_day,perturbed_window_id,perturbed_main_peak_day,main_peak_delta,baseline_window_start,baseline_window_end,perturbed_window_start,perturbed_window_end,member_candidate_change,merge_split_status,window_start_delta,window_end_delta
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,W001,18,W001,18,0,16,20,16,20,False,UNCHANGED,0,0
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,W002,45,W002,45,0,40,48,40,48,False,UNCHANGED,0,0
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,W003,81,W003,81,0,75,86,75,86,False,UNCHANGED,0,0
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,W004,96,W004,96,0,94,99,94,99,False,UNCHANGED,0,0
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,W005,113,W005,113,0,107,117,107,117,False,UNCHANGED,0,0
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,W006,132,W006,135,3,128,138,128,138,True,MAIN_PEAK_CHANGED,0,0
joint_all,joint_all,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,W007,160,W007,160,0,155,164,155,164,True,UNCHANGED,0,0
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,W001,18,W001,18,0,16,20,16,20,False,UNCHANGED,0,0
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,W002,45,W002,45,0,40,48,40,48,False,UNCHANGED,0,0
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,W003,81,W003,81,0,75,86,75,86,False,UNCHANGED,0,0
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,W004,96,W004,96,0,94,99,94,99,False,UNCHANGED,0,0
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,W005,113,W005,113,0,107,117,107,117,False,UNCHANGED,0,0
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,W006,132,W006,135,3,128,138,128,138,True,MAIN_PEAK_CHANGED,0,0
joint_all,joint_all,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,W007,160,W007,160,0,155,164,155,164,True,UNCHANGED,0,0
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,W001,18,W001,18,0,16,20,16,20,False,UNCHANGED,0,0
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,W002,45,W002,45,0,40,48,40,48,False,UNCHANGED,0,0
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,W003,81,W003,81,0,75,86,75,86,False,UNCHANGED,0,0
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,W004,96,W004,96,0,94,99,94,99,False,UNCHANGED,0,0
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,W005,113,W005,113,0,107,117,107,117,False,UNCHANGED,0,0
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,W006,132,W006,132,0,128,138,128,138,False,UNCHANGED,0,0
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,W007,160,W007,160,0,155,164,155,164,False,UNCHANGED,0,0
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,W001,18,W001,18,0,16,20,16,20,False,UNCHANGED,0,0
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,W002,45,W002,45,0,40,48,40,48,False,UNCHANGED,0,0
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,W003,81,W003,81,0,75,86,75,86,False,UNCHANGED,0,0
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,W004,96,W004,96,0,94,99,94,99,False,UNCHANGED,0,0
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,W005,113,W005,113,0,107,117,107,117,False,UNCHANGED,0,0
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,W006,132,W006,132,0,128,138,128,138,False,UNCHANGED,0,0
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,W007,160,W007,160,0,155,164,155,164,False,UNCHANGED,0,0
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,W001,18,W001,18,0,16,20,16,20,False,UNCHANGED,0,0
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,W002,45,W002,45,0,40,48,40,48,False,UNCHANGED,0,0
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,W003,81,W003,81,0,75,86,75,86,False,UNCHANGED,0,0
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,W004,96,W004,96,0,94,99,94,99,False,UNCHANGED,0,0
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,W005,113,W005,113,0,107,117,107,117,False,UNCHANGED,0,0
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,W006,132,W006,135,3,128,138,128,139,True,MAIN_PEAK_CHANGED,0,1
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,W007,160,W007,160,0,155,164,155,164,False,UNCHANGED,0,0
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,W001,18,W001,18,0,16,20,16,20,False,UNCHANGED,0,0
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,W002,45,W002,45,0,40,48,40,48,False,UNCHANGED,0,0
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,W003,81,W003,81,0,75,86,75,86,False,UNCHANGED,0,0
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,W004,96,W004,96,0,94,99,94,99,False,UNCHANGED,0,0
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,W005,113,W005,113,0,107,117,107,117,False,UNCHANGED,0,0
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,W006,132,W006,135,3,128,138,130,137,True,MAIN_PEAK_CHANGED,2,-1
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,W007,160,W007,160,0,155,164,155,164,False,UNCHANGED,0,0
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,W001,18,W001,18,0,16,20,16,20,False,UNCHANGED,0,0
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,W002,45,W002,45,0,40,48,40,48,False,UNCHANGED,0,0
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,W003,81,W003,81,0,75,86,76,85,False,BOUNDARY_SHIFT_ONLY,1,-1
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,W004,96,W004,96,0,94,99,94,99,False,UNCHANGED,0,0
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,W005,113,W005,113,0,107,117,108,117,False,BOUNDARY_SHIFT_ONLY,1,0
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,W006,132,W006,135,3,128,138,128,138,True,MAIN_PEAK_CHANGED,0,0
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,W007,160,W007,160,0,155,164,155,164,False,UNCHANGED,0,0
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,W001,18,W001,18,0,16,20,16,20,False,UNCHANGED,0,0
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,W002,45,W002,45,0,40,48,39,48,False,BOUNDARY_SHIFT_ONLY,-1,0
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,W003,81,W003,81,0,75,86,75,86,False,UNCHANGED,0,0
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,W004,96,W004,96,0,94,99,94,99,False,UNCHANGED,0,0
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,W005,113,W005,113,0,107,117,106,118,False,BOUNDARY_SHIFT_ONLY,-1,1
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,W006,132,W006,135,3,128,138,128,138,True,MAIN_PEAK_CHANGED,0,0
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,W007,160,W007,160,0,155,164,155,164,False,UNCHANGED,0,0
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,W001,18,W001,18,0,16,20,16,20,False,UNCHANGED,0,0
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,W002,45,W002,45,0,40,48,40,48,False,UNCHANGED,0,0
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,W003,81,W003,81,0,75,86,75,86,False,UNCHANGED,0,0
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,W004,96,W004,96,0,94,99,94,99,False,UNCHANGED,0,0
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,W005,113,W005,113,0,107,117,107,117,False,UNCHANGED,0,0
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,W006,132,W006,135,3,128,138,128,138,True,MAIN_PEAK_CHANGED,0,0
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,W007,160,W007,160,0,155,164,155,164,False,UNCHANGED,0,0
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,W001,18,W001,18,0,16,20,16,20,False,UNCHANGED,0,0
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,W002,45,W002,45,0,40,48,40,48,False,UNCHANGED,0,0
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,W003,81,W003,81,0,75,86,75,86,False,UNCHANGED,0,0
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,W004,96,W004,96,0,94,99,94,99,False,UNCHANGED,0,0
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,W005,113,W005,113,0,107,117,107,117,False,UNCHANGED,0,0
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,W006,132,W006,135,3,128,138,128,138,True,MAIN_PEAK_CHANGED,0,0
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,W007,160,W007,160,0,155,164,155,164,False,UNCHANGED,0,0
joint_all,joint_all,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,W001,18,W001,18,0,16,20,16,20,False,UNCHANGED,0,0
joint_all,joint_all,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,W002,45,W002,45,0,40,48,40,48,False,UNCHANGED,0,0
joint_all,joint_all,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,W003,81,W003,81,0,75,86,75,86,False,UNCHANGED,0,0
joint_all,joint_all,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,W004,96,W004,96,0,94,99,94,99,False,UNCHANGED,0,0
joint_all,joint_all,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,W005,113,W005,113,0,107,117,107,117,False,UNCHANGED,0,0
joint_all,joint_all,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,W006,132,W006,135,3,128,138,128,138,True,MAIN_PEAK_CHANGED,0,0
joint_all,joint_all,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,W007,160,W007,160,0,155,164,155,164,False,UNCHANGED,0,0
joint_all,joint_all,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,W001,18,W001,18,0,16,20,16,20,False,UNCHANGED,0,0
joint_all,joint_all,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,W002,45,W002,45,0,40,48,40,48,False,UNCHANGED,0,0
joint_all,joint_all,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,W003,81,W003,81,0,75,86,75,86,False,UNCHANGED,0,0
joint_all,joint_all,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,W004,96,W004,96,0,94,99,94,99,False,UNCHANGED,0,0
joint_all,joint_all,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,W005,113,W005,113,0,107,117,107,117,False,UNCHANGED,0,0
joint_all,joint_all,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,W006,132,W006,135,3,128,138,128,138,True,MAIN_PEAK_CHANGED,0,0
joint_all,joint_all,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,W007,160,W007,160,0,155,164,155,164,False,UNCHANGED,0,0
joint_all,joint_all,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,W001,18,W001,18,0,16,20,16,20,False,UNCHANGED,0,0
joint_all,joint_all,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,W002,45,W002,45,0,40,48,40,48,False,UNCHANGED,0,0
joint_all,joint_all,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,W003,81,W003,81,0,75,86,75,86,False,UNCHANGED,0,0
joint_all,joint_all,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,W004,96,W004,96,0,94,99,94,99,False,UNCHANGED,0,0
joint_all,joint_all,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,W005,113,W005,113,0,107,117,107,117,False,UNCHANGED,0,0
joint_all,joint_all,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,W006,132,W006,135,3,128,138,128,138,True,MAIN_PEAK_CHANGED,0,0
joint_all,joint_all,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,W007,160,W007,160,0,155,164,155,164,False,UNCHANGED,0,0
joint_all,joint_all,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,W001,18,W001,18,0,16,20,16,20,False,UNCHANGED,0,0
joint_all,joint_all,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,W002,45,W002,45,0,40,48,40,48,False,UNCHANGED,0,0
joint_all,joint_all,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,W003,81,W003,81,0,75,86,75,86,False,UNCHANGED,0,0
joint_all,joint_all,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,W004,96,W004,96,0,94,99,94,99,False,UNCHANGED,0,0
joint_all,joint_all,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,W005,113,W005,113,0,107,117,107,117,False,UNCHANGED,0,0
joint_all,joint_all,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,W006,132,W006,135,3,128,138,128,138,True,MAIN_PEAK_CHANGED,0,0
joint_all,joint_all,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,W007,160,W007,160,0,155,164,155,164,False,UNCHANGED,0,0
joint_all,joint_all,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,W001,18,W001,18,0,16,20,16,20,False,UNCHANGED,0,0
joint_all,joint_all,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,W002,45,W002,45,0,40,48,40,48,False,UNCHANGED,0,0
joint_all,joint_all,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,W003,81,W003,81,0,75,86,75,86,False,UNCHANGED,0,0
joint_all,joint_all,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,W004,96,W004,96,0,94,99,94,99,False,UNCHANGED,0,0
joint_all,joint_all,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,W005,113,W005,113,0,107,117,107,117,False,UNCHANGED,0,0
joint_all,joint_all,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,W006,132,W006,135,3,128,138,128,138,True,MAIN_PEAK_CHANGED,0,0
joint_all,joint_all,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,W007,160,W007,160,0,155,164,155,164,False,UNCHANGED,0,0
joint_all,joint_all,SMOOTH_INPUT_5D,BASELINE,smooth_input,smoothed_fields_input,smooth5,W001,18,W001,17,-1,16,20,15,19,False,MAIN_PEAK_CHANGED,-1,-1
joint_all,joint_all,SMOOTH_INPUT_5D,BASELINE,smooth_input,smoothed_fields_input,smooth5,W002,45,W002,44,-1,40,48,40,48,False,MAIN_PEAK_CHANGED,0,0
joint_all,joint_all,SMOOTH_INPUT_5D,BASELINE,smooth_input,smoothed_fields_input,smooth5,W003,81,W004,79,-2,75,86,75,86,True,MAIN_PEAK_CHANGED,0,0
joint_all,joint_all,SMOOTH_INPUT_5D,BASELINE,smooth_input,smoothed_fields_input,smooth5,W004,96,W005,97,1,94,99,94,99,True,MAIN_PEAK_CHANGED,0,0
joint_all,joint_all,SMOOTH_INPUT_5D,BASELINE,smooth_input,smoothed_fields_input,smooth5,W005,113,W006,113,0,107,117,108,117,True,BOUNDARY_SHIFT_ONLY,1,0
joint_all,joint_all,SMOOTH_INPUT_5D,BASELINE,smooth_input,smoothed_fields_input,smooth5,W006,132,W007,129,-3,128,138,127,137,True,MAIN_PEAK_CHANGED,-1,-1
joint_all,joint_all,SMOOTH_INPUT_5D,BASELINE,smooth_input,smoothed_fields_input,smooth5,W007,160,W008,159,-1,155,164,155,164,True,MAIN_PEAK_CHANGED,0,0
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,W001,17,W001,16,-1,15,19,14,18,False,MAIN_PEAK_CHANGED,-1,-1
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,W002,44,W004,44,0,40,48,41,48,True,BOUNDARY_SHIFT_ONLY,1,0
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,W003,67,W005,66,-1,65,69,64,68,True,MAIN_PEAK_CHANGED,-1,-1
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,W004,79,W006,83,4,75,86,76,87,True,MAIN_PEAK_CHANGED,1,1
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,W005,97,W007,97,0,94,99,94,99,True,UNCHANGED,0,0
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,W006,113,W008,113,0,108,117,109,117,True,BOUNDARY_SHIFT_ONLY,1,0
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,W007,129,W009,128,-1,127,137,125,136,True,MAIN_PEAK_CHANGED,-2,-1
joint_all,joint_all,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,W008,159,W010,159,0,155,164,154,165,True,BOUNDARY_SHIFT_ONLY,-1,1
joint_all,joint_all,SMOOTH5_DET_WIDTH_24,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,24,W001,17,W001,17,0,15,19,15,19,False,UNCHANGED,0,0
joint_all,joint_all,SMOOTH5_DET_WIDTH_24,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,24,W002,44,W003,44,0,40,48,39,48,True,BOUNDARY_SHIFT_ONLY,-1,0
joint_all,joint_all,SMOOTH5_DET_WIDTH_24,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,24,W003,67,W004,81,14,65,69,76,86,True,MISSING_WINDOW,11,17
joint_all,joint_all,SMOOTH5_DET_WIDTH_24,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,24,W004,79,W004,81,2,75,86,76,86,False,MAIN_PEAK_CHANGED,1,0
joint_all,joint_all,SMOOTH5_DET_WIDTH_24,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,24,W005,97,W005,97,0,94,99,94,99,False,UNCHANGED,0,0
joint_all,joint_all,SMOOTH5_DET_WIDTH_24,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,24,W006,113,W006,113,0,108,117,105,117,False,BOUNDARY_SHIFT_ONLY,-3,0
