scope,object,config_id,reference_config_id,sensitivity_group,changed_factor,changed_value,baseline_candidate_day,perturbed_candidate_day,candidate_match_class,baseline_strict_fraction,perturbed_strict_fraction,baseline_match_fraction,perturbed_match_fraction,match_fraction_delta,baseline_near_fraction,perturbed_near_fraction,baseline_support_class,perturbed_support_class,support_class_changed,bootstrap_status
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,45,,MISSING_BASELINE_CANDIDATE,0.901,,0.993,,,0.006,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,81,,MISSING_BASELINE_CANDIDATE,0.574,,0.951,,,0.043,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,96,,MISSING_BASELINE_CANDIDATE,0.551,,0.807,,,0.041,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,113,,MISSING_BASELINE_CANDIDATE,0.814,,0.987,,,0.005,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,132,,MISSING_BASELINE_CANDIDATE,0.467,,0.899,,,0.082,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,135,,MISSING_BASELINE_CANDIDATE,0.485,,0.854,,,0.133,,joint_candidate,,,missing_or_not_run
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,160,,MISSING_BASELINE_CANDIDATE,0.7,,0.962,,,0.029,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,18,,MISSING_BASELINE_CANDIDATE,0.582,,0.745,,,0.025,,joint_weak_candidate,,,missing_or_not_run
joint_all,joint_all,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,45,,MISSING_BASELINE_CANDIDATE,0.901,,0.993,,,0.006,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,81,,MISSING_BASELINE_CANDIDATE,0.574,,0.951,,,0.043,,joint_strong_candidate,,,missing_or_not_run
joint_all,joint_all,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,96,,MISSING_BASELINE_CANDIDATE,0.551,,0.807,,,0.041,,joint_candidate,,,missing_or_not_run
