scope,object,config_id,reference_config_id,sensitivity_group,changed_factor,changed_value,n_baseline_candidates_compared,n_same_day,n_strict_shift_le_2d,n_match_shift_le_5d,n_near_shift_le_8d,n_shift_gt_8d_or_missing,n_missing_baseline_candidate,n_new_perturbed_candidate,median_abs_day_delta,max_abs_day_delta
H_only,H,SMOOTH5_MATCH_RADIUS_1_4_7,SMOOTH_INPUT_5D,smooth5_bootstrap_match_radius,strict_match/match/near,1/4/7,10,10,0,0,0,0,0,0,0.0,0.0
H_only,H,SMOOTH5_MATCH_RADIUS_3_6_9,SMOOTH_INPUT_5D,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,10,10,0,0,0,0,0,0,0.0,0.0
H_only,H,SMOOTH5_MERGE_GAP_0,SMOOTH_INPUT_5D,smooth5_window_merge,merge_gap_days,0,10,10,0,0,0,0,0,0,0.0,0.0
H_only,H,SMOOTH5_MERGE_GAP_2,SMOOTH_INPUT_5D,smooth5_window_merge,merge_gap_days,2,10,10,0,0,0,0,0,0,0.0,0.0
H_only,H,SMOOTH5_PEAK_DISTANCE_5,SMOOTH_INPUT_5D,smooth5_local_peak_distance,local_peak_min_distance_days,5,10,10,0,0,0,0,0,0,0.0,0.0
H_only,H,SMOOTH5_PEAK_DISTANCE_7,SMOOTH_INPUT_5D,smooth5_local_peak_distance,local_peak_min_distance_days,7,10,9,0,1,0,0,0,0,0.0,5.0
H_only,H,SMOOTH5_PROTECT_THR_090,SMOOTH_INPUT_5D,smooth5_window_merge,significant_peak_threshold,0.90,10,10,0,0,0,0,0,0,0.0,0.0
H_only,H,SMOOTH_INPUT_5D,BASELINE,smooth_input,smoothed_fields_input,smooth5,8,5,3,0,0,0,0,0,0.0,2.0
H_only,H,SMOOTH_INPUT_5D,,smooth_input,smoothed_fields_input,smooth5,0,0,0,0,0,0,0,1,,
Je_only,Je,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,8,8,0,0,0,0,0,0,0.0,0.0
Je_only,Je,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,8,8,0,0,0,0,0,0,0.0,0.0
Je_only,Je,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,8,8,0,0,0,0,0,0,0.0,0.0
Je_only,Je,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,8,8,0,0,0,0,0,0,0.0,0.0
Je_only,Je,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,8,8,0,0,0,0,0,0,0.0,0.0
Je_only,Je,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,8,8,0,0,0,0,0,0,0.0,0.0
Je_only,Je,BASELINE,BASELINE,baseline,none,baseline,8,8,0,0,0,0,0,0,0.0,0.0
Je_only,Je,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,8,8,0,0,0,0,0,0,0.0,0.0
Je_only,Je,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,8,8,0,0,0,0,0,0,0.0,0.0
Je_only,Je,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,8,8,0,0,0,0,0,0,0.0,0.0
Je_only,Je,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,8,8,0,0,0,0,0,0,0.0,0.0
Je_only,Je,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,8,3,5,0,0,0,0,0,1.0,2.0
Je_only,Je,DET_WIDTH_16,,detector_width,detector_width,16,0,0,0,0,0,0,0,1,,
Je_only,Je,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,8,2,3,0,1,2,0,0,1.0,29.0
Je_only,Je,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,8,8,0,0,0,0,0,0,0.0,0.0
Je_only,Je,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,8,8,0,0,0,0,0,0,0.0,0.0
Je_only,Je,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,8,8,0,0,0,0,0,0,0.0,0.0
Je_only,Je,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,8,8,0,0,0,0,0,0,0.0,0.0
Je_only,Je,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,8,8,0,0,0,0,0,0,0.0,0.0
Je_only,Je,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,8,8,0,0,0,0,0,0,0.0,0.0
Je_only,Je,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,8,8,0,0,0,0,0,0,0.0,0.0
Je_only,Je,SMOOTH5_BAND_MAX_HW_12,SMOOTH_INPUT_5D,smooth5_candidate_band,band_max_half_width,12,11,11,0,0,0,0,0,0,0.0,0.0
Je_only,Je,SMOOTH5_BAND_MAX_HW_8,SMOOTH_INPUT_5D,smooth5_candidate_band,band_max_half_width,8,11,11,0,0,0,0,0,0,0.0,0.0
Je_only,Je,SMOOTH5_BAND_PROM_045,SMOOTH_INPUT_5D,smooth5_candidate_band,band_prominence_ratio,0.45,11,11,0,0,0,0,0,0,0.0,0.0
Je_only,Je,SMOOTH5_BAND_PROM_055,SMOOTH_INPUT_5D,smooth5_candidate_band,band_prominence_ratio,0.55,11,11,0,0,0,0,0,0,0.0,0.0
Je_only,Je,SMOOTH5_BAND_Q30,SMOOTH_INPUT_5D,smooth5_candidate_band,band_floor_quantile,0.30,11,11,0,0,0,0,0,0,0.0,0.0
Je_only,Je,SMOOTH5_BAND_Q40,SMOOTH_INPUT_5D,smooth5_candidate_band,band_floor_quantile,0.40,11,11,0,0,0,0,0,0,0.0,0.0
Je_only,Je,SMOOTH5_CLOSE_NEIGHBOR_3,SMOOTH_INPUT_5D,smooth5_window_merge,close_neighbor_exemption_days,3,11,11,0,0,0,0,0,0,0.0,0.0
Je_only,Je,SMOOTH5_CLOSE_NEIGHBOR_5,SMOOTH_INPUT_5D,smooth5_window_merge,close_neighbor_exemption_days,5,11,11,0,0,0,0,0,0,0.0,0.0
Je_only,Je,SMOOTH5_DET_PEN_3,SMOOTH_INPUT_5D,smooth5_detector_penalty,detector_penalty,3.0,11,11,0,0,0,0,0,0,0.0,0.0
Je_only,Je,SMOOTH5_DET_PEN_5,SMOOTH_INPUT_5D,smooth5_detector_penalty,detector_penalty,5.0,11,11,0,0,0,0,0,0,0.0,0.0
Je_only,Je,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,11,4,5,0,2,0,0,0,1.0,6.0
Je_only,Je,SMOOTH5_DET_WIDTH_16,,smooth5_detector_width,detector_width,16,0,0,0,0,0,0,0,2,,
Je_only,Je,SMOOTH5_DET_WIDTH_24,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,24,11,3,4,0,2,2,0,0,2.0,13.0
Je_only,Je,SMOOTH5_MATCH_RADIUS_1_4_7,SMOOTH_INPUT_5D,smooth5_bootstrap_match_radius,strict_match/match/near,1/4/7,11,11,0,0,0,0,0,0,0.0,0.0
Je_only,Je,SMOOTH5_MATCH_RADIUS_3_6_9,SMOOTH_INPUT_5D,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,11,11,0,0,0,0,0,0,0.0,0.0
Je_only,Je,SMOOTH5_MERGE_GAP_0,SMOOTH_INPUT_5D,smooth5_window_merge,merge_gap_days,0,11,11,0,0,0,0,0,0,0.0,0.0
Je_only,Je,SMOOTH5_MERGE_GAP_2,SMOOTH_INPUT_5D,smooth5_window_merge,merge_gap_days,2,11,11,0,0,0,0,0,0,0.0,0.0
Je_only,Je,SMOOTH5_PEAK_DISTANCE_5,SMOOTH_INPUT_5D,smooth5_local_peak_distance,local_peak_min_distance_days,5,11,11,0,0,0,0,0,0,0.0,0.0
Je_only,Je,SMOOTH5_PEAK_DISTANCE_7,SMOOTH_INPUT_5D,smooth5_local_peak_distance,local_peak_min_distance_days,7,11,10,0,0,1,0,0,0,0.0,6.0
Je_only,Je,SMOOTH5_PROTECT_THR_090,SMOOTH_INPUT_5D,smooth5_window_merge,significant_peak_threshold,0.90,11,11,0,0,0,0,0,0,0.0,0.0
Je_only,Je,SMOOTH_INPUT_5D,BASELINE,smooth_input,smoothed_fields_input,smooth5,8,4,2,2,0,0,0,0,0.5,3.0
Jw_only,Jw,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,5,5,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,5,5,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,5,5,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,5,5,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,5,5,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,5,5,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,BASELINE,BASELINE,baseline,none,baseline,5,5,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,5,5,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,5,5,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,5,5,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,5,5,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,5,1,4,0,0,0,0,0,1.0,1.0
Jw_only,Jw,DET_WIDTH_16,,detector_width,detector_width,16,0,0,0,0,0,0,0,3,,
Jw_only,Jw,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,5,1,4,0,0,0,0,0,1.0,1.0
Jw_only,Jw,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,5,5,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,5,5,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,5,5,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,5,5,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,5,5,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,5,5,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,5,5,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,SMOOTH5_BAND_MAX_HW_12,SMOOTH_INPUT_5D,smooth5_candidate_band,band_max_half_width,12,9,9,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,SMOOTH5_BAND_MAX_HW_8,SMOOTH_INPUT_5D,smooth5_candidate_band,band_max_half_width,8,9,9,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,SMOOTH5_BAND_PROM_045,SMOOTH_INPUT_5D,smooth5_candidate_band,band_prominence_ratio,0.45,9,9,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,SMOOTH5_BAND_PROM_055,SMOOTH_INPUT_5D,smooth5_candidate_band,band_prominence_ratio,0.55,9,9,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,SMOOTH5_BAND_Q30,SMOOTH_INPUT_5D,smooth5_candidate_band,band_floor_quantile,0.30,9,9,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,SMOOTH5_BAND_Q40,SMOOTH_INPUT_5D,smooth5_candidate_band,band_floor_quantile,0.40,9,9,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,SMOOTH5_CLOSE_NEIGHBOR_3,SMOOTH_INPUT_5D,smooth5_window_merge,close_neighbor_exemption_days,3,9,9,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,SMOOTH5_CLOSE_NEIGHBOR_5,SMOOTH_INPUT_5D,smooth5_window_merge,close_neighbor_exemption_days,5,9,9,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,SMOOTH5_DET_PEN_3,SMOOTH_INPUT_5D,smooth5_detector_penalty,detector_penalty,3.0,9,9,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,SMOOTH5_DET_PEN_5,SMOOTH_INPUT_5D,smooth5_detector_penalty,detector_penalty,5.0,9,9,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,9,2,7,0,0,0,0,0,1.0,2.0
Jw_only,Jw,SMOOTH5_DET_WIDTH_16,,smooth5_detector_width,detector_width,16,0,0,0,0,0,0,0,1,,
Jw_only,Jw,SMOOTH5_DET_WIDTH_24,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,24,9,2,3,1,0,3,0,0,2.0,29.0
Jw_only,Jw,SMOOTH5_MATCH_RADIUS_1_4_7,SMOOTH_INPUT_5D,smooth5_bootstrap_match_radius,strict_match/match/near,1/4/7,9,9,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,SMOOTH5_MATCH_RADIUS_3_6_9,SMOOTH_INPUT_5D,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,9,9,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,SMOOTH5_MERGE_GAP_0,SMOOTH_INPUT_5D,smooth5_window_merge,merge_gap_days,0,9,9,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,SMOOTH5_MERGE_GAP_2,SMOOTH_INPUT_5D,smooth5_window_merge,merge_gap_days,2,9,9,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,SMOOTH5_PEAK_DISTANCE_5,SMOOTH_INPUT_5D,smooth5_local_peak_distance,local_peak_min_distance_days,5,9,9,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,SMOOTH5_PEAK_DISTANCE_7,SMOOTH_INPUT_5D,smooth5_local_peak_distance,local_peak_min_distance_days,7,9,8,0,0,1,0,0,0,0.0,6.0
Jw_only,Jw,SMOOTH5_PROTECT_THR_090,SMOOTH_INPUT_5D,smooth5_window_merge,significant_peak_threshold,0.90,9,9,0,0,0,0,0,0,0.0,0.0
Jw_only,Jw,SMOOTH_INPUT_5D,BASELINE,smooth_input,smoothed_fields_input,smooth5,5,1,4,0,0,0,0,0,1.0,1.0
Jw_only,Jw,SMOOTH_INPUT_5D,,smooth_input,smoothed_fields_input,smooth5,0,0,0,0,0,0,0,3,,
P_only,P,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,10,10,0,0,0,0,0,0,0.0,0.0
P_only,P,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,10,10,0,0,0,0,0,0,0.0,0.0
P_only,P,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,10,10,0,0,0,0,0,0,0.0,0.0
P_only,P,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,10,10,0,0,0,0,0,0,0.0,0.0
P_only,P,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,10,10,0,0,0,0,0,0,0.0,0.0
P_only,P,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,10,10,0,0,0,0,0,0,0.0,0.0
P_only,P,BASELINE,BASELINE,baseline,none,baseline,10,10,0,0,0,0,0,0,0.0,0.0
P_only,P,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,10,10,0,0,0,0,0,0,0.0,0.0
P_only,P,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,10,10,0,0,0,0,0,0,0.0,0.0
P_only,P,DET_PEN_3,BASELINE,detector_penalty,detector_penalty,3.0,10,10,0,0,0,0,0,0,0.0,0.0
P_only,P,DET_PEN_5,BASELINE,detector_penalty,detector_penalty,5.0,10,10,0,0,0,0,0,0,0.0,0.0
P_only,P,DET_WIDTH_16,BASELINE,detector_width,detector_width,16,10,5,5,0,0,0,0,0,0.5,2.0
P_only,P,DET_WIDTH_24,BASELINE,detector_width,detector_width,24,10,2,5,0,0,3,0,0,1.0,16.0
P_only,P,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,10,10,0,0,0,0,0,0,0.0,0.0
P_only,P,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,10,10,0,0,0,0,0,0,0.0,0.0
P_only,P,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,10,10,0,0,0,0,0,0,0.0,0.0
P_only,P,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,10,10,0,0,0,0,0,0,0.0,0.0
P_only,P,PEAK_DISTANCE_5,BASELINE,local_peak_distance,local_peak_min_distance_days,5,10,10,0,0,0,0,0,0,0.0,0.0
P_only,P,PEAK_DISTANCE_7,BASELINE,local_peak_distance,local_peak_min_distance_days,7,10,10,0,0,0,0,0,0,0.0,0.0
P_only,P,PROTECT_THR_090,BASELINE,window_merge,significant_peak_threshold,0.90,10,10,0,0,0,0,0,0,0.0,0.0
P_only,P,SMOOTH5_BAND_MAX_HW_12,SMOOTH_INPUT_5D,smooth5_candidate_band,band_max_half_width,12,12,12,0,0,0,0,0,0,0.0,0.0
P_only,P,SMOOTH5_BAND_MAX_HW_8,SMOOTH_INPUT_5D,smooth5_candidate_band,band_max_half_width,8,12,12,0,0,0,0,0,0,0.0,0.0
P_only,P,SMOOTH5_BAND_PROM_045,SMOOTH_INPUT_5D,smooth5_candidate_band,band_prominence_ratio,0.45,12,12,0,0,0,0,0,0,0.0,0.0
P_only,P,SMOOTH5_BAND_PROM_055,SMOOTH_INPUT_5D,smooth5_candidate_band,band_prominence_ratio,0.55,12,12,0,0,0,0,0,0,0.0,0.0
P_only,P,SMOOTH5_BAND_Q30,SMOOTH_INPUT_5D,smooth5_candidate_band,band_floor_quantile,0.30,12,12,0,0,0,0,0,0,0.0,0.0
P_only,P,SMOOTH5_BAND_Q40,SMOOTH_INPUT_5D,smooth5_candidate_band,band_floor_quantile,0.40,12,12,0,0,0,0,0,0,0.0,0.0
P_only,P,SMOOTH5_CLOSE_NEIGHBOR_3,SMOOTH_INPUT_5D,smooth5_window_merge,close_neighbor_exemption_days,3,12,12,0,0,0,0,0,0,0.0,0.0
P_only,P,SMOOTH5_CLOSE_NEIGHBOR_5,SMOOTH_INPUT_5D,smooth5_window_merge,close_neighbor_exemption_days,5,12,12,0,0,0,0,0,0,0.0,0.0
P_only,P,SMOOTH5_DET_PEN_3,SMOOTH_INPUT_5D,smooth5_detector_penalty,detector_penalty,3.0,12,12,0,0,0,0,0,0,0.0,0.0
P_only,P,SMOOTH5_DET_PEN_5,SMOOTH_INPUT_5D,smooth5_detector_penalty,detector_penalty,5.0,12,12,0,0,0,0,0,0,0.0,0.0
P_only,P,SMOOTH5_DET_WIDTH_16,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,16,12,6,5,0,0,1,0,0,0.5,11.0
P_only,P,SMOOTH5_DET_WIDTH_24,SMOOTH_INPUT_5D,smooth5_detector_width,detector_width,24,12,5,3,0,0,4,0,0,1.0,15.0
P_only,P,SMOOTH5_MATCH_RADIUS_1_4_7,SMOOTH_INPUT_5D,smooth5_bootstrap_match_radius,strict_match/match/near,1/4/7,12,12,0,0,0,0,0,0,0.0,0.0
P_only,P,SMOOTH5_MATCH_RADIUS_3_6_9,SMOOTH_INPUT_5D,smooth5_bootstrap_match_radius,strict_match/match/near,3/6/9,12,12,0,0,0,0,0,0,0.0,0.0
P_only,P,SMOOTH5_MERGE_GAP_0,SMOOTH_INPUT_5D,smooth5_window_merge,merge_gap_days,0,12,12,0,0,0,0,0,0,0.0,0.0
P_only,P,SMOOTH5_MERGE_GAP_2,SMOOTH_INPUT_5D,smooth5_window_merge,merge_gap_days,2,12,12,0,0,0,0,0,0,0.0,0.0
P_only,P,SMOOTH5_PEAK_DISTANCE_5,SMOOTH_INPUT_5D,smooth5_local_peak_distance,local_peak_min_distance_days,5,12,12,0,0,0,0,0,0,0.0,0.0
P_only,P,SMOOTH5_PEAK_DISTANCE_7,SMOOTH_INPUT_5D,smooth5_local_peak_distance,local_peak_min_distance_days,7,12,12,0,0,0,0,0,0,0.0,0.0
P_only,P,SMOOTH5_PROTECT_THR_090,SMOOTH_INPUT_5D,smooth5_window_merge,significant_peak_threshold,0.90,12,12,0,0,0,0,0,0,0.0,0.0
P_only,P,SMOOTH_INPUT_5D,BASELINE,smooth_input,smoothed_fields_input,smooth5,10,0,10,0,0,0,0,0,1.0,2.0
P_only,P,SMOOTH_INPUT_5D,,smooth_input,smoothed_fields_input,smooth5,0,0,0,0,0,0,0,2,,
V_only,V,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,9,9,0,0,0,0,0,0,0.0,0.0
V_only,V,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,9,9,0,0,0,0,0,0,0.0,0.0
V_only,V,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,9,9,0,0,0,0,0,0,0.0,0.0
V_only,V,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,9,9,0,0,0,0,0,0,0.0,0.0
V_only,V,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,9,9,0,0,0,0,0,0,0.0,0.0
V_only,V,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,9,9,0,0,0,0,0,0,0.0,0.0
V_only,V,BASELINE,BASELINE,baseline,none,baseline,9,9,0,0,0,0,0,0,0.0,0.0
V_only,V,CLOSE_NEIGHBOR_3,BASELINE,window_merge,close_neighbor_exemption_days,3,9,9,0,0,0,0,0,0,0.0,0.0
V_only,V,CLOSE_NEIGHBOR_5,BASELINE,window_merge,close_neighbor_exemption_days,5,9,9,0,0,0,0,0,0,0.0,0.0
