scope,object,config_id,reference_config_id,sensitivity_group,changed_factor,changed_value,baseline_candidate_day,perturbed_candidate_day,candidate_match_class,baseline_band_start,baseline_band_end,perturbed_band_start,perturbed_band_end,band_start_delta,band_end_delta,baseline_band_width,perturbed_band_width,band_width_delta
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,81,81,SAME_DAY,75,86,75,86,0,0,12,12,0
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,96,96,SAME_DAY,94,99,94,99,0,0,6,6,0
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,113,113,SAME_DAY,107,117,107,117,0,0,11,11,0
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,132,132,SAME_DAY,130,134,130,134,0,0,5,5,0
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,135,135,SAME_DAY,128,138,128,138,0,0,11,11,0
joint_all,joint_all,MATCH_RADIUS_1_4_7,BASELINE,bootstrap_match_radius,strict_match/match/near,1/4/7,160,160,SAME_DAY,155,164,155,164,0,0,10,10,0
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,18,18,SAME_DAY,16,20,16,20,0,0,5,5,0
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,45,45,SAME_DAY,40,48,40,48,0,0,9,9,0
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,81,81,SAME_DAY,75,86,75,86,0,0,12,12,0
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,96,96,SAME_DAY,94,99,94,99,0,0,6,6,0
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,113,113,SAME_DAY,107,117,107,117,0,0,11,11,0
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,132,132,SAME_DAY,130,134,130,134,0,0,5,5,0
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,135,135,SAME_DAY,128,138,128,138,0,0,11,11,0
joint_all,joint_all,MATCH_RADIUS_3_6_9,BASELINE,bootstrap_match_radius,strict_match/match/near,3/6/9,160,160,SAME_DAY,155,164,155,164,0,0,10,10,0
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,18,18,SAME_DAY,16,20,16,20,0,0,5,5,0
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,45,45,SAME_DAY,40,48,40,48,0,0,9,9,0
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,81,81,SAME_DAY,75,86,75,86,0,0,12,12,0
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,96,96,SAME_DAY,94,99,94,99,0,0,6,6,0
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,113,113,SAME_DAY,107,117,107,117,0,0,11,11,0
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,132,132,SAME_DAY,130,134,130,134,0,0,5,5,0
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,135,135,SAME_DAY,128,138,128,139,0,1,11,12,1
joint_all,joint_all,BAND_Q30,BASELINE,candidate_band,band_floor_quantile,0.30,160,160,SAME_DAY,155,164,155,164,0,0,10,10,0
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,18,18,SAME_DAY,16,20,16,20,0,0,5,5,0
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,45,45,SAME_DAY,40,48,40,48,0,0,9,9,0
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,81,81,SAME_DAY,75,86,75,86,0,0,12,12,0
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,96,96,SAME_DAY,94,99,94,99,0,0,6,6,0
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,113,113,SAME_DAY,107,117,107,117,0,0,11,11,0
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,132,132,SAME_DAY,130,134,130,134,0,0,5,5,0
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,135,135,SAME_DAY,128,138,130,137,2,-1,11,8,-3
joint_all,joint_all,BAND_Q40,BASELINE,candidate_band,band_floor_quantile,0.40,160,160,SAME_DAY,155,164,155,164,0,0,10,10,0
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,18,18,SAME_DAY,16,20,16,20,0,0,5,5,0
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,45,45,SAME_DAY,40,48,40,48,0,0,9,9,0
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,81,81,SAME_DAY,75,86,76,85,1,-1,12,10,-2
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,96,96,SAME_DAY,94,99,94,99,0,0,6,6,0
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,113,113,SAME_DAY,107,117,108,117,1,0,11,10,-1
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,132,132,SAME_DAY,130,134,130,134,0,0,5,5,0
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,135,135,SAME_DAY,128,138,128,138,0,0,11,11,0
joint_all,joint_all,BAND_PROM_045,BASELINE,candidate_band,band_prominence_ratio,0.45,160,160,SAME_DAY,155,164,155,164,0,0,10,10,0
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,18,18,SAME_DAY,16,20,16,20,0,0,5,5,0
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,45,45,SAME_DAY,40,48,39,48,-1,0,9,10,1
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,81,81,SAME_DAY,75,86,75,86,0,0,12,12,0
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,96,96,SAME_DAY,94,99,94,99,0,0,6,6,0
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,113,113,SAME_DAY,107,117,106,118,-1,1,11,13,2
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,132,132,SAME_DAY,130,134,130,134,0,0,5,5,0
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,135,135,SAME_DAY,128,138,128,138,0,0,11,11,0
joint_all,joint_all,BAND_PROM_055,BASELINE,candidate_band,band_prominence_ratio,0.55,160,160,SAME_DAY,155,164,155,164,0,0,10,10,0
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,18,18,SAME_DAY,16,20,16,20,0,0,5,5,0
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,45,45,SAME_DAY,40,48,40,48,0,0,9,9,0
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,81,81,SAME_DAY,75,86,75,86,0,0,12,12,0
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,96,96,SAME_DAY,94,99,94,99,0,0,6,6,0
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,113,113,SAME_DAY,107,117,107,117,0,0,11,11,0
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,132,132,SAME_DAY,130,134,130,134,0,0,5,5,0
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,135,135,SAME_DAY,128,138,128,138,0,0,11,11,0
joint_all,joint_all,BAND_MAX_HW_8,BASELINE,candidate_band,band_max_half_width,8,160,160,SAME_DAY,155,164,155,164,0,0,10,10,0
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,18,18,SAME_DAY,16,20,16,20,0,0,5,5,0
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,45,45,SAME_DAY,40,48,40,48,0,0,9,9,0
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,81,81,SAME_DAY,75,86,75,86,0,0,12,12,0
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,96,96,SAME_DAY,94,99,94,99,0,0,6,6,0
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,113,113,SAME_DAY,107,117,107,117,0,0,11,11,0
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,132,132,SAME_DAY,130,134,130,134,0,0,5,5,0
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,135,135,SAME_DAY,128,138,128,138,0,0,11,11,0
joint_all,joint_all,BAND_MAX_HW_12,BASELINE,candidate_band,band_max_half_width,12,160,160,SAME_DAY,155,164,155,164,0,0,10,10,0
joint_all,joint_all,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,18,18,SAME_DAY,16,20,16,20,0,0,5,5,0
joint_all,joint_all,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,45,45,SAME_DAY,40,48,40,48,0,0,9,9,0
joint_all,joint_all,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,81,81,SAME_DAY,75,86,75,86,0,0,12,12,0
joint_all,joint_all,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,96,96,SAME_DAY,94,99,94,99,0,0,6,6,0
joint_all,joint_all,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,113,113,SAME_DAY,107,117,107,117,0,0,11,11,0
joint_all,joint_all,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,132,132,SAME_DAY,130,134,130,134,0,0,5,5,0
joint_all,joint_all,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,135,135,SAME_DAY,128,138,128,138,0,0,11,11,0
joint_all,joint_all,MERGE_GAP_0,BASELINE,window_merge,merge_gap_days,0,160,160,SAME_DAY,155,164,155,164,0,0,10,10,0
joint_all,joint_all,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,18,18,SAME_DAY,16,20,16,20,0,0,5,5,0
joint_all,joint_all,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,45,45,SAME_DAY,40,48,40,48,0,0,9,9,0
joint_all,joint_all,MERGE_GAP_2,BASELINE,window_merge,merge_gap_days,2,81,81,SAME_DAY,75,86,75,86,0,0,12,12,0
