window_id,object,baseline_config,baseline_role,day,D_pre_2d,D_post_2d,S_dist_2d,R_pre_2d,R_post_2d,R_diff_2d,S_pattern_2d,V_dist_2d,V_pattern_2d,pattern_dynamic_range_2d,pattern_branch_valid_2d,basis
W113,Je,C2_immediate_pre,immediate_pre_sensitivity,147,6.434815009800288,3.6754508799372845,0.63646347979156,0.8844972382377702,0.9936779117067811,0.10918067346901095,0.8482688400558258,-0.029208834518064775,-0.01467960894114595,0.3070780592112043,True,2d_field
W113,Je,C2_immediate_pre,immediate_pre_sensitivity,148,6.325682903548912,3.96950627020867,0.6144309537966594,0.8881755944105502,0.9924588758892128,0.10428328147866261,0.8323204782518978,-0.022032525994900687,-0.015948361803928,0.3070780592112043,True,2d_field
W113,Je,C2_immediate_pre,immediate_pre_sensitivity,149,6.226412071440977,4.2570239804046865,0.5939285593624415,0.8920364125985519,0.9910066104584162,0.09897019785986427,0.8150184162535703,-0.020502394434217863,-0.01730206199832751,0.3070780592112043,True,2d_field
W113,Je,C2_immediate_pre,immediate_pre_sensitivity,150,6.122133928615673,4.491212300919782,0.5768335260352322,0.8951241621024202,0.9885656480639734,0.09344148596155322,0.797014160552226,-0.017095033327209297,-0.01800425570134434,0.3070780592112043,True,2d_field
W113,Je,C2_immediate_pre,immediate_pre_sensitivity,151,5.912556787972547,4.692775974630351,0.5575078991223855,0.8990112216065346,0.9850297282684861,0.08601850666195154,0.7728412212068713,-0.019325626912846672,-0.024172939345354694,0.3070780592112043,True,2d_field
W113,Je,C2_immediate_pre,immediate_pre_sensitivity,152,5.679824593809587,4.865746131226295,0.5385981225582517,0.9022056139135018,0.9813771962270802,0.07917158231357835,0.7505442053733045,-0.01890977656413384,-0.022297015833566802,0.3070780592112043,True,2d_field
W113,Je,C2_immediate_pre,immediate_pre_sensitivity,153,5.521516824556301,5.2196342172174335,0.5140526190426337,0.9048472101174151,0.9783813506682758,0.07353414055086072,0.7321858707622333,-0.024545503515618017,-0.01835833461107117,0.3070780592112043,True,2d_field
W113,Je,C2_immediate_pre,immediate_pre_sensitivity,154,5.421211268100584,5.66127185859356,0.48916936810331135,0.9087424635467348,0.9747342578014049,0.06599179425467006,0.7076242126758014,-0.02488325093932231,-0.024561658086431848,0.3070780592112043,True,2d_field
W113,Jw,C0_full_stage,main_full_stage,88,2.909588611215848,6.302955263589828,0.31582900996248675,0.9951169256109778,0.9541860796908204,-0.04093084592015739,-0.40580507399050564,,,0.045391624914663246,True,2d_field
W113,Jw,C0_full_stage,main_full_stage,89,2.6502060272737054,6.055579202562034,0.304418953294545,0.9962216257672697,0.957076381738324,-0.0391452440289457,-0.36646737910585153,-0.01141005666794176,0.039337694884654106,0.045391624914663246,True,2d_field
W113,Jw,C0_full_stage,main_full_stage,90,2.3951281894077616,5.805821484836976,0.29205497955068715,0.9970550934008552,0.9597086001666807,-0.037346493234174494,-0.326840007357145,-0.012363973743857837,0.03962737174870651,0.045391624914663246,True,2d_field
W113,Jw,C0_full_stage,main_full_stage,91,2.112331241252486,5.522545301565462,0.2766686834300595,0.9979028660383216,0.9628582025869679,-0.03504466345135371,-0.27612955609772766,-0.01538629612062764,0.050710451259417366,0.045391624914663246,True,2d_field
W113,Jw,C0_full_stage,main_full_stage,92,1.78892847516622,5.189942790121872,0.2563349296990324,0.9987205525163295,0.9664498393553411,-0.032270713160988396,-0.21501805600095056,-0.020333753731027138,0.0611115000967771,0.045391624914663246,True,2d_field
W113,Jw,C0_full_stage,main_full_stage,93,1.4933227514384555,4.881783040382224,0.23424281889633936,0.9992050324271207,0.969291405348932,-0.029913627078188676,-0.16309028105940424,-0.02209211080269302,0.05192777494154632,0.045391624914663246,True,2d_field
W113,Jw,C0_full_stage,main_full_stage,94,1.2450948452762605,4.599839019040562,0.21302120334971347,0.9994379305719663,0.9716264374025113,-0.02781149316945497,-0.11677922890637511,-0.021221615546625883,0.04631105215302912,0.045391624914663246,True,2d_field
W113,Jw,C0_full_stage,main_full_stage,95,1.0384008179846747,4.356600131222073,0.19247463119304098,0.9994974326934517,0.9732397650149252,-0.026257667678526553,-0.08254768302429606,-0.020546572156672493,0.03423154588207905,0.045391624914663246,True,2d_field
W113,Jw,C0_full_stage,main_full_stage,96,0.8567131901000621,4.126198838467356,0.17193022577730843,0.9995736804964211,0.9748112662592933,-0.024762414237127883,-0.049606508430750165,-0.020544405415732547,0.0329411745935459,0.045391624914663246,True,2d_field
W113,Jw,C0_full_stage,main_full_stage,97,0.6850737833511706,3.8789634527916173,0.150102584160805,0.9996490696662987,0.9766643726790809,-0.022984696987217834,-0.01044251610282234,-0.02182764161650344,0.039163992327927825,0.045391624914663246,True,2d_field
