window_id,basis,object_A,object_B,baseline_config,metric_family,metric_name,median,q025,q975,P_positive,P_negative,decision
W113,2d_field,H,Je,C2_immediate_pre,2d_pattern_late_growth_share,2d_pattern_late_growth_share,0.0272156127054895,-0.12127597193483797,0.1888379715188625,0.634,0.366,unresolved
W113,2d_field,H,Je,C2_immediate_pre,2d_pattern_state_compare,2d_pattern_state_compare,0.01634952986565491,-0.13365926799508263,0.17388591407103954,0.589,0.411,unresolved
W113,2d_field,H,Je,C2_immediate_pre,2d_pattern_state_core,2d_pattern_state_core,-0.01642205987664802,-0.2656519813364099,0.22449123904120194,0.445,0.555,unresolved
W113,2d_field,H,Je,C2_immediate_pre,2d_pattern_state_early,2d_pattern_state_early,-0.02969054039013641,-0.13013339843197774,0.09124916118961104,0.302,0.698,unresolved
W113,2d_field,H,Je,C2_immediate_pre,2d_pattern_state_late,2d_pattern_state_late,0.08299348472691992,-0.19973646173207013,0.36885783769270564,0.704,0.296,unresolved
W113,2d_field,H,Jw,C0_full_stage,2d_dist_core_growth_share,2d_dist_core_growth_share,0.13259225054473367,-0.08478904399956519,0.34137620883713515,0.884,0.116,A_direction_tendency
W113,2d_field,H,Jw,C0_full_stage,2d_dist_early_growth_share,2d_dist_early_growth_share,-0.18528201145241646,-0.39547242857557174,0.021525458494134547,0.043,0.957,B_direction_tendency
W113,2d_field,H,Jw,C0_full_stage,2d_dist_growth_center,2d_dist_growth_center,-0.28196186560239056,-3.7651269742343105,3.6793651506115745,0.435,0.565,unresolved
W113,2d_field,H,Jw,C0_full_stage,2d_dist_late_growth_share,2d_dist_late_growth_share,0.13741955918914048,-0.002587949353509398,0.2647326615501627,0.97,0.03,A_direction_tendency
W113,2d_field,H,Jw,C0_full_stage,2d_dist_state_compare,2d_dist_state_compare,0.01580216482063851,-0.04492941199644719,0.07442615184414211,0.681,0.319,unresolved
W113,2d_field,H,Jw,C0_full_stage,2d_dist_state_core,2d_dist_state_core,-0.04326945315624031,-0.17146289580972227,0.08906082692137308,0.255,0.745,unresolved
W113,2d_field,H,Jw,C0_full_stage,2d_dist_state_early,2d_dist_state_early,-0.06146744936590287,-0.17613107674782963,0.03726651045726228,0.124,0.876,B_direction_tendency
W113,2d_field,H,Jw,C0_full_stage,2d_dist_state_late,2d_dist_state_late,0.13176857559757466,0.050545882416189035,0.19282976375802394,1.0,0.0,A_direction_supported
W113,2d_field,H,Jw,C0_full_stage,2d_pattern_core_growth_share,2d_pattern_core_growth_share,-0.1042091181841345,-0.2839558231924898,0.08748398265938549,0.14,0.86,B_direction_tendency
W113,2d_field,H,Jw,C0_full_stage,2d_pattern_early_growth_share,2d_pattern_early_growth_share,-0.08790775531626646,-0.35181282037212025,0.1502652275820028,0.251,0.749,unresolved
W113,2d_field,H,Jw,C0_full_stage,2d_pattern_growth_center,2d_pattern_growth_center,-5.5989668938834924,-10.700475611572175,-0.9326951374487328,0.012,0.988,B_direction_supported
W113,2d_field,H,Jw,C0_full_stage,2d_pattern_late_growth_share,2d_pattern_late_growth_share,0.1556439057348673,-0.06407909422670097,0.38060266410729565,0.915,0.085,A_direction_tendency
W113,2d_field,H,Jw,C0_full_stage,2d_pattern_state_compare,2d_pattern_state_compare,-0.1569003445046418,-0.4440946908328026,0.058994853281654415,0.087,0.913,B_direction_tendency
W113,2d_field,H,Jw,C0_full_stage,2d_pattern_state_core,2d_pattern_state_core,-0.35175528460458705,-0.8515160537748432,0.0029462184869427617,0.029,0.971,B_direction_tendency
W113,2d_field,H,Jw,C0_full_stage,2d_pattern_state_early,2d_pattern_state_early,-0.017900645843759236,-0.19780108815311,0.14964609106649293,0.413,0.587,unresolved
