day,date_mmdd,cum_raw_change_from_day20_25,cum_axis_shift_abs,cum_centroid_shift_abs,cum_NS_contrast_change,cum_amplitude_change
43,05-14,7.545290258667232,2.0,0.8503077309974572,9.0267903086961,3.153028063370037
44,05-15,7.628240187152053,2.0,0.8217568836740483,8.706260779607355,3.4792977930420044
45,05-16,7.5797817559209815,2.0,0.7547163202192877,7.965415251502392,3.6472644711469115
46,05-17,7.545429681206753,2.0,0.6722304549207863,7.130729864137795,3.8143531177438383
47,05-18,7.618576292573882,2.0,0.622287383221817,6.623264036602944,3.654108495991853
48,05-19,7.749666327961687,2.0,0.5983368741149349,6.335041990168303,3.5335811792735363
49,05-20,7.977357412842266,2.0,0.5986541614861025,6.235398098612375,3.4096254016909064
50,05-21,8.280993557328145,2.0,0.6223366638346164,6.408038280865274,3.3504911448547468
51,05-22,8.622328381447677,2.0,0.6468912889142402,6.634811830454321,3.6096491825601227
52,05-23,8.949582434709166,2.0,0.6586518036162587,6.683330028469076,3.6373780706670082
53,05-24,9.241894864765383,2.0,0.6966764224192517,6.964512747293469,3.7924153469721738
54,05-25,9.564675730558296,2.0,0.7605209536019757,7.529232925907806,4.227788877712634
55,05-26,9.845410892650747,2.0,0.8119100103851835,7.9921111294538,4.681703048921339
56,05-27,10.076204223185579,2.0,0.8225950968284508,8.080828269160772,5.219683682298008
57,05-28,10.290214852805732,2.0,0.8274109134324661,8.148056755072005,5.945021386359272
58,05-29,10.467828627808576,2.0,0.8299980427931644,8.223334541241886,6.635616310477488
59,05-30,10.675145003251629,2.0,0.8491281028358486,8.404025014809164,7.196066350272648
60,05-31,10.949685170336064,2.0,0.8676821359701492,8.548982930045707,7.590328444642747
61,06-01,11.247764697664532,2.0,0.894034050707802,8.682988431198972,7.685497768438264
62,06-02,11.570084248406829,2.0,0.9238597702450022,8.818559637594394,7.443060774847563
63,06-03,11.879566692071911,2.0,0.95663838925325,8.996816712126947,7.455562634487855
64,06-04,12.214927818087224,2.0,1.009751468563806,9.38611398702248,7.551929205333472
65,06-05,12.626783430853392,2.0,1.0944893442467176,9.999202069985621,7.724919288471543
66,06-06,13.056087548303712,2.0,1.176544247993803,10.591927117828916,7.822355310461877
67,06-07,13.490478182017457,2.0,1.2399364162538618,10.92662264441763,7.539425124887227
68,06-08,13.865080333849297,2.0,1.2948666600619632,11.237992075269883,7.524620610757882
69,06-09,14.189769923700467,4.0,1.3584782320602002,11.607126772915532,7.68956873689023
70,06-10,14.53000972999761,4.0,1.4274125723104092,12.08409733404913,8.368466952822882
