year,mode,domain,pseudo_event_id,pseudo_pattern_corr,pseudo_pattern_cosine
1988,raw,profile,PSEUDO_24_32,0.5788475907082874,0.6991576168971073
1989,raw,profile,PSEUDO_24_32,0.9717779807026727,0.9745697187776228
1990,raw,profile,PSEUDO_24_32,0.7235284425505201,0.8064466229476112
1991,raw,profile,PSEUDO_24_32,-0.7698525999793526,-0.8345664442184887
1992,raw,profile,PSEUDO_24_32,0.8558556183027569,0.897712508854256
1993,raw,profile,PSEUDO_24_32,0.3560221224043274,0.21942283229763923
1994,raw,profile,PSEUDO_24_32,-0.4573275900898994,-0.3385287692917371
1995,raw,profile,PSEUDO_24_32,0.9397620515715523,0.9571652637790716
1996,raw,profile,PSEUDO_24_32,-0.977588932155669,-0.972028802213787
1997,raw,profile,PSEUDO_24_32,0.8972633421441977,0.8833616351636601
1998,raw,profile,PSEUDO_24_32,0.4411663387882459,0.6030460669966916
1999,raw,profile,PSEUDO_24_32,-0.8228098009338188,-0.8774959774683575
2000,raw,profile,PSEUDO_24_32,0.9391858763949987,0.9386296206507676
2001,raw,profile,PSEUDO_24_32,0.9058552427643366,0.9171087062091625
2002,raw,profile,PSEUDO_24_32,0.8187856661683064,0.8739539242983345
2003,raw,profile,PSEUDO_24_32,0.7252841659452018,0.6938681066045037
2004,raw,profile,PSEUDO_24_32,0.5131764216060298,0.5870615460683573
2005,raw,profile,PSEUDO_24_32,0.9614216493941207,0.9597909094828638
2006,raw,profile,PSEUDO_24_32,0.5655476961764682,0.47618573951416154
2007,raw,profile,PSEUDO_24_32,0.8606738742096642,0.902260776101693
2008,raw,profile,PSEUDO_24_32,0.9441449628979808,0.9394842832385292
2009,raw,profile,PSEUDO_24_32,0.9935073531111466,0.9948546722129149
2010,raw,profile,PSEUDO_24_32,0.9770282718929031,0.9832043987641162
2011,raw,profile,PSEUDO_24_32,-0.5729217106329633,-0.6876007594923195
2012,raw,profile,PSEUDO_24_32,0.6821754842034826,0.7730606702049311
2013,raw,profile,PSEUDO_24_32,0.9788643547775833,0.9850129558719569
2014,raw,profile,PSEUDO_24_32,-0.9584417889950719,-0.9674134252220817
2015,raw,profile,PSEUDO_24_32,0.2822252560185757,0.41645953337482616
2016,raw,profile,PSEUDO_24_32,-0.9443120487602553,-0.9601997405650294
2017,raw,profile,PSEUDO_24_32,-0.6597384336970372,-0.7644990008777602
2018,raw,profile,PSEUDO_24_32,-0.9580610795010378,-0.970817263401067
2019,raw,profile,PSEUDO_24_32,0.947846868572006,0.9629756269829572
2020,raw,profile,PSEUDO_24_32,0.7639993207579374,0.7568415219560437
2021,raw,profile,PSEUDO_24_32,-0.9648278418125482,-0.9737988043223594
2022,raw,profile,PSEUDO_24_32,0.6996796698354503,0.6682201113002019
2023,raw,profile,PSEUDO_24_32,0.06552937516251174,-0.1363559570085374
1979,raw,object_domain_spatial,PSEUDO_48_56,0.6412224845824436,0.6298294433979523
1980,raw,object_domain_spatial,PSEUDO_48_56,-0.4044534810078393,-0.3944444320444025
1981,raw,object_domain_spatial,PSEUDO_48_56,0.48211340373458117,0.43630877070957164
1982,raw,object_domain_spatial,PSEUDO_48_56,-0.6369382057054026,-0.6122332281658581
1983,raw,object_domain_spatial,PSEUDO_48_56,0.7769313752726171,0.762931150679222
1984,raw,object_domain_spatial,PSEUDO_48_56,-0.8774224537501005,-0.8711592890616521
1985,raw,object_domain_spatial,PSEUDO_48_56,-0.31576125210768524,-0.30501513559319177
1986,raw,object_domain_spatial,PSEUDO_48_56,0.6485681763874493,0.6487608660296893
1987,raw,object_domain_spatial,PSEUDO_48_56,0.7752412724299875,0.7461161445234792
1988,raw,object_domain_spatial,PSEUDO_48_56,0.5690259777536036,0.5385320549427094
1989,raw,object_domain_spatial,PSEUDO_48_56,0.6628652768105752,0.6088572950062899
1990,raw,object_domain_spatial,PSEUDO_48_56,0.8193208450165562,0.8016824932923079
1991,raw,object_domain_spatial,PSEUDO_48_56,0.2389225859767161,0.18787236769827886
1992,raw,object_domain_spatial,PSEUDO_48_56,0.9156572999058273,0.9155299473481011
1993,raw,object_domain_spatial,PSEUDO_48_56,-0.4196550399940623,-0.41173795385310696
1994,raw,object_domain_spatial,PSEUDO_48_56,-0.6739360805028372,-0.6303568101312661
1995,raw,object_domain_spatial,PSEUDO_48_56,0.04856438578478423,0.04484224880413886
1996,raw,object_domain_spatial,PSEUDO_48_56,-0.7388520744380258,-0.7288516966601887
1997,raw,object_domain_spatial,PSEUDO_48_56,-0.4029956473535331,-0.3740370318161317
1998,raw,object_domain_spatial,PSEUDO_48_56,-0.749868987044662,-0.7505762517777562
