window,source,target,source_family,target_family,same_family_edge,tau,graph_entry,pcmci_graph_selected,val_matrix,p_matrix,edge_interpretation,direction_semantics,q_within_variant_window,pcmci_plus_supported,support_rule,variant_id,variant_role,pcmci_variable_scope,conditioning_family_rule,n_pcmci_variables,conditioning_variables,q_within_family_edge_window,pcmci_plus_supported_family_fdr
S1,P_main_minus_south,Je_strength,P,Je,False,1,,False,0.0006119896447738847,0.9809238288274833,lagged_direct_edge_control,source(t-tau)->target(t),0.9950303182969696,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.9809238288274833,False
S1,P_main_minus_south,Je_strength,P,Je,False,2,,False,-0.03350396135909439,0.1908410342730258,lagged_direct_edge_control,source(t-tau)->target(t),0.5890352161091948,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.6395569965477201,False
S1,P_main_minus_south,Je_strength,P,Je,False,3,,False,-0.043111204539097406,0.09185176328922144,lagged_direct_edge_control,source(t-tau)->target(t),0.5717509186962617,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.5511105797353286,False
S1,P_main_minus_south,Je_strength,P,Je,False,4,,False,0.009104406676464543,0.7219625363613633,lagged_direct_edge_control,source(t-tau)->target(t),0.8862967198298066,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.833033695801573,False
S1,P_main_minus_south,Je_strength,P,Je,False,5,,False,0.03338289504106544,0.19186709896431603,lagged_direct_edge_control,source(t-tau)->target(t),0.5890352161091948,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.6395569965477201,False
S1,P_main_minus_south,Je_axis_lat,P,Je,False,1,,False,-0.045986184030807634,0.07232561417284171,lagged_direct_edge_control,source(t-tau)->target(t),0.5717509186962617,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.5511105797353286,False
S1,P_main_minus_south,Je_axis_lat,P,Je,False,2,,False,-0.04359851372066765,0.08854802315484675,lagged_direct_edge_control,source(t-tau)->target(t),0.5717509186962617,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.5511105797353286,False
S1,P_main_minus_south,Je_axis_lat,P,Je,False,3,,False,0.017787605956114075,0.4870397862811551,lagged_direct_edge_control,source(t-tau)->target(t),0.7606975650080855,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.7305596794217326,False
S1,P_main_minus_south,Je_axis_lat,P,Je,False,4,,False,-0.019145934817282013,0.45439449671464854,lagged_direct_edge_control,source(t-tau)->target(t),0.7489955242829196,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.7305596794217326,False
S1,P_main_minus_south,Je_axis_lat,P,Je,False,5,,False,-0.04617984004772015,0.07103866026720135,lagged_direct_edge_control,source(t-tau)->target(t),0.5717509186962617,False,graph_selected_and_window_BH_q_le_alpha,c2_family_representative_standard,family representative sensitivity: smaller variable pool to reduce same-field collinearity,representative_variables,standard PCMCI+ within representative pool,11,P_main_minus_south;P_spread_lat;P_total_centroid_lat_10_50;V_strength;V_NS_diff;H_strength;H_centroid_lat;Je_strength;Je_axis_lat;Jw_strength;Jw_axis_lat,0.5511105797353286,False
