window_id,segment_id,object_A,object_B,baseline_config,branch,observed_classified_type,start_day,end_day,duration,P_same_type_matched,P_near_instead,P_uncertain_instead,P_opposite_dominant,P_absent_or_fragmented,support_class,matched_start_day_median,matched_start_day_q025,matched_start_day_q975,matched_end_day_median,matched_end_day_q025,matched_end_day_q975,matching_rule
W045,SEG00001,H,Je,C0_full_stage,dist,uncertain_segment,4,15,12,0.943,0.003,0.0,0.0,0.054,tendency,4.0,4.0,10.0,15.0,8.0,22.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00017,H,Je,C1_buffered_stage,dist,uncertain_segment,34,47,14,0.758,0.0,0.0,0.0,0.242,unresolved,34.0,19.0,41.0,46.0,41.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00018,H,Je,C1_buffered_stage,dist,short_uncertain,48,48,1,0.744,0.033,0.0,0.0,0.223,unresolved,43.0,20.0,48.0,54.0,48.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00019,H,Je,C1_buffered_stage,dist,uncertain_segment,49,63,15,0.734,0.0,0.0,0.0,0.266,unresolved,49.0,20.0,57.0,62.0,55.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00020,H,Je,C1_buffered_stage,dist,short_uncertain,64,64,1,0.781,0.004,0.0,0.0,0.215,unresolved,63.0,30.0,64.0,66.0,64.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00021,H,Je,C1_buffered_stage,dist,uncertain_segment,65,74,10,0.717,0.002,0.0,0.0,0.281,unresolved,65.0,31.0,69.0,74.0,71.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00022,H,Je,C1_buffered_stage,pattern,A_dominant_segment_tendency,4,19,16,0.66,0.0,0.26,0.0,0.08,unresolved,4.0,4.0,7.0,19.0,17.0,27.524999999999977,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00023,H,Je,C1_buffered_stage,pattern,B_dominant_segment_tendency,20,57,38,0.485,0.0,0.179,0.0,0.336,unresolved,20.0,19.0,30.899999999999977,55.0,40.0,64.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00024,H,Je,C1_buffered_stage,pattern,short_uncertain,58,59,2,0.763,0.009,0.0,0.0,0.228,unresolved,56.0,43.0,58.0,61.0,58.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00025,H,Je,C1_buffered_stage,pattern,uncertain_segment,60,63,4,0.77,0.002,0.0,0.0,0.228,unresolved,58.0,46.225,62.0,64.0,61.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00026,H,Je,C1_buffered_stage,pattern,uncertain_segment,64,74,11,0.648,0.004,0.0,0.0,0.348,unresolved,64.0,58.0,70.0,74.0,68.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00027,H,Je,C2_immediate_pre,dist,uncertain_segment,4,16,13,0.962,0.03,0.0,0.0,0.008,supported,4.0,4.0,10.0,18.0,10.0,37.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00028,H,Je,C2_immediate_pre,dist,uncertain_segment,17,35,19,0.989,0.003,0.0,0.0,0.008,supported,16.0,4.0,26.0,34.0,23.0,41.299999999999955,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00029,H,Je,C2_immediate_pre,dist,uncertain_segment,36,45,10,0.946,0.002,0.0,0.0,0.052,tendency,36.0,25.0,41.0,46.0,40.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00030,H,Je,C2_immediate_pre,dist,uncertain_segment,46,49,4,0.918,0.028,0.0,0.0,0.054,tendency,42.0,30.0,47.0,54.0,47.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00031,H,Je,C2_immediate_pre,dist,uncertain_segment,50,62,13,0.912,0.003,0.0,0.0,0.085,tendency,49.0,32.0,56.0,62.0,55.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00032,H,Je,C2_immediate_pre,dist,uncertain_segment,63,65,3,0.919,0.005,0.0,0.0,0.076,tendency,62.0,35.0,64.0,66.0,63.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00033,H,Je,C2_immediate_pre,dist,uncertain_segment,66,74,9,0.883,0.004,0.0,0.0,0.113,exploratory_signal,65.0,35.0,69.0,74.0,72.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00034,H,Je,C2_immediate_pre,pattern,uncertain_segment,4,30,27,0.665,0.0,0.0,0.0,0.335,unresolved,4.0,4.0,4.0,30.0,18.0,30.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00035,H,Je,C2_immediate_pre,pattern,uncertain_segment,31,45,15,0.568,0.0,0.0,0.0,0.432,unresolved,31.0,30.0,32.0,44.0,39.0,63.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00036,H,Je,C2_immediate_pre,pattern,uncertain_segment,46,49,4,0.771,0.021,0.0,0.0,0.208,unresolved,43.0,31.0,47.0,53.0,47.0,63.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00037,H,Je,C2_immediate_pre,pattern,uncertain_segment,50,56,7,0.822,0.006,0.0,0.0,0.172,exploratory_signal,48.0,31.0,53.0,57.0,53.0,64.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00038,H,Je,C2_immediate_pre,pattern,uncertain_segment,57,61,5,0.849,0.011,0.0,0.0,0.14,exploratory_signal,56.0,31.0,59.0,62.0,59.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00039,H,Je,C2_immediate_pre,pattern,short_uncertain,62,62,1,0.871,0.008,0.0,0.0,0.121,exploratory_signal,59.0,31.75,62.0,65.0,62.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00040,H,Je,C2_immediate_pre,pattern,uncertain_segment,63,74,12,0.924,0.002,0.0,0.0,0.074,tendency,64.0,58.0,70.0,74.0,68.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00041,H,Jw,C0_full_stage,dist,A_dominant_segment,4,19,16,0.896,0.0,0.072,0.0,0.032,exploratory_signal,4.0,4.0,10.0,19.0,16.0,61.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00042,H,Jw,C0_full_stage,dist,short_uncertain,20,20,1,0.652,0.0,0.0,0.0,0.348,unresolved,19.0,9.0,20.0,22.0,20.0,28.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00043,H,Jw,C0_full_stage,dist,A_dominant_segment,21,62,42,0.92,0.0,0.016,0.0,0.064,tendency,25.0,4.0,30.0,59.0,46.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00044,H,Jw,C0_full_stage,dist,uncertain_segment,63,66,4,0.69,0.009,0.0,0.0,0.301,unresolved,63.0,51.225,65.0,67.0,64.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00045,H,Jw,C0_full_stage,dist,uncertain_segment,67,74,8,0.549,0.0,0.0,0.0,0.451,unresolved,67.0,52.0,70.0,74.0,70.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00046,H,Jw,C0_full_stage,pattern,uncertain_segment,4,12,9,0.577,0.0,0.0,0.0,0.423,unresolved,4.0,4.0,8.0,11.0,8.0,27.600000000000023,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00047,H,Jw,C0_full_stage,pattern,uncertain_segment,13,31,19,0.447,0.0,0.0,0.0,0.553,unresolved,14.0,4.0,23.0,30.0,20.0,43.099999999999795,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00048,H,Jw,C0_full_stage,pattern,uncertain_segment,32,39,8,0.693,0.001,0.0,0.0,0.306,unresolved,32.0,21.0,36.0,38.0,34.0,47.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00049,H,Jw,C0_full_stage,pattern,uncertain_segment,40,46,7,0.731,0.005,0.0,0.0,0.264,unresolved,39.0,30.25,42.0,46.0,43.0,52.75,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00050,H,Jw,C0_full_stage,pattern,B_dominant_segment,47,65,19,0.359,0.0,0.091,0.012,0.538,unresolved,47.0,37.0,51.0,65.0,56.0,68.05000000000001,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00051,H,Jw,C0_full_stage,pattern,A_dominant_segment,66,74,9,0.733,0.0,0.05,0.002,0.215,unresolved,65.0,57.0,70.0,74.0,74.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00052,H,Jw,C1_buffered_stage,dist,uncertain_segment,4,17,14,0.434,0.0,0.0,0.0,0.566,unresolved,5.0,4.0,11.0,16.0,9.0,19.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00053,H,Jw,C1_buffered_stage,dist,short_uncertain,18,19,2,0.88,0.0,0.0,0.0,0.12,exploratory_signal,18.0,5.950000000000003,19.0,19.0,18.0,26.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00054,H,Jw,C1_buffered_stage,dist,A_dominant_segment,20,74,55,0.86,0.0,0.091,0.0,0.049,exploratory_signal,21.0,18.0,28.0,59.0,47.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00055,H,Jw,C1_buffered_stage,pattern,uncertain_segment,4,12,9,0.529,0.001,0.0,0.0,0.47,unresolved,4.0,4.0,8.0,11.0,8.0,22.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00056,H,Jw,C1_buffered_stage,pattern,A_dominant_segment_tendency,13,31,19,0.35,0.0,0.363,0.01,0.277,unresolved,12.0,8.0,21.0,30.0,24.0,46.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00057,H,Jw,C1_buffered_stage,pattern,uncertain_segment,32,38,7,0.723,0.002,0.0,0.0,0.275,unresolved,31.0,18.0,35.0,38.0,34.0,52.94999999999993,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00058,H,Jw,C1_buffered_stage,pattern,uncertain_segment,39,46,8,0.777,0.005,0.0,0.0,0.218,unresolved,39.0,20.0,42.0,46.0,41.400000000000006,57.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00059,H,Jw,C1_buffered_stage,pattern,uncertain_segment,47,63,17,0.419,0.0,0.0,0.0,0.581,unresolved,47.0,31.450000000000003,53.55000000000001,57.0,54.0,64.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00060,H,Jw,C1_buffered_stage,pattern,A_dominant_segment,64,74,11,0.567,0.0,0.282,0.001,0.15,unresolved,64.0,59.0,68.0,74.0,74.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00061,H,Jw,C2_immediate_pre,dist,A_dominant_segment,4,28,25,0.692,0.0,0.308,0.0,0.0,unresolved,4.0,4.0,6.725000000000023,28.0,20.0,55.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00062,H,Jw,C2_immediate_pre,dist,short_uncertain,29,29,1,0.753,0.0,0.0,0.0,0.247,unresolved,29.0,4.0,29.0,29.0,29.0,34.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00063,H,Jw,C2_immediate_pre,dist,A_dominant_segment,30,47,18,0.7,0.0,0.258,0.0,0.042,unresolved,31.0,4.0,34.0,48.0,43.475,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00064,H,Jw,C2_immediate_pre,dist,uncertain_segment,48,55,8,0.68,0.003,0.0,0.0,0.317,unresolved,47.0,31.0,52.0,56.0,51.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00065,H,Jw,C2_immediate_pre,dist,uncertain_segment,56,58,3,0.769,0.007,0.0,0.0,0.224,unresolved,53.0,42.0,57.0,61.0,57.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00066,H,Jw,C2_immediate_pre,dist,uncertain_segment,59,61,3,0.893,0.001,0.0,0.0,0.106,exploratory_signal,56.0,45.0,60.0,62.0,60.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00067,H,Jw,C2_immediate_pre,dist,short_uncertain,62,62,1,0.914,0.004,0.0,0.0,0.082,tendency,61.0,47.0,62.0,63.0,62.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00068,H,Jw,C2_immediate_pre,dist,uncertain_segment,63,66,4,0.911,0.004,0.0,0.0,0.085,tendency,63.0,47.0,64.0,68.0,64.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00069,H,Jw,C2_immediate_pre,dist,uncertain_segment,67,74,8,0.882,0.003,0.0,0.0,0.115,exploratory_signal,66.0,49.0,70.0,74.0,70.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00070,H,Jw,C2_immediate_pre,pattern,uncertain_segment,4,20,17,0.748,0.0,0.0,0.0,0.252,unresolved,4.0,4.0,12.0,21.0,11.0,31.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00071,H,Jw,C2_immediate_pre,pattern,uncertain_segment,21,30,10,0.861,0.001,0.0,0.0,0.138,exploratory_signal,19.0,4.0,25.0,30.0,25.0,31.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00072,H,Jw,C2_immediate_pre,pattern,uncertain_segment,31,38,8,0.839,0.0,0.0,0.0,0.161,exploratory_signal,31.0,29.0,35.0,38.0,34.0,54.049999999999955,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00073,H,Jw,C2_immediate_pre,pattern,uncertain_segment,39,46,8,0.804,0.002,0.0,0.0,0.194,exploratory_signal,38.5,30.0,42.0,46.0,42.0,57.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00074,H,Jw,C2_immediate_pre,pattern,uncertain_segment,47,63,17,0.421,0.0,0.0,0.0,0.579,unresolved,47.0,31.0,54.0,57.0,54.0,64.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00075,H,Jw,C2_immediate_pre,pattern,A_dominant_segment_tendency,64,74,11,0.537,0.0,0.308,0.001,0.154,unresolved,64.0,59.0,68.0,74.0,74.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00076,Je,Jw,C0_full_stage,dist,A_dominant_segment,4,22,19,0.78,0.0,0.146,0.001,0.073,unresolved,4.0,4.0,12.0,21.0,17.0,57.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00077,Je,Jw,C0_full_stage,dist,uncertain_segment,23,26,4,0.671,0.004,0.0,0.0,0.325,unresolved,22.0,16.75,25.0,26.0,24.0,30.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00078,Je,Jw,C0_full_stage,dist,A_dominant_segment,27,52,26,0.936,0.0,0.002,0.0,0.062,tendency,27.0,4.0,31.0,51.0,46.0,63.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00079,Je,Jw,C0_full_stage,dist,short_uncertain,53,53,1,0.584,0.013,0.0,0.0,0.403,unresolved,51.0,47.0,53.0,57.0,53.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00080,Je,Jw,C0_full_stage,dist,uncertain_segment,54,57,4,0.651,0.012,0.0,0.0,0.337,unresolved,52.0,47.0,56.0,60.0,55.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00081,Je,Jw,C0_full_stage,dist,uncertain_segment,58,63,6,0.886,0.006,0.0,0.0,0.108,exploratory_signal,57.0,49.0,61.0,63.0,60.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00082,Je,Jw,C0_full_stage,dist,short_uncertain,64,65,2,0.925,0.004,0.0,0.0,0.071,tendency,62.0,50.0,64.0,66.0,64.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00083,Je,Jw,C0_full_stage,dist,uncertain_segment,66,69,4,0.924,0.012,0.0,0.0,0.064,tendency,65.0,51.0,67.0,71.0,67.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00084,Je,Jw,C0_full_stage,dist,uncertain_segment,70,74,5,0.936,0.013,0.0,0.0,0.051,tendency,68.0,53.0,72.0,74.0,72.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00085,Je,Jw,C0_full_stage,pattern,B_dominant_segment,4,19,16,0.836,0.0,0.082,0.0,0.082,exploratory_signal,4.0,4.0,4.0,20.0,18.0,28.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00086,Je,Jw,C0_full_stage,pattern,A_dominant_segment,20,46,27,0.346,0.0,0.067,0.0,0.587,unresolved,20.0,18.0,33.0,47.0,44.0,55.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00087,Je,Jw,C0_full_stage,pattern,uncertain_segment,47,64,18,0.506,0.0,0.0,0.0,0.494,unresolved,48.0,45.0,58.0,62.0,52.0,67.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00088,Je,Jw,C0_full_stage,pattern,uncertain_segment,65,74,10,0.505,0.0,0.0,0.0,0.495,unresolved,65.0,59.0,69.0,74.0,70.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00089,Je,Jw,C1_buffered_stage,dist,short_uncertain,4,4,1,0.78,0.006,0.0,0.0,0.214,unresolved,4.0,4.0,4.0,8.0,4.0,18.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00090,Je,Jw,C1_buffered_stage,dist,uncertain_segment,5,8,4,0.761,0.016,0.0,0.0,0.223,unresolved,4.0,4.0,6.0,9.0,6.0,18.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00091,Je,Jw,C1_buffered_stage,dist,uncertain_segment,9,18,10,0.451,0.0,0.0,0.0,0.549,unresolved,10.0,4.0,13.0,17.0,13.0,23.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00092,Je,Jw,C1_buffered_stage,dist,short_uncertain,19,20,2,0.847,0.0,0.0,0.0,0.153,exploratory_signal,18.0,9.150000000000002,20.0,21.0,19.0,27.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00093,Je,Jw,C1_buffered_stage,dist,A_dominant_segment,21,57,37,0.937,0.0,0.009,0.0,0.054,tendency,25.0,4.0,29.600000000000023,52.0,47.0,62.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00094,Je,Jw,C1_buffered_stage,dist,uncertain_segment,58,62,5,0.854,0.01,0.0,0.0,0.136,exploratory_signal,57.0,49.0,60.0,62.0,60.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00095,Je,Jw,C1_buffered_stage,dist,uncertain_segment,63,66,4,0.943,0.006,0.0,0.0,0.051,tendency,63.0,51.0,65.0,67.0,64.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00096,Je,Jw,C1_buffered_stage,dist,near_segment_tendency,67,69,3,0.012,0.0,0.932,0.0,0.056,unresolved,66.5,65.0,68.0,68.5,67.275,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00097,Je,Jw,C1_buffered_stage,dist,uncertain_segment,70,74,5,0.919,0.026,0.0,0.0,0.055,tendency,66.0,54.0,72.0,74.0,72.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00098,Je,Jw,C1_buffered_stage,pattern,B_dominant_segment,4,19,16,0.553,0.0,0.108,0.0,0.339,unresolved,4.0,4.0,4.0,19.0,17.0,21.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00099,Je,Jw,C1_buffered_stage,pattern,A_dominant_segment,20,47,28,0.606,0.0,0.059,0.0,0.335,unresolved,20.0,17.0,31.0,47.0,44.0,57.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00100,Je,Jw,C1_buffered_stage,pattern,uncertain_segment,48,64,17,0.599,0.0,0.0,0.0,0.401,unresolved,49.0,45.0,58.0,62.0,53.0,65.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00101,Je,Jw,C1_buffered_stage,pattern,uncertain_segment,65,74,10,0.573,0.0,0.0,0.0,0.427,unresolved,65.0,60.0,69.0,74.0,71.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00102,Je,Jw,C2_immediate_pre,dist,A_dominant_segment,4,48,45,0.799,0.0,0.1,0.001,0.1,unresolved,4.0,4.0,13.0,48.0,27.0,58.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00103,Je,Jw,C2_immediate_pre,dist,uncertain_segment,49,63,15,0.794,0.0,0.0,0.0,0.206,unresolved,49.0,42.0,58.0,61.0,54.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00104,Je,Jw,C2_immediate_pre,dist,short_uncertain,64,64,1,0.9,0.002,0.0,0.0,0.098,tendency,62.5,46.0,64.0,68.0,64.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00105,Je,Jw,C2_immediate_pre,dist,uncertain_segment,65,74,10,0.888,0.011,0.0,0.0,0.101,exploratory_signal,65.0,46.0,69.0,74.0,69.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00106,Je,Jw,C2_immediate_pre,pattern,uncertain_segment,4,30,27,0.593,0.0,0.0,0.0,0.407,unresolved,4.0,4.0,4.0,29.0,17.0,30.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00107,Je,Jw,C2_immediate_pre,pattern,uncertain_segment,31,46,16,0.492,0.0,0.0,0.0,0.508,unresolved,31.0,29.0,35.0,45.0,41.0,50.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00108,Je,Jw,C2_immediate_pre,pattern,uncertain_segment,47,64,18,0.669,0.0,0.0,0.0,0.331,unresolved,47.0,42.0,58.0,62.0,52.0,65.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00109,Je,Jw,C2_immediate_pre,pattern,uncertain_segment,65,74,10,0.687,0.0,0.0,0.0,0.313,unresolved,65.0,60.0,68.0,74.0,72.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00110,P,H,C0_full_stage,dist,B_dominant_segment,4,18,15,0.843,0.0,0.007,0.0,0.15,exploratory_signal,4.0,4.0,4.0,18.0,16.0,20.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00111,P,H,C0_full_stage,dist,uncertain_segment,19,22,4,0.639,0.0,0.0,0.0,0.361,unresolved,19.0,17.0,21.0,22.0,20.0,28.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00112,P,H,C0_full_stage,dist,B_dominant_segment,23,44,22,0.705,0.0,0.015,0.0,0.28,unresolved,23.0,21.0,30.0,45.0,40.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00113,P,H,C0_full_stage,dist,uncertain_segment,45,54,10,0.616,0.0,0.0,0.0,0.384,unresolved,45.0,41.0,50.0,53.0,49.0,58.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00114,P,H,C0_full_stage,dist,B_dominant_segment_tendency,55,64,10,0.774,0.0,0.168,0.008,0.05,unresolved,54.0,23.0,59.0,74.0,63.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00115,P,H,C0_full_stage,dist,near_segment_tendency,65,67,3,0.001,0.0,0.265,0.0,0.734,unresolved,65.0,65.0,65.0,69.0,69.0,69.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00116,P,H,C0_full_stage,dist,uncertain_segment,68,74,7,0.252,0.0,0.0,0.0,0.748,unresolved,68.0,54.0,72.0,74.0,71.0,74.0,same_type_overlap_or_split_match; no exact boundary requirement
W045,SEG00117,P,H,C0_full_stage,pattern,uncertain_segment,4,17,14,0.634,0.0,0.0,0.0,0.366,unresolved,4.0,4.0,12.0,16.0,8.0,25.0,same_type_overlap_or_split_match; no exact boundary requirement
