window,source_family,target_family,n_total_pairs,n_main_yes,n_audit_stable_yes,n_tier1,n_tier2,n_tier3,n_ambiguous,n_reverse,n_same_day_only,tier1_fraction,audit_stable_fraction_among_main_yes,same_day_coupling_fraction,high_persistence_risk_fraction
S2,Jw,P,21,3,3,3,0,0,4,0,3,0.14285714285714285,1.0,0.47619047619047616,0.0
S2,Jw,V,9,0,0,0,0,0,3,0,0,0.0,,0.3333333333333333,0.0
S2,P,H,28,0,0,0,0,0,12,2,7,0.0,,0.75,0.25
S2,P,Je,21,2,2,2,0,0,4,0,2,0.09523809523809523,1.0,0.3333333333333333,0.0
S2,P,Jw,21,4,3,3,1,0,3,2,2,0.14285714285714285,0.75,0.47619047619047616,0.0
S2,P,V,21,0,0,0,0,0,3,16,2,0.0,,1.0,0.0
S2,V,H,12,3,3,3,0,0,4,2,1,0.25,1.0,0.75,0.25
S2,V,Je,9,0,0,0,0,0,2,0,0,0.0,,0.2222222222222222,0.0
S2,V,Jw,9,2,2,2,0,0,4,0,0,0.2222222222222222,1.0,0.3333333333333333,0.0
S2,V,P,21,16,16,16,0,0,4,0,1,0.7619047619047619,1.0,1.0,0.0
S3,H,Je,12,0,0,0,0,0,3,1,1,0.0,,0.3333333333333333,0.25
S3,H,Jw,12,0,0,0,0,0,1,0,0,0.0,,0.08333333333333333,0.25
S3,H,P,28,5,1,1,2,2,10,0,0,0.03571428571428571,0.2,0.4642857142857143,0.25
S3,H,V,12,3,3,3,0,0,2,1,2,0.25,1.0,0.6666666666666666,0.25
S3,Je,H,12,2,1,1,1,0,3,0,0,0.08333333333333333,0.5,0.3333333333333333,0.25
S3,Je,Jw,9,0,0,0,0,0,1,1,0,0.0,,0.2222222222222222,0.0
S3,Je,P,21,1,0,0,1,0,6,0,2,0.0,0.0,0.42857142857142855,0.0
S3,Je,V,9,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
S3,Jw,H,12,0,0,0,0,0,0,1,0,0.0,,0.08333333333333333,0.25
S3,Jw,Je,9,1,1,1,0,0,2,0,0,0.1111111111111111,1.0,0.2222222222222222,0.0
S3,Jw,P,21,3,3,3,0,0,4,0,2,0.14285714285714285,1.0,0.2857142857142857,0.0
S3,Jw,V,9,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
S3,P,H,28,0,0,0,0,0,7,0,6,0.0,,0.4642857142857143,0.25
S3,P,Je,21,0,0,0,0,0,5,2,2,0.0,,0.42857142857142855,0.0
S3,P,Jw,21,0,0,0,0,0,3,0,3,0.0,,0.2857142857142857,0.0
S3,P,V,21,1,1,1,0,0,4,7,3,0.047619047619047616,1.0,0.7142857142857143,0.0
S3,V,H,12,5,4,4,1,0,4,1,0,0.3333333333333333,0.8,0.6666666666666666,0.25
S3,V,Je,9,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
S3,V,Jw,9,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
S3,V,P,21,12,11,11,1,0,3,2,0,0.5238095238095238,0.9166666666666666,0.7142857142857143,0.0
S4,H,Je,12,1,0,0,0,1,6,0,0,0.0,0.0,0.5,0.0
S4,H,Jw,12,1,1,1,0,0,0,0,1,0.08333333333333333,1.0,0.16666666666666666,0.0
S4,H,P,28,4,2,2,2,0,5,0,1,0.07142857142857142,0.5,0.32142857142857145,0.0
S4,H,V,12,4,3,3,1,0,7,0,1,0.25,0.75,0.5833333333333334,0.0
S4,Je,H,12,0,0,0,0,0,6,0,0,0.0,,0.5,0.0
S4,Je,Jw,9,0,0,0,0,0,0,1,0,0.0,,0.1111111111111111,0.0
S4,Je,P,21,0,0,0,0,0,1,1,3,0.0,,0.23809523809523808,0.0
S4,Je,V,9,0,0,0,0,0,3,0,2,0.0,,0.5555555555555556,0.0
S4,Jw,H,12,0,0,0,0,0,2,0,1,0.0,,0.16666666666666666,0.0
S4,Jw,Je,9,1,1,1,0,0,2,0,0,0.1111111111111111,1.0,0.1111111111111111,0.0
S4,Jw,P,21,0,0,0,0,0,5,0,0,0.0,,0.23809523809523808,0.0
S4,Jw,V,9,0,0,0,0,0,0,0,1,0.0,,0.1111111111111111,0.0
S4,P,H,28,1,0,0,1,0,5,3,0,0.0,0.0,0.32142857142857145,0.0
S4,P,Je,21,0,0,0,0,0,7,0,1,0.0,,0.23809523809523808,0.0
S4,P,Jw,21,0,0,0,0,0,5,0,0,0.0,,0.23809523809523808,0.0
S4,P,V,21,1,1,1,0,0,1,5,4,0.047619047619047616,1.0,0.5238095238095238,0.0
S4,V,H,12,0,0,0,0,0,3,2,2,0.0,,0.5833333333333334,0.0
S4,V,Je,9,2,0,0,2,0,4,0,0,0.0,0.0,0.5555555555555556,0.0
S4,V,Jw,9,0,0,0,0,0,2,0,0,0.0,,0.1111111111111111,0.0
S4,V,P,21,9,9,9,0,0,4,1,0,0.42857142857142855,1.0,0.5238095238095238,0.0
S5,H,Je,12,3,2,2,1,0,1,0,1,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.0
S5,H,Jw,12,0,0,0,0,0,4,0,0,0.0,,0.25,0.0
S5,H,P,28,0,0,0,0,0,2,0,0,0.0,,0.07142857142857142,0.0
S5,H,V,12,1,0,0,1,0,4,0,1,0.0,0.0,0.3333333333333333,0.0
S5,Je,H,12,1,0,0,0,1,1,2,0,0.0,0.0,0.3333333333333333,0.0
S5,Je,Jw,9,0,0,0,0,0,1,0,0,0.0,,0.1111111111111111,0.0
S5,Je,P,21,0,0,0,0,0,1,1,1,0.0,,0.14285714285714285,0.0
S5,Je,V,9,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
S5,Jw,H,12,1,1,1,0,0,3,0,0,0.08333333333333333,1.0,0.25,0.0
S5,Jw,Je,9,0,0,0,0,0,5,0,0,0.0,,0.1111111111111111,0.0
S5,Jw,P,21,0,0,0,0,0,3,0,2,0.0,,0.14285714285714285,0.0
S5,Jw,V,9,0,0,0,0,0,3,0,2,0.0,,0.5555555555555556,0.0
S5,P,H,28,1,1,1,0,0,3,0,1,0.03571428571428571,1.0,0.07142857142857142,0.0
S5,P,Je,21,2,0,0,2,0,2,0,0,0.0,0.0,0.14285714285714285,0.0
S5,P,Jw,21,0,0,0,0,0,0,0,3,0.0,,0.14285714285714285,0.0
S5,P,V,21,0,0,0,0,0,3,6,3,0.0,,0.5714285714285714,0.0
S5,V,H,12,0,0,0,0,0,8,0,0,0.0,,0.3333333333333333,0.0
S5,V,Je,9,0,0,0,0,0,1,0,0,0.0,,0.0,0.0
S5,V,Jw,9,0,0,0,0,0,7,0,1,0.0,,0.5555555555555556,0.0
S5,V,P,21,13,7,7,4,2,3,0,0,0.3333333333333333,0.5384615384615384,0.5714285714285714,0.0
T1,H,Je,12,0,0,0,0,0,2,0,0,0.0,,0.16666666666666666,0.25
T1,H,Jw,12,0,0,0,0,0,0,0,0,0.0,,0.0,0.25
T1,H,P,28,3,1,1,1,1,5,3,3,0.03571428571428571,0.3333333333333333,0.39285714285714285,0.25
T1,H,V,12,1,0,0,0,1,4,0,2,0.0,0.0,0.5,0.25
T1,Je,H,12,1,1,1,0,0,2,0,0,0.08333333333333333,1.0,0.16666666666666666,0.25
T1,Je,Jw,9,0,0,0,0,0,3,0,0,0.0,,0.1111111111111111,0.0
T1,Je,P,21,0,0,0,0,0,5,3,3,0.0,,0.47619047619047616,0.0
T1,Je,V,9,0,0,0,0,0,0,1,3,0.0,,0.4444444444444444,0.0
T1,Jw,H,12,1,1,1,0,0,0,0,0,0.08333333333333333,1.0,0.0,0.25
T1,Jw,Je,9,2,2,2,0,0,2,0,0,0.2222222222222222,1.0,0.1111111111111111,0.0
T1,Jw,P,21,0,0,0,0,0,3,0,0,0.0,,0.09523809523809523,0.0
T1,Jw,V,9,0,0,0,0,0,2,0,0,0.0,,0.0,0.0
T1,P,H,28,0,0,0,0,0,11,0,0,0.0,,0.39285714285714285,0.25
T1,P,Je,21,3,3,3,0,0,5,0,2,0.14285714285714285,1.0,0.47619047619047616,0.0
T1,P,Jw,21,0,0,0,0,0,3,0,2,0.0,,0.09523809523809523,0.0
T1,P,V,21,0,0,0,0,0,5,13,2,0.0,,0.9523809523809523,0.0
T1,V,H,12,2,1,1,1,0,3,0,2,0.08333333333333333,0.5,0.5,0.25
T1,V,Je,9,2,2,2,0,0,3,0,0,0.2222222222222222,1.0,0.4444444444444444,0.0
T1,V,Jw,9,1,1,1,0,0,2,0,0,0.1111111111111111,1.0,0.0,0.0
T1,V,P,21,14,14,14,0,0,5,0,1,0.6666666666666666,1.0,0.9523809523809523,0.0
T2,H,Je,12,0,0,0,0,0,3,0,1,0.0,,0.3333333333333333,0.25
T2,H,Jw,12,0,0,0,0,0,0,0,1,0.0,,0.08333333333333333,0.25
T2,H,P,28,6,4,4,2,0,11,0,0,0.14285714285714285,0.6666666666666666,0.35714285714285715,0.25
T2,H,V,12,5,2,2,0,3,4,0,0,0.16666666666666666,0.4,0.4166666666666667,0.25
T2,Je,H,12,1,1,1,0,0,3,0,0,0.08333333333333333,1.0,0.3333333333333333,0.25
T2,Je,Jw,9,0,0,0,0,0,2,0,0,0.0,,0.1111111111111111,0.0
T2,Je,P,21,0,0,0,0,0,5,1,0,0.0,,0.2857142857142857,0.0
T2,Je,V,9,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
T2,Jw,H,12,0,0,0,0,0,1,0,0,0.0,,0.08333333333333333,0.25
T2,Jw,Je,9,0,0,0,0,0,1,0,0,0.0,,0.1111111111111111,0.0
T2,Jw,P,21,0,0,0,0,0,3,0,1,0.0,,0.14285714285714285,0.0
T2,Jw,V,9,0,0,0,0,0,1,0,0,0.0,,0.0,0.0
T2,P,H,28,0,0,0,0,0,7,1,2,0.0,,0.35714285714285715,0.25
T2,P,Je,21,1,1,1,0,0,4,0,2,0.047619047619047616,1.0,0.2857142857142857,0.0
T2,P,Jw,21,0,0,0,0,0,1,0,3,0.0,,0.14285714285714285,0.0
T2,P,V,21,0,0,0,0,0,4,13,3,0.0,,0.9523809523809523,0.0
T2,V,H,12,0,0,0,0,0,3,2,3,0.0,,0.4166666666666667,0.25
T2,V,Je,9,0,0,0,0,0,1,0,0,0.0,,0.0,0.0
T2,V,Jw,9,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
T2,V,P,21,15,15,15,0,0,5,0,0,0.7142857142857143,1.0,0.9523809523809523,0.0
T3,H,Je,12,0,0,0,0,0,2,0,1,0.0,,0.25,0.25
T3,H,Jw,12,0,0,0,0,0,3,0,0,0.0,,0.08333333333333333,0.25
T3,H,P,28,0,0,0,0,0,13,0,2,0.0,,0.4642857142857143,0.25
T3,H,V,12,0,0,0,0,0,3,0,0,0.0,,0.16666666666666666,0.25
T3,Je,H,12,0,0,0,0,0,3,0,0,0.0,,0.25,0.25
T3,Je,Jw,9,0,0,0,0,0,1,0,0,0.0,,0.1111111111111111,0.0
T3,Je,P,21,2,0,0,2,0,2,0,0,0.0,0.0,0.19047619047619047,0.0
T3,Je,V,9,0,0,0,0,0,3,0,0,0.0,,0.3333333333333333,0.0
T3,Jw,H,12,0,0,0,0,0,1,0,1,0.0,,0.08333333333333333,0.25
T3,Jw,Je,9,0,0,0,0,0,2,0,0,0.0,,0.1111111111111111,0.0
T3,Jw,P,21,0,0,0,0,0,5,2,0,0.0,,0.2857142857142857,0.0
T3,Jw,V,9,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
T3,P,H,28,0,0,0,0,0,3,3,7,0.0,,0.4642857142857143,0.25
T3,P,Je,21,0,0,0,0,0,4,0,0,0.0,,0.19047619047619047,0.0
T3,P,Jw,21,2,0,0,2,0,6,0,0,0.0,0.0,0.2857142857142857,0.0
T3,P,V,21,2,0,0,2,0,4,2,1,0.0,0.0,0.38095238095238093,0.0
T3,V,H,12,0,0,0,0,0,2,0,0,0.0,,0.16666666666666666,0.25
T3,V,Je,9,0,0,0,0,0,4,0,0,0.0,,0.3333333333333333,0.0
T3,V,Jw,9,0,0,0,0,0,1,0,0,0.0,,0.0,0.0
T3,V,P,21,4,0,0,4,0,3,2,1,0.0,0.0,0.38095238095238093,0.0
T4,H,Je,12,0,0,0,0,0,2,0,0,0.0,,0.08333333333333333,0.0
T4,H,Jw,12,0,0,0,0,0,1,0,2,0.0,,0.25,0.0
T4,H,P,28,1,0,0,1,0,6,0,0,0.0,0.0,0.17857142857142858,0.0
T4,H,V,12,1,0,0,1,0,2,0,2,0.0,0.0,0.4166666666666667,0.0
T4,Je,H,12,0,0,0,0,0,2,0,0,0.0,,0.08333333333333333,0.0
T4,Je,Jw,9,0,0,0,0,0,0,0,1,0.0,,0.1111111111111111,0.0
T4,Je,P,21,0,0,0,0,0,1,0,1,0.0,,0.09523809523809523,0.0
T4,Je,V,9,0,0,0,0,0,0,0,2,0.0,,0.2222222222222222,0.0
T4,Jw,H,12,0,0,0,0,0,4,0,0,0.0,,0.25,0.0
T4,Jw,Je,9,0,0,0,0,0,3,0,0,0.0,,0.1111111111111111,0.0
T4,Jw,P,21,0,0,0,0,0,3,0,1,0.0,,0.09523809523809523,0.0
T4,Jw,V,9,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
T4,P,H,28,0,0,0,0,0,4,0,3,0.0,,0.17857142857142858,0.0
T4,P,Je,21,0,0,0,0,0,1,0,2,0.0,,0.09523809523809523,0.0
T4,P,Jw,21,0,0,0,0,0,1,0,1,0.0,,0.09523809523809523,0.0
T4,P,V,21,0,0,0,0,0,3,9,3,0.0,,0.7142857142857143,0.0
T4,V,H,12,0,0,0,0,0,6,2,2,0.0,,0.4166666666666667,0.0
T4,V,Je,9,0,0,0,0,0,1,0,2,0.0,,0.2222222222222222,0.0
T4,V,Jw,9,0,0,0,0,0,2,0,0,0.0,,0.0,0.0
T4,V,P,21,9,8,8,1,0,8,0,0,0.38095238095238093,0.8888888888888888,0.7142857142857143,0.0
