rep,point_id,null_global_peak_score,null_local_peak_score,null_local_peak_day,no_peak_in_local_window
153,RP002,37.49320754391073,0.0,,True
153,RP003,37.49320754391073,23.74691394499446,116.0,False
153,LP006,37.49320754391073,26.30963762752792,132.0,False
153,RP004,37.49320754391073,26.30963762752792,132.0,False
153,RP005,37.49320754391073,31.690008742570463,159.0,False
154,RP001,37.9201409128951,10.854576707537941,48.0,False
154,RP002,37.9201409128951,24.367526103297706,80.0,False
154,RP003,37.9201409128951,12.368815357081635,110.0,False
154,LP006,37.9201409128951,0.0,,True
154,RP004,37.9201409128951,0.0,,True
154,RP005,37.9201409128951,37.9201409128951,158.0,False
155,RP001,44.402144834591624,24.51499471510793,43.0,False
155,RP002,44.402144834591624,0.0,,True
155,RP003,44.402144834591624,29.57024102841686,110.0,False
155,LP006,44.402144834591624,0.0,,True
155,RP004,44.402144834591624,0.0,,True
155,RP005,44.402144834591624,44.402144834591624,159.0,False
156,RP001,24.03254611350633,17.563858991472017,42.0,False
156,RP002,24.03254611350633,0.0,,True
156,RP003,24.03254611350633,16.028094358939914,111.0,False
156,LP006,24.03254611350633,6.946692035619064,135.0,False
156,RP004,24.03254611350633,6.946692035619064,135.0,False
156,RP005,24.03254611350633,0.0,,True
157,RP001,60.85234669164509,25.943087725644002,43.0,False
157,RP002,60.85234669164509,0.0,,True
157,RP003,60.85234669164509,33.747530630685326,113.0,False
157,LP006,60.85234669164509,0.0,,True
157,RP004,60.85234669164509,22.348888195719645,136.0,False
157,RP005,60.85234669164509,0.0,,True
158,RP001,45.393365677303535,24.30521754218937,47.0,False
158,RP002,45.393365677303535,0.0,,True
158,RP003,45.393365677303535,23.03667763463222,114.0,False
158,LP006,45.393365677303535,0.0,,True
158,RP004,45.393365677303535,20.4136191580925,136.0,False
158,RP005,45.393365677303535,20.96237059061042,160.0,False
159,RP001,38.49327671146145,0.0,,True
159,RP002,38.49327671146145,18.165395549037196,82.0,False
159,RP003,38.49327671146145,0.0,,True
159,LP006,38.49327671146145,0.0,,True
159,RP004,38.49327671146145,0.0,,True
159,RP005,38.49327671146145,16.089869801201445,158.0,False
160,RP001,63.900736582395034,12.544223966950735,48.0,False
160,RP002,63.900736582395034,0.0,,True
160,RP003,63.900736582395034,12.43350909181293,115.0,False
160,LP006,63.900736582395034,22.218789914378828,131.0,False
160,RP004,63.900736582395034,0.0,,True
160,RP005,63.900736582395034,63.900736582395034,157.0,False
161,RP001,48.836423623228136,21.562319723258053,42.0,False
161,RP002,48.836423623228136,0.0,,True
161,RP003,48.836423623228136,0.0,,True
161,LP006,48.836423623228136,0.0,,True
161,RP004,48.836423623228136,0.0,,True
161,RP005,48.836423623228136,40.78093768462842,163.0,False
162,RP001,47.3073696390787,0.0,,True
162,RP002,47.3073696390787,23.60925985608729,83.0,False
162,RP003,47.3073696390787,26.046850577476462,113.0,False
162,LP006,47.3073696390787,0.0,,True
162,RP004,47.3073696390787,32.563135290307414,137.0,False
162,RP005,47.3073696390787,0.0,,True
163,RP001,22.790133080525035,19.231561419053044,44.0,False
163,RP002,22.790133080525035,20.997793030479677,82.0,False
163,RP003,22.790133080525035,0.0,,True
163,LP006,22.790133080525035,9.9649305000408,134.0,False
163,RP004,22.790133080525035,9.9649305000408,134.0,False
163,RP005,22.790133080525035,22.790133080525035,161.0,False
164,RP001,53.939028475813124,0.0,,True
164,RP002,53.939028475813124,9.18193607248922,83.0,False
164,RP003,53.939028475813124,21.988886301355,111.0,False
164,LP006,53.939028475813124,0.0,,True
164,RP004,53.939028475813124,27.650131996662346,138.0,False
164,RP005,53.939028475813124,0.0,,True
165,RP001,32.31222206408459,0.0,,True
165,RP002,32.31222206408459,0.0,,True
165,RP003,32.31222206408459,22.63038562908797,114.0,False
165,LP006,32.31222206408459,24.13596002836538,129.0,False
165,RP004,32.31222206408459,0.0,,True
165,RP005,32.31222206408459,0.0,,True
166,RP001,44.68509282643623,31.18807771250787,45.0,False
166,RP002,44.68509282643623,19.89884095548263,83.0,False
166,RP003,44.68509282643623,0.0,,True
166,LP006,44.68509282643623,0.0,,True
166,RP004,44.68509282643623,44.68509282643623,137.0,False
166,RP005,44.68509282643623,25.40901463380539,161.0,False
167,RP001,70.58796942744186,0.0,,True
167,RP002,70.58796942744186,36.27422685973155,84.0,False
167,RP003,70.58796942744186,47.59247887881359,115.0,False
167,LP006,70.58796942744186,0.0,,True
167,RP004,70.58796942744186,12.600949954216816,136.0,False
167,RP005,70.58796942744186,0.0,,True
168,RP001,32.41788839657307,0.0,,True
168,RP002,32.41788839657307,11.12136415196434,82.0,False
168,RP003,32.41788839657307,0.0,,True
168,LP006,32.41788839657307,0.0,,True
168,RP004,32.41788839657307,0.0,,True
168,RP005,32.41788839657307,0.0,,True
169,RP001,56.41909991311344,19.000030807501773,44.0,False
169,RP002,56.41909991311344,52.26124158329316,79.0,False
169,RP003,56.41909991311344,41.38356497179734,116.0,False
169,LP006,56.41909991311344,29.442890557061993,129.0,False
169,RP004,56.41909991311344,0.0,,True
169,RP005,56.41909991311344,51.994761120490246,157.0,False
170,RP001,50.72455532074679,50.72455532074679,43.0,False
170,RP002,50.72455532074679,26.93315493218214,84.0,False
170,RP003,50.72455532074679,16.89843610080748,110.0,False
170,LP006,50.72455532074679,30.9866576549527,133.0,False
170,RP004,50.72455532074679,30.9866576549527,133.0,False
170,RP005,50.72455532074679,20.821130944224414,160.0,False
171,RP001,39.96169342607686,0.0,,True
171,RP002,39.96169342607686,0.0,,True
171,RP003,39.96169342607686,23.664694670099454,114.0,False
171,LP006,39.96169342607686,24.65501591842486,133.0,False
171,RP004,39.96169342607686,24.65501591842486,133.0,False
171,RP005,39.96169342607686,0.0,,True
172,RP001,36.734833314707515,25.872784389402145,47.0,False
172,RP002,36.734833314707515,0.0,,True
172,RP003,36.734833314707515,13.211073949194803,112.0,False
172,LP006,36.734833314707515,36.734833314707515,131.0,False
172,RP004,36.734833314707515,0.0,,True
172,RP005,36.734833314707515,16.760992590574062,163.0,False
173,RP001,61.823912728275516,0.0,,True
173,RP002,61.823912728275516,0.0,,True
173,RP003,61.823912728275516,27.3144978400587,115.0,False
173,LP006,61.823912728275516,18.102224003654513,134.0,False
173,RP004,61.823912728275516,18.102224003654513,134.0,False
173,RP005,61.823912728275516,0.0,,True
174,RP001,71.20620618563004,16.66741082935358,47.0,False
174,RP002,71.20620618563004,0.0,,True
174,RP003,71.20620618563004,32.853294736559604,112.0,False
174,LP006,71.20620618563004,24.971185449343903,134.0,False
174,RP004,71.20620618563004,24.971185449343903,134.0,False
174,RP005,71.20620618563004,0.0,,True
175,RP001,31.426711356931833,0.0,,True
175,RP002,31.426711356931833,9.625447823454166,81.0,False
175,RP003,31.426711356931833,16.213232555877,114.0,False
175,LP006,31.426711356931833,29.761970555338067,129.0,False
175,RP004,31.426711356931833,0.0,,True
175,RP005,31.426711356931833,10.293312829811965,157.0,False
176,RP001,32.979752278267,24.106477785584516,47.0,False
176,RP002,32.979752278267,0.0,,True
176,RP003,32.979752278267,0.0,,True
176,LP006,32.979752278267,0.0,,True
176,RP004,32.979752278267,0.0,,True
176,RP005,32.979752278267,24.365275963085576,157.0,False
177,RP001,37.78717858242233,20.150653949303365,46.0,False
177,RP002,37.78717858242233,30.059169545725382,78.0,False
177,RP003,37.78717858242233,17.359858883239923,115.0,False
177,LP006,37.78717858242233,0.0,,True
177,RP004,37.78717858242233,25.08778946976322,136.0,False
177,RP005,37.78717858242233,0.0,,True
178,RP001,66.95185818045651,0.0,,True
178,RP002,66.95185818045651,14.189070887304528,83.0,False
178,RP003,66.95185818045651,19.50555525912703,111.0,False
178,LP006,66.95185818045651,43.40423457913998,133.0,False
178,RP004,66.95185818045651,43.40423457913998,133.0,False
178,RP005,66.95185818045651,0.0,,True
179,RP001,47.93620736964652,0.0,,True
179,RP002,47.93620736964652,14.342221383640409,84.0,False
179,RP003,47.93620736964652,18.220052063292158,111.0,False
179,LP006,47.93620736964652,29.69706903214938,135.0,False
179,RP004,47.93620736964652,29.69706903214938,135.0,False
179,RP005,47.93620736964652,0.0,,True
180,RP001,29.657014704898675,12.574126368137762,46.0,False
180,RP002,29.657014704898675,15.645746122793085,78.0,False
180,RP003,29.657014704898675,0.0,,True
180,LP006,29.657014704898675,0.0,,True
180,RP004,29.657014704898675,10.931536901879314,138.0,False
180,RP005,29.657014704898675,0.0,,True
181,RP001,47.74243667693558,0.0,,True
181,RP002,47.74243667693558,0.0,,True
181,RP003,47.74243667693558,23.12407519270549,112.0,False
181,LP006,47.74243667693558,0.0,,True
181,RP004,47.74243667693558,0.0,,True
181,RP005,47.74243667693558,0.0,,True
182,RP001,35.942992305241944,0.0,,True
182,RP002,35.942992305241944,0.0,,True
182,RP003,35.942992305241944,0.0,,True
182,LP006,35.942992305241944,16.498052973577355,131.0,False
182,RP004,35.942992305241944,0.0,,True
182,RP005,35.942992305241944,0.0,,True
183,RP001,47.973730100988,47.973730100988,46.0,False
183,RP002,47.973730100988,0.0,,True
183,RP003,47.973730100988,40.56516527986537,113.0,False
183,LP006,47.973730100988,34.38149240199683,129.0,False
183,RP004,47.973730100988,0.0,,True
183,RP005,47.973730100988,32.910970259624534,162.0,False
184,RP001,63.50027219063119,32.47717956965139,43.0,False
184,RP002,63.50027219063119,24.88057150736413,81.0,False
184,RP003,63.50027219063119,0.0,,True
184,LP006,63.50027219063119,0.0,,True
184,RP004,63.50027219063119,51.149432442219734,136.0,False
184,RP005,63.50027219063119,29.75240651385578,163.0,False
185,RP001,46.10631626706526,0.0,,True
185,RP002,46.10631626706526,24.849009101478302,78.0,False
185,RP003,46.10631626706526,20.805450737895125,111.0,False
185,LP006,46.10631626706526,0.0,,True
185,RP004,46.10631626706526,0.0,,True
185,RP005,46.10631626706526,18.0961387098544,158.0,False
186,RP001,26.417917436796305,10.164133536909755,47.0,False
186,RP002,26.417917436796305,0.0,,True
186,RP003,26.417917436796305,25.02995604168357,113.0,False
186,LP006,26.417917436796305,17.34245163481495,132.0,False
186,RP004,26.417917436796305,17.34245163481495,132.0,False
186,RP005,26.417917436796305,12.238446488399827,159.0,False
187,RP001,76.8396122758651,19.62553908158361,46.0,False
187,RP002,76.8396122758651,0.0,,True
187,RP003,76.8396122758651,24.636483748902812,115.0,False
187,LP006,76.8396122758651,39.82735673064738,131.0,False
187,RP004,76.8396122758651,0.0,,True
187,RP005,76.8396122758651,76.8396122758651,163.0,False
188,RP001,52.01477553789812,0.0,,True
188,RP002,52.01477553789812,28.122071444039676,78.0,False
188,RP003,52.01477553789812,32.53520607858375,115.0,False
188,LP006,52.01477553789812,0.0,,True
188,RP004,52.01477553789812,0.0,,True
188,RP005,52.01477553789812,0.0,,True
189,RP001,39.35838692522284,0.0,,True
189,RP002,39.35838692522284,0.0,,True
189,RP003,39.35838692522284,0.0,,True
189,LP006,39.35838692522284,0.0,,True
189,RP004,39.35838692522284,0.0,,True
189,RP005,39.35838692522284,29.354109304123405,160.0,False
190,RP001,42.81431266884716,0.0,,True
190,RP002,42.81431266884716,31.501025402052715,78.0,False
190,RP003,42.81431266884716,20.05586853746323,116.0,False
190,LP006,42.81431266884716,22.298833908299418,133.0,False
190,RP004,42.81431266884716,22.298833908299418,133.0,False
190,RP005,42.81431266884716,0.0,,True
191,RP001,49.55683470892117,0.0,,True
191,RP002,49.55683470892117,22.527649059818494,78.0,False
191,RP003,49.55683470892117,0.0,,True
191,LP006,49.55683470892117,0.0,,True
191,RP004,49.55683470892117,0.0,,True
191,RP005,49.55683470892117,49.55683470892117,163.0,False
192,RP001,45.69131206054317,14.652306036830517,46.0,False
192,RP002,45.69131206054317,0.0,,True
192,RP003,45.69131206054317,0.0,,True
192,LP006,45.69131206054317,28.75044645810518,135.0,False
192,RP004,45.69131206054317,28.75044645810518,135.0,False
192,RP005,45.69131206054317,0.0,,True
193,RP001,38.576484763232884,37.10533351729952,46.0,False
193,RP002,38.576484763232884,15.408117419722634,82.0,False
193,RP003,38.576484763232884,0.0,,True
193,LP006,38.576484763232884,37.40052363527403,135.0,False
193,RP004,38.576484763232884,37.40052363527403,135.0,False
193,RP005,38.576484763232884,28.527651413849917,160.0,False
194,RP001,40.3207710707554,28.274184774570216,48.0,False
194,RP002,40.3207710707554,34.543448006969456,81.0,False
194,RP003,40.3207710707554,13.458804330039449,113.0,False
194,LP006,40.3207710707554,0.0,,True
194,RP004,40.3207710707554,0.0,,True
194,RP005,40.3207710707554,14.890908721444703,158.0,False
195,RP001,74.32673116620441,32.858259397272136,48.0,False
195,RP002,74.32673116620441,74.32673116620441,78.0,False
