window,family_direction,n_positive_lag_not_supported,n_near_positive_lag_pass_candidates,median_positive_peak_abs_r,median_p_pos_surrogate,median_q_pos_within_window,blocker__weak_positive_lag_effect_size,blocker__passes_surrogate_but_fails_fdr,blocker__fails_surrogate_support
S3,H→Jw,11,0,0.0683065270881444,0.3606393606393606,0.5471769609700644,7.0,0.0,4.0
S3,Jw→H,11,0,0.0387061534327988,0.7802197802197802,0.8781583380123527,8.0,0.0,3.0
S3,Je→V,9,0,0.0569448886949329,0.4335664335664335,0.596153846153846,8.0,0.0,1.0
S3,Jw→V,9,0,0.0570726377680502,0.6513486513486514,0.7715976331360946,8.0,0.0,1.0
S3,V→Je,9,0,0.0438840450858671,0.5694305694305695,0.7130058696323757,8.0,0.0,1.0
S3,V→Jw,9,0,0.0442090458647649,0.5764235764235764,0.7130058696323757,7.0,0.0,2.0
S3,H→Je,7,0,0.059068078882798,0.4245754245754246,0.5932085932085933,6.0,0.0,1.0
S3,Je→H,7,0,0.0471110131287103,0.5284715284715285,0.6839043309631545,6.0,0.0,1.0
S3,Je→Jw,7,0,0.0554321279335463,0.3516483516483517,0.5415384615384616,5.0,0.0,2.0
S3,Jw→Je,6,0,0.0410873754718101,0.5664335664335665,0.7098488256382993,5.0,0.0,1.0
S3,P→V,6,1,0.0989890536512204,0.42057942057942055,0.5932085932085933,3.0,1.0,2.0
S3,H→V,4,0,0.04372384332392125,0.7072927072927073,0.8116834104192092,3.0,0.0,1.0
S3,V→P,4,0,0.0711997242926192,0.5804195804195804,0.7232132041187158,3.0,0.0,1.0
S3,V→H,2,0,0.13722647120433318,0.2592407592407592,0.4412277377794619,0.0,0.0,2.0
S4,P→H,19,0,0.0624643672633318,0.3446553446553446,0.5133136094674555,14.0,1.0,4.0
S4,H→P,18,0,0.08038437735730061,0.2602397602397602,0.4435665754124172,11.0,2.0,5.0
S4,Je→P,16,0,0.08460212500744765,0.3291708291708292,0.5054111405835544,11.0,2.0,3.0
S4,Jw→P,16,0,0.0398364375111143,0.49950049950049946,0.629225107445248,12.0,0.0,4.0
S4,P→Jw,16,0,0.0458663248789251,0.5334665334665335,0.6684626733245296,12.0,1.0,3.0
S4,P→Je,13,0,0.0394208856844903,0.3156843156843157,0.5007849293563579,10.0,2.0,1.0
S4,H→Jw,10,0,0.040118960358605155,0.5919080919080919,0.7205589685904646,9.0,1.0,0.0
S4,P→V,10,0,0.09224748826913985,0.3391608391608391,0.5054654654654654,5.0,1.0,4.0
S4,Jw→H,9,0,0.0469973964201115,0.3966033966033966,0.5477750948602966,8.0,1.0,0.0
S4,Je→Jw,8,0,0.04061546158194625,0.46903096903096897,0.6082522590340909,8.0,0.0,0.0
S4,Jw→V,8,0,0.1354717654261712,0.12787212787212784,0.27444563983025516,3.0,2.0,3.0
S4,V→Jw,7,0,0.1202559434848749,0.1818181818181818,0.345679012345679,3.0,2.0,2.0
S4,V→P,7,0,0.0943145935567847,0.3036963036963037,0.4871794871794871,5.0,1.0,1.0
S4,Je→H,6,0,0.0494776616271837,0.3641358641358641,0.5259364291622356,5.0,0.0,1.0
S4,Jw→Je,6,0,0.029925992243358,0.5939060939060938,0.7046832257358573,6.0,0.0,0.0
S4,H→Je,5,0,0.03164355911179,0.6963036963036963,0.8002296211251435,4.0,0.0,1.0
S4,V→H,5,0,0.0585775451691324,0.3776223776223776,0.5335215243472125,4.0,1.0,0.0
S4,Je→V,4,0,0.053055544825273596,0.6468531468531469,0.7668231470512838,4.0,0.0,0.0
S4,V→Je,3,0,0.1462607059525054,0.1468531468531468,0.2956259426847661,0.0,1.0,2.0
S5,H→P,26,0,0.09783427100983355,0.3766233766233766,0.571420037931395,15.0,0.0,11.0
S5,P→H,23,0,0.103047356432514,0.3476523476523476,0.5548027102431248,11.0,7.0,5.0
S5,Je→P,18,0,0.080268427656537,0.35764235764235763,0.5635792778649922,12.0,1.0,5.0
S5,P→Jw,18,0,0.07083710650517999,0.4815184815184815,0.6369528673263112,13.0,0.0,5.0
S5,P→Je,17,0,0.072059962758719,0.4395604395604395,0.6112820512820512,13.0,1.0,3.0
S5,Jw→P,16,0,0.07147822454764735,0.39260739260739264,0.5827580539119002,11.0,0.0,5.0
S5,Je→V,9,0,0.0725132233753983,0.4585414585414585,0.6194155189788377,5.0,0.0,4.0
S5,P→V,9,0,0.1055983916819527,0.4365634365634365,0.6112820512820512,2.0,0.0,7.0
S5,H→Jw,8,0,0.08415624027532059,0.30969030969030964,0.5253235653235653,5.0,1.0,2.0
S5,Je→H,8,0,0.0666679674087837,0.4725274725274725,0.633779715561092,7.0,0.0,1.0
S5,Je→Jw,8,0,0.05202493880327415,0.5424575424575424,0.691226153573038,7.0,0.0,1.0
S5,Jw→H,8,0,0.06866210039125875,0.483016983016983,0.6374388519263936,8.0,0.0,0.0
S5,V→Je,8,0,0.13476385934855478,0.23476523476523475,0.459185578946058,3.0,1.0,4.0
S5,H→Je,7,0,0.0479302128940845,0.6543456543456544,0.7751479289940829,6.0,0.0,1.0
S5,H→V,6,0,0.1257538966269696,0.22927072927072925,0.40735099150940735,2.0,3.0,1.0
S5,V→P,5,0,0.1795760693841812,0.1118881118881118,0.2921784098254686,1.0,2.0,2.0
S5,Jw→Je,4,0,0.09580091312048605,0.2637362637362637,0.4891734522130737,2.0,0.0,2.0
S5,Jw→V,4,0,0.049633039332208445,0.4005994005994006,0.5874306645735217,3.0,0.0,1.0
S5,V→H,4,0,0.09356210545999165,0.38961038961038963,0.582424222920667,3.0,0.0,1.0
S5,V→Jw,1,0,0.0655576669861839,0.1718281718281718,0.3972445464982778,1.0,0.0,0.0
T1,Jw→P,18,0,0.1092624356251059,0.4200799200799201,0.5808707058707059,8.0,2.0,8.0
T1,P→H,17,3,0.1427427711612551,0.2487512487512487,0.3949246629659,4.0,4.0,9.0
T1,P→Jw,16,2,0.14328826604995454,0.14985014985014983,0.28401470528259887,6.0,3.0,7.0
T1,H→P,14,1,0.09569706121318365,0.5,0.6346919707134762,8.0,2.0,4.0
T1,H→Jw,12,0,0.0654484069109071,0.468031968031968,0.6160337552742616,7.0,0.0,5.0
T1,Jw→H,11,0,0.0720882857451786,0.5864135864135864,0.6893716970052848,10.0,0.0,1.0
T1,P→Je,11,0,0.0566516963416739,0.5194805194805194,0.6464019851116626,7.0,0.0,4.0
T1,H→Je,10,0,0.08412410527603074,0.43656343656343655,0.5953116996595258,6.0,1.0,3.0
T1,Je→P,10,0,0.0679418333096077,0.4405594405594405,0.5763639268312166,8.0,0.0,2.0
T1,Je→H,9,0,0.0986037560584417,0.2087912087912088,0.3630077787381158,5.0,1.0,3.0
T1,Jw→V,7,0,0.1486558075439453,0.2547452547452547,0.4003139717425431,3.0,0.0,4.0
T1,Je→Jw,6,0,0.09564376630898735,0.4375624375624375,0.574017094017094,3.0,1.0,2.0
T1,V→Jw,6,0,0.0986108905482301,0.49750249750249753,0.6315424401377852,4.0,0.0,2.0
T1,H→V,5,0,0.0674264946155202,0.6523476523476524,0.7386877828054299,3.0,0.0,2.0
T1,Je→V,5,0,0.0750538473793247,0.3546453546453546,0.5010585744530699,3.0,0.0,2.0
T1,Jw→Je,5,1,0.0963811209045849,0.2397602397602397,0.3862179487179487,3.0,1.0,1.0
T1,V→H,5,0,0.1545461524543858,0.2037962037962038,0.3586813186813187,0.0,0.0,5.0
T1,V→Je,4,0,0.043925765997467545,0.6183816183816184,0.7154442610039577,3.0,1.0,0.0
T1,P→V,1,0,0.1116789370926059,0.4665334665334665,0.6153846153846154,0.0,0.0,1.0
T1,V→P,1,0,0.1139075951463979,0.4495504495504495,0.6046355391333557,0.0,0.0,1.0
T2,P→H,18,1,0.1207378349723314,0.37962037962037964,0.5663322185061316,7.0,1.0,10.0
T2,Jw→P,17,1,0.0963504980205772,0.3806193806193806,0.5663322185061316,9.0,2.0,6.0
T2,P→Jw,17,0,0.0952501123714878,0.4345654345654345,0.6196581196581197,10.0,1.0,6.0
T2,Je→P,15,0,0.0641815849137168,0.4855144855144855,0.6558704453441296,11.0,0.0,4.0
T2,P→Je,14,1,0.0490160127873633,0.46853146853146854,0.6400125822821114,9.0,1.0,4.0
T2,H→Jw,11,0,0.0722783590824208,0.4685314685314685,0.6442307692307693,8.0,0.0,3.0
T2,H→P,11,1,0.1262223210722906,0.3446553446553446,0.5388520109332292,3.0,1.0,7.0
T2,Jw→H,11,0,0.0506655362122758,0.6813186813186813,0.8068115091015855,10.0,0.0,1.0
T2,Je→V,9,0,0.0874273637139054,0.3166833166833167,0.521949254933548,6.0,0.0,3.0
T2,V→Jw,9,0,0.0639212309033256,0.6683316683316683,0.8040865384615384,5.0,0.0,4.0
T2,H→Je,8,0,0.087475746533849,0.34165834165834164,0.5371184371184371,4.0,0.0,4.0
T2,Je→H,8,0,0.05218464037787185,0.6198801198801198,0.7602522275798385,5.0,1.0,2.0
T2,Jw→Je,8,0,0.05858861809974905,0.5254745254745254,0.6943948424201665,5.0,1.0,2.0
T2,Jw→V,8,0,0.0692251668147713,0.6073926073926075,0.7499569612777159,7.0,0.0,1.0
T2,V→Je,8,1,0.1146213326087189,0.2022977022977023,0.37139646369506185,4.0,2.0,2.0
T2,Je→Jw,7,0,0.0694647648704944,0.6843156843156843,0.8068115091015855,7.0,0.0,0.0
T2,V→H,4,0,0.1308686146320981,0.2552447552447552,0.40549845049246724,1.0,2.0,1.0
T2,H→V,3,0,0.1859984175124205,0.1088911088911089,0.2560187903699354,0.0,0.0,3.0
T2,P→V,1,0,0.1680242214988751,0.1908091908091908,0.3696178035800677,0.0,0.0,1.0
T2,V→P,1,0,0.2244696356346323,0.0829170829170829,0.2110616656071201,0.0,1.0,0.0
T3,Je→P,17,0,0.0746504273339183,0.3716283716283716,0.5723076923076923,9.0,0.0,8.0
T3,P→Je,17,0,0.0607118629919463,0.5394605394605395,0.6923076923076923,11.0,1.0,5.0
T3,P→H,15,0,0.0962296569116901,0.4515484515484515,0.6379675370501058,9.0,1.0,5.0
T3,Jw→P,14,0,0.1120756568130042,0.3356643356643356,0.5434012024795842,6.0,1.0,7.0
T3,H→P,13,1,0.1283000641904143,0.2537462537462537,0.4708063021316033,5.0,1.0,7.0
T3,P→Jw,13,0,0.0924505855922507,0.3886113886113886,0.5825242718446602,9.0,0.0,4.0
T3,P→V,12,0,0.08585331880985306,0.5934065934065934,0.735236568518824,7.0,0.0,5.0
T3,V→P,11,0,0.2079188397481362,0.1258741258741259,0.3151969981238274,1.0,5.0,5.0
T3,Jw→H,10,0,0.0938250343209758,0.48051948051948057,0.6528461476541652,5.0,2.0,3.0
T3,V→H,10,0,0.1348096687963472,0.3676323676323676,0.5670692303822743,4.0,0.0,6.0
T3,H→Je,9,0,0.0850705237727502,0.4385614385614386,0.6311270125223615,6.0,0.0,3.0
T3,H→Jw,9,0,0.1176023015382675,0.2667332667332667,0.4748777234326368,4.0,2.0,3.0
T3,H→V,9,0,0.07622523021801,0.4945054945054945,0.6709589969501865,5.0,0.0,4.0
T3,Je→H,9,0,0.0710612530797094,0.5044955044955045,0.6710875331564986,7.0,1.0,1.0
T3,Jw→V,9,0,0.13040128853031,0.2897102897102897,0.4957264957264958,4.0,1.0,4.0
T3,Je→Jw,8,0,0.06450789661649765,0.6248751248751249,0.7604662360167078,5.0,1.0,2.0
T3,V→Jw,8,0,0.1345815640002055,0.32717282717282714,0.5330442391332322,1.0,1.0,6.0
T3,Jw→Je,7,0,0.059346782354824,0.6283716283716284,0.7530679437294223,5.0,0.0,2.0
T3,Je→V,6,0,0.20379797552276296,0.1258741258741258,0.3147977543531041,0.0,2.0,4.0
T3,V→Je,5,0,0.1345289099807347,0.3536463536463536,0.5614591593973037,0.0,1.0,4.0
T4,H→P,21,0,0.1074559570126531,0.4535464535464535,0.6763285024154589,9.0,2.0,10.0
T4,P→H,21,0,0.1194517852005062,0.3746253746253746,0.6170300287947347,7.0,2.0,12.0
T4,Je→P,19,0,0.0556946915796844,0.7422577422577422,0.8706293706293707,17.0,0.0,2.0
T4,P→Jw,19,0,0.097812340341809,0.3346653346653346,0.5649432534678437,10.0,2.0,7.0
T4,P→Je,18,0,0.08957586936312845,0.40259740259740256,0.6325427150169418,12.0,0.0,6.0
T4,Jw→P,17,0,0.1130783289208921,0.2817182817182817,0.5195762321510825,6.0,2.0,9.0
T4,H→Je,10,0,0.0464305356635978,0.6153846153846154,0.7847481021394065,7.0,0.0,3.0
T4,Je→H,10,0,0.050884124466726646,0.6913086913086913,0.8442520080321285,7.0,0.0,3.0
T4,H→Jw,9,0,0.0586207208133842,0.4895104895104895,0.7045291157440691,6.0,1.0,2.0
T4,Jw→V,9,0,0.0839660200443749,0.3716283716283716,0.6153846153846154,5.0,1.0,3.0
T4,Je→Jw,8,0,0.0493983472614336,0.7667332667332667,0.886692869174621,8.0,0.0,0.0
T4,Jw→H,8,0,0.10134343677080375,0.2927072927072927,0.5268240795349228,4.0,1.0,3.0
T4,H→V,7,0,0.1553897497254755,0.1538461538461538,0.3532763532763532,0.0,2.0,5.0
T4,Je→V,7,0,0.0598460442312952,0.5234765234765235,0.7293956043956044,4.0,0.0,3.0
T4,V→Jw,7,0,0.106015802298144,0.1928071928071928,0.4116710875331564,3.0,2.0,2.0
T4,Jw→Je,6,0,0.10196456604332894,0.3036963036963036,0.516135218058295,3.0,2.0,1.0
T4,P→V,6,0,0.16612359530082155,0.24475524475524474,0.4681471826138862,0.0,0.0,6.0
T4,V→Je,6,0,0.08850310362845645,0.40759240759240756,0.6339116558990695,3.0,0.0,3.0
T4,V→P,4,0,0.19022238607605485,0.1938061938061938,0.40079141288818704,0.0,2.0,2.0
T4,V→H,2,0,0.21711766735499927,0.0654345654345654,0.24574651883888826,0.0,2.0,0.0
