window,_pair_id,_source_family,_target_family,_family_direction,_failure_reason,_evidence_tier,dominant_positive_lag_blocker,positive_lag_support_profile,near_positive_lag_pass_candidate,effect_size_bin,secondary_dominance_issue,source_variable,target_variable,_m_positive_peak_abs_r,_m_lag0_abs_r,_m_negative_peak_abs_r,_m_p_pos_surrogate,_m_q_pos_within_window,_m_p_pos_audit_surrogate,_m_D_pos_0,_m_D_pos_neg,_m_P_D_pos_0_gt_0,_m_P_D_pos_neg_gt_0,_m_positive_peak_lag,_m_negative_peak_lag,_m_positive_peak_signed_r,_m_negative_peak_signed_r
T4,V_pos_centroid_lat -> Jw_strength,V,Jw,V→Jw,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,dominance_metrics_not_main_blocker,V_pos_centroid_lat,Jw_strength,0.1868100931238279,0.1449467275066629,0.148461395175798,0.1928071928071928,0.4116710875331564,0.1948051948051948,0.0224907241282858,0.0386857190888906,0.64,0.655,5,-1,0.1868100931238279,0.148461395175798
S1,Je_strength -> P_north_minus_main_35_45,Je,P,Je→P,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,low_or_missing_support_profile,False,moderate_abs_r,dominance_metrics_not_main_blocker,Je_strength,P_north_minus_main_35_45,0.1346965003163142,0.0256765212511372,0.063928587224412,0.0839160839160839,0.1452031114952463,0.1278721278721278,0.0932192634348774,0.0692529294488803,0.911,0.915,5,-3,-0.1346965003163142,-0.063928587224412
T3,V_NS_diff -> Jw_meridional_width,V,Jw,V→Jw,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_reverse_competition,V_NS_diff,Jw_meridional_width,0.139525312400812,0.0007551100807773,0.1081726132245704,0.0579420579420579,0.1961115807269653,0.2107892107892107,0.1247949568881494,0.0360964106474554,0.655,0.58,4,-5,-0.139525312400812,0.1081726132245704
S2,Je_strength -> Jw_strength,Je,Jw,Je→Jw,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_reverse_competition,Je_strength,Jw_strength,0.1523734842762884,0.0641013462535827,0.244845141021874,0.1438561438561438,0.2272189349112426,0.1838161838161838,0.0759987896487657,-0.0979703612458068,0.982,0.182,2,-5,-0.1523734842762884,0.244845141021874
S4,Je_strength -> P_north_band_share_35_45,Je,P,Je→P,positive_lag_not_supported,Tier5a_no_not_supported,passes_surrogate_but_fails_fdr,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_tau0_and_reverse_competition,Je_strength,P_north_band_share_35_45,0.1448284930335271,0.1572717432947872,0.1653950962328368,0.0889110889110889,0.2139423076923076,0.1548451548451548,-0.0213600312847431,-0.0223647704818049,0.289,0.304,5,-1,0.1448284930335271,0.1653950962328368
T4,Jw_axis_lat -> H_west_extent_lon,Jw,H,Jw→H,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,dominance_metrics_not_main_blocker,Jw_axis_lat,H_west_extent_lon,0.1638809326130473,0.0359669107443577,0.0912633119356778,0.1188811188811188,0.3238866396761134,0.1868131868131868,0.1030670129652864,0.0692286514063146,0.89,0.748,5,-5,-0.1638809326130473,0.0912633119356778
T3,Je_axis_lat -> V_pos_centroid_lat,Je,V,Je→V,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_reverse_competition,Je_axis_lat,V_pos_centroid_lat,0.1726907505607255,0.1214141131603191,0.2348734771817746,0.1528471528471528,0.361714621256606,0.2967032967032967,0.0277076078310211,-0.0560987818927961,0.62,0.286,5,-5,-0.1726907505607255,-0.2348734771817746
S3,P_spread_lat -> Jw_strength,P,Jw,P→Jw,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,would_later_face_tau0_and_reverse_competition,P_spread_lat,Jw_strength,0.1682115505900179,0.1817265904243875,0.1735640714075902,0.1538461538461538,0.333694474539545,0.1758241758241758,-0.0206239670486501,0.00064761983066,0.199,0.561,1,-1,0.1682115505900179,0.1735640714075902
S5,Je_strength -> P_south_band_share_18_24,Je,P,Je→P,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,dominance_metrics_not_main_blocker,Je_strength,P_south_band_share_18_24,0.173813721103647,0.0599912009399995,0.1087337121821833,0.1578421578421578,0.3706293706293707,0.1898101898101898,0.1021076039160866,0.0774303441413216,0.948,0.764,5,-5,0.173813721103647,0.1087337121821833
T4,P_south_band_share_18_24 -> V_strength,P,V,P→V,positive_lag_not_supported,Tier5a_no_not_supported,fails_surrogate_support,low_or_missing_support_profile,False,moderate_abs_r,dominance_metrics_not_main_blocker,P_south_band_share_18_24,V_strength,0.1843383854936561,0.0132931315998945,0.0848454672601898,0.1968031968031968,0.4151738672286617,0.2127872127872128,0.1609448222390516,0.1077049053699545,0.879,0.726,5,-5,0.1843383854936561,-0.0848454672601898
